CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
42	6445540	38904	-1.0056
42	4212	11626560	-1.1662
42	3385	5353562	-1.0019
42	446556	11626560	-0.9806
42	60700	9854073	-0.9252
42	4842	9854073	-0.9988
42	9854073	24776445	-1.0296
42	2733526	9854073	-1.1303
42	9854073	5035	-1.0118
42	5284616	3385	-0.9094
42	457193	9854073	-1.0774
42	11683	9854073	-1.0611
42	104741	9854073	-1.1064
42	3011155	9854073	-1.0077
42	454216	9854073	-1.1258
42	9444	9854073	-1.1385
42	3690	9854073	-1.1311
42	6445540	9444	-0.9564
42	119182	446556	-0.856
42	3385	123631	-0.9206
42	4212	3081361	-1.1244
42	4212	24776445	-1.1031
42	3385	30323	-1.0032
42	2733526	4212	-1.0695
42	4033	3385	-0.95
42	6445540	216239	-1.034
42	6445540	104741	-1.019
42	6445540	2187	-1.0075
42	4212	5035	-1.1722
42	2662	3385	-0.9546
42	454216	3385	-0.9996
42	3385	11683	-1.006
42	6442177	36462	-0.9124
42	457193	3385	-1.0822
42	3385	11626560	-0.9853
42	259331	3385	-1.0088
42	5284616	5353562	-0.8917
42	5426	454216	-1.1816
42	104741	3385	-0.972
42	4842	446556	-0.8663
42	5352062	123631	-1.0545
42	126941	132971	-0.991
42	2662	446556	-0.892
42	2578	446556	-0.9572
42	2478	446556	-0.9187
42	3011155	446556	-0.8737
42	5746	5284616	-0.9395
42	5426	44424639	-1.0054
42	11626560	446556	-0.978
42	5394	446556	-1.0419
42	439693	446556	-0.8325
42	644241	446556	-1.0271
42	5329102	446556	-1.0428
42	2907	446556	-0.9689
42	6442177	11626560	-1.0457
42	5790	11683	-0.9238
42	644241	30323	-1.0193
42	457193	71384	-1.0587
42	176870	5311	-1.0008
42	451668	5311	-0.9581
42	176870	104741	-1.0248
42	176870	2662	-1.0202
42	176870	3657	-0.993
42	176870	65628	-1.0107
42	2094	25126798	-0.9902
42	176870	13342	-0.9988
42	644241	5978	-1.1272
42	4212	9854073	-0.8205
42	126941	5799	-0.8145
42	38904	9854073	-0.9485
42	3950	9854073	-0.952
42	44424639	9854073	-0.8503
42	68740	9854073	-0.8437
42	4033	9854073	-0.9728
42	71384	9854073	-0.9114
42	5352062	9854073	-0.8954
42	6857599	9854073	-1.0013
42	5790	9854073	-0.9109
42	123631	9854073	-1.0047
42	60700	4212	-0.8613
42	387447	6445540	-0.9318
42	667490	3385	-0.7318
42	387447	454216	-0.8864
42	4915	126941	-0.9635
42	6445540	60700	-0.921
42	451668	9854073	-1.0422
42	5746	9854073	-0.9521
42	30323	9854073	-1.0203
42	5284616	4212	-0.8794
42	216326	9854073	-1.0196
42	261004	9854073	-0.8495
42	6445540	454216	-0.8922
42	667490	452548	-0.7205
42	439693	9854073	-1.048
42	5352062	4212	-0.9528
42	137	9854073	-0.956
42	11626560	9854073	-0.9986
42	5284616	60198	-0.8877
42	9854073	10113978	-1.0853
42	644241	9854073	-1.0846
42	148124	2708	-0.8234
42	5291	9854073	-0.9937
42	2578	9854073	-1.0282
42	2662	9854073	-1.104
42	261004	9444	-0.8416
42	3385	6194	-0.9478
42	2767	9854073	-1.1386
42	5453	9854073	-1.0381
42	65628	9854073	-1.0832
42	9854073	132971	-1.0918
42	38904	3385	-0.8916
42	60953	9854073	-1.0258
42	5426	126941	-0.9703
42	5360373	9854073	-1.0472
42	5284616	6194	-0.8977
42	3690	126941	-0.9604
42	57469	126941	-0.9291
42	208908	9854073	-1.0716
42	4212	5799	-0.9642
42	5035	9854073	-1.0844
42	6442177	4212	-0.9187
42	6445540	457193	-0.9428
42	3385	446556	-0.8509
42	20279	9854073	-1.0978
42	4915	9854073	-1.0795
42	454216	5352062	-0.9027
42	6445540	36314	-0.9534
42	148124	36462	-0.8536
42	5284616	2723601	-0.8551
42	2767	5746	-0.9621
42	261004	6253	-0.9026
42	6442177	3385	-0.8828
42	5426	9854073	-1.0604
42	5284616	44424639	-0.8948
42	6445540	5329102	-0.9127
42	104842	446556	-0.887
42	3385	3950	-0.9442
42	126941	60198	-0.9136
42	6445540	2094	-0.9496
42	60700	454216	-0.7719
42	5352062	2708	-0.9165
42	452548	44424639	-0.893
42	4212	132971	-1.086
42	6857599	3385	-0.9094
42	5291	4212	-1.0192
42	6445540	208908	-1.0033
42	259331	6445540	-1.046
42	444795	9854073	-1.1686
42	6445540	3062316	-0.9793
42	5284616	446556	-0.7985
42	6445540	60953	-1.0302
42	9854073	42611257	-1.0371
42	148124	446556	-0.9428
42	6450551	9854073	-0.9682
42	5284616	36462	-0.8815
42	4212	10113978	-1.1041
42	6445540	644241	-1.031
42	137	3385	-0.9492
42	4212	42611257	-1.1103
42	3385	71384	-0.9375
42	2767	119182	-0.9823
42	9444	4212	-1.0399
42	454216	457193	-1.0336
42	6445540	2662	-0.9975
42	148124	123631	-1.0042
42	261004	4212	-0.6183
42	4212	25126798	-1.0985
42	6445540	3690	-1.0056
42	3385	24776445	-0.9296
42	6445540	5394	-1.051
42	4212	6450551	-1.0713
42	6445540	3657	-1.0538
42	2141	4212	-1.0376
42	3385	3081361	-0.9659
42	261004	451668	-0.9862
42	6445540	657237	-1.0127
42	104842	5352062	-1.0441
42	5360373	3385	-1.0242
42	176870	4212	-0.9768
42	2767	3657	-0.9342
42	148121	30323	-0.7925
42	261004	29327	-0.9469
42	444795	3385	-0.9445
42	126941	446556	-0.8956
42	6445540	444795	-1.0871
42	3385	5035	-0.971
42	60700	446556	-0.8792
42	5311	60198	-0.9959
42	36314	30323	-0.9605
42	13342	446556	-0.8276
42	387447	65628	-1.1052
42	451668	60198	-0.9916
42	3385	10113978	-0.9815
42	3385	25126798	-0.9757
42	3902	3385	-0.9679
42	261004	3011155	-0.9956
42	667490	6442177	-0.9512
42	148124	24776445	-1.0957
42	2733526	3385	-1.0046
42	2767	2662	-0.9949
42	6445540	5291	-1.0211
42	5746	452548	-1.0592
42	5284616	123631	-0.9439
42	9444	3385	-0.9556
42	5284616	460612	-0.9265
42	3690	3385	-0.9532
42	5453	3385	-1.011
42	439693	454216	-1.0688
42	68740	446556	-0.8656
42	148124	132971	-1.1001
42	667490	71384	-0.7799
42	60953	3385	-1.0157
42	387447	5394	-1.031
42	4842	60750	-0.832
42	6442177	446556	-0.9121
42	148121	457193	-1.335
42	104842	216326	-0.917
42	3385	132971	-0.959
42	454216	5978	-1.0536
42	2187	3385	-0.9886
42	5978	44424639	-0.9246
42	148124	25126798	-1.0629
42	5352062	446556	-0.9579
42	6253	446556	-0.8587
42	454216	644241	-0.9487
42	6445540	3011155	-0.9747
42	5790	446556	-0.8779
42	65628	6194	-1.0143
42	667490	5353562	-0.695
42	60700	36314	-1.1456
42	5284616	216326	-0.9304
42	148124	3081361	-1.0568
42	126941	123631	-0.955
42	4033	3950	-0.9433
42	4211	3385	-0.95
42	3385	6450551	-0.9877
42	216239	446556	-0.9577
42	6194	5353562	-1.0453
42	6445540	6194	-0.9464
42	137	446556	-0.8477
42	667490	3902	-1.0289
42	36314	132971	-1.1257
42	5799	5291	-0.9853
42	5284616	3081361	-1.0739
42	3690	2708	-0.8625
42	137	36462	-0.9323
42	6857599	6253	-1.0173
42	60953	2723601	-0.9286
42	5291	44424639	-0.9867
42	261004	2141	-1.0212
42	119182	667490	-0.8295
42	163659	2662	-1.0523
42	439693	44424639	-0.9769
42	3011155	44424639	-0.9333
42	451668	60700	-0.9723
42	5284616	25126798	-1.0226
42	60953	452548	-1.0446
42	5746	6253	-0.9152
42	36314	5353562	-0.8694
42	5360373	9444	-1.0057
42	163659	5394	-1.0401
42	5426	163659	-1.0045
42	9444	457193	-0.8731
42	4211	2723601	-0.9721
42	60700	5353562	-0.9712
42	126941	25126798	-0.9742
