CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
43	208908	176870	-1.038
43	13342	5311	-0.4671
43	36462	387447	-1.2275
43	36462	9826528	-1.0687
43	208908	6857599	-0.7913
43	208908	24958200	-0.8861
43	176870	3062316	-1.2846
43	38904	176870	-1.1738
43	38904	16224745	-1.225
43	2907	3062316	-1.432
43	59691338	6857599	-1.1218
43	59691338	176870	-1.2433
43	59691338	208908	-1.0785
43	59691338	11960529	-1.1586
43	216453	24856436	-1.1639
43	24958200	104842	-1.224
43	104842	16224745	-0.2068
43	208908	24964624	-1.0001
43	59691338	6421776	-1.3733
43	216453	11520894	-1.1302
43	31703	216453	0.011
43	36314	11960529	-0.036
43	31703	16224745	-0.0139
43	126941	11960529	-0.0579
43	31703	5394	-0.0381
43	126941	208908	-0.1118
43	36314	208908	-0.0738
43	126941	16224745	-0.103
43	36314	24958200	-0.0025
43	31703	11960529	-0.021
43	31703	176870	-0.0735
43	31703	24964624	-0.1009
43	31703	5329102	-0.1224
43	36314	24964624	-0.1032
43	31703	24958200	0.0097
43	31703	208908	-0.0683
43	126941	24964624	-0.1738
43	31703	5311	-0.0698
43	126941	24748204	-0.1861
43	387447	11960529	-0.0658
43	31703	216239	-0.1287
43	36314	176870	-0.0894
43	126941	24958200	-0.0742
43	31703	5288382	-0.1833
43	126941	5329102	-0.1903
43	31703	3062316	-0.1908
43	31703	24748204	-0.0583
43	31703	24856436	-0.1736
43	126941	216239	-0.26
43	36314	24748204	-0.2422
43	126941	5394	-0.0666
43	60750	24958200	-0.1321
43	126941	216453	-0.0851
43	60750	11960529	-0.1691
43	36314	216453	-0.1401
43	36314	24856436	-0.1856
43	387447	16224745	-0.1465
43	60750	208908	-0.1824
43	46926350	16224745	-0.1322
43	60750	24964624	-0.2244
43	44424639	208908	-0.2267
43	36314	16224745	-0.1003
43	126941	176870	-0.158
43	60750	176870	-0.2242
43	60750	24748204	-0.207
43	60750	216239	-0.2666
43	60750	6421776	-0.2703
43	60750	5288382	-0.2564
43	60750	5394	-0.1996
43	36314	5329102	-0.2681
43	60750	3062316	-0.2829
43	60750	5329102	-0.2783
43	44424639	11960529	-0.1807
43	36314	5288382	-0.1842
43	36314	3062316	-0.2065
43	126941	24856436	-0.2633
43	126941	5311	-0.216
43	36314	5394	-0.1174
43	44424639	24958200	-0.1635
43	36314	6421776	-0.2108
43	36314	5311	-0.1872
43	60700	216239	-0.3331
43	387447	6857599	-0.0361
43	126941	3062316	-0.2991
43	60700	16224745	-0.2759
43	36314	216239	-0.3261
43	60750	9826528	-0.3536
43	5311	5394	-0.1536
43	387447	60700	-0.3565
43	60750	24856436	-0.3293
43	387447	3062316	-0.2553
43	5311	216239	-0.3429
43	5311	6857599	-0.2075
43	387447	216239	-0.39
43	60750	16224745	-0.4275
43	31703	6421776	-0.3764
43	126941	5288382	-0.3115
43	60750	46926350	-0.3663
43	36462	5394	-0.2356
43	13342	11960529	-0.1731
43	44424639	24964624	-0.2524
43	387447	5288382	-0.251
43	36314	9826528	-0.3489
43	36462	216239	-0.4425
43	44424639	16224745	-0.2884
43	5329102	5394	-0.3383
43	60750	387447	-0.483
43	13342	24964624	-0.2293
43	36462	5329102	-0.448
43	36462	11960529	-0.2047
43	5311	5329102	-0.3108
43	387447	6421776	-0.329
43	44424639	24856436	-0.3857
43	13342	208908	-0.2393
43	104842	216239	-0.5494
43	5329102	216239	-0.5416
43	44424639	24748204	-0.3302
43	44424639	5329102	-0.5038
43	44424639	5288382	-0.3797
43	44424639	176870	-0.2975
43	44424639	5311	-0.3655
43	31703	9826528	-0.5529
43	36462	24958200	-0.2876
43	44424639	3062316	-0.4151
43	5288382	216239	-0.5439
43	44424639	216239	-0.5682
43	44424639	5394	-0.2995
43	5311	11960529	-0.0637
43	5288382	6857599	-0.2444
43	13342	216453	-0.3976
43	104842	46926350	-0.3995
43	13342	24856436	-0.4364
43	5311	24958200	-0.2626
43	36314	46926350	-0.5513
43	13342	16224745	-0.2968
43	13342	24748204	-0.4355
43	13342	176870	-0.3799
43	44424639	6421776	-0.3665
43	13342	5288382	-0.4378
43	126941	6421776	-0.5265
43	5329102	6857599	-0.4411
43	13342	5329102	-0.5905
43	13342	24958200	-0.2092
43	24748204	6857599	-0.3465
43	24748204	216239	-0.662
43	13342	5394	-0.2748
43	60750	11520894	-0.6446
43	5311	208908	-0.4093
43	13342	3062316	-0.4587
43	13342	6421776	-0.4845
43	13342	216239	-0.6888
43	36462	16224745	-0.5131
43	44424639	9826528	-0.4343
43	31703	46926350	-0.7375
43	36314	387447	-0.5866
43	5311	16224745	-0.4962
43	36462	176870	-0.5768
43	60700	6421776	-0.6698
43	31703	387447	-0.762
43	15953832	4091	-0.2715
43	36462	5311	-0.6052
43	5311	176870	-0.5791
43	36462	24964624	-0.6157
43	5311	24964624	-0.5373
43	126941	9826528	-0.732
43	44424639	46926350	-0.6862
43	36462	208908	-0.5115
43	5329102	11960529	-0.6393
43	5311	24748204	-0.6265
43	5288382	16224745	-0.6085
43	24748204	11960529	-0.4163
43	5329102	24958200	-0.6342
43	36314	11520894	-0.6754
43	3385	5394	-0.4846
43	36462	24748204	-0.6516
43	5746	216239	-0.7628
43	387447	46926350	-0.7293
43	44424639	387447	-0.7275
43	24748204	24958200	-0.5292
43	9826528	6857599	-0.4491
43	36462	3062316	-0.7515
43	9826528	11960529	-0.4682
43	13342	9826528	-0.5672
43	5311	3062316	-0.6704
43	31703	11520894	-0.8983
43	5746	5394	-0.5233
43	15953832	5394	-0.5919
43	5311	5288382	-0.6733
43	6421776	6857599	-0.5404
43	5746	5329102	-0.8155
43	36462	5288382	-0.7747
43	216239	16224745	-0.8976
43	6421776	16224745	-0.6716
43	3062316	6857599	-0.6028
43	6421776	216239	-0.9415
43	3062316	11960529	-0.6183
43	3062316	216239	-0.9446
43	24748204	16224745	-0.6804
43	3062316	16224745	-0.7759
43	13342	46926350	-0.8071
43	126941	387447	-0.9795
43	9826528	216239	-0.93
43	5746	11960529	-0.5163
43	24748204	24964624	-0.6921
43	5311	60700	-0.9436
43	24748204	176870	-0.7245
43	126941	46926350	-0.9982
43	3062316	5288382	-0.7836
43	60700	46926350	-0.9923
43	3062316	60700	-0.9868
43	5329102	176870	-0.8807
43	44424639	11520894	-0.7073
43	5329102	16224745	-0.9033
43	3385	216239	-0.9581
43	5311	24856436	-0.8681
43	5746	216453	-0.5366
43	5329102	208908	-0.8662
43	5329102	24964624	-0.8628
43	176870	216239	-0.9989
43	36462	24856436	-0.9181
43	13342	387447	-0.8918
43	5746	24958200	-0.5919
43	15953832	38904	-0.6307
43	3062316	6421776	-0.8751
43	15953832	216239	-1.063
43	176870	6857599	-0.5875
43	5311	6421776	-0.8338
43	36462	6421776	-0.97
43	9826528	16224745	-0.7221
43	24748204	3062316	-0.9459
43	5288382	60700	-1.0676
43	5329102	3062316	-1.0447
43	387447	11520894	-0.8307
43	5329102	24748204	-1.034
43	216239	46926350	-1.1606
43	24748204	5288382	-0.9656
43	15953832	6857599	-0.7128
43	126941	11520894	-1.054
43	5311	9826528	-0.8726
43	5329102	5288382	-1.0658
43	5746	16224745	-0.8683
43	13342	11520894	-0.7863
43	5746	5311	-1.0111
43	5746	208908	-0.8208
43	3385	11960529	-0.7858
43	24964624	216239	-1.1855
43	3062316	46926350	-1.0611
43	24748204	60700	-1.054
43	9826528	5288382	-0.9046
43	176870	11960529	-0.7254
43	9826528	3062316	-0.9168
43	5746	176870	-0.7328
43	5329102	60700	-1.2582
43	24964624	6857599	-0.6464
43	387447	104842	-1.0268
43	5311	104842	-1.0662
43	5746	24964624	-0.8772
43	5311	11520894	-1.0771
