CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
163	6505803	9950176	-0.3605
163	24856436	11152667	-0.4792
163	24856436	25023738	-0.4193
163	24856436	3218	-0.259
163	24856436	16038120	-0.3354
163	24856436	1401	-0.5485
163	24856436	300471	-0.6564
163	24856436	159324	-0.9969
163	24856436	135418940	-0.3473
163	24856436	54708532	-0.4382
163	24856436	11630874	-0.5394
163	24856436	135440466	-0.7724
163	24856436	9933475	-0.8493
163	24856436	9926791	-1.0755
163	24856436	11524144	-0.6709
163	24856436	5113032	-0.8409
163	24856436	46233311	-0.3585
163	24856436	9934458	-0.3276
163	24856436	11617559	-0.4068
163	24856436	16219401	-0.3568
163	24856436	644213	-0.464
163	24856436	25021165	-0.5361
163	24856436	16736978	-0.5313
163	24856436	5278396	-0.4022
163	24856436	9950176	-0.2869
163	24856436	54676905	-0.526
163	24856436	9829523	-0.6791
163	24856436	10027278	-0.722
163	24856436	17754438	-1.2216
163	24856436	1361332	-0.5726
163	24856436	4829	-0.5797
163	24856436	42623900	-0.402
163	24856436	3025986	-0.6383
163	24856436	24995524	-0.4875
163	24856436	5312137	-0.9045
163	24856436	447912	-0.6031
163	24856436	56972185	-0.4077
163	24856436	23625762	-0.6135
163	24856436	104794	-0.5946
163	24856436	5730	-0.8331
163	387447	24856436	-1.836
163	387447	3062316	-2.4319
163	387447	451668	-2.6712
163	387447	2767	-1.8324
163	387447	176870	-1.9146
163	387447	6442177	-2.4552
163	387447	657237	-2.1368
163	387447	60750	-3.247
163	387447	208908	-2.2079
163	387447	216326	-2.1981
163	387447	216239	-2.0901
163	387447	5394	-1.9991
163	387447	11960529	-2.1328
163	387447	5311	-2.5041
163	387447	11152667	-1.7481
163	387447	11213558	-2.0835
163	387447	11626560	-1.9316
163	387447	135398510	-1.9913
163	387447	11178236	-2.3321
163	387447	25023738	-1.8458
163	387447	3218	-0.892
163	387447	16038120	-1.7819
163	387447	5330286	-2.0671
163	387447	1401	-1.9847
163	387447	300471	-1.9221
163	387447	159324	-2.3056
163	387447	135418940	-1.3886
163	387447	54708532	-1.9436
163	387447	11630874	-2.1436
163	387447	11234052	-1.9318
163	387447	135440466	-2.1888
163	387447	9933475	-2.2191
163	387447	11656518	-2.4786
163	387447	9926791	-2.5461
163	387447	24748573	-2.4783
163	387447	11683005	-2.5591
163	387447	11524144	-2.0515
163	387447	5113032	-2.2782
163	387447	46233311	-1.9344
163	387447	9934458	-1.8575
163	387447	11617559	-1.7883
163	387447	16219401	-1.8612
163	387447	644213	-1.8144
163	387447	3712	-2.4397
163	387447	521106	-2.0179
163	387447	25021165	-2.0517
163	387447	16736978	-1.9575
163	387447	5278396	-1.8062
163	387447	9950176	-1.7189
163	387447	54676905	-1.9244
163	387447	9829523	-1.958
163	387447	4493	-2.3131
163	387447	10027278	-2.0302
163	387447	17754438	-2.6506
163	387447	1361332	-2.0341
163	387447	4829	-1.9804
163	387447	24180719	-2.1762
163	387447	42623900	-1.8703
163	387447	3025986	-2.03
163	387447	24995524	-1.868
163	387447	16683013	-1.9187
163	387447	5312137	-2.2418
163	387447	447912	-2.1093
163	387447	6505803	-2.7762
163	387447	56972185	-1.8157
163	387447	23625762	-2.0247
163	387447	104794	-1.9088
163	387447	151194	-2.5772
163	387447	1893730	-2.331
163	387447	5730	-2.2498
163	387447	82146	-2.7136
163	3062316	24856436	-1.1225
163	3062316	216326	-1.1716
163	3062316	5394	-0.9677
163	3062316	11960529	-1.3149
163	3062316	5311	-1.589
163	3062316	11152667	-1.0393
163	3062316	11213558	-1.4583
163	3062316	11178236	-1.6641
163	3062316	25023738	-0.9168
163	3062316	3218	-0.8398
163	3062316	16038120	-0.9918
163	3062316	1401	-1.0903
163	3062316	300471	-1.1631
163	3062316	159324	-1.4847
163	3062316	135418940	-0.7773
163	3062316	54708532	-0.9749
163	3062316	11630874	-1.0458
163	3062316	11234052	-1.2613
163	3062316	135440466	-1.2675
163	3062316	9933475	-1.3218
163	3062316	11656518	-1.743
163	3062316	9926791	-1.6413
163	3062316	11524144	-1.1258
163	3062316	5113032	-1.3395
163	3062316	46233311	-1.0203
163	3062316	9934458	-0.8825
163	3062316	11617559	-0.961
163	3062316	16219401	-0.7742
163	3062316	644213	-0.9665
163	3062316	521106	-1.0694
163	3062316	25021165	-1.1051
163	3062316	16736978	-1.1138
163	3062316	5278396	-0.8959
163	3062316	9950176	-0.7905
163	3062316	54676905	-1.0553
163	3062316	9829523	-1.0912
163	3062316	4493	-1.3503
163	3062316	10027278	-1.2328
163	3062316	17754438	-1.679
163	3062316	1361332	-1.0634
163	3062316	4829	-1.0106
163	3062316	42623900	-0.9448
163	3062316	3025986	-1.0675
163	3062316	24995524	-0.9165
163	3062316	5312137	-1.3986
163	3062316	447912	-1.1877
163	3062316	56972185	-0.8644
163	3062316	23625762	-1.0927
163	3062316	104794	-1.0968
163	3062316	5730	-1.2348
163	451668	24856436	-1.215
163	451668	3062316	-1.6681
163	451668	176870	-1.1031
163	451668	216326	-1.2905
163	451668	5394	-1.1265
163	451668	11960529	-1.4829
163	451668	5311	-1.6895
163	451668	11152667	-1.1328
163	451668	11213558	-1.5928
163	451668	11178236	-1.66
163	451668	25023738	-1.0101
163	451668	3218	-0.8043
163	451668	16038120	-0.9325
163	451668	5330286	-1.3323
163	451668	1401	-1.1682
163	451668	300471	-1.0833
163	451668	159324	-1.2884
163	451668	135418940	-0.8684
163	451668	54708532	-1.1002
163	451668	11630874	-1.2844
163	451668	11234052	-1.2803
163	451668	135440466	-1.2206
163	451668	9933475	-1.2187
163	451668	11656518	-1.8384
163	451668	9926791	-1.7932
163	451668	11683005	-1.5164
163	451668	11524144	-1.1122
163	451668	5113032	-1.2899
163	451668	46233311	-1.0684
163	451668	9934458	-0.8933
163	451668	11617559	-1.0366
163	451668	16219401	-0.9844
163	451668	644213	-1.0403
163	451668	3712	-1.5361
163	451668	521106	-1.1406
163	451668	25021165	-1.1856
163	451668	16736978	-1.105
163	451668	5278396	-0.9167
163	451668	9950176	-1.0022
163	451668	54676905	-1.1022
163	451668	9829523	-1.2317
163	451668	4493	-1.5011
163	451668	10027278	-1.3251
163	451668	17754438	-1.9153
163	451668	1361332	-0.9476
163	451668	4829	-1.1981
163	451668	42623900	-0.8914
163	451668	3025986	-1.221
163	451668	24995524	-0.9695
163	451668	5312137	-1.5495
163	451668	447912	-1.3004
163	451668	6505803	-2.0394
163	451668	56972185	-1.0041
163	451668	23625762	-1.2138
163	451668	104794	-1.1153
163	451668	151194	-1.7663
163	451668	1893730	-1.3446
163	451668	5730	-1.3912
163	2767	24856436	-0.5843
163	2767	3062316	-0.8949
163	2767	451668	-1.0683
163	2767	176870	-0.3164
163	2767	6442177	-0.8379
163	2767	657237	-0.6248
163	2767	60750	-1.537
163	2767	208908	-0.3789
163	2767	216326	-0.4667
163	2767	216239	-0.4591
163	2767	5394	-0.3047
163	2767	11960529	-0.8146
163	2767	5311	-1.0142
163	2767	11152667	-0.4644
163	2767	11213558	-0.9356
163	2767	11626560	-0.3428
163	2767	135398510	-0.3425
163	2767	11178236	-0.8001
163	2767	25023738	-0.3438
163	2767	3218	-0.0615
163	2767	16038120	-0.1156
163	2767	5330286	-0.4408
163	2767	1401	-0.3998
163	2767	300471	-0.3321
163	2767	159324	-0.8164
163	2767	135418940	-0.359
163	2767	54708532	-0.2782
163	2767	11630874	-0.4912
163	2767	11234052	-0.7218
163	2767	135440466	-0.6708
163	2767	9933475	-0.6241
163	2767	11656518	-0.7445
163	2767	9926791	-1.0303
163	2767	24748573	-0.8655
163	2767	11683005	-0.8765
163	2767	11524144	-0.5764
163	2767	5113032	-0.593
163	2767	46233311	-0.3067
163	2767	9934458	-0.0464
163	2767	11617559	-0.0889
163	2767	16219401	-0.3518
163	2767	644213	-0.3011
163	2767	3712	-0.826
163	2767	521106	-0.5138
163	2767	25021165	-0.3879
163	2767	16736978	-0.3407
163	2767	5278396	-0.1309
163	2767	9950176	-0.1763
163	2767	54676905	-0.4001
163	2767	9829523	-0.4584
163	2767	4493	-0.7638
163	2767	10027278	-0.4264
163	2767	17754438	-1.085
163	2767	1361332	-0.9243
163	2767	4829	-0.5077
163	2767	24180719	-0.3653
163	2767	42623900	-0.3124
163	2767	3025986	-0.2846
