CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
45	208908	16224745	-1.258
45	208908	24964624	-1.2018
45	15953832	24964624	-1.2328
45	44424639	5288382	-0.2554
45	24964624	6857599	-0.6966
45	36462	46926350	-1.1766
45	24748204	176870	-0.8694
45	5311	24748204	-0.9835
45	38904	5311	-1.2325
45	59691338	208908	-1.0152
45	216453	24856436	-1.2735
45	24958200	16224745	-0.8893
45	15953832	6857599	-1.1862
45	126941	208908	-0.0324
45	126941	24748204	-0.0038
45	126941	5394	-0.008
45	126941	24964624	-0.0671
45	126941	216453	-0.0261
45	126941	176870	-0.0785
45	126941	216239	-0.0856
45	126941	11960529	0.0293
45	36314	3062316	-0.1003
45	13342	11960529	0.0701
45	126941	16224745	-0.0701
45	13342	208908	-0.0819
45	31703	216453	-0.0867
45	44424639	3062316	-0.0916
45	31703	5329102	-0.0605
45	31703	16224745	-0.0763
45	31703	216239	-0.0557
45	126941	5311	0.0011
45	31703	5311	-0.083
45	31703	5394	-0.0364
45	31703	3062316	-0.0816
45	31703	208908	-0.0788
45	126941	24958200	-0.0777
45	31703	24964624	-0.0695
45	126941	5329102	-0.0664
45	44424639	176870	-0.1212
45	5746	216239	0.022
45	31703	11960529	-0.0307
45	31703	24958200	-0.0377
45	31703	176870	-0.0661
45	31703	24748204	-0.0428
45	126941	5288382	-0.0873
45	31703	24856436	-0.1223
45	36314	208908	-0.0722
45	44424639	24964624	-0.081
45	31703	5288382	-0.1367
45	44424639	24748204	-0.0364
45	126941	3062316	-0.1126
45	44424639	5311	-0.1073
45	44424639	216239	-0.1609
45	126941	24856436	-0.0945
45	36314	24856436	-0.1587
45	36314	216239	-0.1491
45	44424639	208908	-0.0604
45	44424639	5394	-0.1282
45	44424639	5329102	-0.1978
45	36314	176870	-0.0759
45	387447	11960529	-0.0812
45	387447	3062316	-0.1487
45	13342	3062316	-0.0742
45	44424639	24856436	-0.1562
45	31703	6421776	-0.2363
45	44424639	16224745	-0.0943
45	36314	216453	-0.1796
45	44424639	11960529	-0.0586
45	13342	16224745	-0.1388
45	36314	24748204	-0.2002
45	36314	16224745	-0.1319
45	44424639	6421776	-0.2275
45	36314	24964624	-0.0879
45	36314	5329102	-0.2117
45	36462	216239	-0.2352
45	44424639	9826528	-0.1855
45	36314	5311	-0.1246
45	36314	11960529	-0.0373
45	36314	5394	-0.1563
45	387447	6857599	-0.1337
45	44424639	24958200	-0.1369
45	36314	6421776	-0.2415
45	13342	5394	-0.1477
45	36462	5329102	-0.2918
45	60700	216239	-0.2987
45	13342	5311	-0.1743
45	13342	24856436	-0.252
45	13342	24964624	-0.0392
45	36314	5288382	-0.2403
45	36462	11960529	-0.1846
45	36462	5394	-0.287
45	36314	24958200	-0.21
45	60750	208908	-0.239
45	60700	16224745	-0.3432
45	13342	5329102	-0.3014
45	387447	216239	-0.2491
45	60750	216239	-0.2858
45	13342	24958200	-0.2966
45	126941	6421776	-0.3147
45	44424639	46926350	-0.364
45	60750	3062316	-0.2646
45	5288382	6857599	-0.2811
45	5288382	216239	-0.3686
45	60750	5329102	-0.3969
45	387447	5288382	-0.3531
45	31703	9826528	-0.4407
45	387447	60700	-0.3941
45	13342	216239	-0.3249
45	13342	216453	-0.3259
45	13342	176870	-0.2032
45	387447	16224745	-0.2099
45	60750	24748204	-0.3678
45	13342	24748204	-0.1715
45	60750	5394	-0.3818
45	36314	9826528	-0.3328
45	24958200	216239	-0.3107
45	31703	46926350	-0.524
45	60750	5288382	-0.4924
45	5746	216453	-0.3142
45	60750	24958200	-0.3962
45	60750	176870	-0.2873
45	60750	11960529	-0.2101
45	5746	11960529	-0.3761
45	44424639	387447	-0.4698
45	60750	24964624	-0.3427
45	13342	5288382	-0.3503
45	36462	24958200	-0.4133
45	126941	9826528	-0.5217
45	60750	6421776	-0.5054
45	6421776	216239	-0.4515
45	31703	387447	-0.6035
45	5746	5394	-0.3865
45	5746	5329102	-0.4577
45	36314	46926350	-0.4555
45	5746	24958200	-0.4791
45	46926350	16224745	-0.2114
45	6421776	6857599	-0.4045
45	60750	24856436	-0.5148
45	5288382	16224745	-0.5304
45	36462	5311	-0.5058
45	24958200	6857599	-0.4296
45	6421776	16224745	-0.469
45	36462	16224745	-0.5534
45	5746	24748204	-0.4735
45	13342	6421776	-0.5411
45	24748204	216239	-0.3204
45	36462	176870	-0.4675
45	5746	5311	-0.5617
45	5746	24964624	-0.5005
45	5746	176870	-0.2698
45	60750	16224745	-0.6533
45	5746	16224745	-0.5805
45	36462	24748204	-0.5224
45	5746	208908	-0.5399
45	36314	387447	-0.595
45	60750	9826528	-0.5401
45	387447	6421776	-0.5559
45	5311	5394	-0.5364
45	5311	216239	-0.4665
45	44424639	11520894	-0.5933
45	36462	24964624	-0.5447
45	36462	208908	-0.4541
45	5746	3062316	-0.607
45	126941	46926350	-0.7594
45	36462	3062316	-0.576
45	31703	11520894	-0.7458
45	24958200	11960529	-0.3273
45	126941	387447	-0.7567
45	5746	5288382	-0.7756
45	5746	24856436	-0.7386
45	60750	46926350	-0.7035
45	5329102	5394	-0.5702
45	13342	9826528	-0.5372
45	60700	6421776	-0.7731
45	5329102	216239	-0.6017
45	36462	5288382	-0.8487
45	36314	11520894	-0.6877
45	126941	11520894	-0.8933
45	5288382	60700	-0.899
45	60750	387447	-0.8317
45	36462	24856436	-0.8641
45	24748204	6857599	-0.4226
45	387447	46926350	-0.7647
45	5746	6421776	-0.9031
45	24958200	176870	-0.7064
45	5311	6857599	-0.5483
45	24958200	3062316	-0.7615
45	13342	46926350	-0.7529
45	5329102	6857599	-0.6565
45	24958200	24964624	-0.8443
45	9826528	11960529	-0.5603
45	13342	387447	-0.8712
45	60750	11520894	-0.9126
45	5288382	6421776	-1.0068
45	36462	6421776	-0.9747
45	5746	9826528	-1.0357
45	5329102	11960529	-0.7758
45	24958200	5288382	-1.0833
45	5311	5329102	-0.8527
45	5311	11960529	-0.6162
45	60700	46926350	-1.0979
45	5311	24958200	-0.9801
45	9826528	16224745	-0.7743
45	24748204	11960529	-0.5673
45	9826528	6857599	-0.6876
45	24964624	216239	-0.8435
45	24958200	60700	-1.1408
45	208908	216239	-0.8606
45	6421776	46926350	-1.0641
45	38904	5394	-0.8147
45	13342	11520894	-0.9349
45	24748204	24958200	-1.0821
45	216453	5394	-0.9748
45	36462	9826528	-1.0618
45	5329102	24958200	-1.0155
45	9826528	216239	-0.9608
45	5746	46926350	-1.1603
45	387447	11520894	-0.9453
45	5746	387447	-1.202
45	5394	216239	-0.9433
45	36462	11520894	-1.0625
45	5746	11520894	-1.1109
45	36462	387447	-1.2158
45	5394	6857599	-0.9025
45	9826528	5288382	-1.0559
45	24958200	9826528	-1.0328
