CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
15	5799	3011155	-0.7473
15	3062316	452548	-1.0869
15	36462	3081361	-0.9852
15	57469	2723601	-0.9643
15	2723601	5799	-0.7382
15	6194	4212	-0.7315
15	6445540	237	-0.6446
15	5790	216326	-0.8369
15	3385	446556	-0.5788
15	5353562	4212	-0.7934
15	5284616	452548	-0.8129
15	11626560	36462	-0.7612
15	3011155	216326	-0.8583
15	451668	60700	-0.7788
15	11626560	452548	-0.7727
15	6442177	36462	-0.911
15	11626560	446556	-0.7808
15	6857599	4212	-0.8573
15	65628	36462	-0.9023
15	667490	446556	-0.7882
15	4842	6194	-0.9323
15	387447	36462	-0.8953
15	5799	38904	-0.985
15	3690	4212	-0.9492
15	387447	452548	-0.9155
15	2578	36462	-0.9699
15	446556	216326	-0.799
15	454216	4212	-0.9625
15	439693	4212	-0.9533
15	3902	4212	-0.9728
15	259331	4212	-0.9313
15	5360373	452548	-1.0042
15	5360373	36462	-0.9966
15	148121	452548	-0.9819
15	387447	2723601	-0.877
15	2733526	452548	-0.9836
15	439693	36462	-0.9509
15	446556	6450551	-0.9234
15	2187	4212	-0.9763
15	3062316	36462	-1.0399
15	9444	446556	-0.9901
15	444795	2723601	-0.9067
15	11683	36462	-1.0201
15	148121	36462	-0.9746
15	2141	3011155	-1.09
15	6445540	36462	-1.0659
15	29327	452548	-0.9963
15	29327	36462	-0.9792
15	2733526	36462	-0.9836
15	57469	36462	-0.9936
15	5329102	452548	-1.0438
15	454216	452548	-0.9871
15	4915	36462	-1.0735
15	5291	36462	-1.0339
15	454216	36462	-0.9953
15	259331	2723601	-0.957
15	208908	452548	-1.0863
15	2723601	42611257	-0.9487
15	68740	3011155	-0.9917
15	644241	36462	-1.0636
15	2187	452548	-1.0081
15	6445540	452548	-1.0623
15	2767	446556	-1.0022
15	2907	36462	-1.0262
15	60953	446556	-0.9701
15	3385	31703	-0.7942
15	4211	2723601	-1.0091
15	29327	446556	-1.0113
15	5426	2723601	-1.0551
15	2187	3011155	-1.0714
15	644241	452548	-1.0726
15	2907	2723601	-1.0333
15	5360373	6194	-1.0681
15	5394	36462	-1.0682
15	42611257	446556	-0.9777
15	2723601	5035	-0.9704
15	2123	36462	-1.0594
15	5284616	3081361	-1.0339
15	6442177	5035	-1.0472
15	6253	4212	-0.5766
15	5790	446556	-0.6154
15	3011155	2723601	-0.6036
15	104842	452548	-0.6419
15	2723601	4212	-0.6311
15	36462	4212	-0.6695
15	2708	4212	-0.6525
15	104842	3011155	-0.7098
15	451668	4212	-0.7341
15	5799	104842	-0.7653
15	657237	4212	-0.7141
15	20279	4212	-0.7579
15	2723601	9854073	-0.8616
15	6857599	3011155	-0.8133
