CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
16	104842	3385	-0.6028
16	20279	3385	-0.7936
16	5311	3385	-0.8416
16	6442177	3385	-0.7798
16	11626560	3385	-0.8657
16	2141	3385	-0.841
16	3385	5353562	-0.9328
16	176870	3385	-0.8769
16	3690	3385	-0.8917
16	454216	3385	-0.9196
16	3902	3385	-0.9201
16	3062316	3385	-0.8172
16	20279	457193	-0.8461
16	451668	5790	-0.8199
16	208908	3385	-0.9268
16	5394	3385	-0.8888
16	2187	3385	-0.9252
16	3385	24776445	-0.9687
16	454216	5978	-0.9737
16	6442177	6253	-0.9359
16	3385	25126798	-1.0204
16	4915	6253	-0.9481
16	644241	6253	-0.8879
16	216239	20279	-0.7952
16	5426	6253	-0.9861
16	4114	6253	-0.9773
16	2733526	6253	-0.9928
16	148124	20279	-0.9271
16	3011155	20279	-0.8698
16	68740	6253	-0.992
16	3062316	6253	-0.993
16	5426	454216	-1.0226
16	2733526	20279	-0.947
16	2187	6253	-0.9004
16	644241	20279	-0.9262
16	6445540	9854073	-0.9895
16	20279	3902	-0.9708
16	176870	20279	-0.9737
16	68740	20279	-0.9223
16	6253	216326	-0.973
16	6442177	5790	-0.9495
16	3902	4212	-1.0404
16	4114	5790	-0.9832
16	3690	5790	-0.9903
16	6253	5035	-1.0382
16	5790	2662	-0.9865
16	104842	2123	-1.0219
16	5799	3902	-1.0226
16	6857599	148121	-1.0287
16	6857599	31703	-1.084
16	2187	2478	-0.9199
16	6442177	24776445	-1.074
16	6445540	5790	-0.6817
16	148124	3385	-0.6034
16	119182	3385	-0.5549
16	5746	3385	-0.615
16	6445540	6253	-0.5838
16	5352062	3385	-0.7685
16	42611257	9854073	-0.8164
16	60700	3385	-0.7139
16	36314	6253	-0.6751
16	6253	5790	-0.7341
16	126941	9854073	-0.8925
16	6194	9854073	-0.7675
16	148124	4212	-0.712
16	451668	3385	-0.7485
16	137	3385	-0.747
16	657237	3385	-0.7207
16	5284616	3385	-0.8031
16	38904	3385	-0.8037
16	36314	20279	-0.6636
16	148124	42611257	-0.9425
16	451668	6253	-0.8314
16	2578	3385	-0.8572
16	5746	5352062	-0.8868
16	9444	454216	-0.8961
16	6253	44424639	-0.7842
16	446556	5799	-0.9437
16	259331	3385	-0.8378
16	57469	3385	-0.8472
16	6253	60198	-0.9105
16	148121	3385	-0.9109
16	4114	3385	-0.8508
16	657237	6253	-0.9526
16	2662	3385	-0.8747
16	5329102	6253	-0.8543
16	3011155	3385	-0.89
16	104741	3385	-0.8968
16	454216	457193	-0.9317
16	6253	6194	-0.8251
16	6253	457193	-0.8663
16	60953	3385	-0.912
16	6253	126941	-0.8262
16	3950	9854073	-0.8169
16	5790	11626560	-0.9145
16	68740	3385	-0.9031
16	126941	454216	-0.8714
16	104842	44424639	-0.786
16	20279	126941	-0.8096
16	237	20279	-0.8414
16	4915	3385	-0.872
16	2907	3385	-0.8441
16	6253	460612	-0.9051
16	3657	20279	-0.7409
16	11626560	9854073	-0.9588
16	5311	454216	-1.0214
16	60750	6253	-0.8265
16	5790	216326	-0.9938
16	104842	36462	-0.8183
16	5799	5790	-0.7966
16	2767	3385	-0.9413
16	5360373	6253	-0.9152
16	148121	454216	-0.9796
16	3385	132971	-0.9479
16	30323	42611257	-1.0001
16	6857599	60700	-0.8048
16	444795	3385	-0.961
16	2733526	3385	-0.955
16	2141	6253	-1.0462
16	5284616	446556	-0.9295
16	65628	6253	-0.937
16	5291	9854073	-1.0177
16	667490	5790	-0.9386
16	3385	10113978	-0.9858
16	104842	3950	-0.899
16	137	5790	-0.8713
16	2141	20279	-1.0297
16	5394	6253	-1.0188
16	176870	454216	-1.0615
16	5790	10113978	-1.0404
16	5329102	20279	-0.8282
16	5790	2123	-1.0715
16	454216	5291	-1.0795
16	57469	454216	-1.0157
16	31703	6253	-1.0104
16	2907	9854073	-0.9756
16	29327	6253	-0.8905
16	454216	444795	-1.01
16	5311	4212	-1.0154
16	2907	20279	-0.9909
16	6442177	71384	-0.9507
16	6253	5353562	-0.967
16	5329102	5790	-0.8738
16	5746	5329102	-0.9208
16	4211	6253	-0.9145
16	2094	20279	-0.9993
16	29327	5790	-0.9382
16	60953	6253	-0.9044
16	5746	3902	-0.9109
16	444795	6253	-1.0348
16	176870	4212	-1.0231
16	148121	4212	-0.9392
16	3062316	4212	-0.9584
16	6445540	4212	-1.0086
16	4212	11626560	-1.097
16	208908	5790	-0.9513
16	6253	10113978	-1.0253
16	5746	60953	-0.9195
16	104741	5790	-0.8405
16	3690	5746	-1.0756
16	5426	5790	-1.0078
16	5746	3062316	-0.9866
16	2141	5790	-1.0914
16	6253	3081361	-1.0673
16	60700	6194	-0.9156
16	3062316	5790	-1.0133
16	259331	20279	-1.0645
16	6253	2123	-1.0326
16	2733526	5790	-0.9705
16	259331	42611257	-0.9499
16	6857599	5329102	-1.0626
16	20279	2662	-0.9923
16	6857599	457193	-1.0214
16	57469	5746	-0.9833
16	104842	11683	-0.9914
16	5799	38904	-0.9523
16	104741	452548	-1.0415
16	60700	68740	-1.0667
16	6857599	5284616	-1.1224
16	11683	42611257	-1.1215
16	2767	104842	-1.0135
16	5799	60953	-0.996
16	4033	3011155	-0.9415
16	451668	60750	-0.9396
16	259331	452548	-1.1008
16	6857599	2094	-1.0276
16	5360373	6194	-1.1237
16	6857599	104741	-1.1039
16	6857599	3062316	-1.1288
16	451668	31703	-0.9665
16	6857599	13342	-1.1057
16	5394	6194	-1.0969
16	439693	4033	-1.0514
16	60953	6194	-1.1073
16	6194	132971	-1.0337
16	451668	11626560	-0.9274
16	259331	3950	-0.8407
16	657237	2662	-1.0171
16	5394	657237	-1.015
16	5329102	460612	-1.051
16	5284616	2123	-1.0381
16	65628	208908	-0.933
16	104741	6442177	-1.1098
16	68740	2733526	-0.9995
16	2907	2187	-0.903
16	259331	3690	-0.9774
16	3385	9854073	-0.6051
16	6253	3385	-0.6312
