CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
18	4211	9854073	-1.085
18	6445540	5426	-0.9784
18	38904	9854073	-0.8649
18	3950	9854073	-0.9151
18	667490	3385	-0.8205
18	387447	9444	-1.0005
18	439693	9854073	-0.9234
18	29327	9854073	-0.9707
18	2578	9854073	-1.0587
18	4212	42611257	-1.0741
18	5453	3385	-1.0138
18	176870	3385	-1.0266
18	3385	25126798	-0.9981
18	3385	10113978	-1.0247
18	2094	3385	-1.005
18	4212	132971	-1.1026
18	6445540	5790	-0.9374
18	5284616	11626560	-1.0063
18	4212	24776445	-1.1007
18	3385	132971	-1.0521
18	3385	5035	-1.0722
18	4211	3385	-1.1307
18	439693	5360373	-1.0982
18	5394	3385	-1.0707
18	237	446556	-0.9808
18	387447	446556	-0.9881
18	148124	104741	-1.2221
18	5352062	9854073	-0.7796
18	123631	9854073	-0.8601
18	3385	9854073	-0.839
18	2708	9854073	-0.8164
18	6442177	4212	-0.8746
18	44424639	9854073	-0.8397
18	4842	9854073	-0.8947
18	6442177	9854073	-0.8352
18	6857599	9854073	-0.912
18	148124	9854073	-0.8986
18	261004	6445540	-0.8404
18	126941	9854073	-0.9187
18	5284616	3385	-0.9069
18	11626560	9854073	-0.9732
18	36314	9854073	-0.9001
18	20279	9854073	-0.9537
18	451668	9854073	-0.9326
18	387447	6445540	-0.9597
18	65628	9854073	-1.0192
18	4915	9854073	-0.9699
18	454216	9854073	-1.0006
18	148121	9854073	-0.9725
18	9854073	6450551	-0.9813
18	2767	9854073	-1.0333
18	644241	9854073	-1.0067
18	6450551	9854073	-0.9663
18	216326	9854073	-0.8964
18	6445540	5453	-0.9045
18	6445540	444795	-0.9861
18	11683	9854073	-1.0103
18	6445540	6442177	-0.9078
18	3690	9854073	-1.023
18	4212	25126798	-1.0201
18	261004	3385	-0.9811
18	5978	3385	-0.9627
18	457193	9854073	-1.1288
18	6445540	68740	-0.9341
18	6445540	5978	-0.9698
18	2733526	9854073	-1.078
18	6445540	451668	-0.9876
18	6445540	38904	-0.9822
18	6445540	2141	-1.0101
18	4212	6450551	-1.0427
18	6445540	2094	-0.9801
18	3385	11626560	-1.0154
18	6445540	3657	-0.9858
18	5360373	5284616	-1.0108
18	3385	42611257	-1.0473
18	6445540	2187	-0.9659
18	5790	60198	-0.9547
18	3385	6450551	-1.0451
18	6445540	2662	-1.0209
18	2187	3385	-1.0287
18	6445540	104741	-0.9979
18	387447	3385	-1.0542
18	2733526	3385	-1.0283
18	454216	3385	-1.0465
18	30323	446556	-0.9046
18	5799	444795	-1.0229
18	2141	3385	-1.0794
18	4915	5360373	-1.0205
18	5746	119182	-0.8701
18	5291	4212	-1.1479
18	57469	3385	-1.0681
18	5360373	5978	-1.0346
18	6442177	6450551	-0.9188
18	5284616	5035	-1.0588
18	3902	2723601	-0.9723
18	5284616	24776445	-1.0177
18	6857599	446556	-0.8832
18	2907	3385	-1.1611
18	5746	208908	-0.9996
18	5360373	644241	-1.0193
18	6857599	148124	-0.9932
18	446556	25126798	-0.9334
18	3062316	446556	-1.1769
18	3690	6857599	-0.9057
18	6857599	2733526	-1.0746
18	6857599	65628	-1.0809
18	5329102	446556	-0.9716
18	2733526	446556	-0.9448
18	454216	446556	-0.9746
18	4211	3081361	-1.0326
18	644241	25126798	-0.9548
18	36314	2733526	-1.0549
18	3011155	446556	-1.0232
18	176870	31703	-0.9275
18	446556	24776445	-1.0212
18	5426	446556	-0.9596
18	4211	446556	-0.962
18	2578	446556	-1.0246
18	60953	446556	-1.0744
18	454216	10113978	-0.9265
18	36314	11683	-1.0774
18	176870	2141	-1.0349
18	176870	2478	-0.9785
18	644241	132971	-1.0636
18	4211	444795	-1.0418
18	2578	208908	-1.0335
18	36314	2662	-1.0648
18	60953	5353562	-0.9389
18	6445540	24776445	-1.1899
18	104741	5284616	-0.9814
18	2478	65628	-1.0099
18	2733526	2662	-1.0537
18	68740	60953	-1.0112
18	667490	9854073	-0.7501
18	4212	9854073	-0.8431
