CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
81	13342	16224745	-0.2518
81	208908	176870	-0.6447
81	31703	24964624	-0.4824
81	13342	5311	-0.2265
81	5311	24958200	-0.6989
81	176870	16224745	-1.0782
81	216239	16224745	-1.1732
81	24748204	176870	-1.0056
81	216453	24856436	-1.1742
81	24958200	16224745	-1.2198
81	387447	3062316	-0.2383
81	126941	387447	-1.323
81	15953832	9826528	-1.0512
81	4091	9826528	-0.9703
81	2907	5288382	-1.3672
81	2907	5394	-0.9827
81	24856436	11960529	0.0142
81	13342	24958200	-0.0682
81	60750	5329102	-0.1206
81	31703	5329102	-0.0412
81	31703	24958200	-0.1184
81	13342	11960529	0.037
81	60750	5288382	-0.2273
81	24856436	216239	-0.2551
81	31703	216453	-0.0999
81	36314	5329102	-0.1378
81	24856436	24958200	-0.0861
81	24964624	216239	-0.2222
81	60750	216239	-0.2228
81	13342	5329102	-0.0652
81	13342	3062316	-0.2207
81	31703	5394	-0.1377
81	24964624	6857599	-0.2145
81	36314	16224745	-0.2636
81	36314	216453	-0.1271
81	24856436	24748204	-0.1587
81	6421776	216239	-0.2825
81	60750	24964624	-0.4359
81	13342	216453	-0.2075
81	44424639	24958200	-0.2022
81	31703	24748204	-0.2152
81	31703	11960529	-0.1589
81	24856436	176870	-0.2407
81	36314	24958200	-0.1408
81	31703	216239	-0.151
81	60750	208908	-0.3526
81	60700	216239	-0.2916
81	13342	24748204	-0.158
81	5746	216239	-0.0382
81	13342	5394	0.1739
81	44424639	24748204	-0.2392
81	31703	16224745	-0.2908
81	44424639	3062316	-0.2489
81	24964624	11960529	-0.2051
81	44424639	24856436	-0.313
81	6421776	6857599	-0.3462
81	36314	24856436	-0.3236
81	36314	3062316	-0.224
81	46926350	16224745	-0.2039
81	31703	5311	-0.3324
81	24856436	6857599	-0.3015
81	387447	216239	-0.3244
81	36314	216239	-0.3185
81	36314	24748204	-0.2807
81	24856436	208908	-0.4999
81	60750	176870	-0.213
81	13342	216239	-0.319
81	31703	208908	-0.4148
81	44424639	16224745	-0.3895
81	60750	24748204	-0.1432
81	60750	3062316	-0.1272
81	5746	5394	-0.281
81	60750	11960529	-0.0306
81	31703	176870	-0.2639
81	6421776	16224745	-0.36
81	387447	5288382	-0.3349
81	24856436	16224745	-0.4823
81	13342	176870	-0.265
81	36314	5311	-0.3446
81	24856436	5288382	-0.5194
81	387447	16224745	-0.3171
81	36314	5394	-0.0959
81	36314	24964624	-0.5257
81	36314	176870	-0.2919
81	387447	6857599	-0.3902
81	5746	5329102	-0.3065
81	60750	5394	-0.0292
81	36462	5394	-0.1131
81	36462	216239	-0.3245
81	31703	3062316	-0.3797
81	13342	24964624	-0.4727
81	44424639	5329102	-0.2001
81	31703	24856436	-0.4468
81	44424639	24964624	-0.5511
81	387447	60700	-0.4251
81	44424639	5288382	-0.2649
81	60700	16224745	-0.3985
81	60750	24958200	-0.0898
81	36314	208908	-0.4458
81	5746	24958200	-0.3725
81	36314	11960529	-0.0981
81	44424639	216239	-0.374
81	44424639	176870	-0.3414
81	24964624	16224745	-0.4791
81	5746	11960529	-0.3558
81	44424639	208908	-0.5014
81	208908	216239	-0.4546
81	36314	5288382	-0.1797
81	13342	24856436	-0.2496
81	13342	208908	-0.4099
81	387447	11960529	-0.1621
81	24856436	60700	-0.6215
81	31703	5288382	-0.4211
81	24856436	24964624	-0.5741
81	44424639	5394	-0.1263
81	13342	5288382	-0.3259
81	5746	216453	-0.168
81	208908	11960529	-0.4179
81	44424639	5311	-0.3646
81	24964624	176870	-0.5427
81	5311	5394	-0.1077
81	208908	6857599	-0.4703
81	5311	216239	-0.4033
81	60750	6421776	-0.6039
81	44424639	11960529	-0.1557
81	208908	24958200	-0.464
81	60750	16224745	-0.4804
81	60750	24856436	-0.2573
81	24964624	3062316	-0.5581
81	387447	6421776	-0.6188
81	5746	5311	-0.5729
81	36314	6421776	-0.4771
81	5746	24748204	-0.4517
81	44424639	6421776	-0.6465
81	6857599	216239	-0.5347
81	5746	176870	-0.4041
81	5746	208908	-0.6577
81	44424639	9826528	-0.4753
81	24964624	5288382	-0.5447
81	36314	9826528	-0.4103
81	5746	24964624	-0.7403
81	5746	16224745	-0.5832
81	208908	16224745	-0.6281
81	5288382	216239	-0.5912
81	5746	3062316	-0.6272
81	208908	24748204	-0.6017
81	5288382	6857599	-0.5853
81	24856436	3062316	-0.3429
81	24964624	60700	-0.7845
81	60750	9826528	-0.5199
81	208908	24964624	-0.8655
81	36462	5329102	-0.4704
81	31703	6421776	-0.7922
81	13342	6421776	-0.7646
81	208908	3062316	-0.7415
81	5746	5288382	-0.6425
81	5311	6857599	-0.7079
81	31703	9826528	-0.7844
81	208908	5288382	-0.6627
81	176870	216239	-0.6033
81	36462	11960529	-0.4817
81	38904	5394	-0.5159
81	36314	46926350	-0.7831
81	36314	387447	-0.6785
81	5746	24856436	-0.7709
81	208908	60700	-0.8619
81	5288382	16224745	-0.6399
81	60700	6421776	-0.8955
81	36462	24958200	-0.5854
81	126941	5329102	-0.6149
81	24964624	9826528	-0.9176
81	24964624	6421776	-0.9949
81	15953832	4091	-0.3458
81	126941	24958200	-0.5926
81	24856436	6421776	-0.8979
81	387447	46926350	-0.8182
81	126941	5394	-0.4743
81	5311	5329102	-0.6077
81	60750	46926350	-0.8319
81	44424639	46926350	-0.8382
81	5329102	5394	-0.2647
81	11520894	5288382	-0.8208
81	11520894	60700	-0.9051
81	176870	6857599	-0.7732
81	126941	216453	-0.6382
81	11520894	216239	-0.7952
81	11520894	6857599	-0.7975
81	13342	9826528	-0.6106
81	5311	11960529	-0.586
81	60750	387447	-0.8498
81	44424639	387447	-0.7958
81	216453	5394	-0.4647
81	11520894	16224745	-0.7514
81	208908	6421776	-1.0502
81	5329102	216239	-0.8261
81	11520894	6421776	-1.0448
81	5746	6421776	-1.0293
81	126941	216239	-0.7735
81	126941	11960529	-0.5754
81	5288382	60700	-0.9055
81	208908	9826528	-0.9461
81	11520894	46926350	-0.9166
81	31703	387447	-1.0164
81	31703	46926350	-1.0906
81	36462	16224745	-0.9414
81	24964624	104842	-1.0736
81	15953832	5394	-0.3715
81	176870	11960529	-0.667
81	36462	176870	-0.8162
81	24964624	46926350	-1.1137
81	216453	216239	-0.8366
81	3385	5394	-0.5138
81	36462	5311	-0.895
81	24748204	216239	-0.8537
81	6421776	46926350	-1.0965
81	36462	208908	-0.9808
81	24964624	387447	-1.0794
81	126941	16224745	-0.8653
81	36314	11520894	-0.9478
81	36462	24964624	-1.101
81	36462	3062316	-0.8231
81	5746	9826528	-1.0133
81	24964624	11520894	-1.1555
81	208908	46926350	-1.1435
81	208908	387447	-1.085
81	60700	46926350	-1.1499
81	31703	11520894	-1.1186
81	6421776	104842	-1.1112
81	126941	5311	-0.8467
81	5288382	6421776	-1.0455
81	36462	24748204	-0.9165
81	44424639	11520894	-0.985
81	126941	24748204	-0.7175
81	216453	6857599	-0.9333
81	24748204	6857599	-0.9562
81	126941	208908	-1.0101
81	387447	11520894	-0.9986
81	208908	104842	-1.0995
81	3385	216239	-0.8848
81	126941	24964624	-1.1157
81	126941	3062316	-0.7581
81	6857599	16224745	-1.0703
81	208908	11520894	-1.1516
81	104842	216239	-0.9769
81	126941	176870	-0.8289
81	36462	5288382	-1.015
81	5311	176870	-0.957
81	5311	208908	-1.1383
81	13342	46926350	-1.0184
81	24856436	9826528	-0.7642
81	5311	16224745	-0.9976
81	387447	104842	-1.0356
81	5746	387447	-1.1661
81	216453	11960529	-0.7624
81	5746	46926350	-1.2359
81	13342	387447	-0.9954
81	60750	11520894	-1.0365
81	5311	24964624	-1.2212
81	126941	5288382	-0.9978
81	5311	3062316	-0.9907
81	11520894	104842	-0.9526
81	5746	11520894	-1.1791
81	126941	24856436	-0.8978
81	36462	9826528	-1.0268
81	216453	5329102	-0.8312
81	216453	24958200	-0.8295
81	5329102	6857599	-1.0221
81	24748204	11960529	-0.8086
81	3385	11960529	-0.8213
81	6857599	46926350	-1.2094
81	24748204	24958200	-0.8325
81	104842	16224745	-1.0539
81	5288382	104842	-1.1131
81	15953832	38904	-0.8966
81	5311	24748204	-0.994
81	5288382	46926350	-1.2396
81	3385	5329102	-0.8843
81	5311	5288382	-1.0961
81	3385	24958200	-0.8573
81	15953832	216239	-1.0856
81	24748204	16224745	-1.1114
81	216453	176870	-1.0736
81	36462	24856436	-1.1259
81	216453	208908	-1.218
81	216453	5311	-1.0948
81	216453	16224745	-1.068
81	3385	216453	-0.991
81	216453	36462	-1.0546
81	216453	24964624	-1.3329
81	24856436	46926350	-1.1653
81	176870	3062316	-1.0303
81	24856436	387447	-1.1515
81	36462	6421776	-1.2744
81	126941	6421776	-1.2669
81	36462	11520894	-1.2196
81	3062316	216239	-1.1106
81	24748204	24964624	-1.3227
81	38904	216239	-1.0419
81	216453	3062316	-1.0482
81	15953832	6857599	-1.057
81	3385	5311	-1.1103
81	36462	387447	-1.2405
81	3385	176870	-1.094
81	3062316	6857599	-1.1341
81	216453	24748204	-0.9434
81	3385	208908	-1.2418
81	36462	46926350	-1.257
81	216239	46926350	-1.2743
81	176870	5288382	-1.1918
81	5311	60700	-1.3877
81	3385	24964624	-1.3353
81	13342	11520894	-1.1792
81	216453	5288382	-1.2102
81	3385	16224745	-1.1556
81	5311	11520894	-1.2384
81	38904	11960529	-1.0734
81	3385	24748204	-1.0442
81	3385	3062316	-0.9862
81	5311	9826528	-1.0533
81	24748204	3062316	-0.9987
81	3062316	11960529	-0.916
81	5311	24856436	-1.186
81	5311	104842	-1.1717
81	5311	6421776	-1.4094
81	38904	216453	-1.0994
81	24748204	5288382	-1.2019
81	3385	5288382	-1.1795
81	104842	46926350	-1.216
81	5311	46926350	-1.2577
81	5311	387447	-1.3437
81	5311	60750	-1.2356
81	216453	60700	-1.3588
81	176870	60700	-1.418
81	3062316	16224745	-1.3041
81	176870	9826528	-1.0409
81	126941	9826528	-0.9982
81	38904	24958200	-1.0553
81	38904	24748204	-1.129
81	5329102	11960529	-0.9104
81	5329102	24958200	-0.8947
81	38904	24856436	-1.2168
81	216453	6421776	-1.4189
81	3385	24856436	-1.1204
81	38904	16224745	-1.345
81	24748204	60700	-1.383
81	38904	5329102	-1.0735
81	15953832	5743	-0.9229
81	38904	46926350	-1.3013
81	216453	9826528	-1.0303
81	3062316	5288382	-1.2557
81	15953832	2907	-0.9326
81	38904	11520894	-1.269
81	38904	176870	-1.1741
81	38904	208908	-1.3652
81	216453	44424639	-1.1813
81	176870	6421776	-1.4364
81	38904	5311	-1.2361
81	3385	9826528	-1.0062
81	38904	24964624	-1.3753
81	38904	3062316	-1.142
81	3385	6421776	-1.3574
81	38904	9826528	-1.0742
81	216453	104842	-1.1215
81	216453	46926350	-1.301
81	38904	5288382	-1.2495
