CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
164	107970	3025986	-0.1337
164	107970	10027278	-1.0205
164	24856436	11152667	-0.3314
164	24856436	25023738	-0.7809
164	24856436	3218	-0.6133
164	24856436	16038120	-0.344
164	24856436	1401	-0.5379
164	24856436	300471	-0.9184
164	24856436	159324	-0.6022
164	24856436	135418940	-0.5696
164	24856436	54708532	-0.397
164	24856436	11630874	-0.5684
164	24856436	135440466	-0.4914
164	24856436	9933475	-0.3607
164	24856436	9926791	-0.7686
164	24856436	11524144	-0.4508
164	24856436	5113032	-0.5884
164	24856436	46233311	-0.6335
164	24856436	9934458	-0.2961
164	24856436	11617559	-0.7529
164	24856436	16219401	-0.6
164	24856436	644213	-0.932
164	24856436	25021165	-0.4332
164	24856436	16736978	-0.846
164	24856436	5278396	-0.4933
164	24856436	9950176	-0.5104
164	24856436	54676905	-0.3569
164	24856436	9829523	-0.5683
164	24856436	10027278	-0.7122
164	24856436	17754438	-0.3952
164	24856436	1361332	-0.5222
164	24856436	4829	-0.6582
164	24856436	42623900	-0.6545
164	24856436	3025986	-0.1617
164	24856436	24995524	-0.3002
164	24856436	5312137	-0.4252
164	24856436	447912	-0.3877
164	24856436	56972185	-0.8133
164	24856436	23625762	-0.6933
164	24856436	104794	-0.3379
164	24856436	5730	-0.4286
164	387447	24856436	-1.3488
164	387447	3062316	-1.6013
164	387447	451668	-1.5654
164	387447	2767	-1.7895
164	387447	176870	-1.7473
164	387447	6442177	-2.1468
164	387447	657237	-1.9313
164	387447	60750	-1.6427
164	387447	208908	-2.2064
164	387447	216326	-2.1546
164	387447	216239	-2.008
164	387447	5394	-1.6881
164	387447	11960529	-1.7497
164	387447	5311	-1.8134
164	387447	11152667	-1.6087
164	387447	11213558	-1.9981
164	387447	11626560	-2.0473
164	387447	135398510	-1.6172
164	387447	11178236	-1.3734
164	387447	25023738	-1.9564
164	387447	3218	-0.9275
164	387447	16038120	-1.5893
164	387447	5330286	-1.7125
164	387447	1401	-1.9453
164	387447	300471	-1.9659
164	387447	159324	-1.7966
164	387447	135418940	-1.1259
164	387447	54708532	-1.7714
164	387447	11630874	-1.912
164	387447	11234052	-1.6931
164	387447	135440466	-1.6805
164	387447	9933475	-1.6805
164	387447	11656518	-1.4223
164	387447	9926791	-2.0494
164	387447	24748573	-2.0673
164	387447	11683005	-1.7519
164	387447	11524144	-1.6424
164	387447	5113032	-1.8646
164	387447	46233311	-1.9167
164	387447	9934458	-1.6493
164	387447	11617559	-1.8437
164	387447	16219401	-1.9538
164	387447	644213	-2.1992
164	387447	3712	-1.9817
164	387447	521106	-1.7099
164	387447	25021165	-1.8195
164	387447	16736978	-2.0773
164	387447	5278396	-1.6513
164	387447	9950176	-1.7463
164	387447	54676905	-1.7861
164	387447	9829523	-1.6468
164	387447	4493	-2.0594
164	387447	10027278	-1.8468
164	387447	17754438	-1.7179
164	387447	1361332	-1.9089
164	387447	4829	-1.8422
164	387447	24180719	-2.2809
164	387447	42623900	-1.7762
164	387447	3025986	-1.5912
164	387447	24995524	-1.5934
164	387447	16683013	-1.882
164	387447	5312137	-1.7671
164	387447	447912	-1.6486
164	387447	6505803	-1.5861
164	387447	56972185	-1.9785
164	387447	23625762	-1.9605
164	387447	104794	-1.6836
164	387447	151194	-1.9605
164	387447	1893730	-1.9948
164	387447	5730	-1.6884
164	387447	82146	-1.7701
164	3062316	24856436	-0.4316
164	3062316	216326	-1.2032
164	3062316	5394	-0.5462
164	3062316	11960529	-0.8237
164	3062316	5311	-0.965
164	3062316	11152667	-0.4408
164	3062316	11213558	-1.0352
164	3062316	11178236	-0.3818
164	3062316	25023738	-1.0463
164	3062316	3218	-0.9057
164	3062316	16038120	-0.672
164	3062316	1401	-0.7904
164	3062316	300471	-1.1794
164	3062316	159324	-0.8717
164	3062316	135418940	-0.7816
164	3062316	54708532	-0.7184
164	3062316	11630874	-0.9505
164	3062316	11234052	-0.7612
164	3062316	135440466	-0.7728
164	3062316	9933475	-0.6899
164	3062316	11656518	-0.7131
