CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
49	176870	5790	-1.0765
49	6253	3385	-0.6616
49	6445540	667490	-0.8543
49	387447	6253	-0.9003
49	6445540	31703	-0.8482
49	6445540	208908	-0.9841
49	6445540	148121	-0.8463
49	6445540	104741	-1.0176
49	6445540	2187	-0.9513
49	9854073	3081361	-1.1354
49	6445540	216239	-0.9815
49	6857599	36314	-1.1685
49	5746	30323	-0.9184
49	176870	5746	-1.018
49	2187	5799	-1.0557
49	148124	42611257	-1.1826
49	6445540	36314	-0.7112
49	5790	2708	-0.7084
49	6445540	237	-0.7617
49	6445540	9444	-0.8984
49	6445540	6857599	-0.8526
49	36314	9854073	-0.9235
49	6857599	3385	-0.7806
49	6445540	657237	-0.8234
49	13342	9854073	-0.8575
49	6445540	5978	-0.9479
49	6442177	3385	-0.8382
49	6445540	148124	-0.8626
49	6445540	3385	-0.8362
49	387447	454216	-0.8959
49	2662	3385	-0.8234
49	2094	3385	-0.8655
49	2478	3385	-0.8965
49	3385	3081361	-0.9489
49	148121	3385	-0.8975
49	6445540	38904	-0.9621
49	2187	3385	-0.8859
49	6445540	3062316	-0.927
49	9444	3385	-0.8517
49	3385	25126798	-0.9364
49	5329102	3385	-0.9086
49	208908	3385	-0.9236
49	29327	3385	-0.8596
49	3385	11683	-0.827
49	3011155	3385	-0.8304
49	6445540	68740	-0.8809
49	3385	5035	-0.9737
49	6445540	5329102	-0.896
49	6445540	644241	-0.9054
49	57469	3385	-0.9481
49	3385	11626560	-0.8376
49	6445540	6442177	-0.8835
49	6445540	2733526	-1.0328
49	9854073	11626560	-0.9698
49	6442177	9854073	-0.9886
49	6445540	2662	-0.9404
49	4842	6253	-0.8587
49	451668	6253	-0.8216
49	60700	454216	-0.7373
49	2578	9854073	-0.9083
49	5746	5035	-0.873
49	3657	6253	-0.8432
49	5790	10113978	-1.0166
49	6253	446556	-0.8023
49	119182	5035	-0.8986
49	119182	132971	-0.8825
49	6445540	5394	-1.0122
49	104741	9854073	-0.9904
49	119182	6450551	-0.896
49	5291	9854073	-1.0903
49	208908	5790	-1.0537
49	444795	9854073	-1.212
49	119182	10113978	-0.9537
49	3690	6253	-0.9495
49	460612	5799	-0.9231
49	6253	2662	-0.9793
49	44424639	24776445	-1.0981
49	6445540	446556	-0.9737
49	5746	6194	-0.8229
49	3062316	6253	-0.9704
49	5799	6442177	-0.9241
49	5746	5978	-0.9724
49	68740	6253	-0.957
49	439693	446556	-0.9855
49	5746	11626560	-0.8678
49	2123	446556	-0.9295
49	44424639	3081361	-1.1788
49	137	4212	-0.9538
49	657237	36462	-0.801
49	667490	126941	-1.0593
49	2578	36314	-1.1873
49	5746	5284616	-1.0206
49	5746	460612	-0.8765
49	123631	5799	-0.9713
49	60700	2733526	-1.1134
49	176870	446556	-1.0049
49	451668	5360373	-0.8224
49	5746	4211	-1.0582
49	5746	24776445	-0.8759
49	2478	104842	-0.9482
49	5978	6194	-0.9877
49	667490	3950	-0.8314
49	2578	4212	-0.9011
49	3690	4212	-1.0272
49	60700	5394	-1.0278
49	439693	36314	-1.1603
49	5746	2662	-0.9339
49	6857599	137	-0.9232
49	13342	5799	-1.0193
49	4842	5311	-0.8641
49	4842	3902	-0.8716
49	4033	452548	-1.0085
49	667490	4211	-1.0267
49	4033	5329102	-0.9013
49	148124	38904	-0.8628
49	137	71384	-0.9397
49	2578	451668	-1.0387
49	5426	5453	-0.9648
49	104842	2123	-1.0271
49	6194	71384	-0.9222
49	460612	11626560	-0.9916
49	2578	6442177	-0.9436
49	457193	123631	-1.1793
49	3902	3950	-0.9972
49	3690	3081361	-1.03
49	148121	3011155	-1.4261
49	104741	444795	-1.0869
49	119182	3385	-0.4892
49	36314	3385	-0.616
49	3385	44424639	-0.6037
49	5352062	3385	-0.7168
49	5790	446556	-0.5913
49	5746	3385	-0.605
49	6445540	6253	-0.6851
49	5790	44424639	-0.709
49	119182	9854073	-0.6658
49	5790	60198	-0.7605
49	6445540	163659	-0.8179
49	6445540	20279	-0.729
49	657237	3385	-0.6029
49	3385	5799	-0.7186
49	5978	3385	-0.734
49	6445540	5799	-0.8
49	5352062	9854073	-0.7745
49	6253	5790	-0.6416
49	3385	452548	-0.6583
49	667490	3385	-0.6809
49	446556	9854073	-0.8193
49	6445540	5746	-0.7292
49	104842	3385	-0.723
49	6445540	60750	-0.8062
49	44424639	9854073	-0.9608
49	5453	3385	-0.6995
49	6445540	119182	-0.8398
49	6445540	126941	-0.8029
49	4033	3385	-0.8126
49	216239	3385	-0.8116
49	137	3385	-0.7783
49	38904	3385	-0.7721
49	5360373	3385	-0.8262
49	4842	3385	-0.7799
49	60700	3385	-0.8098
49	5790	6194	-0.7883
49	163659	6253	-0.8707
49	20279	6253	-0.8094
49	454216	6253	-0.7844
49	5352062	60198	-0.8417
49	65628	3385	-0.8462
49	5799	454216	-0.9249
49	237	5790	-0.8101
49	5799	6253	-0.7293
49	6445540	5284616	-0.9181
49	4915	3385	-0.8842
49	60953	3385	-0.8344
49	657237	9854073	-0.9317
49	5746	5790	-0.8159
49	104741	3385	-0.8993
49	3062316	3385	-0.8933
49	3385	31703	-0.9187
49	60750	6253	-0.6394
49	5790	71384	-0.8937
49	2767	5790	-0.7282
49	2907	3385	-0.8724
49	454216	3385	-0.8606
49	3385	3950	-0.787
49	3385	5353562	-0.795
49	119182	5790	-0.7369
49	2578	3385	-0.899
49	667490	9854073	-0.6093
49	5790	132971	-0.9259
49	5790	123631	-0.9546
49	104842	5790	-0.8422
49	259331	3385	-0.8876
49	5790	24776445	-0.966
49	20279	3385	-0.7638
49	451668	5790	-0.7092
49	452548	5799	-0.8168
49	68740	3385	-0.8782
49	216239	9854073	-1.0212
49	5799	20279	-0.7702
49	5790	5353562	-0.8854
49	6445540	3902	-0.9082
49	6445540	60953	-0.9812
49	60750	5790	-0.7468
49	36314	6253	-0.7339
49	439693	3385	-0.8711
49	6445540	439693	-0.9458
49	104842	9854073	-0.7939
49	9444	5790	-0.856
49	2141	3385	-0.9317
49	5746	5352062	-0.9213
49	5291	3385	-0.9526
49	4211	3385	-0.8996
49	667490	5790	-0.8946
49	3690	3385	-0.8872
49	6445540	5311	-0.8694
49	5746	6253	-0.8736
49	387447	3385	-0.8919
49	5426	3385	-0.8897
49	6445540	13342	-1.0028
49	4114	3385	-0.8872
49	176870	6445540	-1.0581
49	6445540	444795	-1.0612
49	176870	3385	-0.9627
49	6857599	5790	-0.9944
49	5746	446556	-0.7397
