CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
87	2733526	36462	-0.965
87	3062316	6194	-1.0759
87	148121	452548	-0.6585
87	148124	36462	-0.7974
87	6857599	4212	-0.8006
87	2767	6857599	-0.8578
87	387447	4212	-0.9537
87	3011155	6194	-1.0791
87	451668	6194	-0.9441
87	119182	6450551	-0.8656
87	6857599	446556	-0.7309
87	5311	446556	-0.8332
87	2767	5311	-1.0302
87	387447	452548	-0.9564
87	5284616	446556	-0.8894
87	11626560	452548	-0.9273
87	387447	36462	-0.9678
87	11626560	36462	-0.9175
87	5284616	126941	-0.9274
87	29327	36462	-0.9197
87	3385	31703	-0.7802
87	2187	4212	-0.9505
87	176870	452548	-0.9838
87	454216	36462	-0.9377
87	2767	5284616	-1.0474
87	29327	452548	-0.916
87	68740	446556	-0.8411
87	2733526	452548	-0.9646
87	4915	36462	-0.9997
87	5360373	452548	-1.0051
87	259331	446556	-0.8462
87	60953	4212	-0.9962
87	5360373	36462	-0.9889
87	3062316	36462	-0.988
87	2141	126941	-0.9994
87	5329102	452548	-1.0185
87	2141	20279	-0.9992
87	29327	446556	-0.8267
87	60953	126941	-0.9717
87	60198	5799	-0.959
87	439693	446556	-0.8955
87	439693	36462	-0.9444
87	2578	36462	-1.0464
87	6445540	452548	-1.0472
87	2767	2907	-1.0308
87	5329102	36462	-1.0084
87	2767	446556	-0.9352
87	3690	446556	-0.9194
87	119182	3081361	-0.9729
87	57469	36462	-1.0557
87	454216	446556	-0.8631
87	119182	42611257	-1.0235
87	2767	3690	-1.0863
87	119182	5035	-0.9889
87	3902	446556	-0.8845
87	5291	36462	-1.076
87	5394	452548	-1.0928
87	2767	137	-1.025
87	208908	36462	-1.0718
87	644241	36462	-1.0925
87	5394	36462	-1.0896
87	42611257	36462	-1.0978
87	5291	452548	-1.0816
87	5360373	6194	-1.0902
87	644241	452548	-1.0983
87	4915	452548	-0.993
87	208908	452548	-1.0916
87	6442177	6194	-1.1413
87	5790	6450551	-1.0587
87	2123	6194	-1.028
87	6194	11683	-1.088
87	3011155	216326	-1.1829
87	5790	25126798	-1.1422
87	439693	68740	-0.9471
87	2708	4212	-0.8041
87	104842	452548	-0.7637
87	2767	126941	-0.6905
87	36314	36462	-0.6601
87	444795	36462	-0.6522
87	38904	4212	-0.6907
87	2767	454216	-0.8133
87	261004	36314	-0.6316
87	148121	446556	-0.6028
87	5352062	452548	-0.7275
87	38904	452548	-0.7403
87	444795	4212	-0.6427
87	38904	36462	-0.7419
87	60700	5799	-0.7998
87	2767	38904	-0.9026
87	60700	36462	-0.8142
87	20279	4212	-0.8201
87	451668	36462	-0.8253
87	148121	36462	-0.6682
87	6857599	452548	-0.8224
87	2767	6253	-0.9275
87	60750	126941	-0.7271
87	2767	148124	-0.8915
87	5311	452548	-0.9077
87	454216	104842	-0.7355
87	5284616	36462	-0.9425
87	261004	6253	-0.9364
87	2767	2478	-0.8858
87	20279	36462	-0.8751
87	2767	5978	-0.9061
87	261004	148124	-0.8207
87	261004	444795	-0.8937
87	3011155	446556	-0.9489
87	657237	446556	-0.7529
87	2767	119182	-0.8771
87	20279	446556	-0.8126
87	454216	4212	-0.8968
87	216239	452548	-0.9223
87	5284616	452548	-0.9405
87	29327	4212	-0.9
87	119182	11626560	-0.8721
87	5790	2723601	-0.8357
87	36462	31703	-0.9075
87	5311	36462	-0.9068
87	6857599	36462	-0.8457
87	9444	446556	-0.8102
87	4114	20279	-0.9871
87	29327	20279	-0.9523
87	259331	452548	-0.9307
87	119182	24776445	-0.9237
87	65628	452548	-0.9723
87	2662	36462	-0.9641
87	6442177	446556	-0.9338
87	5790	3950	-0.8957
87	65628	36462	-0.9771
87	2767	5360373	-1.0947
87	3385	5353562	-0.8933
87	3062316	452548	-1.0114
87	439693	452548	-0.9374
87	3902	4212	-0.9537
87	2767	65628	-0.9474
87	6442177	36462	-1.0511
87	3062316	446556	-0.8808
87	2141	36462	-1.0441
87	137	20279	-1.0557
87	2662	452548	-0.9788
87	259331	4212	-0.897
87	439693	5799	-1.0453
