CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
50	2187	6253	-1.0565
50	6445540	5746	-0.831
50	13342	5360373	-0.9354
50	65628	5360373	-0.9314
50	4211	6253	-1.0344
50	6445540	451668	-1.0042
50	644241	4212	-1.08
50	6445540	68740	-0.9905
50	4915	9854073	-0.8897
50	148121	119182	-1.0623
50	148121	5790	-1.0235
50	259331	36314	-1.2457
50	5360373	6253	-0.7053
50	5746	6253	-0.8213
50	5360373	657237	-0.8375
50	5360373	4212	-0.9105
50	4033	5360373	-0.8728
50	6857599	5360373	-0.9731
50	6445540	20279	-0.9054
50	5746	5352062	-0.9836
50	5360373	3657	-0.8475
50	104842	9854073	-0.9288
50	5360373	2662	-0.8911
50	38904	6253	-0.9446
50	5746	446556	-0.9083
50	2708	9854073	-0.8762
50	4212	44424639	-0.9732
50	6253	3902	-1.0658
50	6445540	237	-0.9256
50	208908	6253	-0.9707
50	13342	9854073	-0.9373
50	6445540	3011155	-0.9217
50	6445540	6442177	-0.9401
50	6445540	3902	-0.8996
50	2478	6253	-1.0185
50	6857599	4212	-1.0342
50	6445540	657237	-0.97
50	6445540	5426	-0.9923
50	6445540	2141	-0.9579
50	6445540	5291	-0.9842
50	6445540	3062316	-0.9783
50	6445540	148121	-0.9877
50	6445540	2578	-1.0124
50	6445540	439693	-0.9608
50	5746	2478	-1.0285
50	6445540	2907	-0.9985
50	6445540	444795	-0.9802
50	6445540	5978	-0.976
50	6445540	29327	-1.0066
50	6445540	60953	-0.9405
50	6445540	104741	-0.9929
50	5311	9854073	-0.9874
50	11683	4212	-1.087
50	6445540	3657	-0.9822
50	6445540	57469	-1.0295
50	104741	4212	-1.0471
50	20279	9854073	-0.9727
50	4033	9854073	-0.9277
50	2733526	4212	-1.1351
50	5978	9854073	-0.8958
50	2662	9854073	-1.0745
50	3657	9854073	-0.9787
50	57469	9854073	-1.0191
50	259331	6253	-1.026
50	24776445	9854073	-1.1264
50	3690	9854073	-0.9417
50	2187	454216	-1.1299
50	2578	9854073	-1.071
50	2723601	460612	-1.0484
50	667490	2123	-0.855
50	2767	9854073	-0.985
50	3902	2723601	-1.0267
50	3011155	2723601	-1.0951
50	57469	2723601	-1.0479
50	2578	2723601	-1.0635
50	2708	6450551	-0.9574
50	259331	104842	-1.3074
50	6442177	10113978	-0.9967
50	148121	148124	-1.0163
50	5426	4033	-0.9587
50	439693	6857599	-1.0259
50	259331	148124	-1.3173
50	71384	5035	-0.9579
50	3011155	104741	-0.9852
