CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
23	444795	3385	-0.9131
23	36314	42611257	-0.9144
23	6442177	3385	-0.8932
23	148121	3385	-0.8565
23	3062316	3385	-0.9172
23	6445540	9854073	-1.0065
23	4915	3385	-1.002
23	208908	3385	-0.9992
23	29327	36314	-1.0057
23	9854073	25126798	-1.1727
23	3011155	446556	-0.9491
23	148124	123631	-1.0671
23	11683	446556	-0.9422
23	2767	446556	-1.0241
23	2094	446556	-1.0411
23	60953	446556	-1.0237
23	5394	446556	-1.0618
23	2578	2907	-1.3644
23	5311	208908	-0.8442
23	208908	16224745	-1.1759
23	59691338	208908	-1.3096
23	4091	176870	-1.1515
23	42611257	9854073	-0.7988
23	6253	9854073	-0.7966
23	42611257	3385	-0.7418
23	9854073	42611257	-0.8202
23	387447	36314	-0.9314
23	13342	3385	-0.8284
23	104842	9854073	-0.8574
23	104842	3385	-0.8652
23	3385	5799	-0.7994
23	4842	3385	-0.8914
23	38904	3385	-0.9527
23	460612	3385	-0.9507
23	20279	3385	-0.9321
23	5329102	9854073	-0.9615
23	4114	3385	-0.9561
23	9444	3385	-0.9675
23	60750	9854073	-0.9827
23	5978	446556	-0.8747
23	5329102	3385	-0.9545
23	4212	446556	-0.8709
23	2767	3385	-1.0004
23	3011155	3385	-0.9769
23	9854073	3081361	-1.1096
23	5291	3385	-0.9867
23	148124	42611257	-1.0351
23	3385	3950	-1.0031
23	3385	24776445	-0.9836
23	104842	446556	-0.9525
23	5790	132971	-0.9328
23	4842	446556	-0.9062
23	460612	446556	-0.9661
23	4915	126941	-0.9852
23	36314	11626560	-1.0955
23	6442177	446556	-0.9504
23	5799	148124	-0.7516
23	446556	31703	-0.9245
23	2907	446556	-0.9143
23	176870	126941	-1.0737
23	38904	446556	-0.9299
23	261004	446556	-1.0696
23	2662	446556	-1.0277
23	259331	446556	-0.9814
23	126941	5353562	-1.0366
23	439693	446556	-0.9975
23	2723601	3950	-1.1324
23	657237	446556	-0.9948
23	176870	446556	-1.0411
23	2187	446556	-1.0228
23	5353562	446556	-0.9108
23	387447	5360373	-1.1424
23	4211	446556	-1.025
23	446556	10113978	-1.0203
23	2578	446556	-1.0206
23	126941	25126798	-0.9446
23	176870	42611257	-1.0933
23	2723601	2123	-1.2302
23	3062316	71384	-1.0309
23	60700	5360373	-1.0507
23	6442177	2708	-1.0119
23	9444	71384	-1.0115
23	5291	457193	-0.9305
23	9444	444795	-1.0349
23	60700	4915	-0.727
23	6442177	11626560	-1.0017
23	3657	5353562	-0.9555
23	2141	3062316	-0.9698
23	2578	3062316	-1.0243
23	13342	2733526	-1.1337
23	29327	5360373	-0.981
23	3902	216326	-1.0256
23	4915	137	-0.9614
23	5426	2094	-0.9924
23	2662	3081361	-1.0705
23	2094	4211	-1.0041
23	2141	4114	-1.2593
23	5453	2662	-1.0171
23	2578	29327	-1.5451
23	20279	5035	-1.0032
23	208908	60953	-0.9989
23	208908	5353562	-1.0478
23	5746	176870	-0.4643
23	15953832	16224745	-1.0486
23	208908	176870	-0.9916
23	24958200	176870	-1.2429
23	4091	16224745	-1.2465
23	59691338	5311	-1.4452
23	6445540	5746	-0.7804
23	5790	3385	-0.7001
23	36314	3385	-0.6971
23	237	9854073	-0.7757
23	446556	9854073	-0.8714
23	2723601	3385	-0.6706
23	3385	42611257	-0.7569
23	6445540	104842	-0.8968
23	5978	3385	-0.8418
23	148124	9854073	-0.8219
23	36314	446556	-0.7167
23	163659	36314	-0.7552
23	119182	3385	-0.8356
23	5284616	3385	-0.7968
23	36314	2723601	-0.774
23	5746	3385	-0.8216
23	4033	9854073	-0.858
23	216239	3385	-0.852
23	36314	457193	-0.5917
23	387447	126941	-0.8457
23	5790	44424639	-0.8648
23	5790	2723601	-0.8642
23	5352062	42611257	-0.885
23	5352062	446556	-0.8498
23	216239	9854073	-0.9926
23	6445540	2662	-0.9862
23	3657	9854073	-0.856
23	667490	3385	-0.8407
23	3062316	9854073	-0.9829
23	4033	3385	-0.9089
23	2723601	44424639	-0.8522
23	5311	3385	-0.9085
23	57469	9854073	-0.9806
23	126941	446556	-0.7881
23	11626560	9854073	-0.9435
23	5453	3385	-0.9358
23	42611257	446556	-0.7843
23	11626560	3385	-0.967
23	36314	20279	-0.742
23	3902	9854073	-0.9678
23	4842	36314	-0.8588
23	9854073	11626560	-1.03
23	5426	9854073	-0.9512
23	3011155	9854073	-0.9947
23	2478	3385	-0.9592
23	667490	126941	-1.0198
23	387447	3385	-0.9632
23	457193	3385	-0.9551
23	3385	6450551	-0.9698
23	148124	60198	-0.9188
23	261004	3385	-1
23	5311	9854073	-0.9876
23	5284616	446556	-0.8552
23	5426	3385	-0.9651
23	9444	9854073	-1.2699
23	36314	38904	-0.7079
23	667490	36314	-0.8973
23	65628	3385	-1.002
23	137	9854073	-0.8158
23	176870	3385	-0.9783
23	237	5352062	-0.9068
23	2094	3385	-0.9324
23	3385	10113978	-0.9859
23	60953	3385	-0.9902
23	237	446556	-0.9468
23	5978	126941	-0.9871
23	2578	9854073	-1.0029
23	216239	42611257	-0.928
23	137	3385	-0.9101
23	71384	446556	-0.8894
23	5790	2708	-0.9063
23	4211	9854073	-1.0796
23	2767	5352062	-0.9477
23	454216	3385	-1.0233
23	4114	36314	-1.0448
23	6253	446556	-0.8447
23	644241	3385	-1.0074
23	126941	4212	-0.9149
23	5746	446556	-0.8707
23	216239	446556	-0.9137
23	3385	11626560	-0.9427
23	446556	5799	-0.7551
23	42611257	123631	-0.9882
23	30323	446556	-0.8812
23	387447	163659	-0.9793
23	6194	446556	-0.8591
23	439693	3385	-0.9981
23	5394	3385	-1.011
23	9854073	24776445	-1.1504
23	2141	3385	-0.9757
23	137	36314	-0.9222
23	5746	60198	-0.9554
23	104842	42611257	-0.9564
23	126941	452548	-0.9169
23	9854073	6450551	-1.1771
23	2907	36314	-0.9194
23	457193	9854073	-0.967
23	36314	644241	-0.8754
23	667490	446556	-0.8842
23	60700	42611257	-0.9657
23	36462	446556	-0.9437
23	5360373	36314	-0.7577
23	5790	24776445	-0.9319
23	444795	446556	-0.9846
23	4033	42611257	-0.9772
23	176870	36314	-1.0034
23	29327	126941	-0.9342
23	3950	446556	-0.8401
23	163659	6253	-0.9682
23	126941	5360373	-1.0542
23	57469	126941	-0.9512
23	5790	460612	-1.0141
23	60700	446556	-0.9403
23	2767	237	-0.7915
23	2478	126941	-1.0814
23	6857599	60700	-0.9126
23	3062316	36314	-0.5216
23	126941	460612	-1.0021
23	36314	5291	-0.8816
23	36314	3081361	-1.174
23	137	446556	-0.9783
23	2723601	452548	-1.0631
23	667490	42611257	-0.854
23	5790	5353562	-1.0026
23	2767	148124	-0.8229
23	444795	42611257	-1.0193
23	2094	126941	-1.0998
23	451668	60198	-0.9656
23	65628	446556	-0.9639
23	2723601	36462	-1.1397
23	11626560	446556	-0.9871
23	5790	5035	-0.9313
23	11626560	42611257	-1.0096
23	439693	126941	-1.1003
23	5790	10113978	-0.9706
23	446556	11626560	-0.9808
23	126941	3081361	-0.8927
23	6445540	446556	-0.9853
23	132971	42611257	-1.0133
23	104741	446556	-0.9917
23	3062316	5352062	-0.9807
23	446556	3081361	-0.9788
23	451668	42611257	-0.9259
23	6857599	5746	-0.5633
23	457193	446556	-1.0042
23	2141	446556	-1.0332
23	36314	5035	-1.1293
23	71384	4212	-0.9046
23	9854073	5035	-1.0817
23	5360373	446556	-0.9747
23	5329102	446556	-0.9986
23	2767	6253	-0.8549
23	42611257	132971	-1.0715
23	387447	446556	-1.0327
23	2141	42611257	-0.7293
23	5291	42611257	-1.0122
23	2708	4212	-0.957
23	446556	6450551	-0.993
23	42611257	3081361	-1.0499
23	6857599	667490	-0.9117
23	5790	11683	-1.0255
23	4211	5352062	-0.9796
23	2767	60700	-0.9723
23	2723601	11626560	-1.0562
23	5352062	13342	-0.9743
23	446556	132971	-0.9852
23	68740	446556	-1.0311
23	3902	446556	-1.038
23	4114	446556	-0.9679
23	9444	446556	-1.0095
23	4211	42611257	-1.111
23	4212	123631	-1.0519
23	60700	4212	-0.9953
23	261004	4114	-0.9023
23	13342	460612	-1.0136
23	3081361	42611257	-1.0761
23	644241	446556	-1.0646
23	2767	667490	-0.8253
23	454216	3062316	-1.0218
23	387447	3657	-1.0946
23	60700	457193	-1.0509
23	454216	446556	-1
23	387447	439693	-1.0856
23	5352062	3902	-0.9216
23	104741	42611257	-1.0812
23	446556	25126798	-0.961
23	36314	3011155	-0.5305
23	261004	2662	-1.0545
23	5284616	454216	-1.0452
23	5394	42611257	-1.064
23	44424639	6450551	-1.2249
23	2907	2723601	-1.0028
23	5311	454216	-1.1512
23	5291	446556	-1.0495
23	452548	36462	-0.9653
23	148124	3081361	-1.0518
23	126941	10113978	-0.9465
23	3690	446556	-1.0178
23	9444	44424639	-1.0235
23	163659	208908	-0.9901
23	10113978	42611257	-1.0981
23	2708	6194	-0.6717
23	451668	148124	-0.8675
23	208908	42611257	-1.1478
23	237	3950	-1.0266
23	4211	44424639	-1.1233
23	60953	42611257	-1.0654
23	148124	11626560	-1.0956
23	57469	446556	-1.0269
23	126941	6450551	-0.9077
23	44424639	3081361	-1.25
23	2094	2723601	-1.0617
23	29327	446556	-1.0109
23	148124	132971	-1.1551
23	44424639	10113978	-1.1953
23	2733526	60198	-1.0351
23	13342	163659	-1.2761
23	148124	5284616	-0.8828
23	387447	5329102	-0.9543
23	4211	2723601	-1.1226
23	30323	36462	-1.0056
23	148124	11683	-1.2052
23	60198	10113978	-0.9912
23	208908	446556	-1.0292
23	667490	3062316	-0.748
23	20279	5790	-0.8882
23	3690	163659	-0.9962
23	4842	123631	-0.9955
23	11683	42611257	-1.0354
23	2723601	11683	-1.2174
23	6857599	2733526	-0.9152
23	667490	123631	-0.9197
23	444795	457193	-0.9065
23	2723601	5353562	-1.1724
23	451668	6194	-0.9675
23	4212	24776445	-1.1328
23	148124	644241	-0.8816
23	148124	10113978	-1.1313
23	5311	71384	-0.9686
23	451668	5790	-0.8868
23	148124	5291	-1.0229
23	5311	5790	-0.9688
23	2662	4212	-1.0802
23	2187	42611257	-1.0651
23	208908	6253	-0.9663
23	148124	25126798	-1.0887
23	6857599	119182	-1.05
23	3657	5790	-0.9175
23	451668	2708	-0.9645
23	451668	452548	-0.9842
23	4842	20279	-0.8785
23	5746	3081361	-1.0186
23	104842	3950	-1.0032
23	5353562	71384	-0.9368
23	2907	71384	-0.9953
23	11683	44424639	-1.024
23	9444	4212	-1.0535
23	5329102	5790	-0.9497
23	237	3062316	-1.0935
23	119182	132971	-0.9629
23	71384	24776445	-1.0326
23	5746	11683	-1.0496
23	5284616	11683	-0.9172
23	237	68740	-0.9864
23	5453	4212	-1.015
23	2733526	4212	-1.1655
23	5360373	163659	-1.0036
23	60700	5394	-1.0224
23	163659	4212	-1.0894
