CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
24	104842	9854073	-0.8751
24	176870	6445540	-0.9018
24	457193	9854073	-1.0324
24	2141	9854073	-0.9868
24	9854073	25126798	-1.1639
24	9854073	11626560	-1.0939
24	137	4212	-0.9759
24	657237	4212	-0.9529
24	148121	4212	-0.9126
24	3690	4212	-0.9896
24	5360373	5453	-0.8916
24	36314	25126798	-1.2312
24	2094	4212	-1.0818
24	5360373	60953	-0.9602
24	3950	36462	-1.0425
24	3690	6253	-0.9702
24	6857599	36462	-0.9943
24	2907	36462	-1.0556
24	216239	6253	-0.9796
24	6194	5035	-1.1097
24	36314	9854073	-0.9166
24	3385	9854073	-0.9601
24	148124	9854073	-0.8746
24	6442177	9854073	-0.912
24	5311	9854073	-1.0059
24	4842	9854073	-0.957
24	5329102	9854073	-0.9695
24	5284616	4212	-0.865
24	5352062	148124	-0.8488
24	11626560	9854073	-1.0127
24	452548	4212	-0.944
24	5799	454216	-1.0416
24	5360373	5978	-0.7837
24	5360373	5790	-0.8336
24	5311	4212	-0.8999
24	5360373	5284616	-0.8642
24	2723601	452548	-0.9726
24	5360373	104842	-0.864
24	667490	452548	-0.83
24	667490	36462	-0.8439
24	36314	3081361	-1.2076
24	104842	6253	-0.8302
24	4212	216326	-1.0588
24	2187	4212	-0.9395
24	387447	4212	-0.9441
24	60953	4212	-0.9931
24	4114	4212	-1.0594
24	2907	4212	-1.0959
24	5353562	44424639	-0.9863
24	44424639	132971	-1.2451
24	452548	36462	-1.018
24	148124	10113978	-1.217
24	2123	4212	-1.1182
24	5360373	38904	-0.9252
24	6442177	2708	-0.9093
24	5360373	5394	-0.9285
24	44424639	25126798	-1.2183
24	148124	24776445	-1.2555
24	237	6253	-0.971
24	5426	6253	-0.9815
24	439693	36462	-0.9593
24	5746	36462	-1.0826
24	5284616	444795	-0.9282
24	38904	6253	-1.0457
24	261004	2723601	-0.9963
24	5799	457193	-0.9466
24	5790	11626560	-0.8773
24	36462	216326	-1.0791
24	4033	36462	-1.0791
24	11683	36462	-1.1756
24	5799	5329102	-1.0074
24	104842	132971	-1.0677
24	2141	104842	-1.0278
24	5799	119182	-1.0079
24	5799	3902	-1.028
24	237	444795	-0.9473
24	387447	71384	-0.9362
24	444795	5353562	-1.0377
24	176870	5799	-0.9982
24	104842	3081361	-1.1122
24	2767	4033	-1.0351
24	5746	5329102	-1.0239
24	4033	3950	-1.0647
24	3062316	3902	-0.9264
24	4211	5453	-0.9172
24	2708	31703	-1.0177
24	68740	3062316	-1.0856
24	148124	2733526	-1.179
24	148124	5394	-0.9193
24	5746	644241	-1.0331
24	444795	3081361	-1.0666
