CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
52	5284616	9854073	-0.9928
52	3385	24776445	-1.0425
52	104741	3385	-1.0745
52	446556	123631	-0.9875
52	60700	123631	-0.8503
52	5360373	123631	-1.0558
52	5353562	123631	-1.0344
52	5311	123631	-0.9609
52	2187	123631	-0.9346
52	3902	123631	-0.9337
52	57469	123631	-0.9257
52	2123	123631	-1.1137
52	3011155	123631	-0.9493
52	11626560	123631	-0.9098
52	2733526	123631	-1.1049
52	123631	5035	-1.0701
52	3385	6194	-0.9692
52	6445540	6857599	-0.9564
52	9854073	10113978	-1.0635
52	6445540	31703	-0.9913
52	6445540	57469	-1.0229
52	5284616	5035	-1.0766
52	6445540	5291	-1.0212
52	6445540	2907	-1.0389
52	137	3385	-1.0916
52	2662	3385	-1.0647
52	3385	11626560	-1.0407
52	65628	3385	-1.1039
52	208908	11683	-1.0554
52	3385	10113978	-1.0156
52	454216	3385	-1.1343
52	6445540	3385	-1.1019
52	57469	3385	-1.0553
52	5291	3385	-1.0803
52	176870	2123	-1.1298
52	439693	3385	-1.1098
52	176870	5035	-1.195
52	57469	36314	-1.1316
52	5284616	123631	-0.8731
52	38904	123631	-0.8898
52	6442177	123631	-0.837
52	5352062	123631	-0.8882
52	104842	123631	-0.8353
52	3385	123631	-0.9548
52	2578	123631	-0.8995
52	5352062	9854073	-0.9222
52	123631	216326	-1.066
52	5291	123631	-0.9335
52	5329102	123631	-0.9479
52	148121	123631	-0.9172
52	5394	123631	-0.9199
52	60953	123631	-0.9404
52	6442177	36462	-0.9192
52	387447	36314	-1.1326
52	6442177	6194	-0.9089
52	2662	123631	-0.9709
52	123631	10113978	-1.1258
52	6442177	3385	-0.9651
52	667490	123631	-1.0326
52	6445540	123631	-0.936
52	176870	3081361	-1.0562
52	644241	123631	-0.913
52	176870	60198	-0.9828
52	216326	3081361	-0.9614
52	176870	4212	-1.013
52	5453	9854073	-0.8366
52	208908	3385	-0.975
52	6445540	9444	-0.95
52	176870	44424639	-1.03
52	176870	3385	-1.0986
52	259331	6445540	-0.8651
52	176870	452548	-1.047
52	6445540	5746	-0.927
52	126941	6194	-1.0019
52	454216	163659	-1.1081
52	3385	452548	-0.966
52	176870	2708	-1.0362
52	176870	2723601	-1.0529
52	148121	9854073	-1.002
52	387447	9854073	-1.012
52	6445540	5790	-0.9843
52	44424639	31703	-0.9908
52	2708	3385	-0.9922
52	6442177	6450551	-0.9573
52	6445540	5284616	-1.0146
52	451668	9854073	-1.0369
52	176870	3950	-1.0317
52	5978	6194	-0.9979
52	176870	30323	-1.063
52	460612	3385	-0.9905
52	6445540	29327	-1.037
52	657237	9854073	-1.0606
52	20279	9854073	-1.0624
52	119182	3385	-0.9773
52	6445540	5426	-1.0264
52	5394	9854073	-1.0119
52	60750	9854073	-0.9966
52	5746	3385	-1.0966
52	5284616	11626560	-1.0769
52	6445540	3657	-0.9884
52	5284616	24776445	-1.1884
52	6857599	3385	-1.0453
52	6445540	148124	-1.0371
52	6445540	2141	-1.0362
52	6445540	119182	-1.0106
52	452548	71384	-1.0048
52	36314	25126798	-1.0715
52	36462	71384	-1.0297
52	6445540	20279	-0.9996
52	3385	132971	-1.0136
52	6253	3385	-1.045
52	5284616	42611257	-1.1246
52	6445540	2733526	-1.0756
52	444795	3385	-1.1215
52	3385	25126798	-0.9963
52	667490	6194	-1.0566
52	6194	11683	-1.0217
52	216239	3385	-1.0947
52	57469	6194	-0.9637
52	259331	3385	-1.0461
52	5284616	6450551	-1.0927
52	29327	6194	-1.0182
52	60953	3385	-1.1012
52	2187	3385	-1.0732
52	11626560	3385	-1.0825
52	2733526	3385	-1.1128
52	667490	3385	-1.0743
52	36314	6450551	-1.0405
52	644241	6194	-1.0023
52	176870	216326	-1.0814
52	3385	42611257	-1.0322
52	2123	3385	-1.0887
52	3690	3385	-1.1479
52	644241	3385	-1.0917
52	126941	216326	-1.0503
52	9444	6194	-1.0035
52	3385	5035	-1.024
52	3011155	3385	-1.1155
52	2767	2708	-1.045
52	148121	3385	-1.0767
52	4915	452548	-1.0675
52	29327	36462	-1.0154
52	176870	11626560	-1.2044
52	176870	24776445	-1.2126
52	6857599	36314	-1.0469
52	176870	10113978	-1.2643
52	11683	452548	-1.0492
52	11683	36462	-1.0844
52	5360373	5790	-0.9731
52	176870	11683	-1.1487
52	20279	3385	-1.1556
52	439693	208908	-0.9749
52	65628	216326	-0.9944
52	137	132971	-0.9931
52	148121	216326	-0.9645
52	104741	6442177	-1.2002
52	60953	20279	-1.0041
52	451668	439693	-0.9921
52	4211	2733526	-1.0081
52	237	119182	-1.009
52	2907	2733526	-1.0072
52	208908	123631	-0.7393
52	4212	123631	-0.9405
52	4033	123631	-0.9618
52	126941	123631	-0.942
52	176870	123631	-0.8579
52	452548	123631	-0.9787
52	148124	123631	-0.872
52	36462	123631	-0.9812
52	2723601	123631	-0.9728
52	44424639	123631	-1.0191
52	2708	123631	-1.0325
52	119182	123631	-0.8517
52	2478	123631	-0.9821
52	13342	123631	-0.9733
52	5284616	3081361	-1.0422
52	6442177	9854073	-0.9068
52	42611257	123631	-0.92
52	216239	123631	-0.9303
52	30323	123631	-1.0494
52	6442177	60198	-0.8861
52	71384	123631	-1.0338
52	2094	123631	-1.016
52	387447	123631	-0.9204
52	5746	123631	-1.0063
52	208908	3081361	-0.955
52	123631	25126798	-1.0753
52	6442177	4212	-0.9031
52	123631	42611257	-1.0702
52	65628	123631	-1.0738
52	5352062	4212	-0.9852
52	123631	6450551	-1.0749
52	6445540	126941	-0.9147
52	454216	123631	-1.0629
52	104842	3081361	-0.8951
52	4212	60198	-0.9386
52	5426	123631	-1.0672
52	36314	3081361	-1.0146
52	3385	3081361	-0.9727
52	657237	123631	-1.075
52	6445540	5352062	-0.9825
52	123631	132971	-1.088
52	457193	123631	-1.0743
52	4842	9854073	-0.7391
52	4915	123631	-1.0902
52	104741	123631	-0.9645
52	3062316	123631	-1.0872
52	6442177	452548	-0.9224
52	6442177	44424639	-0.9258
52	6442177	2708	-0.8941
52	387447	5284616	-1.0815
52	387447	5360373	-1.0959
52	176870	9854073	-1.0925
52	3690	123631	-1.0683
52	123631	24776445	-1.1036
52	3385	9854073	-0.9603
52	237	123631	-1.1186
52	2478	9854073	-0.7554
52	148124	9854073	-0.9325
52	2723601	9854073	-0.9217
52	6442177	3950	-0.8411
52	3385	4212	-0.9396
52	6445540	454216	-0.8068
52	38904	3385	-1.014
52	5352062	3385	-1.0687
52	460612	9854073	-0.9177
52	44424639	5799	-0.8775
52	387447	104842	-1.0293
52	60700	9854073	-0.8684
52	387447	60750	-1.0231
52	148124	6194	-0.9019
52	2578	9854073	-0.9601
52	6194	36462	-0.9657
52	6442177	216326	-0.9681
52	36314	3385	-0.9743
52	104842	6194	-0.8941
52	216239	9854073	-0.9913
52	3385	36462	-0.9787
52	25126798	9854073	-1.0224
52	2733526	3081361	-1.1101
52	261004	9854073	-0.804
52	6445540	208908	-0.9714
52	176870	6194	-0.9911
52	5360373	9854073	-0.9933
52	6442177	25126798	-0.9676
52	3081361	24776445	-1.0193
52	2767	644241	-0.9881
52	6445540	60700	-0.8821
52	137	9854073	-0.893
52	2723601	3385	-0.9486
52	6857599	9854073	-1.0459
52	4211	3081361	-1.0401
52	6442177	132971	-0.9993
52	2723601	36462	-0.9925
52	454216	3081361	-1.099
52	4212	446556	-0.9278
52	216239	60198	-0.9886
52	5790	3385	-0.9808
52	9854073	25126798	-1.0288
52	6442177	10113978	-1.0077
52	3385	3950	-0.9858
52	237	3081361	-1.06
52	261004	4033	-1.0007
52	148124	452548	-0.9045
52	3657	9854073	-0.8359
52	3902	9854073	-1.0054
52	2141	9854073	-0.9207
52	6450551	9854073	-1.0251
52	176870	36462	-1.0302
52	6194	5353562	-1.0185
52	4033	6194	-1.0238
52	60953	9854073	-0.9892
52	176870	460612	-1.0334
52	30323	4212	-1.0049
52	9444	5352062	-1.1859
52	104842	5352062	-1.3359
52	3690	9854073	-1.0854
52	6194	446556	-0.9659
52	208908	25126798	-1.0393
52	163659	3902	-1.0214
52	6194	30323	-1.0079
52	460612	452548	-0.958
52	4033	452548	-0.9928
52	9854073	132971	-1.1083
52	6445540	5453	-0.9416
52	5746	4212	-1.0287
52	176870	5360373	-0.9872
52	3062316	9854073	-1.1164
52	3385	71384	-1.0064
52	6445540	9854073	-1.0294
52	148124	3385	-0.9831
52	4842	3385	-1.004
52	5311	9854073	-1.0485
52	5284616	25126798	-1.1286
52	6445540	451668	-1.0213
52	126941	3385	-0.9673
52	71384	4212	-0.9633
52	6445540	657237	-0.9912
52	6445540	2478	-0.9513
52	29327	9854073	-1.0092
52	6445540	60750	-1.0106
52	4915	9854073	-1.0745
52	2187	4212	-0.906
52	5284616	132971	-1.0968
52	6194	71384	-1.0326
52	6194	216326	-0.9766
52	454216	5284616	-0.938
52	2478	6194	-1.0318
52	460612	36462	-1.0054
52	6442177	24776445	-1.0419
52	5284616	11683	-0.9218
52	2123	4212	-1.0319
52	5978	44424639	-1.0142
52	6445540	148121	-1.0017
52	6445540	5394	-0.9684
52	6445540	439693	-1.0184
52	439693	9854073	-1.0376
52	60700	3385	-0.9906
52	3385	30323	-1.028
52	644241	9854073	-1.0808
52	11683	9854073	-1.0463
52	5978	3385	-1.0627
52	5978	452548	-0.9689
52	126941	2708	-0.9792
52	6445540	2578	-0.9673
52	6445540	2094	-0.9958
52	6445540	13342	-1.0369
52	2478	4212	-0.9875
52	6445540	3690	-1.054
52	3385	446556	-0.9874
52	36462	446556	-1.0131
52	5746	6194	-0.9835
52	9854073	42611257	-1.0898
52	5978	36462	-0.9596
52	2094	4212	-0.9772
52	5360373	36314	-0.9196
52	176870	4033	-0.9653
52	3690	126941	-1.0124
52	5746	2723601	-0.9999
52	6445540	216239	-1.0171
52	2478	5352062	-1.0418
52	2733526	9854073	-1.1316
52	9444	454216	-1.0118
52	6442177	5035	-0.975
52	2767	444795	-1.0233
52	6253	36462	-0.9635
52	5284616	10113978	-1.0797
52	5311	5352062	-1.3733
52	5453	4212	-0.9932
52	6445540	4211	-1.0037
52	2578	6194	-0.9543
52	2708	5353562	-1.0929
52	2767	2723601	-0.9337
52	5746	452548	-1.0274
52	454216	4212	-0.9802
52	6445540	444795	-1.0847
52	176870	71384	-1.0598
52	667490	5352062	-0.8213
52	6194	24776445	-0.9933
52	261004	3385	-1.1314
52	644241	4212	-1.0335
52	176870	208908	-0.9228
52	57469	5352062	-1.0222
52	3902	3385	-1.0704
52	457193	9854073	-0.9213
52	4212	132971	-1.0591
52	29327	4212	-1.0377
52	20279	6194	-1.0233
52	208908	42611257	-1.063
52	5035	9854073	-1.0496
52	176870	446556	-1.0392
52	2723601	216326	-0.9492
52	2094	5352062	-1.0951
52	68740	3385	-1.0713
52	261004	65628	-1.0306
52	65628	9854073	-1.0976
52	5453	6194	-1.0352
52	6445540	5978	-1.0392
52	3385	6450551	-1.0295
52	9444	4212	-1.0328
52	5353562	36462	-1.067
52	261004	57469	-1.0755
52	460612	30323	-1.0457
52	2907	5352062	-1.0185
52	176870	5353562	-1.0488
52	2123	6194	-1.0775
52	5360373	2708	-1.1083
52	176870	4842	-1.0049
52	20279	4212	-1.0718
52	208908	10113978	-1.1189
52	6445540	4114	-1.0134
52	3690	6194	-1.0037
52	5394	6194	-0.9698
52	2723601	24776445	-0.9432
52	137	452548	-1.0303
52	2578	3385	-1.0342
52	2767	3385	-1.1305
52	36314	42611257	-1.0324
52	2578	163659	-0.9789
52	451668	3385	-1.0989
52	460612	71384	-1.041
52	5453	2723601	-1.0446
52	44424639	132971	-1.0838
52	60700	446556	-0.9712
52	9444	3385	-1.1491
52	176870	20279	-0.929
52	2733526	4212	-1.0634
52	2733526	452548	-0.9931
52	452548	132971	-1.0175
52	126941	71384	-0.9778
52	2123	452548	-1.0351
52	29327	3385	-1.1213
52	2767	36462	-1.0164
52	42611257	3385	-1.0846
52	2708	132971	-1.0616
52	176870	4915	-0.9385
52	667490	452548	-1.005
52	4211	2708	-0.9998
52	5360373	104842	-0.9589
52	667490	2723601	-0.973
52	2141	3385	-1.0614
52	5329102	3385	-1.0913
52	657237	3385	-1.1456
52	104842	25126798	-0.9643
52	20279	36462	-1.0329
52	176870	31703	-0.9913
52	176870	25126798	-1.2247
52	2708	24776445	-0.9946
52	4114	3385	-1.0891
52	176870	5394	-0.9064
52	2094	2708	-1.0201
52	5394	3385	-1.044
52	3385	216326	-1.0202
52	29327	2708	-1.0588
52	176870	119182	-0.8743
52	2123	36462	-1.0578
52	2708	11683	-1.048
52	176870	42611257	-1.1838
52	44424639	11626560	-1.0458
52	2723601	5035	-0.9324
52	176870	444795	-0.9495
52	4033	71384	-1.0546
52	5329102	36462	-1.0113
52	176870	2094	-1.0079
52	3385	11683	-1.0591
52	11626560	2708	-1.0078
52	57469	2723601	-0.9975
52	5453	2708	-1.0625
52	60700	36314	-1.013
52	3690	36462	-1.0259
52	2708	2123	-1.0999
52	9444	2708	-1.0502
52	60700	5353562	-0.9784
52	5311	3385	-1.1216
52	457193	3385	-1.0951
52	5291	452548	-1.058
52	68740	454216	-0.7997
52	439693	454216	-0.8723
52	104842	42611257	-0.9469
52	60700	5746	-0.7928
52	4915	6194	-1.0782
52	2907	3385	-1.1333
52	2578	460612	-0.9573
52	4915	36462	-1.0507
52	5360373	5453	-0.9596
52	237	454216	-0.9199
52	163659	5394	-1.017
52	148124	25126798	-0.9781
52	6445540	2708	-1.0232
52	4915	4212	-1.1339
52	176870	132971	-1.2188
52	2907	2723601	-0.9883
52	2094	460612	-1.0418
52	176870	60953	-1.0018
52	454216	5291	-1.0928
52	176870	2733526	-0.981
52	5329102	460612	-0.9689
52	176870	5291	-0.9706
52	5790	10113978	-1.0268
52	148124	454216	-1.019
52	4842	36314	-0.9624
52	176870	6450551	-1.2161
52	44424639	42611257	-1.0433
52	2767	446556	-0.9715
52	60700	42611257	-0.94
52	148124	132971	-1.0735
52	148124	42611257	-1.0238
52	2123	30323	-1.0314
52	5790	11683	-1.0277
52	5360373	2662	-0.9907
52	148124	11626560	-1.0211
52	4842	11626560	-0.9195
52	4915	3385	-1.1629
52	460612	2123	-1.1325
52	2733526	30323	-1.0024
52	9444	457193	-0.868
52	259331	36314	-1.1452
52	259331	9444	-1.0095
52	68740	446556	-0.9578
52	5746	4842	-0.891
52	444795	5353562	-0.9169
52	4842	5284616	-0.9565
52	148124	24776445	-1.0602
52	148124	10113978	-1.0564
52	60750	2723601	-1.0054
52	13342	42611257	-1.0788
52	3690	3950	-1.0258
52	13342	24776445	-1.0865
52	104741	446556	-0.9643
52	4033	3062316	-1.0904
52	119182	5035	-1.0183
52	148124	5035	-1.0424
52	2578	36314	-1.0972
52	6442177	457193	-0.8891
52	208908	38904	-1.0584
52	9444	5453	-0.9788
52	148124	11683	-1.0734
52	68740	71384	-0.9371
52	6857599	60750	-0.9247
52	3657	5799	-1.0022
52	451668	446556	-1.0188
52	60700	3690	-0.9896
52	104741	30323	-0.9169
52	29327	71384	-1.0142
52	5329102	71384	-0.9766
52	2478	42611257	-0.902
52	5799	2733526	-1.0485
52	5799	5394	-1.0501
52	5799	119182	-1.0538
52	60700	657237	-0.9421
52	104741	5353562	-0.9366
52	5284616	6253	-0.8912
52	5799	444795	-1.0592
52	9444	5978	-1.0535
52	71384	24776445	-0.9716
52	148121	3950	-0.9951
52	5746	24776445	-1.0143
52	5799	5329102	-1.0499
52	60700	5426	-0.9237
52	5426	36314	-1.0601
52	216239	2123	-1.0253
52	4033	65628	-0.9821
52	2907	446556	-1.0016
52	20279	5353562	-0.9882
52	60700	4915	-0.8998
52	4033	148121	-1.0095
52	60750	6253	-0.9128
52	3011155	446556	-0.9973
52	237	4033	-1.0023
52	2187	5284616	-0.9225
52	5746	11626560	-1.0053
52	3062316	216326	-1.165
52	29327	5284616	-0.9618
52	71384	10113978	-0.9849
52	148124	457193	-0.9162
52	5329102	5353562	-0.9893
52	3690	5353562	-0.9476
52	137	25126798	-0.9561
52	4211	446556	-1.0131
52	6253	10113978	-0.9267
52	5394	457193	-0.9991
52	5284616	20279	-0.8627
52	4211	5353562	-1.0145
52	3011155	3950	-0.9639
52	2907	3950	-1.0835
52	451668	208908	-0.979
52	5426	4842	-0.9541
52	60750	5790	-0.9073
52	60953	457193	-0.9489
52	5453	11626560	-0.9708
52	6857599	4915	-0.9588
52	6253	24776445	-0.969
52	5426	104842	-0.9884
52	29327	208908	-0.8963
52	2094	216326	-1
52	5284616	5978	-0.8972
52	5329102	457193	-0.9866
52	208908	657237	-1.1118
52	5453	24776445	-0.9948
52	148121	5353562	-0.9979
52	444795	25126798	-1.041
52	4211	457193	-0.948
52	3062316	10113978	-1.248
52	2733526	25126798	-1.044
52	5360373	42611257	-0.9007
52	5746	5035	-1.0088
52	259331	42611257	-0.9423
52	57469	5284616	-1.0415
52	29327	3062316	-0.9257
52	3062316	2662	-1.1279
52	439693	38904	-1.0167
52	5394	5453	-1.0848
52	104842	444795	-1.0174
52	3690	25126798	-1.0183
52	259331	148124	-1.1211
52	4915	38904	-0.9683
52	2094	5453	-0.964
52	6442177	148124	-0.9589
52	119182	38904	-0.9588
52	3062316	24776445	-1.2813
52	60750	5978	-0.9283
52	2187	25126798	-1.0145
52	216326	10113978	-0.8778
52	29327	132971	-0.9147
52	4842	644241	-1.0608
52	104842	13342	-1.0359
52	3657	216326	-0.9801
52	4915	148124	-1.079
52	29327	6253	-0.9888
52	5329102	5284616	-0.9939
52	2662	132971	-1.009
52	454216	216326	-0.9849
52	644241	5453	-1.0015
52	3690	216326	-1.0515
52	4114	137	-0.9856
52	2733526	132971	-1.035
52	259331	2141	-0.9776
52	13342	60750	-1.1746
52	2767	11626560	-0.958
52	29327	137	-0.9755
52	5291	5453	-1.0677
52	667490	148124	-1.1496
52	3657	132971	-0.9617
52	5394	6253	-1.1238
52	2733526	11626560	-1.0169
52	259331	657237	-0.9822
52	4211	5790	-0.9639
52	5426	38904	-0.9714
52	259331	5329102	-0.9801
52	148121	132971	-0.9678
52	11626560	132971	-1.0205
52	2733526	5790	-1.1294
52	104741	2123	-0.9276
52	9444	132971	-1.0063
52	60953	132971	-1.0032
52	42611257	2123	-0.9833
52	5426	6442177	-0.9784
52	2187	5453	-0.9737
52	13342	20279	-1.0184
52	5329102	42611257	-0.9778
52	137	65628	-1.0042
52	60750	444795	-0.9428
52	60953	11626560	-0.9871
52	6450551	132971	-0.9915
52	3902	10113978	-1.0141
52	104741	38904	-0.9904
52	57469	132971	-0.9897
52	4915	29327	-0.9579
52	68740	24776445	-1.0203
52	259331	5035	-0.9253
52	216239	148124	-1.0073
52	4915	216326	-1.0484
52	454216	42611257	-0.9659
52	2767	24776445	-0.9925
52	163659	132971	-1.0488
52	137	3902	-1.0248
52	2478	31703	-0.9994
52	4915	31703	-0.9602
52	29327	2123	-1.047
52	2578	57469	-1.0399
52	2187	24776445	-1.0028
52	9444	11626560	-1.0323
52	2578	5394	-1.0066
52	148124	104741	-0.9818
52	60750	3011155	-0.9171
52	4915	68740	-0.9617
52	6445540	42611257	-0.9852
52	5329102	2123	-0.9624
52	2478	68740	-1.0128
52	667490	148121	-1.0689
52	2733526	5035	-0.9975
52	6445540	2123	-0.9876
52	60953	24776445	-0.9961
52	3690	6450551	-1.0114
52	451668	24776445	-0.9634
52	29327	5291	-0.986
52	4915	5291	-0.9757
52	4211	6450551	-0.9881
52	148121	24776445	-0.9692
52	4915	657237	-0.969
52	2733526	5978	-1.1942
52	9444	24776445	-0.9992
52	454216	24776445	-1.023
52	2478	5291	-1.0247
52	2578	644241	-0.9712
52	24776445	10113978	-1.048
52	10113978	24776445	-1.0861
52	451668	3657	-0.9834
52	29327	5426	-0.7979
52	5329102	5035	-0.979
52	31703	65628	-1.1458
52	457193	6450551	-1.0669
52	4915	237	-0.9741
52	451668	2094	-0.9799
52	457193	10113978	-1.099
52	5329102	148124	-1.1189
52	439693	2094	-0.9951
52	439693	132971	-0.9728
52	65628	3657	-1.0109
52	451668	2733526	-0.9767
52	667490	216239	-1.0836
52	451668	119182	-1.0051
52	4211	5291	-0.9967
52	2141	2094	-1.0006
52	439693	5291	-0.9897
52	667490	5329102	-1.0905
52	2094	68740	-1.0098
52	2123	11683	-0.9828
52	24776445	5035	-1.0069
52	31703	2662	-1.1221
52	2907	2478	-0.991
52	451668	216239	-0.9562
52	2141	57469	-1.0076
52	13342	2733526	-1.0675
52	119182	2733526	-0.9851
52	237	148121	-1.0629
52	451668	2907	-0.9561
52	237	5394	-1.0026
52	2141	119182	-1.0019
52	13342	657237	-1.0034
52	11683	10113978	-1.0755
52	148121	11683	-1.0534
52	454216	11683	-1.0232
52	5426	216239	-0.9696
52	2907	3657	-1.0181
52	2907	31703	-0.9988
52	5394	3902	-1.0041
52	2907	2094	-0.9923
52	5291	2662	-1.0303
52	2907	6450551	-0.9848
