CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
173	24856436	11152667	-1.5504
173	24856436	25023738	-1.7776
173	24856436	3218	-1.1528
173	24856436	16038120	-1.3037
173	24856436	1401	-1.2619
173	24856436	300471	-1.9079
173	24856436	159324	-1.907
173	24856436	135418940	-2.0351
173	24856436	54708532	-1.0705
173	24856436	11630874	-1.5824
173	24856436	135440466	-1.4336
173	24856436	9933475	-1.229
173	24856436	9926791	-1.0937
173	24856436	11524144	-1.1669
173	24856436	5113032	-1.1564
173	24856436	46233311	-1.5406
173	24856436	9934458	-1.147
173	24856436	11617559	-1.2997
173	24856436	16219401	-1.7173
173	24856436	644213	-1.1341
173	24856436	25021165	-1.6022
173	24856436	16736978	-1.2088
173	24856436	5278396	-1.3583
173	24856436	9950176	-1.4311
173	24856436	54676905	-1.718
173	24856436	9829523	-1.2386
173	24856436	10027278	-2.1607
173	24856436	17754438	-1.2822
173	24856436	1361332	-1.307
173	24856436	4829	-1.1461
173	24856436	42623900	-1.2218
173	24856436	3025986	-1.207
173	24856436	24995524	-1.1734
173	24856436	5312137	-1.3657
173	24856436	447912	-1.3006
173	24856436	56972185	-1.6674
173	24856436	23625762	-1.4696
173	24856436	104794	-1.1714
173	24856436	5730	-2.6811
173	387447	24856436	-1.3261
173	387447	3062316	-0.86
173	387447	451668	-0.8474
173	387447	2767	-0.8842
173	387447	176870	-0.9217
173	387447	6442177	-0.8828
173	387447	657237	-0.9341
173	387447	60750	-0.7512
173	387447	208908	-0.7438
173	387447	216326	-0.9729
173	387447	216239	-1.1301
173	387447	5394	-1.5536
173	387447	11960529	-0.7414
173	387447	5311	-0.997
173	387447	11152667	-0.9476
173	387447	11213558	-1.0464
173	387447	11626560	-2.1343
173	387447	135398510	-1.148
173	387447	11178236	-0.4968
173	387447	25023738	-1.3722
173	387447	3218	-0.235
173	387447	16038120	-0.7844
173	387447	5330286	-1.153
173	387447	1401	-0.8362
173	387447	300471	-1.4151
173	387447	159324	-1.5426
173	387447	135418940	-1.1541
173	387447	54708532	-0.7395
173	387447	11630874	-1.3646
173	387447	11234052	-0.8229
173	387447	135440466	-1.0233
173	387447	9933475	-0.7236
173	387447	11656518	-0.9449
173	387447	9926791	-0.8161
173	387447	24748573	-1.4105
173	387447	11683005	-0.7839
173	387447	11524144	-0.7705
173	387447	5113032	-0.7835
173	387447	46233311	-1.1459
173	387447	9934458	-0.7498
173	387447	11617559	-0.7992
173	387447	16219401	-1.4161
173	387447	644213	-0.7769
173	387447	3712	-0.7499
173	387447	521106	-0.8973
173	387447	25021165	-1.2383
173	387447	16736978	-0.6688
173	387447	5278396	-0.9428
173	387447	9950176	-0.8156
173	387447	54676905	-1.335
173	387447	9829523	-0.6476
173	387447	4493	-2.2467
173	387447	10027278	-1.6261
173	387447	17754438	-0.9057
173	387447	1361332	-0.9182
173	387447	4829	-0.8142
173	387447	24180719	-1.6908
173	387447	42623900	-0.6732
173	387447	3025986	-1.0064
173	387447	24995524	-0.7411
173	387447	16683013	-1.8508
173	387447	5312137	-0.8827
173	387447	447912	-0.9489
173	387447	6505803	-1.2431
173	387447	56972185	-1.1097
173	387447	23625762	-0.9686
173	387447	104794	-0.7055
173	387447	151194	-0.7025
173	387447	1893730	-0.6274
173	387447	5730	-2.2488
173	387447	82146	-0.9192
173	3062316	24856436	-1.2486
173	3062316	216326	-0.7018
173	3062316	5394	-1.1186
173	3062316	11960529	-0.4781
173	3062316	5311	-0.7341
173	3062316	11152667	-0.7847
173	3062316	11213558	-0.972
173	3062316	11178236	-0.5979
173	3062316	25023738	-1.2345
173	3062316	3218	-0.4522
173	3062316	16038120	-0.6746
173	3062316	1401	-0.6287
173	3062316	300471	-1.2957
173	3062316	159324	-1.3161
173	3062316	135418940	-1.4404
173	3062316	54708532	-0.4661
173	3062316	11630874	-1.1353
173	3062316	11234052	-0.5603
173	3062316	135440466	-0.9427
173	3062316	9933475	-0.4261
173	3062316	11656518	-0.8681
173	3062316	9926791	-0.4613
173	3062316	11524144	-0.5885
173	3062316	5113032	-0.4057
173	3062316	46233311	-0.8506
173	3062316	9934458	-0.5241
173	3062316	11617559	-0.6508
173	3062316	16219401	-1.1218
173	3062316	644213	-0.54
173	3062316	521106	-0.8051
173	3062316	25021165	-0.9274
173	3062316	16736978	-0.5827
173	3062316	5278396	-0.6808
173	3062316	9950176	-0.7561
173	3062316	54676905	-1.0674
173	3062316	9829523	-0.5935
173	3062316	4493	-1.9563
173	3062316	10027278	-1.6478
173	3062316	17754438	-0.4215
173	3062316	1361332	-0.6467
173	3062316	4829	-0.5536
173	3062316	42623900	-0.6073
173	3062316	3025986	-0.5185
173	3062316	24995524	-0.5601
173	3062316	5312137	-0.7434
173	3062316	447912	-0.7033
173	3062316	56972185	-0.9932
173	3062316	23625762	-0.8631
173	3062316	104794	-0.5485
173	3062316	5730	-1.966
173	451668	24856436	-1.3797
173	451668	3062316	-0.7541
173	451668	176870	-0.9085
173	451668	216326	-0.8964
173	451668	5394	-1.3318
173	451668	11960529	-0.7696
173	451668	5311	-0.959
173	451668	11152667	-0.8023
173	451668	11213558	-0.9386
173	451668	11178236	-0.6318
173	451668	25023738	-1.2533
173	451668	3218	-0.6493
173	451668	16038120	-0.7052
173	451668	5330286	-1.0264
173	451668	1401	-0.8048
173	451668	300471	-1.3843
173	451668	159324	-1.3855
173	451668	135418940	-1.6257
173	451668	54708532	-0.701
173	451668	11630874	-1.2817
173	451668	11234052	-0.8035
173	451668	135440466	-0.8304
173	451668	9933475	-0.6759
173	451668	11656518	-0.9298
173	451668	9926791	-0.7852
173	451668	11683005	-0.694
173	451668	11524144	-0.6425
173	451668	5113032	-0.5309
173	451668	46233311	-1.0682
173	451668	9934458	-0.6845
173	451668	11617559	-0.8601
173	451668	16219401	-1.2932
173	451668	644213	-0.6397
173	451668	3712	-0.7319
173	451668	521106	-0.9322
173	451668	25021165	-1.1663
173	451668	16736978	-0.7175
173	451668	5278396	-0.7936
173	451668	9950176	-0.8766
173	451668	54676905	-1.1866
173	451668	9829523	-0.6422
173	451668	4493	-2.2293
173	451668	10027278	-1.5731
173	451668	17754438	-0.7237
173	451668	1361332	-0.7706
173	451668	4829	-0.7373
173	451668	42623900	-0.6307
173	451668	3025986	-0.8892
173	451668	24995524	-0.7777
173	451668	5312137	-0.9027
173	451668	447912	-0.8514
173	451668	6505803	-1.1391
173	451668	56972185	-1.205
173	451668	23625762	-0.946
173	451668	104794	-0.6759
173	451668	151194	-0.6722
173	451668	1893730	-0.6532
173	451668	5730	-2.1345
173	2767	24856436	-1.3179
173	2767	3062316	-0.7436
173	2767	451668	-0.8006
173	2767	176870	-0.6841
173	2767	6442177	-0.8523
173	2767	657237	-0.8496
173	2767	60750	-0.573
173	2767	208908	-0.4499
173	2767	216326	-0.6887
173	2767	216239	-0.936
173	2767	5394	-1.1696
173	2767	11960529	-0.7337
173	2767	5311	-0.8371
173	2767	11152667	-0.826
173	2767	11213558	-0.8992
173	2767	11626560	-1.9439
173	2767	135398510	-0.9042
173	2767	11178236	-0.5834
173	2767	25023738	-1.2385
173	2767	3218	-0.4815
173	2767	16038120	-0.5507
173	2767	5330286	-0.9259
173	2767	1401	-0.6309
173	2767	300471	-1.0895
173	2767	159324	-1.219
173	2767	135418940	-1.5276
173	2767	54708532	-0.4658
173	2767	11630874	-1.1454
173	2767	11234052	-0.5903
173	2767	135440466	-0.8555
173	2767	9933475	-0.466
173	2767	11656518	-0.6158
173	2767	9926791	-0.5433
173	2767	24748573	-1.1298
173	2767	11683005	-0.5947
173	2767	11524144	-0.5929
173	2767	5113032	-0.4572
173	2767	46233311	-0.9305
173	2767	9934458	-0.6112
173	2767	11617559	-0.6942
173	2767	16219401	-1.1451
173	2767	644213	-0.5266
173	2767	3712	-0.6768
173	2767	521106	-0.8123
173	2767	25021165	-0.8761
173	2767	16736978	-0.6377
173	2767	5278396	-0.7425
173	2767	9950176	-0.7282
173	2767	54676905	-1.0757
173	2767	9829523	-0.6118
173	2767	4493	-1.9439
173	2767	10027278	-1.3279
173	2767	17754438	-0.626
173	2767	1361332	-1.5221
173	2767	4829	-0.8233
173	2767	24180719	-1.4057
173	2767	42623900	-0.6256
173	2767	3025986	-0.6957
173	2767	24995524	-0.5271
173	2767	16683013	-1.627
173	2767	5312137	-0.641
173	2767	447912	-0.6478
173	2767	6505803	-0.9795
173	2767	56972185	-1.136
173	2767	23625762	-0.925
173	2767	104794	-0.6418
173	2767	151194	-0.5294
173	2767	1893730	-0.431
173	2767	5730	-2.134
173	2767	82146	-0.8111
173	148124	24856436	-2.479
173	148124	387447	-1.8926
173	148124	3062316	-1.9319
173	148124	451668	-1.8597
173	148124	2767	-1.9551
173	148124	176870	-2.0661
173	148124	6442177	-1.9415
173	148124	657237	-2.0531
173	148124	60750	-1.8654
173	148124	208908	-1.8956
173	148124	216326	-1.9651
173	148124	24964624	-1.9609
173	148124	216239	-2.1968
173	148124	5394	-2.5283
173	148124	11960529	-1.905
173	148124	5311	-2.0147
173	148124	11152667	-2.0959
173	148124	11213558	-2.2355
173	148124	11626560	-3.1842
173	148124	135398510	-2.1579
173	148124	11178236	-1.6957
173	148124	25023738	-2.4536
173	148124	3218	-1.7665
173	148124	16038120	-1.9686
173	148124	5330286	-2.1535
173	148124	1401	-1.9335
173	148124	300471	-2.5185
173	148124	159324	-2.6136
173	148124	135418940	-2.7293
173	148124	54708532	-1.8012
173	148124	11630874	-2.3612
173	148124	11234052	-1.9068
173	148124	135440466	-2.0778
173	148124	9933475	-1.808
173	148124	11656518	-2.064
173	148124	9926791	-1.7918
173	148124	24748573	-2.4644
173	148124	11683005	-1.8614
173	148124	11524144	-1.899
173	148124	16041424	-2.1958
173	148124	5113032	-1.8091
173	148124	46233311	-2.1767
173	148124	9934458	-1.8238
173	148124	11617559	-2.0357
