CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
168	11213558	24856436	-1.0798
168	24856436	11152667	-0.4666
168	24856436	25023738	-0.3205
168	24856436	3218	-1.0368
168	24856436	16038120	-0.3837
168	24856436	1401	-0.4636
168	24856436	300471	-0.4136
168	24856436	159324	-0.4408
168	24856436	135418940	-0.7314
168	24856436	54708532	-0.4211
168	24856436	11630874	-0.735
168	24856436	135440466	-0.5903
168	24856436	9933475	-0.6626
168	24856436	9926791	-0.6849
168	24856436	11524144	-0.6565
168	24856436	5113032	-0.8296
168	24856436	46233311	-0.2281
168	24856436	9934458	-0.6104
168	24856436	11617559	-0.2657
168	24856436	16219401	-0.4718
168	24856436	644213	-0.7906
168	24856436	25021165	-0.3814
168	24856436	16736978	-0.3989
168	24856436	5278396	-0.5311
168	24856436	9950176	-0.2389
168	24856436	54676905	-0.3335
168	24856436	9829523	-0.8882
168	24856436	10027278	-1.4481
168	24856436	17754438	-0.6833
168	24856436	1361332	-0.9596
168	24856436	4829	-0.4899
168	24856436	42623900	-0.2588
168	24856436	3025986	-1.0649
168	24856436	24995524	-2.0867
168	24856436	5312137	-0.3816
168	24856436	447912	-1.346
168	24856436	56972185	-0.7983
168	24856436	23625762	-0.7298
168	24856436	104794	-0.5431
168	24856436	5730	-0.5394
168	387447	24856436	-0.8659
168	387447	3062316	-1.1959
168	387447	451668	-1.1678
168	387447	2767	-1.4589
168	387447	176870	-1.4695
168	387447	6442177	-1.4485
168	387447	657237	-1.0948
168	387447	60750	-0.9077
168	387447	208908	-1.361
168	387447	216326	-0.9388
168	387447	216239	-1.0612
168	387447	5394	-1.1508
168	387447	11960529	-1.0114
168	387447	5311	-1.0634
168	387447	11152667	-0.7472
168	387447	11213558	-1.5136
168	387447	11626560	-1.1085
168	387447	135398510	-1.252
168	387447	11178236	-0.8899
168	387447	25023738	-0.9697
168	387447	3218	-1.1203
168	387447	16038120	-0.9249
168	387447	5330286	-1.0866
168	387447	1401	-1.1188
168	387447	300471	-0.6472
168	387447	159324	-0.9596
168	387447	135418940	-0.7972
168	387447	54708532	-1.1171
168	387447	11630874	-1.3839
168	387447	11234052	-1.2165
168	387447	135440466	-1.0773
168	387447	9933475	-1.2987
168	387447	11656518	-1.0789
168	387447	9926791	-1.188
168	387447	24748573	-0.9486
168	387447	11683005	-1.2321
168	387447	11524144	-1.251
168	387447	5113032	-1.2911
168	387447	46233311	-0.9433
168	387447	9934458	-1.3224
168	387447	11617559	-0.87
168	387447	16219401	-1.1104
168	387447	644213	-1.4113
168	387447	3712	-1.2995
168	387447	521106	-0.7716
168	387447	25021165	-0.9852
168	387447	16736978	-0.9415
168	387447	5278396	-1.1917
168	387447	9950176	-0.7078
168	387447	54676905	-0.9793
168	387447	9829523	-1.2278
168	387447	4493	-1.2909
168	387447	10027278	-2.0082
168	387447	17754438	-1.2524
168	387447	1361332	-1.554
168	387447	4829	-1.1734
168	387447	24180719	-1.6051
168	387447	42623900	-0.9156
168	387447	3025986	-1.5444
168	387447	24995524	-2.5076
168	387447	16683013	-1.5485
168	387447	5312137	-0.9976
168	387447	447912	-1.9837
168	387447	6505803	-1.118
168	387447	56972185	-1.3019
168	387447	23625762	-1.3605
168	387447	104794	-0.8518
168	387447	151194	-1.0923
168	387447	1893730	-1.5865
168	387447	5730	-1.0029
