CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
1	451668	9854073	-0.7582
1	451668	29327	-0.9065
1	148124	24776445	-1.1208
1	451668	38904	-1.0144
1	29327	132971	-0.9421
1	457193	42611257	-1.4785
1	3062316	644241	-0.4413
1	13342	3062316	-0.8243
1	439693	3062316	-0.887
1	237	9854073	-0.8457
1	644241	5291	-0.8439
1	451668	446556	-0.7327
1	5291	5453	-0.956
1	30323	9854073	-0.8094
1	4842	5291	-0.8453
1	2478	5291	-0.9291
1	126941	6450551	-0.7982
1	4211	5291	-1.0218
1	9444	9854073	-0.8287
1	2708	9854073	-0.8861
1	5311	9854073	-0.9424
1	148124	6253	-0.6899
1	451668	454216	-0.802
1	208908	5291	-1.0007
1	451668	6253	-0.8672
1	451668	9444	-0.8123
1	657237	9854073	-0.9236
1	36462	5799	-0.8384
1	5394	9854073	-1.0447
1	5291	2662	-1.0699
1	2723601	36462	-0.956
1	457193	9854073	-1.0562
1	667490	457193	-1.0454
1	2123	9854073	-1.0414
1	2187	5291	-1.0815
1	451668	104842	-0.8867
1	6194	6450551	-0.9966
1	6253	5453	-1.0211
1	36462	31703	-0.8997
1	454216	38904	-0.9867
1	2907	6253	-1.049
1	657237	6253	-1.0386
1	60700	4033	-1.0576
1	4212	123631	-1.1871
1	36462	71384	-1.0643
1	60700	444795	-1.081
1	451668	137	-0.9148
1	36462	123631	-1.0699
1	4842	4212	-0.9883
1	6857599	2907	-0.8998
1	60700	5360373	-1.1261
1	60700	13342	-1.1319
1	9444	3902	-1.0056
1	451668	439693	-0.9589
1	451668	657237	-1.0326
1	11683	4212	-1.2023
1	451668	208908	-0.9564
1	451668	3657	-1.0143
1	451668	4114	-0.8904
1	451668	65628	-0.9968
1	451668	3690	-0.962
1	9444	216326	-0.9291
1	6857599	5426	-1.0441
1	148124	42611257	-1.2006
1	9444	10113978	-0.9643
1	104741	457193	-1.2763
1	9444	11683	-1.0153
1	451668	3011155	-1.2503
1	454216	6194	-1.0361
1	2123	36462	-1.2246
1	5311	25126798	-0.9661
1	2141	3950	-0.8258
1	5453	24776445	-0.8561
1	6857599	5353562	-0.9693
1	137	10113978	-0.9311
1	2578	10113978	-1.0423
1	60953	5353562	-1.0215
1	57469	10113978	-1.0559
1	261004	11683	-1.0283
1	176870	31703	-1.0221
1	176870	137	-1.0585
1	3062316	5978	-0.442
1	3062316	11626560	-0.8454
1	163659	3062316	-0.8841
1	5291	9854073	-0.7386
1	60700	126941	-0.7576
1	3062316	148124	-0.4443
1	3062316	6450551	-0.8554
1	6445540	237	-0.864
1	5291	3385	-0.763
1	148124	5291	-0.681
1	5291	6450551	-0.8743
1	644241	9854073	-0.815
1	60700	5291	-0.8414
1	5291	457193	-0.8182
1	5746	3062316	-0.8847
1	5291	60198	-0.8695
1	60750	126941	-0.8185
1	451668	5291	-0.8185
1	644241	6450551	-0.9413
