CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
83	13342	5311	-0.8251
83	5311	208908	-0.8773
83	208908	176870	-0.9019
83	208908	16224745	-1.0805
83	208908	3062316	-1.0375
83	36462	3062316	-1.0321
83	176870	3062316	-1.0168
83	11960529	11520894	-1.2632
83	9826528	16224745	-1.187
83	59691338	208908	-1.2144
83	31703	216239	-0.257
83	31703	216453	-0.2085
83	31703	5394	0.0836
83	126941	5311	-0.2074
83	126941	24958200	-0.1878
83	31703	24958200	-0.1268
83	126941	5329102	-0.3096
83	126941	5394	-0.0884
83	31703	5329102	-0.2385
83	126941	208908	-0.2855
83	31703	5311	-0.2595
83	126941	11960529	-0.2032
83	31703	11960529	-0.0509
83	126941	216239	-0.4123
83	126941	16224745	-0.215
83	31703	16224745	-0.1826
83	31703	176870	-0.2693
83	126941	216453	-0.2639
83	126941	24748204	-0.2041
83	126941	176870	-0.3039
83	6421776	6857599	-0.34
83	31703	24748204	-0.215
83	6421776	16224745	-0.3353
83	6421776	216239	-0.497
83	31703	24964624	-0.4543
83	31703	208908	-0.2992
83	126941	3062316	-0.3882
83	5329102	5394	-0.2534
83	126941	24856436	-0.3857
83	31703	3062316	-0.402
83	126941	24964624	-0.4114
83	46926350	16224745	-0.3321
83	31703	24856436	-0.452
83	5329102	216239	-0.5555
83	387447	11960529	-0.4517
83	31703	5288382	-0.4295
83	216453	5394	-0.2909
83	126941	5288382	-0.4422
83	5329102	6857599	-0.4753
83	5288382	6857599	-0.4735
83	216453	216239	-0.6709
83	216453	6857599	-0.4377
83	15953832	4091	-0.3751
83	387447	6857599	-0.4376
83	216453	11960529	-0.4925
83	387447	16224745	-0.5062
83	44424639	5394	-0.4205
83	216453	5329102	-0.6632
83	216453	24958200	-0.4928
83	24964624	6857599	-0.4606
83	5288382	216239	-0.707
83	36314	5394	-0.4882
83	387447	5288382	-0.5503
83	387447	3062316	-0.4655
83	5311	5394	-0.3417
83	387447	216239	-0.7566
83	216453	16224745	-0.5436
83	387447	60700	-0.5064
83	216453	5311	-0.6456
83	216453	176870	-0.5802
83	44424639	3062316	-0.5741
83	5329102	11960529	-0.642
83	216453	36462	-0.5647
83	216453	208908	-0.6155
83	24964624	11960529	-0.6126
83	24964624	216239	-0.8502
83	3385	5394	-0.2884
83	216453	24748204	-0.5801
83	5288382	16224745	-0.5459
83	216453	24964624	-0.808
83	126941	6421776	-0.7717
83	44424639	5311	-0.6268
83	44424639	24958200	-0.5047
83	44424639	24748204	-0.5572
83	44424639	176870	-0.5404
83	44424639	11960529	-0.5251
83	5311	216239	-0.7904
83	216453	3062316	-0.628
83	44424639	16224745	-0.5674
83	44424639	5288382	-0.646
83	15953832	5394	-0.42
83	31703	6421776	-0.8131
83	5329102	24958200	-0.6945
