CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
55	6442177	42611257	-1.037
55	5329102	446556	-1.0123
55	42611257	9854073	-0.8437
55	9854073	42611257	-0.8749
55	36314	9854073	-0.9281
55	6445540	457193	-0.9492
55	6445540	3011155	-0.9957
55	5284616	42611257	-0.9956
55	9444	9854073	-1.0142
55	2907	9854073	-1.037
55	29327	42611257	-0.9538
55	3062316	42611257	-0.9863
55	9444	5352062	-0.994
55	444795	9854073	-1.0615
55	2733526	42611257	-1.0561
55	3690	42611257	-1.0155
55	644241	42611257	-1.0588
55	3081361	42611257	-1.0797
55	11626560	42611257	-1.0597
55	42611257	3081361	-1.0416
55	208908	42611257	-1.0892
55	5291	42611257	-1.0398
55	42611257	6450551	-1.0508
55	4915	42611257	-1.0201
55	5284616	446556	-0.9251
55	6442177	446556	-0.9781
55	5978	446556	-0.9211
55	9444	446556	-0.9646
55	261004	446556	-0.9788
55	644241	446556	-1.0178
55	11626560	446556	-1.0143
55	3385	9854073	-0.8793
55	42611257	42611257	-0.8158
55	44424639	42611257	-0.9458
55	6445540	148124	-0.952
55	446556	42611257	-0.8615
55	42611257	446556	-0.791
55	2723601	9854073	-0.9166
55	6445540	5978	-1.0036
55	60700	454216	-0.9028
55	5978	9854073	-1
55	3062316	9854073	-0.9193
55	216239	42611257	-0.9216
55	4211	9854073	-1.1088
55	2767	9854073	-0.9961
55	20279	9854073	-0.9369
55	2578	9854073	-0.9987
55	4114	9854073	-1.1364
55	5329102	9854073	-1.0296
55	6445540	2733526	-1.0764
55	148121	42611257	-0.9909
55	9854073	5035	-1.1209
55	9854073	3081361	-1.0687
55	3081361	9854073	-1.071
55	446556	5799	-0.9816
55	6445540	42611257	-1.0317
55	104842	446556	-0.9606
55	65628	42611257	-1.0424
55	3385	446556	-0.8103
55	132971	42611257	-1.061
55	454216	42611257	-1.0212
55	42611257	11683	-0.9982
55	5790	446556	-0.9183
55	5035	42611257	-1.0849
55	5329102	42611257	-1.0604
55	20279	42611257	-0.9462
55	30323	42611257	-1.0323
55	42611257	11626560	-1.063
55	4114	454216	-1.1679
55	10113978	42611257	-1.0855
55	2662	9854073	-1.0967
55	24776445	42611257	-1.0804
55	42611257	24776445	-1.0675
55	36314	446556	-0.8333
55	6253	446556	-0.8866
55	3950	42611257	-1.0221
55	25126798	42611257	-1.0799
55	2141	126941	-0.9639
55	4915	126941	-1.0097
55	4114	126941	-0.985
55	5360373	446556	-0.9315
55	13342	6253	-0.9542
55	6450551	42611257	-1.0906
55	148121	446556	-0.9511
55	446556	123631	-0.9197
55	259331	446556	-0.9787
55	5426	446556	-0.9452
55	3690	446556	-0.9729
55	6857599	3385	-1.0284
55	65628	446556	-0.9305
55	208908	446556	-0.9997
55	176870	446556	-1.006
55	11683	446556	-1.0002
55	2187	446556	-1.034
55	2578	5746	-0.7202
55	5291	446556	-0.992
55	60953	446556	-1.0088
55	2123	446556	-1.0092
55	3011155	446556	-1.0001
55	5360373	119182	-0.9661
55	5284616	10113978	-0.9942
55	4033	5790	-0.9779
55	259331	6442177	-0.9964
55	5284616	24776445	-1.0533
55	31703	5790	-1.0987
55	451668	6442177	-1.0999
55	2094	5453	-0.9558
55	176870	2578	-1.0182
55	259331	3690	-0.9671
55	444795	3902	-0.9921
55	2578	60953	-0.9868
55	2094	5978	-0.9928
55	5426	444795	-0.9865
55	2141	5426	-1.0012
55	451668	68740	-1.0688
55	65628	5353562	-1.0309
55	6445540	5360373	-0.7313
55	6445540	36314	-0.8935
55	261004	6445540	-0.8669
55	5790	9854073	-0.9046
55	119182	9854073	-0.827
55	6445540	6442177	-0.9283
55	454216	6253	-0.6995
55	667490	9854073	-0.7748
55	5746	9854073	-0.8336
55	6445540	5329102	-0.9585
55	6445540	237	-0.9477
55	6445540	6857599	-0.9834
55	6445540	4211	-1.0179
55	6445540	2578	-1.0183
55	5284616	9854073	-0.9194
55	216239	9854073	-0.9681
55	6445540	38904	-0.9259
55	6445540	3902	-0.9395
55	60700	9854073	-0.8396
55	6445540	13342	-1.0011
55	6445540	65628	-0.9468
55	6445540	3657	-1.0269
55	6445540	3062316	-0.9786
55	657237	9854073	-0.9214
55	6445540	5284616	-0.9226
55	2708	42611257	-0.9385
55	387447	163659	-1.0157
55	454216	104842	-0.7542
55	6445540	3690	-1.0625
55	6445540	208908	-1.0393
55	6442177	9854073	-1.016
55	4212	42611257	-0.9627
55	454216	5360373	-0.6833
55	148121	9854073	-0.9918
55	71384	9854073	-0.9983
55	126941	104842	-0.6676
55	36314	42611257	-0.952
55	137	9854073	-1.0302
55	6857599	9854073	-0.9665
55	6445540	5291	-1.1038
55	36462	9854073	-0.9322
55	5311	9854073	-0.9421
55	119182	4212	-0.9478
55	6194	42611257	-0.9249
55	68740	9854073	-0.9064
55	237	42611257	-0.9775
55	132971	9854073	-1.0691
55	42611257	123631	-0.968
55	126941	5360373	-0.6885
55	60953	9854073	-1.0386
55	4842	9854073	-1.0114
55	5453	42611257	-0.9353
55	6445540	4114	-1.0359
55	454216	9854073	-1.0138
55	36462	42611257	-0.9891
55	6445540	5426	-1.0161
55	9854073	132971	-1.1005
55	6445540	9854073	-1.0398
55	13342	446556	-0.8185
55	5453	9854073	-0.9808
55	5360373	42611257	-0.9026
55	2478	9854073	-1.0202
55	6445540	104741	-1.015
55	5746	5352062	-1.0631
55	5352062	446556	-0.9256
55	2733526	9854073	-1.0995
55	387447	36314	-1.1162
55	2141	42611257	-0.6687
55	5291	9854073	-1.0301
55	11626560	9854073	-0.9996
55	104741	9854073	-1.0803
55	4211	42611257	-1.0207
55	42611257	216326	-0.871
55	216326	42611257	-0.999
55	6857599	42611257	-1.0389
55	5352062	60198	-0.9893
55	4842	126941	-0.8092
55	3657	9854073	-1.1207
55	9854073	11626560	-1.1132
55	5284616	454216	-1.1813
55	208908	9854073	-1.088
55	126941	5284616	-0.7286
55	9444	42611257	-1.01
55	216326	9854073	-1.0685
55	667490	4212	-0.7544
55	11683	42611257	-1.0209
55	65628	9854073	-1.0187
55	119182	454216	-1.0236
55	148124	446556	-0.9352
55	5978	42611257	-1.0326
55	2723601	446556	-0.8993
55	452548	446556	-0.846
55	657237	42611257	-0.9416
55	3385	5799	-0.9362
55	644241	9854073	-1.0821
55	38904	446556	-0.9337
55	5746	9444	-0.9884
55	9854073	6450551	-1.1364
55	5035	9854073	-1.1632
55	5311	20279	-0.9548
55	387447	5453	-1.1274
55	2578	163659	-0.9831
55	148124	2708	-0.9208
55	5284616	6253	-0.7396
55	216239	446556	-0.9178
55	439693	454216	-0.9122
55	9854073	24776445	-1.1342
55	2767	60700	-0.9328
55	36314	60750	-0.8358
55	237	126941	-0.7784
55	444795	126941	-0.9871
55	4211	20279	-0.9073
55	104842	5352062	-1.0698
55	667490	123631	-0.8369
55	3011155	9854073	-1.0122
55	163659	2733526	-1.0353
55	42611257	10113978	-1.0482
55	38904	20279	-0.9555
55	163659	5311	-0.99
55	259331	126941	-0.8704
55	2123	42611257	-0.9881
55	126941	446556	-0.8799
55	29327	126941	-0.9893
55	5284616	4212	-1.0142
55	6253	5453	-1.0161
55	119182	20279	-0.7419
55	439693	126941	-1.0194
55	4842	667490	-0.879
55	60700	5360373	-1.0645
55	387447	137	-1.0031
55	119182	6253	-0.7642
55	119182	216326	-0.9355
55	261004	42611257	-1.0016
55	60700	446556	-0.9694
55	3690	126941	-0.9821
55	5353562	42611257	-1.0348
55	42611257	25126798	-1.0579
55	2478	20279	-1.0033
55	5978	44424639	-0.9516
55	20279	4212	-0.9831
55	5426	126941	-0.9866
55	148124	123631	-1.0874
55	4033	20279	-0.8948
55	3657	6253	-1.0112
55	5790	36462	-0.9094
55	126941	6194	-0.9242
55	451668	126941	-0.9669
55	657237	446556	-0.9017
55	5453	3385	-0.9441
