CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
28	13342	208908	-0.3219
28	13342	16224745	-0.5192
28	36462	5329102	-0.5879
28	24748204	16224745	-1.0893
28	15953832	208908	-1.0835
28	208908	16224745	-1.2932
28	15953832	5311	-1.192
28	59691338	24748204	-1.13
28	36462	11960529	-0.5731
28	5743	176870	-1.1463
28	387447	11960529	-0.091
28	387447	3062316	-0.1021
28	387447	216239	-0.1474
28	387447	6857599	-0.2242
28	126941	11960529	-0.2181
28	126941	5394	-0.172
28	387447	5288382	-0.1931
28	387447	16224745	-0.175
28	73389731	11364421	-0.523
28	126941	24958200	-0.2557
28	387447	60700	-0.3171
28	126941	5311	-0.2312
28	126941	5329102	-0.1887
28	36314	208908	-0.3365
28	387447	6421776	-0.3367
28	31703	216239	-0.3148
28	126941	16224745	-0.3132
28	60700	216239	-0.3523
28	31703	216453	-0.2781
28	31703	24748204	-0.3222
28	126941	176870	-0.3237
28	126941	208908	-0.2728
28	126941	24964624	-0.2823
28	126941	216239	-0.3664
28	31703	5311	-0.3782
28	126941	216453	-0.2382
28	31703	5394	-0.223
28	126941	24856436	-0.3438
28	60700	16224745	-0.3681
28	31703	5329102	-0.2876
28	126941	24748204	-0.2402
28	36314	24748204	-0.3802
28	31703	11960529	-0.2867
28	126941	3062316	-0.305
28	31703	208908	-0.3048
28	31703	176870	-0.3476
28	31703	24958200	-0.2941
28	13342	5394	-0.2787
28	31703	16224745	-0.4431
28	31703	24964624	-0.35
28	5746	216239	-0.2232
28	44424639	24964624	-0.3853
28	36314	5394	-0.3097
28	46926350	16224745	-0.4084
28	36314	24964624	-0.3625
28	44424639	216239	-0.4755
28	126941	5288382	-0.3564
28	36314	3062316	-0.4139
28	31703	24856436	-0.4319
28	44424639	11960529	-0.3904
28	31703	3062316	-0.3853
28	60750	11960529	-0.3709
28	31703	5288382	-0.4004
28	36314	176870	-0.3799
28	60750	5288382	-0.4665
28	36314	5329102	-0.4203
28	36314	24958200	-0.4213
28	5746	11960529	-0.3912
28	36314	16224745	-0.4427
28	44424639	5394	-0.3167
28	60750	5394	-0.3854
28	36314	216239	-0.4756
28	60750	3062316	-0.4703
28	5746	5329102	-0.4288
28	5746	216453	-0.3425
28	36314	5288382	-0.4722
28	36314	5311	-0.4058
28	44424639	24856436	-0.4152
28	44424639	5329102	-0.4451
28	5746	5394	-0.3797
28	36314	216453	-0.422
28	60750	24964624	-0.4631
28	60750	216239	-0.5214
28	44424639	5311	-0.4017
28	5746	24958200	-0.4316
28	5746	5311	-0.4906
28	60750	24958200	-0.4514
28	6857599	216239	-0.4868
28	60750	24748204	-0.4139
28	5746	208908	-0.449
28	387447	46926350	-0.5826
28	60750	208908	-0.3782
28	44424639	5288382	-0.4836
28	36314	24856436	-0.4106
28	60750	5329102	-0.5052
28	5746	16224745	-0.5841
28	60750	176870	-0.4741
28	5746	176870	-0.3457
28	44424639	208908	-0.3274
28	60750	24856436	-0.6358
28	44424639	3062316	-0.3907
28	36314	11960529	-0.3468
28	5746	24748204	-0.4133
28	13342	3062316	-0.3952
28	36462	5394	-0.3946
28	60750	16224745	-0.6689
28	5746	24964624	-0.4948
28	104842	216239	-0.5451
28	60750	6421776	-0.5939
28	13342	11960529	-0.3205
28	44424639	24748204	-0.3512
28	13342	5288382	-0.5204
28	44424639	16224745	-0.4878
28	13342	5311	-0.4281
28	36462	216239	-0.5609
28	13342	24964624	-0.3744
28	6421776	216239	-0.6266
28	60700	6421776	-0.6612
28	13342	216453	-0.5665
28	44424639	176870	-0.4548
28	44424639	24958200	-0.4588
28	5746	3062316	-0.5185
28	31703	6421776	-0.6175
28	5746	5288382	-0.5517
28	126941	6421776	-0.5369
28	5746	24856436	-0.5951
28	13342	24748204	-0.4445
28	13342	24856436	-0.47
28	36314	6421776	-0.6076
28	13342	5329102	-0.4932
28	104842	16224745	-0.5255
28	6421776	6857599	-0.6212
28	13342	176870	-0.4804
28	13342	216239	-0.5684
28	60750	9826528	-0.5906
28	24856436	216239	-0.6712
28	24748204	216239	-0.5273
28	5329102	216239	-0.6562
28	6421776	16224745	-0.6611
28	13342	24958200	-0.5286
28	31703	9826528	-0.6423
28	5329102	5394	-0.4156
28	44424639	6421776	-0.6834
28	5288382	6857599	-0.6542
28	60750	46926350	-0.6775
28	126941	9826528	-0.6909
28	5288382	216239	-0.5642
28	24856436	6857599	-0.6914
28	104842	46926350	-0.6687
28	38904	5394	-0.5256
28	5746	6421776	-0.7636
28	60750	387447	-0.8781
28	24958200	216239	-0.708
28	5311	5394	-0.4444
28	24856436	11960529	-0.5345
28	36462	24958200	-0.6879
28	31703	46926350	-0.8347
28	44424639	9826528	-0.6277
28	36314	9826528	-0.6335
28	38904	216239	-0.7035
28	60700	46926350	-0.8981
28	3385	5394	-0.5692
28	3385	216239	-0.7619
28	13342	6421776	-0.8
28	5311	216239	-0.6913
28	36462	5311	-0.7251
28	31703	387447	-0.9709
28	5746	9826528	-0.773
28	36462	208908	-0.6979
28	24958200	6857599	-0.7216
28	24958200	11960529	-0.6235
28	387447	11520894	-0.8381
28	126941	46926350	-0.9401
28	36462	16224745	-0.8148
28	36462	176870	-0.7688
28	24856436	24958200	-0.7832
28	60750	11520894	-0.8545
28	126941	387447	-1.0283
28	176870	216239	-0.8051
28	36462	24748204	-0.7397
28	6857599	16224745	-0.8606
28	36462	24964624	-0.7822
28	387447	104842	-0.9952
28	5288382	16224745	-0.7982
28	36314	46926350	-0.8613
28	216453	216239	-0.7791
28	5746	46926350	-0.9558
28	31703	11520894	-0.9168
28	5329102	6857599	-0.7443
28	5311	6857599	-0.8717
28	24748204	6857599	-0.7555
28	5746	387447	-1.0688
28	44424639	46926350	-0.856
28	36462	3062316	-0.7687
28	36314	387447	-1.0076
28	216453	5394	-0.6357
28	44424639	387447	-1.0183
28	36462	5288382	-0.8859
28	24856436	24748204	-0.7262
28	24856436	176870	-0.7738
28	208908	216239	-0.8377
28	3385	11960529	-0.7474
28	24748204	11960529	-0.7394
28	176870	6857599	-0.8387
28	24856436	208908	-0.6986
28	24958200	16224745	-0.9322
28	5311	11960529	-0.7611
28	126941	11520894	-0.9064
28	24856436	16224745	-1.0454
28	24958200	176870	-0.8334
28	38904	11960529	-0.8576
28	5329102	11960529	-0.7899
28	24958200	24964624	-0.8325
28	3385	5329102	-0.8477
28	6421776	46926350	-1.0168
28	24856436	24964624	-0.7725
28	216453	6857599	-0.9009
28	11520894	216239	-0.9539
28	5746	11520894	-1.0016
28	13342	9826528	-0.7371
28	3385	24958200	-0.856
28	36462	24856436	-0.9569
28	11520894	5288382	-0.8983
28	24958200	3062316	-0.8751
28	3385	216453	-0.8566
28	5329102	24958200	-0.8838
28	38904	24958200	-0.9613
28	24856436	3062316	-0.9063
28	24964624	216239	-0.9694
28	5311	5329102	-0.8828
