CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
56	6857599	16224745	-1.3691
56	44424639	176870	-0.4946
56	216453	176870	-0.9103
56	208908	176870	-0.9185
56	11960529	16224745	-1.278
56	59691338	13342	-1.042
56	59691338	6857599	-1.224
56	59691338	208908	-1.127
56	126941	11960529	0.0039
56	126941	208908	0.0043
56	126941	24748204	-0.015
56	126941	5394	0.0212
56	60750	24958200	-0.0378
56	126941	3062316	-0.0272
56	126941	5329102	0.034
56	126941	176870	-0.0114
56	126941	216239	-0.0939
56	60750	5329102	-0.0506
56	31703	216453	0.0514
56	60750	208908	0.0982
56	126941	24856436	-0.1028
56	60750	5288382	-0.0545
56	60750	11960529	-0.0287
56	126941	16224745	-0.1344
56	126941	24958200	0.0244
56	60750	24964624	-0.1286
56	60750	176870	-0.1184
56	60750	24748204	-0.0609
56	126941	24964624	-0.1359
56	60750	5394	-0.0715
56	60750	3062316	-0.142
56	126941	5288382	-0.11
56	126941	216453	-0.1091
56	60750	6421776	-0.1714
56	31703	5329102	-0.1066
56	60750	24856436	-0.1913
56	60750	16224745	-0.2012
56	60750	216239	-0.1988
56	126941	5311	-0.1885
56	31703	24748204	-0.1271
56	36314	5394	-0.1362
56	31703	11960529	0.0956
56	31703	5288382	-0.1307
56	36314	24958200	-0.22
56	31703	16224745	-0.2375
56	31703	5394	-0.14
56	31703	24958200	-0.1791
56	36314	11960529	-0.0887
56	60750	9826528	-0.2716
56	31703	5311	-0.2725
56	31703	176870	-0.2909
56	5746	5394	-0.1172
56	31703	216239	-0.3466
56	36314	208908	-0.2667
56	60750	46926350	-0.3292
56	36462	5394	-0.1527
56	31703	208908	-0.1818
56	31703	24964624	-0.2946
56	46926350	16224745	-0.3454
56	60700	216239	-0.3955
56	36314	24748204	-0.319
56	5746	5329102	-0.2374
56	5746	216453	-0.2167
56	387447	3062316	-0.4772
56	5746	11960529	-0.1924
56	5746	216239	-0.4557
56	31703	24856436	-0.3438
56	36314	5329102	-0.2511
56	31703	3062316	-0.3919
56	36314	216453	-0.3744
56	60700	16224745	-0.3789
56	387447	5288382	-0.3187
56	5746	24958200	-0.2899
56	6421776	6857599	-0.3471
56	6421776	16224745	-0.4511
56	5311	5394	-0.2948
56	60750	387447	-0.4467
56	36462	216239	-0.5199
56	216453	216239	-0.3058
56	36314	24964624	-0.3871
56	44424639	208908	-0.3016
56	387447	16224745	-0.3082
56	5746	16224745	-0.441
56	126941	6421776	-0.4528
56	36314	5288382	-0.3341
56	36462	11960529	-0.3765
56	104842	16224745	-0.4037
56	36314	24856436	-0.268
56	24856436	6857599	-0.3031
56	36314	16224745	-0.3695
56	36314	5311	-0.4903
56	31703	6421776	-0.4079
56	387447	6857599	-0.3298
56	36314	176870	-0.5399
56	387447	216239	-0.2555
56	387447	60700	-0.4329
56	6421776	216239	-0.6005
56	5746	24748204	-0.2792
56	387447	11960529	0.0907
56	216453	5394	-0.3071
56	5311	216239	-0.6131
56	5746	5311	-0.5652
56	36462	5329102	-0.3273
56	5746	208908	-0.3673
56	36314	216239	-0.6143
56	5311	5329102	-0.3825
56	36462	24958200	-0.4436
56	126941	9826528	-0.5926
56	5311	6857599	-0.5365
56	5288382	6857599	-0.4568
56	5746	176870	-0.5709
56	5746	24964624	-0.5254
56	5311	11960529	-0.5849
56	13342	24748204	-0.4746
56	13342	208908	-0.3731
56	36314	3062316	-0.5836
56	5329102	5394	-0.3866
56	60750	11520894	-0.6341
56	24856436	216239	-0.7158
56	104842	216239	-0.7197
56	24856436	24958200	-0.3423
56	13342	5394	-0.3215
56	216239	16224745	-0.7418
56	176870	216239	-0.7495
56	5288382	216239	-0.3558
56	44424639	24748204	-0.3485
56	5746	3062316	-0.707
56	24856436	11960529	-0.1911
56	216453	6857599	-0.5108
56	5746	5288382	-0.4927
56	44424639	24856436	-0.396
56	31703	9826528	-0.4912
56	36314	6421776	-0.6083
56	176870	6857599	-0.6051
56	5311	24958200	-0.6883
56	5329102	216239	-0.7451
56	5746	24856436	-0.6414
56	3385	5394	-0.3259
56	13342	24964624	-0.6325
56	13342	216453	-0.4661
56	13342	24958200	-0.5465
56	36462	208908	-0.5417
56	36462	16224745	-0.6643
56	387447	6421776	-0.6377
56	126941	46926350	-0.7781
56	44424639	5329102	-0.51
56	36462	5311	-0.8068
56	13342	16224745	-0.5964
56	36462	176870	-0.773
56	36462	24748204	-0.6522
56	44424639	16224745	-0.593
56	216453	11960529	-0.277
56	13342	24856436	-0.4712
56	13342	5288382	-0.4356
56	176870	11960529	-0.7534
56	3062316	6857599	-0.6667
56	44424639	11960529	-0.4704
56	3062316	216239	-0.8771
56	3062316	11960529	-0.7626
56	3062316	16224745	-0.8215
56	36314	9826528	-0.5439
56	44424639	5394	-0.4282
56	216453	5329102	-0.6612
