CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
178	300471	9934458	-1.0212
178	24856436	11152667	-1.6248
178	24856436	25023738	-0.681
178	24856436	3218	-0.7369
178	24856436	16038120	-0.4739
178	24856436	1401	-0.6351
178	24856436	300471	-0.3333
178	24856436	159324	-0.8967
178	24856436	135418940	-0.4393
178	24856436	54708532	-0.467
178	24856436	11630874	-0.4144
178	24856436	135440466	-0.772
178	24856436	9933475	-0.4861
178	24856436	9926791	-0.5041
178	24856436	11524144	-0.4085
178	24856436	5113032	-0.5753
178	24856436	46233311	-1.0153
178	24856436	9934458	-0.6607
178	24856436	11617559	-0.2835
178	24856436	16219401	-0.6227
178	24856436	644213	-0.4658
178	24856436	25021165	-0.5917
178	24856436	16736978	-0.5686
178	24856436	5278396	-0.8533
178	24856436	9950176	-0.7691
178	24856436	54676905	-0.9161
178	24856436	9829523	-1.0109
178	24856436	10027278	-1.3071
178	24856436	17754438	-1.4957
178	24856436	1361332	-0.6561
178	24856436	4829	-0.7681
178	24856436	42623900	-1.4018
178	24856436	3025986	-1.2129
178	24856436	24995524	-0.8259
178	24856436	5312137	-0.3263
178	24856436	447912	-1.6958
178	24856436	56972185	-0.9066
178	24856436	23625762	-0.313
178	24856436	104794	-0.8178
178	24856436	5730	-0.5202
178	387447	24856436	-0.6725
178	387447	3062316	-0.844
178	387447	451668	-0.4997
178	387447	2767	-0.7387
178	387447	176870	-1.4607
178	387447	6442177	-1.3026
178	387447	657237	-1.9918
178	387447	60750	-0.7611
178	387447	208908	-3.2952
178	387447	216326	-1.0141
178	387447	216239	-0.9014
178	387447	5394	-1.4718
178	387447	11960529	-1.2404
178	387447	5311	-0.7868
178	387447	11152667	-1.4657
178	387447	11213558	-0.8244
178	387447	11626560	-0.8914
178	387447	135398510	-0.8941
178	387447	11178236	-0.4752
178	387447	25023738	-0.8673
178	387447	3218	-0.5331
178	387447	16038120	-0.6778
178	387447	5330286	-0.6616
178	387447	1401	-0.9573
178	387447	300471	-0.3965
178	387447	159324	-1.1021
178	387447	135418940	-0.2306
178	387447	54708532	-0.767
178	387447	11630874	-0.7887
178	387447	11234052	-0.9572
178	387447	135440466	-0.9072
178	387447	9933475	-0.6344
178	387447	11656518	-1.6667
178	387447	9926791	-0.7916
178	387447	24748573	-2.4741
178	387447	11683005	-0.5207
178	387447	11524144	-0.6162
178	387447	5113032	-0.891
178	387447	46233311	-1.3916
178	387447	9934458	-0.8667
178	387447	11617559	-0.6301
178	387447	16219401	-0.9303
178	387447	644213	-0.792
178	387447	3712	-0.9845
178	387447	521106	-0.9185
178	387447	25021165	-0.9843
178	387447	16736978	-0.8673
178	387447	5278396	-1.1835
178	387447	9950176	-0.9686
178	387447	54676905	-1.2537
178	387447	9829523	-1.1194
178	387447	4493	-0.9645
178	387447	10027278	-1.5391
178	387447	17754438	-1.8271
178	387447	1361332	-1.0188
178	387447	4829	-1.025
178	387447	24180719	-0.8036
178	387447	42623900	-1.815
178	387447	3025986	-1.4715
178	387447	24995524	-0.9108
178	387447	16683013	-0.9458
178	387447	5312137	-0.5947
178	387447	447912	-2.0579
178	387447	6505803	-0.9224
178	387447	56972185	-1.11
178	387447	23625762	-0.582
178	387447	104794	-0.9987
178	387447	151194	-0.9377
178	387447	1893730	-0.6698
178	387447	5730	-0.7506
178	387447	82146	-1.3808
178	3062316	24856436	-0.5897
178	3062316	216326	-1.0288
178	3062316	5394	-1.2371
178	3062316	11960529	-1.094
178	3062316	5311	-0.7646
178	3062316	11152667	-1.4657
178	3062316	11213558	-0.8689
178	3062316	11178236	-0.431
178	3062316	25023738	-0.7498
178	3062316	3218	-0.9848
178	3062316	16038120	-0.5372
178	3062316	1401	-0.7587
178	3062316	300471	-0.5529
178	3062316	159324	-1.0295
178	3062316	135418940	-0.6106
178	3062316	54708532	-0.5822
178	3062316	11630874	-0.6896
178	3062316	11234052	-1.1406
178	3062316	135440466	-0.8925
178	3062316	9933475	-0.6458
178	3062316	11656518	-1.6839
178	3062316	9926791	-0.4782
178	3062316	11524144	-0.4974
178	3062316	5113032	-0.7507
178	3062316	46233311	-0.9311
178	3062316	9934458	-0.6089
178	3062316	11617559	-0.5416
178	3062316	16219401	-0.6435
178	3062316	644213	-0.6206
178	3062316	521106	-0.7327
178	3062316	25021165	-0.754
178	3062316	16736978	-0.8267
178	3062316	5278396	-0.9536
178	3062316	9950176	-0.8085
178	3062316	54676905	-1.0607
178	3062316	9829523	-1.1106
178	3062316	4493	-0.8694
178	3062316	10027278	-1.4482
178	3062316	17754438	-1.6782
178	3062316	1361332	-0.7412
178	3062316	4829	-0.7153
178	3062316	42623900	-1.618
178	3062316	3025986	-1.3325
178	3062316	24995524	-0.9234
178	3062316	5312137	-0.6405
178	3062316	447912	-1.8902
178	3062316	56972185	-1.1175
178	3062316	23625762	-0.6454
178	3062316	104794	-0.9888
178	3062316	5730	-0.596
178	451668	24856436	-0.2629
178	451668	3062316	-0.3727
178	451668	176870	-1.1194
178	451668	216326	-0.6127
178	451668	5394	-0.9842
178	451668	11960529	-0.7441
178	451668	5311	-0.3527
178	451668	11152667	-1.1693
178	451668	11213558	-0.4386
178	451668	11178236	-0.1794
178	451668	25023738	-0.3971
178	451668	3218	-0.7294
178	451668	16038120	-0.1944
178	451668	5330286	-0.2999
178	451668	1401	-0.5327
178	451668	300471	0.0433
178	451668	159324	-0.5428
178	451668	135418940	-0.2277
178	451668	54708532	-0.3288
178	451668	11630874	-0.4241
178	451668	11234052	-0.7111
178	451668	135440466	-0.4024
178	451668	9933475	-0.1401
178	451668	11656518	-1.3258
178	451668	9926791	-0.3835
178	451668	11683005	0.0218
178	451668	11524144	-0.1828
178	451668	5113032	-0.4412
178	451668	46233311	-0.867
178	451668	9934458	-0.4809
178	451668	11617559	-0.2493
178	451668	16219401	-0.3185
178	451668	644213	-0.3733
178	451668	3712	-0.5289
178	451668	521106	-0.5123
178	451668	25021165	-0.3958
178	451668	16736978	-0.4163
178	451668	5278396	-0.7404
178	451668	9950176	-0.5164
178	451668	54676905	-0.7511
178	451668	9829523	-0.8744
178	451668	4493	-0.5279
178	451668	10027278	-1.1781
178	451668	17754438	-1.3367
178	451668	1361332	-0.4615
178	451668	4829	-0.5464
178	451668	42623900	-1.2667
178	451668	3025986	-1.0714
178	451668	24995524	-0.5575
178	451668	5312137	-0.2934
178	451668	447912	-1.6097
178	451668	6505803	-0.5337
178	451668	56972185	-0.6963
178	451668	23625762	-0.1577
178	451668	104794	-0.5885
178	451668	151194	-0.5947
178	451668	1893730	-0.2359
178	451668	5730	-0.3176
178	2767	24856436	-0.4397
178	2767	3062316	-0.575
178	2767	451668	-0.4514
178	2767	176870	-1.1732
178	2767	6442177	-1.0876
178	2767	657237	-1.7591
178	2767	60750	-0.6062
178	2767	208908	-3.0453
178	2767	216326	-0.7303
178	2767	216239	-0.7502
178	2767	5394	-1.1064
178	2767	11960529	-1.1242
178	2767	5311	-0.6665
178	2767	11152667	-1.3537
178	2767	11213558	-0.6051
178	2767	11626560	-0.5874
178	2767	135398510	-0.7113
178	2767	11178236	-0.3319
178	2767	25023738	-0.68
178	2767	3218	-0.7038
178	2767	16038120	-0.433
178	2767	5330286	-0.448
178	2767	1401	-0.659
178	2767	300471	0.0661
178	2767	159324	-0.7925
178	2767	135418940	-0.3912
178	2767	54708532	-0.5402
178	2767	11630874	-0.5298
178	2767	11234052	-1.0966
178	2767	135440466	-0.6398
178	2767	9933475	-0.3775
178	2767	11656518	-1.3132
178	2767	9926791	-0.4952
178	2767	24748573	-2.2019
178	2767	11683005	-0.2167
178	2767	11524144	-0.4177
178	2767	5113032	-0.6244
178	2767	46233311	-0.7875
178	2767	9934458	-0.5127
178	2767	11617559	-0.2685
178	2767	16219401	-0.6861
178	2767	644213	-0.5604
178	2767	3712	-0.6999
178	2767	521106	-0.5999
178	2767	25021165	-0.518
178	2767	16736978	-0.7664
178	2767	5278396	-0.8031
178	2767	9950176	-0.7318
178	2767	54676905	-0.9211
178	2767	9829523	-1.0108
178	2767	4493	-0.6073
178	2767	10027278	-1.1095
178	2767	17754438	-1.568
178	2767	1361332	-1.4307
178	2767	4829	-0.5087
178	2767	24180719	-0.4838
178	2767	42623900	-1.4768
178	2767	3025986	-1.167
178	2767	24995524	-0.673
178	2767	16683013	-0.6875
178	2767	5312137	-0.3828
178	2767	447912	-1.7244
178	2767	6505803	-0.7019
178	2767	56972185	-0.9027
178	2767	23625762	-0.4158
178	2767	104794	-0.9862
178	2767	151194	-0.7179
178	2767	1893730	-0.5138
178	2767	5730	-0.3615
178	2767	82146	-1.0044
178	148124	24856436	-2.2186
178	148124	387447	-2.1982
178	148124	3062316	-2.3065
178	148124	451668	-2.0164
178	148124	2767	-2.2389
178	148124	176870	-3.1047
178	148124	6442177	-2.6954
178	148124	657237	-3.3745
178	148124	60750	-2.2604
178	148124	208908	-4.7582
178	148124	216326	-2.6181
178	148124	24964624	-2.5552
178	148124	216239	-2.4423
178	148124	5394	-3.0434
178	148124	11960529	-2.8506
178	148124	5311	-2.3806
178	148124	11152667	-3.0335
178	148124	11213558	-2.3866
178	148124	11626560	-2.286
178	148124	135398510	-2.4242
178	148124	11178236	-1.9683
178	148124	25023738	-2.465
178	148124	3218	-2.6187
178	148124	16038120	-2.2016
178	148124	5330286	-2.0372
178	148124	1401	-2.4411
178	148124	300471	-2.0102
178	148124	159324	-2.6912
178	148124	135418940	-2.2762
178	148124	54708532	-2.3725
178	148124	11630874	-2.4254
178	148124	11234052	-2.4905
178	148124	135440466	-2.4437
178	148124	9933475	-2.2157
178	148124	11656518	-3.2398
178	148124	9926791	-2.3559
178	148124	24748573	-3.907
178	148124	11683005	-2.0792
178	148124	11524144	-2.17
178	148124	16041424	-2.135
178	148124	5113032	-2.5331
178	148124	46233311	-2.8378
178	148124	9934458	-2.3429
178	148124	11617559	-2.2513
178	148124	16219401	-2.4551
178	148124	644213	-2.2989
178	148124	3712	-2.5407
178	148124	521106	-2.4395
178	148124	25021165	-2.4731
178	148124	16736978	-2.4203
178	148124	5278396	-2.6598
178	148124	9950176	-2.4952
178	148124	54676905	-2.7903
178	148124	9829523	-2.7045
178	148124	4493	-2.5562
178	148124	11977753	-2.4586
178	148124	10027278	-2.942
178	148124	17754438	-3.3622
178	148124	11713159	-2.2859
178	148124	1361332	-2.5648
178	148124	4829	-2.4026
178	148124	24180719	-2.3192
178	148124	42623900	-3.2459
178	148124	3025986	-3.0857
178	148124	24995524	-2.4165
178	148124	16683013	-2.5423
178	148124	5312137	-2.2408
178	148124	447912	-3.5903
178	148124	6505803	-2.4647
178	148124	56972185	-2.7375
178	148124	23625762	-2.2153
178	148124	104794	-2.5561
178	148124	151194	-2.4231
178	148124	1893730	-2.1894
178	148124	5730	-2.3583
178	148124	82146	-2.8185
178	176870	24856436	-1.2507
178	176870	3062316	-1.4615
178	176870	216326	-1.6112
178	176870	5394	-2.0296
178	176870	11960529	-1.9461
178	176870	5311	-1.3655
178	176870	11152667	-2.0749
178	176870	11213558	-1.4248
178	176870	11178236	-1.2402
178	176870	25023738	-1.5253
178	176870	3218	-1.6891
178	176870	16038120	-1.3531
178	176870	1401	-1.4865
178	176870	300471	-1.2708
178	176870	159324	-1.7831
178	176870	135418940	-1.239
178	176870	54708532	-1.3531
178	176870	11630874	-1.4981
178	176870	11234052	-1.9473
178	176870	135440466	-1.5649
178	176870	9933475	-1.2921
178	176870	11656518	-2.3778
178	176870	9926791	-1.3938
178	176870	11683005	-1.1687
178	176870	11524144	-1.2998
178	176870	5113032	-1.4634
178	176870	46233311	-1.8245
178	176870	9934458	-1.3643
178	176870	11617559	-1.1305
178	176870	16219401	-1.4414
178	176870	644213	-1.3801
178	176870	521106	-1.4883
178	176870	25021165	-1.3756
178	176870	16736978	-1.4785
178	176870	5278396	-1.7122
178	176870	9950176	-1.5313
178	176870	54676905	-1.7203
178	176870	9829523	-1.7892
178	176870	4493	-1.6582
178	176870	10027278	-2.2239
178	176870	17754438	-2.458
178	176870	1361332	-1.5248
178	176870	4829	-1.3494
178	176870	42623900	-2.2911
178	176870	3025986	-2.0223
178	176870	24995524	-1.7235
178	176870	5312137	-1.3528
178	176870	447912	-2.5779
178	176870	56972185	-1.7433
178	176870	23625762	-1.2536
178	176870	104794	-1.6401
178	176870	1893730	-1.3516
178	176870	5730	-1.2497
178	36462	24856436	-0.673
178	36462	387447	-0.8606
178	36462	3062316	-0.7876
178	36462	451668	-0.3925
178	36462	2767	-0.7307
178	36462	148124	-2.2991
178	36462	176870	-1.4979
178	36462	6442177	-1.2307
178	36462	657237	-1.9351
178	36462	60750	-0.8224
178	36462	208908	-3.2867
178	36462	216326	-1.0008
178	36462	24964624	-1.0752
178	36462	644241	-0.7433
178	36462	216239	-0.7879
178	36462	5329102	-1.4785
178	36462	5394	-1.3139
178	36462	11960529	-1.2192
178	36462	5311	-0.7243
178	36462	11640390	-1.1916
178	36462	11152667	-1.521
178	36462	11213558	-0.9168
178	36462	24978538	-2.427
178	36462	10127622	-1.4216
178	36462	11626560	-0.8207
178	36462	135398510	-0.9692
178	36462	5081913	-0.7027
178	36462	11178236	-0.5582
178	36462	25023738	-0.8459
178	36462	3218	-0.8301
178	36462	176167	-1.0494
178	36462	216345	-0.6963
178	36462	16038120	-0.5974
178	36462	5330286	-0.6557
178	36462	1401	-0.8512
178	36462	300471	-0.6011
178	36462	159324	-1.0228
178	36462	24776445	-1.0343
178	36462	135418940	-0.559
178	36462	10113978	-0.6216
178	36462	54708532	-0.6919
178	36462	11630874	-0.6484
178	36462	2747117	-0.9523
178	36462	11234052	-1.2889
178	36462	135440466	-0.9213
178	36462	9933475	-0.5938
178	36462	11656518	-1.8079
178	36462	9926791	-0.6631
178	36462	24748573	-2.3541
178	36462	11683005	-0.4034
178	36462	11524144	-0.5552
178	36462	16041424	-0.6625
178	36462	5113032	-0.8097
178	36462	107970	-0.7677
178	36462	46233311	-1.1901
178	36462	9934458	-0.8209
178	36462	11617559	-0.4619
178	36462	16219401	-0.7339
178	36462	644213	-0.7184
178	36462	3712	-0.764
178	36462	521106	-0.6809
178	36462	25021165	-0.7751
178	36462	16736978	-0.7727
178	36462	5278396	-1.0221
178	36462	9950176	-0.9172
178	36462	126565	-0.9395
178	36462	54676905	-1.137
178	36462	9829523	-1.1114
178	36462	4493	-0.9342
178	36462	11977753	-0.9731
178	36462	10027278	-1.4399
178	36462	148177	-1.5153
178	36462	17754438	-1.724
178	36462	11713159	-0.5804
178	36462	1361332	-0.8276
178	36462	4829	-0.7596
178	36462	24180719	-0.5473
178	36462	42623900	-1.6881
178	36462	3025986	-1.3237
178	36462	24995524	-0.8931
178	36462	16683013	-0.9454
178	36462	5312137	-0.575
178	36462	447912	-1.9773
178	36462	6505803	-0.8565
178	36462	56972185	-1.2016
178	36462	11313622	-1.0157
178	36462	23625762	-0.4681
178	36462	104794	-0.9887
178	36462	151194	-0.981
178	36462	10341154	-0.698
178	36462	1893730	-0.6057
178	36462	5730	-0.6789
178	36462	82146	-1.2431
178	6442177	24856436	-1.0902
178	6442177	3062316	-1.1775
178	6442177	451668	-0.8163
178	6442177	176870	-1.9704
178	6442177	657237	-2.2793
178	6442177	60750	-1.2664
178	6442177	208908	-3.7172
178	6442177	216326	-1.4538
178	6442177	216239	-1.2068
178	6442177	5394	-1.8434
178	6442177	11960529	-1.6789
178	6442177	5311	-1.1341
178	6442177	11152667	-1.8607
178	6442177	11213558	-1.2374
178	6442177	11178236	-0.8947
178	6442177	25023738	-1.3382
178	6442177	3218	-1.3258
178	6442177	16038120	-1.1354
178	6442177	5330286	-1.0186
178	6442177	1401	-1.3435
178	6442177	300471	-0.9745
178	6442177	159324	-1.5363
178	6442177	135418940	-1.1175
178	6442177	54708532	-1.1655
178	6442177	11630874	-1.2359
178	6442177	11234052	-1.6429
178	6442177	135440466	-1.3855
178	6442177	9933475	-1.0479
178	6442177	11656518	-2.1709
178	6442177	9926791	-1.0811
178	6442177	24748573	-2.7964
178	6442177	11683005	-0.9983
178	6442177	11524144	-0.9663
178	6442177	5113032	-1.1986
178	6442177	46233311	-1.6429
178	6442177	9934458	-1.0321
178	6442177	11617559	-0.9585
178	6442177	16219401	-1.2548
178	6442177	644213	-1.1883
178	6442177	3712	-1.4404
178	6442177	521106	-1.3369
178	6442177	25021165	-1.1601
178	6442177	16736978	-1.379
178	6442177	5278396	-1.5344
178	6442177	9950176	-1.3709
178	6442177	54676905	-1.5421
178	6442177	9829523	-1.5995
178	6442177	4493	-1.4466
178	6442177	10027278	-1.7773
178	6442177	17754438	-2.1981
178	6442177	1361332	-1.308
178	6442177	4829	-1.2851
178	6442177	24180719	-1.0622
178	6442177	42623900	-2.0793
178	6442177	3025986	-1.8676
178	6442177	24995524	-1.3192
178	6442177	5312137	-1.0014
178	6442177	447912	-2.3545
178	6442177	6505803	-1.3493
178	6442177	56972185	-1.5117
178	6442177	23625762	-0.9765
178	6442177	104794	-1.5175
178	6442177	151194	-1.4794
178	6442177	1893730	-1.1199
178	6442177	5730	-1.0667
178	6442177	82146	-1.6649
178	657237	24856436	-1.8408
178	657237	3062316	-1.9768
178	657237	451668	-1.6597
178	657237	176870	-2.561
178	657237	216326	-2.2185
178	657237	5394	-2.435
178	657237	11960529	-2.2024
178	657237	5311	-1.9029
178	657237	11152667	-2.7435
178	657237	11213558	-1.9149
178	657237	11178236	-1.614
178	657237	25023738	-1.9059
178	657237	3218	-2.1012
178	657237	16038120	-1.7494
178	657237	5330286	-1.7578
178	657237	1401	-2.1021
178	657237	300471	-1.8104
178	657237	159324	-2.2423
178	657237	135418940	-1.6119
178	657237	54708532	-1.8703
178	657237	11630874	-1.9777
178	657237	11234052	-2.2989
178	657237	135440466	-2.0175
178	657237	9933475	-1.8303
178	657237	11656518	-2.7694
178	657237	9926791	-1.9286
178	657237	11683005	-1.6291
178	657237	11524144	-1.9143
178	657237	5113032	-1.9535
178	657237	46233311	-2.2927
178	657237	9934458	-1.9499
178	657237	11617559	-1.7511
178	657237	16219401	-1.9684
178	657237	644213	-1.8479
178	657237	3712	-2.0252
178	657237	521106	-1.7841
178	657237	25021165	-1.9484
178	657237	16736978	-1.9942
178	657237	5278396	-2.0765
178	657237	9950176	-2.1134
178	657237	54676905	-2.2264
178	657237	9829523	-2.3014
178	657237	4493	-2.1092
178	657237	10027278	-2.5893
178	657237	17754438	-2.9072
178	657237	1361332	-1.9103
178	657237	4829	-1.8827
178	657237	42623900	-2.8391
178	657237	3025986	-2.547
178	657237	24995524	-2.0961
178	657237	5312137	-1.7694
178	657237	447912	-3.0218
178	657237	6505803	-1.9953
178	657237	56972185	-2.1718
178	657237	23625762	-1.6555
178	657237	104794	-2.144
178	657237	151194	-2.0573
178	657237	1893730	-1.7926
178	657237	5730	-1.7867
178	60750	24856436	-0.6587
178	60750	3062316	-0.7538
178	60750	451668	-0.4956
178	60750	176870	-1.4538
178	60750	657237	-1.9382
178	60750	216326	-1.0651
178	60750	5394	-1.3013
178	60750	11960529	-1.1636
178	60750	5311	-0.6949
178	60750	11152667	-1.6113
178	60750	11213558	-0.7807
178	60750	11178236	-0.4183
178	60750	25023738	-0.6844
178	60750	3218	-0.925
178	60750	16038120	-0.6149
178	60750	5330286	-0.5528
178	60750	1401	-0.8288
178	60750	300471	-0.4698
178	60750	159324	-1.0692
178	60750	135418940	-0.5403
178	60750	54708532	-0.7142
178	60750	11630874	-0.7289
178	60750	11234052	-0.9664
178	60750	135440466	-0.7848
178	60750	9933475	-0.6168
178	60750	11656518	-1.6997
