CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
64	261004	9444	-0.8926
64	261004	667490	-0.8946
64	261004	4114	-1.0348
64	261004	444795	-1.0228
64	261004	57469	-1.0324
64	261004	104741	-1.0595
64	2708	123631	-0.922
64	6857599	6253	-0.9803
64	123631	6450551	-1.0427
64	44424639	11626560	-1.1874
64	6442177	3385	-0.937
64	460612	452548	-0.9678
64	68740	6194	-0.7491
64	6442177	11683	-1.0584
64	2578	29327	-1.494
64	261004	36314	-0.7493
64	261004	60750	-0.9273
64	261004	2578	-0.9518
64	261004	4842	-0.9099
64	2767	454216	-1.0158
64	261004	3657	-1.0124
64	261004	5790	-0.999
64	261004	65628	-0.9688
64	261004	5284616	-0.9539
64	261004	60953	-1.0527
64	126941	454216	-1.0486
64	216239	123631	-0.9431
64	446556	9854073	-1.0468
64	6442177	123631	-0.9926
64	216239	9854073	-0.9608
64	387447	176870	-1.1225
64	123631	3081361	-0.9751
64	9444	5352062	-1.2198
64	439693	123631	-0.9834
64	4212	24776445	-1.1208
64	2094	123631	-0.9892
64	137	123631	-0.9838
64	667490	5353562	-0.879
64	2141	9854073	-1.0577
64	123631	24776445	-1.0366
64	454216	9854073	-1.1138
64	460612	9854073	-1.0212
64	5353562	9854073	-1.1325
64	123631	25126798	-1.0223
64	3011155	9854073	-1.0885
64	123631	11626560	-1.0639
64	5360373	60750	-0.9024
64	2662	9854073	-1.1382
64	6445540	123631	-0.9849
64	3657	6253	-0.9922
64	2767	9854073	-1.122
64	5394	6253	-0.9712
64	123631	5035	-1.0267
64	137	6253	-1.0071
64	123631	42611257	-1.0601
64	123631	132971	-1.046
64	5394	9854073	-1.1428
64	3690	4033	-0.9417
64	5311	5352062	-1.2868
64	3902	6194	-0.9297
64	2708	460612	-0.9357
64	460612	446556	-0.8543
64	6194	11683	-0.9276
64	2907	6253	-1.0372
64	6194	216326	-0.9655
64	216239	5360373	-0.9372
64	2578	4842	-0.9168
64	2907	5360373	-1.0173
64	5360373	3902	-0.9937
