CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
86	15953832	5311	-1.0357
86	24958200	176870	-1.0101
86	126941	208908	-0.6101
86	13342	16224745	-0.7318
86	13342	208908	-0.5845
86	60700	46926350	-1.0176
86	36462	176870	-0.8043
86	5311	208908	-0.8943
86	5311	176870	-0.9278
86	5311	16224745	-1.064
86	5311	24964624	-1.1078
86	208908	176870	-0.9873
86	208908	24964624	-1.1812
86	176870	16224745	-1.1997
86	59691338	13342	-1.1151
86	59691338	24856436	-1.0932
86	59691338	5329102	-1.0542
86	5743	176870	-1.0306
86	5329102	176870	-1.1393
86	387447	16224745	-0.1045
86	387447	3062316	-0.1206
86	31703	216239	-0.2155
86	31703	5329102	0.0373
86	387447	5288382	-0.2649
86	9826528	6857599	-0.2654
86	387447	216239	-0.2098
86	31703	216453	-0.0572
86	9826528	11960529	-0.1878
86	387447	6421776	-0.2755
86	31703	11960529	-0.0373
86	5288382	6857599	-0.2147
86	387447	60700	-0.2614
86	387447	6857599	-0.0504
86	31703	24958200	-0.0342
86	387447	11960529	-0.0033
86	5288382	216239	-0.3577
86	31703	5394	-0.0108
86	31703	16224745	-0.2906
86	31703	24748204	-0.196
86	60700	216239	-0.3702
86	31703	208908	-0.203
86	5288382	16224745	-0.3546
86	60750	11960529	-0.2677
86	60750	3062316	-0.358
86	60750	24958200	-0.2884
86	60750	216239	-0.3805
86	60750	24964624	-0.3462
86	60750	5394	-0.3076
86	60750	6421776	-0.3399
86	60750	176870	-0.3021
86	60750	5288382	-0.4447
86	60750	5329102	-0.2723
86	60750	208908	-0.2974
86	60750	24748204	-0.3121
86	60750	24856436	-0.305
86	60750	16224745	-0.3434
86	5746	5329102	-0.2583
86	60700	16224745	-0.3217
86	31703	5311	-0.3015
86	5746	5394	-0.2271
86	60750	9826528	-0.5513
86	60750	46926350	-0.3781
86	6421776	16224745	-0.4367
86	6421776	6857599	-0.3282
86	31703	24964624	-0.3525
86	31703	176870	-0.2121
86	5746	216239	-0.2603
86	9826528	16224745	-0.3677
86	9826528	3062316	-0.5067
86	387447	46926350	-0.4839
86	9826528	216239	-0.5403
86	5746	11960529	-0.2561
86	6421776	216239	-0.5471
86	9826528	5288382	-0.6015
86	60750	387447	-0.6049
86	5746	216453	-0.1896
86	5746	24958200	-0.3424
86	9826528	60700	-0.6591
86	5746	16224745	-0.4941
86	5746	5311	-0.4888
86	36462	5394	-0.3481
86	31703	3062316	-0.4812
86	31703	5288382	-0.6876
86	5288382	60700	-0.6844
86	46926350	16224745	-0.441
86	5746	24748204	-0.3184
86	5746	24964624	-0.551
86	5746	176870	-0.2035
86	5746	208908	-0.4307
86	60750	11520894	-0.5924
86	31703	24856436	-0.4541
86	44424639	5394	-0.525
86	9826528	6421776	-0.7097
86	5746	3062316	-0.6243
86	5311	5394	-0.2627
86	5746	5288382	-0.822
86	5746	24856436	-0.5867
86	36462	216239	-0.6618
86	5288382	6421776	-0.8829
86	11520894	5288382	-0.8696
86	36314	11960529	-0.5526
86	36314	5329102	-0.5868
86	11520894	16224745	-0.6176
86	60700	6421776	-0.8018
86	11520894	6857599	-0.5329
86	11520894	60700	-0.799
86	13342	11960529	-0.5158
86	11520894	216239	-0.7853
86	44424639	24748204	-0.5356
86	11520894	6421776	-0.8216
86	11520894	46926350	-0.7243
86	44424639	11960529	-0.5124
86	5311	216239	-0.7304
86	44424639	208908	-0.5581
86	44424639	5329102	-0.5247
86	36314	176870	-0.5907
86	44424639	5311	-0.6263
86	15953832	4091	-0.4758
86	104842	216239	-0.8091
86	126941	11960529	-0.5314
86	387447	11520894	-0.8672
86	3062316	6857599	-0.5845
86	44424639	176870	-0.6069
86	44424639	16224745	-0.6767
86	36314	5394	-0.582
86	44424639	24958200	-0.5334
86	126941	5311	-0.6058
86	31703	6421776	-0.8132
86	36314	24748204	-0.6261
86	126941	24748204	-0.5825
86	126941	5329102	-0.5088
86	3062316	216239	-0.8769
86	13342	24958200	-0.5936
86	44424639	3062316	-0.72
86	126941	24958200	-0.5552
86	44424639	24856436	-0.5968
86	126941	5394	-0.5707
86	126941	216453	-0.604
