CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
67	38904	9854073	-0.8954
67	9854073	132971	-1.0393
67	457193	9854073	-1.0996
67	60750	9854073	-1.0114
67	5394	9854073	-1.0294
67	9854073	25126798	-1.1347
67	4212	123631	-1.0178
67	3385	446556	-0.9744
67	176870	3385	-0.9745
67	3385	216326	-1.0358
67	6442177	6450551	-0.9454
67	261004	6445540	-0.7257
67	5311	9854073	-0.9388
67	5746	9854073	-0.8538
67	667490	9854073	-0.8735
67	6442177	9854073	-0.8522
67	5453	9854073	-0.965
67	29327	9854073	-0.9186
67	60700	9854073	-0.9475
67	20279	9854073	-0.9147
67	2478	9854073	-0.9666
67	5978	9854073	-0.9425
67	3385	123631	-0.8953
67	2187	9854073	-1.0501
67	2141	9854073	-1.0048
67	3902	9854073	-1.0124
67	4842	9854073	-0.9766
67	5284616	3385	-0.8675
67	444795	9854073	-1.0573
67	4915	9854073	-0.9745
67	3385	71384	-1.0056
67	237	3385	-0.9584
67	3385	6194	-1.0244
67	216239	3385	-0.9769
67	3385	36462	-1.0118
67	6253	457193	-0.9303
67	657237	3385	-0.9599
67	3385	11626560	-1.0211
67	3385	31703	-1.019
67	3385	25126798	-1.0362
67	3385	5353562	-1.0725
67	148124	24776445	-1.0952
67	6253	2662	-1.0636
67	176870	148124	-1.0075
67	148124	444795	-0.9938
67	451668	454216	-0.8785
67	439693	5360373	-1.0719
67	6442177	11626560	-0.9768
67	5284616	5353562	-0.9359
67	5790	42611257	-1.0563
67	5284616	11683	-0.9932
67	126941	5353562	-0.912
67	5284616	25126798	-1.0279
67	451668	5353562	-0.9866
67	119182	5353562	-1.0079
67	126941	11683	-0.9483
67	2478	3902	-1.0817
67	451668	119182	-1.0126
67	451668	444795	-0.9705
67	3950	10113978	-1.0325
67	104741	3062316	-0.9836
67	5394	657237	-0.984
67	2094	216239	-1.0237
67	5426	444795	-0.9885
67	208908	2123	-1.0214
67	60953	11683	-1.0148
67	5352062	9854073	-0.7764
67	6445540	6253	-0.7315
67	2723601	9854073	-0.8125
67	6445540	667490	-0.9403
67	6445540	36314	-0.8939
67	60198	9854073	-0.8875
67	148124	9854073	-0.8815
67	36314	9854073	-0.8827
67	6445540	2094	-0.9726
67	6445540	4211	-1.0056
67	6445540	38904	-0.9495
67	237	9854073	-0.9147
67	6445540	216239	-0.9727
67	6445540	3902	-0.9847
67	2708	9854073	-0.9498
67	6445540	3657	-1.0252
67	5790	2723601	-0.6941
67	5746	5352062	-1.0098
67	137	9854073	-0.9843
67	6445540	5394	-1.0108
67	6445540	6442177	-0.9573
67	6445540	3011155	-0.9875
67	5360373	9854073	-0.9024
67	126941	9854073	-0.9471
67	5352062	2708	-0.9394
67	439693	9854073	-0.9279
67	9854073	11626560	-1.0464
67	11626560	9854073	-0.9703
67	36314	457193	-0.7502
67	104842	9854073	-0.9142
67	24776445	9854073	-0.9967
67	5311	5352062	-1.1826
67	6445540	65628	-0.9853
67	36314	123631	-0.9809
67	176870	9854073	-1.067
67	5352062	6194	-1.0032
67	9444	9854073	-0.9894
67	3011155	9854073	-1.0178
67	5291	9854073	-0.9888
67	9854073	24776445	-1.0475
67	3385	44424639	-0.943
67	4211	9854073	-1.0978
67	65628	9854073	-1.042
67	2767	9854073	-1.0063
67	5352062	5790	-0.8644
67	5329102	9854073	-1.0007
67	5311	3385	-0.909
67	667490	3385	-0.8602
67	13342	3385	-0.8374
67	148124	36314	-0.7652
67	6445540	9854073	-1.0313
67	6442177	2723601	-0.8305
67	5746	123631	-0.9312
67	208908	9854073	-1.0819
67	42611257	9854073	-1.0186
67	6253	126941	-0.8384
67	2662	9854073	-1.1106
67	259331	2723601	-0.9133
67	2733526	9854073	-1.0859
67	5746	3385	-0.8324
67	104741	9854073	-1.0694
67	148124	123631	-0.9893
67	3690	9854073	-0.9674
67	3385	4212	-0.929
67	163659	9854073	-1.1817
67	6450551	9854073	-0.995
67	454216	9854073	-1.0446
67	6857599	3385	-0.8652
67	667490	2723601	-0.8519
67	6253	3385	-0.8546
67	9854073	42611257	-1.1049
67	137	2723601	-0.9284
67	2723601	132971	-0.9826
67	667490	36314	-0.9276
67	5311	44424639	-0.9628
67	36314	60953	-0.9341
67	65628	5352062	-0.9436
67	5453	3385	-0.9114
67	387447	176870	-1.004
67	3385	452548	-0.9544
67	5746	20279	-0.9028
67	261004	2723601	-0.9866
67	20279	3385	-0.961
67	259331	123631	-0.72
67	259331	36314	-1.1135
67	667490	454216	-0.9716
67	261004	5311	-1.0765
67	387447	657237	-0.9269
67	148124	2708	-0.9298
67	439693	2723601	-0.9676
67	3385	3081361	-0.9839
67	3385	30323	-1.0427
67	137	3385	-0.9225
67	5284616	44424639	-0.9493
67	60700	36314	-1.1004
67	137	36314	-0.958
67	4211	2723601	-1.003
67	163659	5453	-0.9395
67	444795	3385	-0.9746
67	68740	3385	-0.9804
67	454216	457193	-1.128
67	5746	452548	-0.9085
67	104741	3385	-0.9795
67	3385	5035	-0.9817
67	5799	457193	-0.9029
67	4033	3385	-0.984
67	644241	3385	-0.9896
67	3385	24776445	-0.9741
67	4915	126941	-0.9606
67	237	5360373	-0.8834
67	451668	5352062	-1.0332
67	2907	3385	-0.9363
67	2907	36314	-1.0946
67	4842	6253	-0.9284
67	3011155	126941	-0.7044
67	5291	3385	-1.0441
67	20279	457193	-0.9792
67	454216	5790	-1.0697
67	2578	36314	-1.1883
67	148124	11626560	-1.0598
67	3690	36314	-1.1007
67	5453	60198	-0.9496
67	148124	5284616	-0.8508
67	2141	36314	-1.2011
67	5329102	3385	-0.993
67	163659	68740	-0.9852
67	6857599	5360373	-1.0485
67	5790	2708	-0.8063
67	3062316	6253	-0.9162
67	176870	123631	-0.9421
67	5790	446556	-0.8322
67	5284616	454216	-1.0711
67	148121	3385	-0.9304
67	5360373	60198	-0.9526
67	60953	3385	-0.9815
67	259331	148124	-1.1359
67	2767	5453	-0.9761
67	4114	3385	-0.9684
67	667490	4212	-0.9098
67	4212	3081361	-1.0886
67	148124	13342	-0.846
67	176870	20279	-0.9488
67	176870	5799	-0.9271
67	5311	5790	-0.9357
67	5790	3081361	-1.0378
67	451668	163659	-1.0064
67	13342	6253	-1.0414
67	4211	6253	-1.0617
67	104741	60198	-0.9954
67	176870	4212	-1.0573
67	6857599	457193	-1.1145
67	148124	10113978	-1.0806
67	5284616	6194	-0.8961
67	119182	6253	-0.7761
67	5311	457193	-0.8102
67	3902	3385	-0.9824
67	13342	30323	-0.9351
67	9444	5790	-0.9495
67	5284616	452548	-0.9264
67	4114	60198	-1.0033
67	6442177	6194	-1.0002
67	4033	5311	-0.9536
