CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
157	46215815	54454	-1.0443
157	11707110	24964624	-1.0902
157	11382492	637858	-1.0785
157	11626560	46215815	-1.1517
157	49846579	24856436	-0.9706
157	49846579	42642645	-0.7889
157	11556711	11178236	-0.5651
157	637858	11178236	-0.9726
157	46215815	3854666	-0.6175
157	11364421	24964624	-1.0471
157	11626560	60750	-0.8062
157	46215815	60750	-0.791
157	24856436	24964624	-1.009
157	46215815	5081913	-0.9555
157	42642645	24964624	-0.9656
157	46215815	11598628	-0.9573
157	46215815	78358496	-0.994
157	25262965	46215815	-0.9623
157	46907787	24964624	-1.1253
157	25262965	24964624	-1.0005
157	46215815	24771867	-1.0076
157	46215815	46907787	-1.0349
157	49846579	17755052	-0.8777
157	49846579	24771867	-0.857
157	25262965	11626560	-1.1199
157	16659841	11707110	-0.8298
157	56649450	46215815	-0.984
157	11382492	446378	-0.9303
157	49846579	446556	-0.9054
157	176870	46215815	-1.0367
157	1080352	11626560	-1.0474
157	446556	637858	-1.38
157	10184653	46215815	-1.0743
157	11626560	637858	-1.2115
157	46215815	5311	-1.2014
157	46215815	637858	-1.1647
157	46215815	446378	-1.0392
157	10184653	637858	-1.2622
157	11178236	11178236	-0.1761
157	3854666	11178236	-0.2555
157	16720766	11178236	-0.4744
157	11364421	11178236	-0.5748
157	60750	3854666	-0.1433
157	60750	11178236	-0.5486
157	24856436	11178236	-0.5401
157	11152667	3854666	-0.2987
157	11152667	11152667	-0.2301
157	11364421	16720766	-0.4051
157	11152667	11178236	-0.5637
157	42642645	11178236	-0.6278
157	5081913	11178236	-0.6481
157	11556711	11556711	-0.7309
157	3854666	3854666	-0.4494
157	11598628	11178236	-0.6329
157	16720766	3854666	-0.3567
157	11382492	11178236	-0.7095
157	11556711	3854666	-0.6722
157	11364421	3854666	-0.4344
157	3385	3854666	-0.3994
157	5288674	11178236	-0.7269
157	78358496	11178236	-0.5941
157	46907787	11178236	-0.7424
157	3385	11178236	-0.6893
157	24771867	11178236	-0.7401
157	3062316	11178236	-0.7952
157	11707110	11178236	-0.7637
157	60750	60750	-0.4032
157	25262965	11178236	-0.7561
157	56649450	11178236	-0.7797
157	17755052	11178236	-0.8288
157	60750	16720766	-0.4625
157	36314	11178236	-0.7677
157	11152667	16720766	-0.415
157	11364421	60750	-0.4407
157	11626560	11178236	-0.6536
157	104842	11178236	-0.8139
157	24964624	11178236	-0.8067
157	5288674	3854666	-0.5052
157	24856436	3854666	-0.4768
157	446556	11178236	-0.7814
157	42642645	3854666	-0.3955
157	135398510	11178236	-0.8467
157	5081913	3854666	-0.5835
157	1080352	3854666	-0.5625
157	5287969	11178236	-0.8775
157	11364421	11556711	-0.9131
157	11556711	16720766	-0.8521
157	46215815	11178236	-0.8563
157	176870	11178236	-0.8878
157	54454	11178236	-0.7901
157	3062316	3854666	-0.5853
157	1080352	11178236	-0.8849
157	16720766	16720766	-0.2236
157	11556711	60750	-0.8797
157	25262965	3854666	-0.5535
157	11707110	3854666	-0.4901
157	5287969	3854666	-0.598
157	49846579	11178236	-0.8737
157	16659841	3854666	-0.5091
157	17755052	3854666	-0.5403
157	42642645	16720766	-0.5214
157	46907787	3854666	-0.6415
157	11382492	3854666	-0.5371
157	10184653	11178236	-0.8984
157	16659841	11178236	-0.9778
157	11598628	3854666	-0.5395
157	24856436	16720766	-0.5709
157	11626560	3854666	-0.6131
157	78358496	3854666	-0.5189
157	11152667	11364421	-0.6899
157	11364421	42642645	-0.7423
157	11364421	11364421	-0.6267
157	11556711	24856436	-0.9543
157	11364421	24856436	-0.793
157	5311	11178236	-1.0215
157	446378	11178236	-0.973
157	5288674	60750	-0.5045
157	25262965	16720766	-0.5325
157	11152667	11556711	-0.9475
157	5288674	16720766	-0.5924
157	5288674	11152667	-0.5043
157	11364421	5081913	-0.7833
157	24771867	3854666	-0.6257
157	5081913	16720766	-0.5753
157	446556	3854666	-0.6313
157	176870	3854666	-0.5449
157	24964624	3854666	-0.6883
157	60750	5081913	-0.6074
157	11556711	42642645	-1.0256
157	11556711	5081913	-1.005
157	5288674	11364421	-0.7794
157	60750	24856436	-0.8373
157	135398510	3854666	-0.5556
157	3385	11364421	-0.7064
157	11152667	60750	-0.8624
157	11364421	11598628	-0.6603
157	56649450	3854666	-0.4391
157	11382492	16720766	-0.5566
157	24856436	24856436	-0.6915
157	5288674	11556711	-1.0053
157	46907787	16720766	-0.773
157	3854666	104842	-0.6922
