CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
7	6445540	38904	-0.983
7	6445540	31703	-1.0051
7	6445540	68740	-1.0063
7	20279	9854073	-1.026
7	387447	5284616	-1.2222
7	3902	9854073	-1.0777
7	3385	123631	-1.0127
7	29327	3385	-1.0018
7	4211	3385	-1.0094
7	3690	3385	-1.0054
7	104842	6194	-0.8828
7	2123	4212	-1.0013
7	68740	6253	-1.0011
7	4114	20279	-1.0347
7	208908	5353562	-0.9507
7	5284616	446556	-0.7505
7	6445540	5746	-1.011
7	6445540	667490	-0.9721
7	2723601	9854073	-1.0471
7	6445540	5790	-0.993
7	6445540	6442177	-1.0017
7	6445540	2578	-1.0767
7	6445540	148124	-1.0405
7	148124	9854073	-1.092
7	2723601	3385	-0.963
7	6445540	657237	-0.9259
7	6194	9854073	-1.0038
7	6445540	4114	-1.1009
7	60700	9854073	-0.9589
7	6445540	2094	-0.9756
7	6445540	2187	-1.0565
7	5790	71384	-1.1248
7	148124	3385	-0.8753
7	3385	71384	-0.9599
7	5790	5353562	-1.1401
7	5394	9854073	-1.1101
7	57469	9854073	-1.1328
7	3690	9854073	-1.1269
7	60750	9854073	-1.1034
7	2187	9854073	-1.0715
7	3011155	9854073	-1.0864
7	5978	3385	-0.9526
7	439693	9854073	-1.0744
7	387447	31703	-1.2473
7	9854073	42611257	-0.977
7	3385	216326	-0.977
7	237	3385	-0.9975
7	6253	2708	-0.8896
7	44424639	6450551	-1.1035
7	3385	5353562	-1.0131
7	387447	3385	-1.0262
7	2578	3385	-0.9845
7	44424639	25126798	-1.1444
7	5426	3385	-1.0281
7	57469	3385	-1.019
7	42611257	3385	-1.0935
7	667490	6194	-0.9098
7	261004	3385	-1.0428
7	3385	25126798	-1.0299
7	454216	3902	-1.2151
7	5284616	42611257	-1.0237
7	2094	4212	-1.0031
7	6194	71384	-0.9427
7	2733526	4212	-1.0146
7	454216	60750	-1.3246
7	5360373	6253	-0.9539
7	5352062	5035	-0.9389
7	5799	5978	-0.8604
7	4915	4212	-0.9842
7	60700	31703	-0.9999
7	104842	3081361	-1.0133
7	36462	71384	-1.0143
7	3950	5799	-1.0109
7	60700	13342	-1.0667
7	176870	60700	-1.1232
7	4033	5453	-0.9738
7	6194	10113978	-1.0116
7	2708	5035	-0.9947
7	11683	5799	-1.0427
7	2578	20279	-1.1115
7	104842	13342	-0.9506
7	29327	6253	-1.0445
7	2478	3062316	-1.0555
7	216239	6253	-0.9913
7	11626560	3950	-0.9997
7	60953	6194	-1.0413
7	2141	20279	-1.1309
7	5394	6253	-0.986
7	57469	20279	-1.1773
7	444795	20279	-1.004
7	6194	31703	-0.9387
7	2478	60750	-0.9185
7	6442177	60750	-0.939
7	4211	6442177	-1.0331
7	148124	2733526	-1.0327
7	68740	148124	-0.953
7	163659	132971	-1.0202
