CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
3	5353562	4212	-0.9943
3	657237	3385	-0.72
3	5353562	446556	-0.84
3	2662	446556	-1.0256
3	2733526	36462	-1.068
3	2187	36462	-1.0529
3	104741	36462	-1.0297
3	38904	5790	-0.9712
3	3011155	36462	-1.0909
3	2733526	5790	-1.0414
3	36314	3385	-0.5646
3	5360373	3385	-0.7722
3	5352062	446556	-0.7785
3	44424639	446556	-0.7137
3	65628	3385	-0.8092
3	444795	36462	-0.8728
3	451668	446556	-0.8714
3	261004	3385	-0.8592
3	176870	3385	-0.8093
3	68740	3385	-0.7832
3	5284616	44424639	-0.8684
3	13342	446556	-0.8495
3	451668	4212	-0.8467
3	2708	446556	-0.6592
3	2708	4212	-0.8189
3	451668	6857599	-0.7559
3	451668	2708	-0.8791
3	5311	4212	-0.8859
3	667490	454216	-0.9314
3	3011155	3385	-0.8239
3	36314	3950	-0.9073
3	137	4212	-0.8434
3	444795	5790	-0.9335
3	6442177	44424639	-0.9961
3	2478	446556	-1.0588
3	5284616	216326	-0.9939
3	4033	4212	-0.9845
3	6442177	71384	-0.8613
3	2662	36462	-1.0099
3	57469	36462	-0.957
3	57469	4212	-0.9571
3	65628	36462	-1.0713
3	11683	446556	-0.7409
3	104741	446556	-1.0507
3	446556	24776445	-1.0814
3	6857599	3657	-1.024
3	148124	3011155	-0.6231
3	446556	5035	-1.0928
3	6253	4212	-0.9325
3	2907	446556	-0.9393
3	2733526	4212	-1.0969
3	4211	4212	-1.0315
3	6253	5790	-0.9937
3	44424639	6450551	-1.2206
3	42611257	36462	-1.0244
3	2767	446556	-1.0685
3	44424639	24776445	-1.2854
3	208908	5978	-1.0765
3	657237	5790	-1.061
3	2123	4212	-1.0727
3	2733526	457193	-1.2457
3	176870	667490	-0.9781
3	31703	644241	-1.1282
3	2141	3657	-0.9413
3	5360373	657237	-0.9529
3	439693	4915	-0.9926
3	2662	5353562	-1.0886
3	104741	2733526	-1.1077
3	5394	11626560	-1.0227
3	261004	6445540	-0.6657
3	5284616	3385	-0.4842
3	446556	9854073	-0.682
3	6445540	36314	-0.6959
3	2708	3385	-0.5198
3	237	9854073	-0.7822
3	444795	3385	-0.6472
3	5746	9854073	-0.8862
3	3385	5799	-0.7256
3	667490	9854073	-0.7954
3	3385	6194	-0.5531
3	36314	446556	-0.7987
3	5978	9854073	-0.8537
3	4033	3385	-0.7239
3	4212	446556	-0.6594
3	261004	148124	-0.6638
3	3385	31703	-0.8224
3	2478	3385	-0.7441
3	452548	446556	-0.5996
3	5291	9854073	-0.8966
3	387447	3385	-0.6865
3	5284616	36462	-0.6954
3	6445540	3385	-0.7965
3	148124	2708	-0.7426
3	387447	454216	-0.8592
3	5284616	446556	-0.6395
3	57469	3385	-0.8048
3	667490	4212	-0.7273
3	36314	2723601	-0.8683
3	460612	3385	-0.6822
3	446556	5799	-0.722
3	5311	446556	-0.8382
3	451668	36462	-0.8261
3	5790	2723601	-0.904
3	3385	10113978	-0.8767
3	148124	44424639	-0.8764
3	2187	3385	-0.7948
3	2094	3385	-0.8711
3	148124	3950	-0.8885
3	36314	71384	-0.8623
3	5799	9444	-0.7542
3	9444	457193	-0.7843
3	9854073	6450551	-1.1465
3	3902	3385	-0.7825
3	5360373	9854073	-1.0571
3	5790	30323	-1.0061
3	5978	446556	-0.8573
3	6857599	5311	-0.8283
3	261004	667490	-0.9466
3	9854073	42611257	-1.049
3	36314	460612	-0.9812
3	5284616	60198	-0.8223
3	667490	9444	-0.8846
3	9444	5352062	-0.9268
3	446556	132971	-0.9432
3	6857599	4842	-0.8273
3	2723601	4212	-0.8318
3	6857599	5790	-0.8531
3	5790	132971	-0.7719
3	667490	5352062	-0.6772
3	2767	3385	-0.8405
3	38904	446556	-0.8323
