CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
167	24856436	11152667	-0.6729
167	24856436	25023738	-1.6328
167	24856436	3218	-0.8469
167	24856436	16038120	1.4361
167	24856436	1401	-0.7196
167	24856436	300471	-1.0375
167	24856436	159324	-1.0386
167	24856436	135418940	-0.6668
167	24856436	54708532	-0.9235
167	24856436	11630874	-0.9973
167	24856436	135440466	-0.7687
167	24856436	9933475	-0.6944
167	24856436	9926791	-1.0403
167	24856436	11524144	-0.8253
167	24856436	5113032	-1.1243
167	24856436	46233311	-1.608
167	24856436	9934458	-0.5861
167	24856436	11617559	-1.364
167	24856436	16219401	-1.2808
167	24856436	644213	-1.2235
167	24856436	25021165	-0.9716
167	24856436	16736978	-0.9412
167	24856436	5278396	-0.8752
167	24856436	9950176	-0.9671
167	24856436	54676905	-1.2738
167	24856436	9829523	-0.6287
167	24856436	10027278	-1.0475
167	24856436	17754438	-0.8072
167	24856436	1361332	-0.6514
167	24856436	4829	-0.8457
167	24856436	42623900	-1.2523
167	24856436	3025986	-0.861
167	24856436	24995524	-0.9677
167	24856436	5312137	-0.7581
167	24856436	447912	-0.2255
167	24856436	56972185	-0.7617
167	24856436	23625762	-1.957
167	24856436	104794	-1.4417
167	24856436	5730	-1.1631
167	387447	24856436	-1.0132
167	387447	3062316	-0.7392
167	387447	451668	-0.9996
167	387447	2767	-0.8584
167	387447	176870	-0.8418
167	387447	6442177	-1.225
167	387447	657237	-0.8758
167	387447	60750	-1.0812
167	387447	208908	-2.6346
167	387447	216326	-1.5898
167	387447	216239	-0.9022
167	387447	5394	-1.4571
167	387447	11960529	-0.8422
167	387447	5311	-0.9527
167	387447	11152667	-0.9237
167	387447	11213558	-1.0794
167	387447	11626560	-0.5167
167	387447	135398510	-0.8205
167	387447	11178236	-1.2584
167	387447	25023738	-1.7517
167	387447	3218	-0.3653
167	387447	16038120	-1.1568
167	387447	5330286	-1.9554
167	387447	1401	-0.543
167	387447	300471	-1.0855
167	387447	159324	-1.164
167	387447	135418940	-0.3419
167	387447	54708532	-1.1963
167	387447	11630874	-1.2646
167	387447	11234052	-1.0281
167	387447	135440466	-0.9197
167	387447	9933475	-0.8419
167	387447	11656518	-1.7661
167	387447	9926791	-1.1973
167	387447	24748573	-0.745
167	387447	11683005	-1.0861
167	387447	11524144	-1.1725
167	387447	5113032	-1.1965
167	387447	46233311	-1.8342
167	387447	9934458	-1.1366
167	387447	11617559	-0.6299
167	387447	16219401	-1.5664
167	387447	644213	-0.5244
167	387447	3712	-0.8504
167	387447	521106	-0.9124
167	387447	25021165	-1.1966
167	387447	16736978	-1.1031
167	387447	5278396	-1.0768
167	387447	9950176	-0.945
167	387447	54676905	-1.4297
167	387447	9829523	-0.6977
167	387447	4493	-1.0719
167	387447	10027278	-0.8833
167	387447	17754438	-0.8907
167	387447	1361332	-1.0134
167	387447	4829	-0.8099
167	387447	24180719	-0.6313
167	387447	42623900	-1.355
167	387447	3025986	-0.8402
167	387447	24995524	-1.1131
167	387447	16683013	-0.6815
167	387447	5312137	-0.6942
167	387447	447912	-0.5309
167	387447	6505803	-1.6537
167	387447	56972185	-0.7258
167	387447	23625762	-1.9968
167	387447	104794	-1.3947
167	387447	151194	-1.1064
167	387447	1893730	-0.925
167	387447	5730	-1.5363
167	387447	82146	-1.007
167	3062316	24856436	-0.8885
167	3062316	216326	-0.9946
167	3062316	5394	-0.8823
167	3062316	11960529	-0.7391
167	3062316	5311	-0.7729
167	3062316	11152667	-0.6752
167	3062316	11213558	-0.8967
167	3062316	11178236	-1.1655
167	3062316	25023738	-1.4173
167	3062316	3218	-0.7799
167	3062316	16038120	-1.1445
167	3062316	1401	-0.9101
167	3062316	300471	-1.0451
167	3062316	159324	-1.0834
167	3062316	135418940	-0.4837
167	3062316	54708532	-0.7819
167	3062316	11630874	0.9481
167	3062316	11234052	-0.7482
167	3062316	135440466	-0.6511
167	3062316	9933475	-0.6359
167	3062316	11656518	-1.5763
167	3062316	9926791	-0.9217
167	3062316	11524144	-0.7033
167	3062316	5113032	-0.9341
167	3062316	46233311	-1.8186
167	3062316	9934458	-0.8551
167	3062316	11617559	-1.2973
167	3062316	16219401	-1.1115
167	3062316	644213	-1.1406
167	3062316	521106	-0.7538
167	3062316	25021165	-0.911
167	3062316	16736978	-0.9465
167	3062316	5278396	-0.8807
167	3062316	9950176	-0.8578
167	3062316	54676905	-1.2498
167	3062316	9829523	-0.4675
167	3062316	4493	-0.7533
167	3062316	10027278	-0.9462
167	3062316	17754438	-0.7456
167	3062316	1361332	-0.8214
167	3062316	4829	-0.7127
167	3062316	42623900	-1.3262
167	3062316	3025986	-0.7703
167	3062316	24995524	-0.9524
167	3062316	5312137	-0.6596
167	3062316	447912	-0.4671
167	3062316	56972185	-0.5413
167	3062316	23625762	-1.6964
167	3062316	104794	-1.2874
167	3062316	5730	-1.1869
167	451668	24856436	-0.8879
167	451668	3062316	-0.7003
167	451668	176870	-0.6593
167	451668	216326	-1.2845
167	451668	5394	-1.0297
167	451668	11960529	-0.7118
167	451668	5311	-0.7224
167	451668	11152667	-0.5461
167	451668	11213558	-0.7741
167	451668	11178236	-1.206
167	451668	25023738	-1.5312
167	451668	3218	-0.779
167	451668	16038120	-1.0088
167	451668	5330286	-1.8158
167	451668	1401	-0.7715
167	451668	300471	-0.8043
167	451668	159324	-1.0035
167	451668	135418940	-0.628
167	451668	54708532	-0.7529
167	451668	11630874	-0.9422
167	451668	11234052	-0.8034
167	451668	135440466	-0.5653
167	451668	9933475	1.19
167	451668	11656518	-1.6771
167	451668	9926791	-0.9554
167	451668	11683005	-0.7113
167	451668	11524144	-0.6484
167	451668	5113032	-0.9048
167	451668	46233311	-1.6446
167	451668	9934458	-0.703
167	451668	11617559	-1.2608
167	451668	16219401	-1.0444
167	451668	644213	-1.2672
167	451668	3712	-0.7386
167	451668	521106	-0.5523
167	451668	25021165	-1.0246
167	451668	16736978	-0.9702
167	451668	5278396	-0.7636
167	451668	9950176	-0.8284
167	451668	54676905	-1.3585
167	451668	9829523	-0.6166
167	451668	4493	-0.7583
167	451668	10027278	-1.025
167	451668	17754438	-0.6542
167	451668	1361332	-0.6909
167	451668	4829	-0.7185
167	451668	42623900	-1.1236
167	451668	3025986	-0.7452
167	451668	24995524	-0.8933
167	451668	5312137	-0.6568
167	451668	447912	-0.3705
167	451668	6505803	-1.5345
167	451668	56972185	-0.6412
167	451668	23625762	-1.8954
167	451668	104794	-1.2993
167	451668	151194	-0.2211
167	451668	1893730	-0.5859
