CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
70	446556	9854073	-1.0539
70	29327	4212	-1.0138
70	68740	6450551	-1.0035
70	6445540	5352062	-0.9029
70	36314	9854073	-1.0281
70	36462	9854073	-1.0081
70	24776445	9854073	-0.8985
70	6445540	5311	-1.0342
70	42611257	9854073	-0.8948
70	439693	9854073	-1.0964
70	6445540	5291	-1.0473
70	6445540	5329102	-1.0477
70	20279	9854073	-1.1337
70	9854073	5035	-1.0246
70	460612	9854073	-1.1005
70	3011155	9854073	-1.1257
70	2141	9854073	-1.1289
70	44424639	31703	-1.0035
70	148124	123631	-1.0087
70	4915	9854073	-1.1702
70	5284616	10113978	-1.0018
70	5284616	5035	-0.9674
70	6442177	36462	-0.9414
70	6442177	446556	-0.974
70	36314	6450551	-1.0841
70	644241	4212	-1.0293
70	68740	446556	-0.9282
70	3950	446556	-0.9543
70	6445540	6194	-0.9324
70	208908	4212	-1.0506
70	5790	42611257	-1.0152
70	446556	3081361	-0.9777
70	9444	446556	-0.9352
70	444795	36462	-0.9966
70	5360373	36462	-0.9645
70	446556	10113978	-0.998
70	237	3062316	-1.0511
70	2907	126941	-1.0355
70	3011155	446556	-0.9877
70	446556	6450551	-0.9944
70	36314	644241	-1.0841
70	20279	30323	-0.9662
70	3062316	148124	-0.9338
70	2094	446556	-0.9891
70	451668	5353562	-0.9603
70	208908	36462	-1.0044
70	6857599	24776445	-1.0419
70	4033	10113978	-1.0264
70	208908	3062316	-1.0083
70	3690	30323	-1.0332
70	644241	446556	-1.0182
70	20279	3081361	-0.9431
70	460612	42611257	-1.0647
70	2141	5360373	-1.0276
70	6194	11683	-1.0817
70	11683	446556	-0.9856
70	451668	444795	-0.9646
70	9444	11683	-1.0016
70	25126798	10113978	-0.9739
70	20279	5035	-0.9813
70	657237	6450551	-0.9963
70	31703	6253	-1.0453
70	3690	5790	-1.0087
70	60953	444795	-0.9976
70	644241	2662	-1.0697
70	4114	11683	-0.999
70	261004	5352062	-0.8442
70	2767	6445540	-0.9332
70	5284616	9854073	-1.0279
70	38904	9854073	-1.0227
70	454216	163659	-1.0479
70	13342	9854073	-0.8618
70	5284616	3385	-0.8425
70	3385	9854073	-1.0316
70	6445540	3062316	-0.9381
70	6445540	5978	-0.8497
70	387447	5360373	-0.9816
70	6445540	104842	-0.8411
70	5352062	6194	-0.9663
70	60700	9854073	-1.0293
70	452548	9854073	-1.0153
70	5284616	4212	-0.8532
