CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
72	2578	5360373	-1.1105
72	6442177	6450551	-0.9026
72	5426	126941	-0.9946
72	4212	6450551	-1.0789
72	4114	5360373	-1.0795
72	4212	25126798	-1.0902
72	11683	4212	-1.0922
72	454216	9854073	-1.0906
72	65628	9854073	-1.1178
72	9854073	3081361	-1.0734
72	60750	9854073	-1.0741
72	176870	9854073	-1.1109
72	4114	9854073	-1.0637
72	5426	9854073	-1.1089
72	29327	446556	-0.9695
72	57469	446556	-1.0305
72	5394	446556	-1.0302
72	208908	446556	-1.0321
72	261004	446556	-1.0174
72	5790	9854073	-0.9129
72	4212	9854073	-0.8877
72	6445540	454216	-0.8826
72	6445540	6857599	-1.0128
72	6442177	44424639	-0.9252
72	5360373	9854073	-0.8969
72	216239	9854073	-0.9429
72	6445540	451668	-1.1004
72	60700	9854073	-0.9504
72	6445540	2907	-1.084
72	2578	126941	-0.7845
72	6194	446556	-0.9007
72	148124	446556	-0.91
72	60700	446556	-0.9345
72	6442177	5353562	-0.968
72	4212	132971	-1.0968
72	259331	6445540	-0.9164
72	4033	9854073	-1.0094
72	2187	9854073	-1.0665
72	9854073	10113978	-1.0612
72	3902	9854073	-1.0643
72	2094	9854073	-1.0463
72	208908	9854073	-1.055
72	3011155	9854073	-1.073
72	2578	9854073	-1.0882
72	30323	446556	-1.0288
72	9444	9854073	-1.0669
72	104741	9854073	-1.11
72	4211	9854073	-1.0563
72	5353562	446556	-0.9246
72	446556	10113978	-0.9496
72	57469	9854073	-1.0768
72	60953	9854073	-1.1322
72	176870	2723601	-1.0261
72	5329102	2723601	-1.0307
72	2187	446556	-0.9949
72	5394	4212	-1.0251
72	6445540	446556	-1.0099
72	9854073	42611257	-1.1352
72	2578	454216	-0.9467
72	163659	9854073	-1.1534
72	5978	446556	-0.9704
72	387447	3011155	-0.9211
72	667490	148124	-1.1155
72	44424639	24776445	-1.0968
72	148124	123631	-1.0899
72	13342	3081361	-1.0501
72	2767	3950	-1.016
72	4915	11626560	-0.9671
72	439693	2478	-0.9823
72	2094	5353562	-0.9184
72	60953	6450551	-1.004
72	5329102	216326	-0.9568
72	5311	3081361	-0.9798
72	5329102	123631	-0.9975
72	25126798	3081361	-1.0033
72	259331	13342	-0.99
72	5291	10113978	-0.9984
72	3062316	657237	-0.984
72	4114	2094	-1.0124
72	4211	644241	-1.0076
72	60198	216326	-0.9711
72	4212	5799	-0.9659
72	6442177	4212	-0.8699
72	60700	126941	-0.7509
72	126941	9854073	-0.7606
72	126941	452548	-0.8344
72	6445540	60700	-0.9543
72	6442177	9854073	-0.7983
72	454216	5360373	-0.9715
72	5790	3950	-0.8803
72	446556	5799	-0.8563
72	4212	446556	-0.8657
72	5746	2708	-0.8656
72	387447	9854073	-1.0326
72	5746	60198	-0.8618
72	36462	4212	-0.9543
72	6445540	36314	-0.9476
72	71384	4212	-0.9502
72	6857599	126941	-0.8176
72	5746	667490	-0.8675
72	216239	4212	-0.9405
72	126941	30323	-0.9133
72	5352062	446556	-0.9514
72	44424639	9854073	-0.9008
72	6445540	29327	-1.0929
72	2723601	446556	-0.831
72	6442177	71384	-0.9162
72	6445540	5329102	-0.9757
72	38904	9854073	-0.9419
72	216239	2723601	-0.925
72	5284616	3950	-0.7571
72	216239	446556	-0.926
72	667490	9854073	-0.8622
72	6445540	444795	-1.0331
72	126941	6450551	-0.9463
72	6445540	2141	-1.1246
72	2767	5284616	-0.9376
72	6445540	60953	-1.0145
72	104842	5352062	-1.086
72	387447	446556	-0.9296
72	2708	446556	-0.8822
72	6445540	2662	-0.9971
72	6442177	25126798	-0.9167
72	13342	9854073	-0.9749
72	3950	446556	-0.8612
72	451668	126941	-0.9219
72	6442177	460612	-0.99
72	6442177	132971	-0.9127
72	4114	126941	-0.9687
72	5360373	3385	-0.8894
72	2141	126941	-0.8719
72	13342	2708	-0.8563
72	5790	24776445	-1.037
72	148124	9854073	-1.0255
72	6445540	5291	-1.0364
72	13342	6194	-0.9231
72	126941	13342	-1.0143
72	6857599	5799	-1.0822
72	137	2723601	-0.8754
72	11626560	9854073	-0.9855
72	137	9854073	-0.9735
72	4212	123631	-1.118
72	44424639	446556	-0.9422
72	126941	25126798	-0.9685
72	42611257	4212	-1.0268
72	6442177	3081361	-0.9514
72	13342	5360373	-0.9935
72	6442177	24776445	-0.9903
72	6442177	216326	-0.9709
72	9444	5352062	-1.1056
72	11626560	446556	-0.9137
72	439693	9854073	-1.0093
72	5311	2723601	-0.9866
72	6253	9854073	-1.0765
72	132971	9854073	-1.0545
72	387447	65628	-1.1164
72	2094	4212	-1.0203
72	3657	9854073	-1.0199
72	5746	29327	-0.9722
72	6442177	2123	-1.0053
72	6442177	10113978	-0.9261
72	451668	9854073	-1.047
72	644241	9854073	-1.0146
72	3657	4212	-1.074
72	5311	9854073	-1.0549
72	5284616	5790	-0.803
72	4842	446556	-0.9209
72	387447	71384	-0.9877
72	6442177	42611257	-1.0556
72	5394	9854073	-1.0584
72	6253	446556	-0.9117
72	5746	5353562	-0.9444
72	387447	216239	-0.9165
72	2723601	10113978	-0.9529
72	5978	2723601	-0.9721
72	460612	446556	-0.9447
72	5284616	11626560	-1.0258
72	446556	25126798	-0.9234
72	2733526	9854073	-1.1457
72	5426	5360373	-1.0696
72	2662	2723601	-1.008
72	457193	9854073	-1.0841
72	5284616	6450551	-0.9967
72	148121	446556	-1.0006
72	4915	5352062	-0.9839
72	5426	4212	-1.1287
72	444795	446556	-0.9557
72	3690	5746	-1.0416
72	446556	42611257	-0.9236
72	5978	9854073	-1.0177
72	446556	216326	-0.9758
72	451668	446556	-0.9949
72	9854073	5035	-1.14
72	2733526	446556	-1.0067
72	60700	4033	-1.0538
72	261004	5329102	-0.9785
72	6442177	11683	-1.0249
72	3657	2708	-0.8933
72	9854073	24776445	-1.1313
72	644241	446556	-1.0252
72	444795	3385	-0.9406
72	11626560	3385	-1.0142
72	5746	11683	-0.9673
72	2141	9854073	-1.0629
72	261004	5394	-1.0095
72	2578	446556	-1.0002
72	446556	24776445	-0.9463
72	261004	657237	-1.0027
72	5426	446556	-0.9136
72	5284616	3081361	-1.0474
72	11683	9854073	-1.0797
72	261004	2723601	-1.0085
72	123631	9854073	-1.0216
72	68740	4212	-0.6286
72	387447	148124	-0.9657
72	3690	446556	-1.0071
72	451668	6194	-0.9048
72	2141	4212	-1.0589
72	5284616	10113978	-1.0144
72	3062316	446556	-1.057
72	5284616	24776445	-1.1329
72	3081361	9854073	-1.05
72	259331	9854073	-1.0625
72	5426	454216	-1.1607
72	2907	446556	-1.0239
72	36462	132971	-0.9822
72	5352062	11626560	-0.94
72	42611257	446556	-1.0045
72	60700	460612	-1.0049
72	454216	3657	-1.0759
72	38904	216326	-0.9565
72	60700	148121	-0.975
72	119182	446556	-1.0113
72	38904	5353562	-0.9646
72	5394	36462	-0.9804
72	5746	444795	-0.9103
72	36462	10113978	-1.0078
72	4114	452548	-0.998
72	60953	36462	-0.9582
72	4114	36462	-0.9861
72	119182	6194	-1.0315
72	2578	667490	-0.9449
72	5284616	42611257	-1.1553
