CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
10	20279	9854073	-0.9329
10	261004	9444	-0.8812
10	261004	5311	-0.9623
10	2187	454216	-1.0321
10	261004	5453	-0.9773
10	261004	5426	-1.046
10	261004	57469	-1.0239
10	3062316	9854073	-0.9094
10	4033	5352062	-1.0751
10	132971	9854073	-1.0925
10	25126798	9854073	-1.1198
10	4211	5352062	-1.137
10	2094	5352062	-1.1583
10	439693	29327	-1.523
10	261004	4842	-0.8813
10	261004	5746	-0.8728
10	261004	60700	-0.8573
10	3385	9854073	-0.8166
10	6445540	2578	-0.969
10	261004	20279	-1.0218
10	261004	38904	-0.9772
10	261004	68740	-0.8468
10	148121	454216	-0.898
10	5790	9854073	-1.0088
10	137	9854073	-0.879
10	454216	3657	-0.9648
10	29327	9854073	-0.8267
10	261004	2733526	-1.083
10	6253	9854073	-0.9323
10	126941	454216	-1.0447
10	261004	3657	-1.0865
10	261004	3011155	-0.9572
10	261004	667490	-1.0501
10	60750	9854073	-0.9001
10	3690	9854073	-0.9525
10	5291	9854073	-0.9745
10	2478	5352062	-1.0204
10	11626560	9854073	-0.9608
10	42611257	9854073	-1.0367
10	460612	9854073	-0.9969
10	208908	9854073	-1.0998
10	3657	9854073	-1.1305
10	126941	9854073	-0.9516
10	5453	9854073	-0.9229
10	5329102	9854073	-1.0063
10	4842	9854073	-0.9826
10	237	5352062	-1.1468
10	9854073	5035	-1.1246
10	5353562	9854073	-1.0583
10	68740	5352062	-0.8523
10	24776445	9854073	-1.0658
10	4114	9854073	-1.1004
10	667490	9854073	-0.9973
10	5284616	3385	-0.8925
10	3385	446556	-0.8759
10	5360373	6442177	-1.0204
10	44424639	3081361	-1.216
10	60953	3385	-0.9037
10	5284616	2723601	-0.9537
10	44424639	42611257	-1.1954
10	65628	3385	-0.9591
10	3385	5353562	-1.0134
10	2578	451668	-0.9494
10	5360373	644241	-1.1073
10	148124	24776445	-1.1342
10	60700	2094	-0.9768
10	44424639	24776445	-1.2682
10	60700	148121	-0.9916
10	5284616	460612	-0.9723
10	44424639	25126798	-1.1909
10	451668	4915	-0.8896
10	451668	30323	-1.0496
10	451668	5426	-0.972
10	5284616	25126798	-1.0696
10	2578	3690	-1.0172
10	451668	2907	-1.103
10	4842	71384	-1.0198
10	6857599	4114	-0.952
10	451668	24776445	-1.0369
10	38904	25126798	-1.0463
10	29327	460612	-0.9507
10	11626560	3081361	-1.0256
10	6442177	132971	-1.2141
10	2141	57469	-0.9732
10	6442177	3081361	-1.1822
10	20279	11683	-0.9968
10	4033	460612	-1.024
10	6442177	25126798	-1.1879
10	10113978	5035	-1.1022
10	11683	25126798	-0.9591
10	261004	5352062	-0.6009
10	387447	6445540	-0.7602
10	6445540	5352062	-0.8322
10	2767	387447	-0.8725
10	261004	36314	-0.8211
10	454216	5360373	-0.8233
10	5799	454216	-0.8794
10	5746	9854073	-0.743
10	148124	9854073	-0.8086
10	261004	5360373	-0.864
10	5311	9854073	-0.8134
10	6445540	6857599	-0.9154
10	261004	119182	-0.9506
10	261004	259331	-0.9278
10	261004	31703	-0.9347
10	261004	2478	-0.9459
10	176870	6445540	-1.0064
