CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
159	46215815	5081913	-1.1451
159	3062316	637858	-1.2688
159	11382492	46215815	-1.1981
159	56649450	46215815	-1.1225
159	1080352	46215815	-1.0901
159	10184653	46215815	-1.1244
159	16720766	11598628	-0.7643
159	24856436	54454	-0.6825
159	24856436	24964624	-1.0951
159	5288674	49846579	-0.9334
159	49846579	60750	-0.9943
159	46215815	11178236	-0.8883
159	46215815	60750	-1.1314
159	11626560	11178236	-0.7913
159	49846579	54454	-0.9809
159	3062316	5311	-1.1568
159	3385	49846579	-1.0072
159	46215815	24771867	-1.3333
159	24964624	24771867	-1.3963
159	25262965	46215815	-1.1183
159	637858	5311	-1.5595
159	49846579	5311	-1.0507
159	49846579	11382492	-1.0041
159	3062316	46215815	-1.132
159	11626560	3062316	-1.2481
159	46215815	36314	-1.4331
159	42642645	46215815	-1.1891
159	1080352	24964624	-1.2457
159	135398510	46215815	-1.3362
159	176870	46215815	-1.2978
159	49846579	637858	-1.244
159	11626560	637858	-1.3799
159	46215815	637858	-1.4117
159	49846579	46215815	-1.0888
159	78358496	78358496	-0.2219
159	11152667	78358496	-0.3418
159	24856436	78358496	-0.3626
159	78358496	11598628	-0.3394
159	24856436	24856436	-0.4307
159	11556711	78358496	-0.5189
159	11152667	24856436	-0.5124
159	11152667	11152667	-0.4931
159	24856436	11598628	-0.3754
159	11152667	11598628	-0.3003
159	5288674	78358496	-0.4226
159	11598628	11598628	-0.4541
159	16720766	78358496	-0.6061
159	11152667	11556711	-0.5983
159	11556711	24856436	-0.5976
159	60750	78358496	-0.5495
159	11152667	11178236	-0.4875
159	11556711	11598628	-0.6945
159	78358496	11178236	-0.5822
159	5288674	11152667	-0.5808
159	78358496	446378	-0.6448
159	5288674	24856436	-0.5304
159	5288674	11598628	-0.5469
159	11152667	16720766	-0.6651
159	24856436	16720766	-0.6939
159	5287969	78358496	-0.6408
159	5081913	78358496	-0.4876
159	78358496	54454	-0.5727
159	11152667	60750	-0.6742
159	60750	24856436	-0.6717
159	46907787	78358496	-0.666
159	11152667	446378	-0.5625
159	60750	11598628	-0.5805
159	24856436	11178236	-0.6829
159	3385	78358496	-0.681
159	5288674	11556711	-0.7774
159	11152667	5287969	-0.6201
159	78358496	104842	-0.716
159	78358496	3854666	-0.7129
159	11556711	16720766	-0.7984
159	24856436	446378	-0.7208
159	78358496	446556	-0.7225
159	11152667	54454	-0.6239
159	11598628	11178236	-0.6882
159	11152667	46907787	-0.5865
159	11556711	60750	-0.8012
