CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
77	13342	24964624	-0.2744
77	208908	16224745	-0.9382
77	208908	176870	-0.8822
77	5746	216239	-0.1701
77	13342	24748204	-0.132
77	13342	5311	-0.3321
77	13342	176870	-0.4168
77	5746	11960529	-0.3473
77	60750	16224745	-0.8261
77	5746	176870	-0.6067
77	3062316	5288382	-0.8116
77	24958200	11960529	-0.5384
77	176870	46926350	-1.1849
77	208908	11520894	-1.0759
77	5311	46926350	-1.1754
77	15953832	24964624	-1.1892
77	15953832	16224745	-1.1986
77	15953832	36462	-1.2209
77	38904	208908	-1.2937
77	24748204	176870	-1.4195
77	59691338	11960529	-0.8915
77	31703	216239	-0.0518
77	31703	5329102	-0.0899
77	13342	11960529	0.0187
77	31703	24958200	0.0011
77	31703	216453	0.0231
77	31703	16224745	-0.2374
77	31703	5394	0.0976
77	31703	5311	-0.2804
77	31703	24964624	-0.2773
77	31703	24748204	-0.0885
77	31703	11960529	0.0057
77	9826528	16224745	0.1552
77	6421776	6857599	-0.3809
77	31703	208908	-0.3231
77	126941	24958200	-0.2971
77	31703	176870	-0.3367
77	13342	16224745	-0.2504
77	24856436	6857599	-0.3789
77	36314	24958200	-0.2696
77	13342	24958200	-0.087
77	5311	5394	-0.0742
77	24856436	11960529	-0.2198
77	5311	216239	-0.3723
77	46926350	16224745	-0.3697
77	31703	5288382	-0.4345
77	6421776	216239	-0.2951
77	9826528	11960529	-0.2817
77	13342	5329102	-0.2322
77	5746	5394	-0.1319
77	126941	5329102	-0.3038
77	31703	3062316	-0.4643
77	36314	24748204	-0.39
77	36314	216453	-0.3499
77	6421776	16224745	0.034
77	9826528	6857599	-0.4345
77	13342	216239	-0.3888
77	126941	11960529	-0.3251
77	31703	24856436	-0.4543
77	24856436	216239	-0.3352
77	60700	216239	-0.4711
77	13342	208908	-0.352
77	126941	216239	-0.4803
77	126941	216453	-0.373
77	126941	5394	-0.0495
77	36314	216239	-0.4862
77	44424639	24748204	-0.4131
77	13342	5394	0.1181
77	126941	24748204	-0.3507
77	126941	5311	-0.5309
77	36314	16224745	-0.4486
77	36314	5329102	-0.4403
77	13342	216453	-0.2175
77	387447	11960529	-0.396
77	36314	24856436	-0.4836
77	36314	208908	-0.4837
77	9826528	216239	-0.5183
77	36314	176870	-0.4613
77	36314	24964624	-0.4387
77	36314	11960529	-0.2588
77	5746	24958200	-0.3921
77	36314	3062316	-0.5312
77	36314	5311	-0.5273
77	126941	16224745	-0.4255
77	126941	24964624	-0.5362
77	9826528	5288382	-0.5565
77	5288382	216239	-0.5816
77	13342	24856436	-0.4096
77	5329102	216239	-0.5429
77	9826528	3062316	-0.5986
77	36314	5394	-0.2723
77	5746	5329102	-0.4727
77	9826528	60700	-0.5864
77	5329102	5394	-0.1799
77	44424639	24958200	-0.3435
