CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
186	196968	5394	-0.1937
186	66414	5394	-0.2303
186	11228183	5394	-0.2384
186	73389731	11364421	-0.5242
186	51082	5394	-0.2859
186	5282455	5394	-0.3295
186	5282451	5394	-0.3722
186	5311339	5394	-0.3892
186	11717001	5394	-0.3984
186	225362	5394	-0.4334
186	11057	5394	-0.4403
186	5394	5394	-0.4444
186	3885	5394	-0.4536
186	23663976	5394	-0.4591
186	25126798	5394	-0.4868
186	6435335	5394	-0.4917
186	636397	5394	-0.4964
186	15048	5394	-0.5024
186	3033968	5394	-0.5081
186	135398735	5394	-0.5131
186	10427712	5394	-0.5134
186	50942	5394	-0.5154
186	636377	5394	-0.5191
186	6420138	5394	-0.521
186	135403646	5394	-0.5209
186	3690	5394	-0.5232
186	64713	5394	-0.5245
186	14982	5394	-0.529
186	6918454	5394	-0.5334
186	5283731	5394	-0.5346
186	9830519	5394	-0.5372
186	9934347	5394	-0.5382
186	54889	5394	-0.539
186	5281107	5394	-0.5406
186	704473	5394	-0.5442
186	155815	5394	-0.5473
186	5281612	5394	-0.5479
186	10621	5394	-0.5503
186	91466	5394	-0.5512
186	135400182	5394	-0.5541
186	54900	5394	-0.5555
186	123607	5394	-0.5563
186	6230	5394	-0.5569
186	77082	5394	-0.5572
186	6918223	5394	-0.5573
186	44561	5394	-0.5586
186	119182	5394	-0.5609
186	50878566	5394	-0.5613
186	62074	5394	-0.5651
186	7550	5394	-0.5664
186	45265864	5394	-0.5674
186	3366	5394	-0.5676
186	10174505	5394	-0.5682
186	5717	5394	-0.5684
186	4006	5394	-0.5691
186	5353562	5394	-0.5692
186	11256664	5394	-0.5693
186	65348	5394	-0.5705
186	6321424	5394	-0.5709
186	5386	5394	-0.5711
186	9926791	5394	-0.5714
186	16219612	5394	-0.5723
186	65981	5394	-0.5723
186	46832368	5394	-0.5723
186	8567	5394	-0.5733
186	3033832	5394	-0.5738
186	57345410	5394	-0.5742
186	50515	5394	-0.5753
186	54259	5394	-0.576
186	23667630	5394	-0.5771
186	46931003	5394	-0.577
186	11957660	5394	-0.5771
186	9883029	5394	-0.5773
186	2159	5394	-0.5781
186	5379	5394	-0.578
186	25262792	5394	-0.5782
186	5280373	5394	-0.579
186	46191454	5394	-0.5792
186	9839311	5394	-0.5792
186	5311180	5394	-0.5793
186	9901617	5394	-0.5802
186	135526609	5394	-0.581
186	442514	5394	-0.581
186	60857	5394	-0.581
186	6850808	5394	-0.5812
186	441130	5394	-0.5822
186	5282181	5394	-0.5832
186	24776445	5394	-0.5838
186	135413505	5394	-0.5839
186	5284583	5394	-0.585
186	77997	5394	-0.5851
186	151075	5394	-0.5852
186	31211	5394	-0.5858
186	71478	5394	-0.5858
186	5284631	5394	-0.5861
186	175804	5394	-0.5868
186	24978538	5394	-0.5887
186	9082	5394	-0.5886
186	31703	5394	-0.5891
186	4021	5394	-0.5892
186	5282521	5394	-0.5892
186	444030	5394	-0.591
186	441351	5394	-0.5919
186	64746	5394	-0.592
186	24753719	5394	-0.5927
186	68313	5394	-0.5929
186	5734	5394	-0.593
186	16134395	5394	-0.5934
186	10235	5394	-0.5939
186	129228	5394	-0.5941
186	91513	5394	-0.5942
186	180081	5394	-0.5943
186	158758	5394	-0.5949
186	49769085	5394	-0.5948
186	176155	5394	-0.5953
186	68861	5394	-0.596
186	9865528	5394	-0.5961
186	10648	5394	-0.5967
186	2761171	5394	-0.597
186	3913	5394	-0.5972
186	46216796	5394	-0.5977
186	25050	5394	-0.5979
186	34312	5394	-0.5981
186	11079	5394	-0.5988
186	56949517	5394	-0.5991
186	442424	5394	-0.5994
186	896	5394	-0.6
186	6437877	5394	-0.6
186	4170	5394	-0.6001
186	5280453	5394	-0.6002
186	219099	5394	-0.6012
186	456201	5394	-0.6014
186	65958	5394	-0.6019
186	9927531	5394	-0.6021
186	54677946	5394	-0.6023
186	6878030	5394	-0.6025
186	68873	5394	-0.6026
186	5780	5394	-0.6029
186	2162	5394	-0.6028
186	23663953	5394	-0.6031
186	11152667	5394	-0.6038
186	163751	5394	-0.604
186	135497066	5394	-0.6039
186	3003141	5394	-0.6043
186	72303	5394	-0.6049
186	38904	5394	-0.6051
186	54682040	5394	-0.606
186	60164	5394	-0.6064
186	64769	5394	-0.6061
186	3331	5394	-0.6069
186	60837	5394	-0.6075
186	4100	5394	-0.6077
186	24360	5394	-0.6082
186	1645	5394	-0.6079
186	5991	5394	-0.608
186	5311068	5394	-0.6085
186	1361334	5394	-0.6088
186	137994	5394	-0.6092
186	9936012	5394	-0.6092
186	6291	5394	-0.6098
186	252682	5394	-0.61
186	72466	5394	-0.6105
186	392622	5394	-0.6104
186	31728	5394	-0.6109
186	2727	5394	-0.611
186	10461508	5394	-0.6113
186	12035	5394	-0.611
186	156391	5394	-0.6118
186	5312125	5394	-0.612
186	53245636	5394	-0.612
186	114869	5394	-0.612
186	3038	5394	-0.6124
186	60750	5394	-0.6128
186	9560989	5394	-0.6128
186	54686183	5394	-0.6128
186	1349907	5394	-0.6131
186	4843	5394	-0.613
186	65264	5394	-0.6134
186	5818	5394	-0.6139
186	72092	5394	-0.614
186	176158	5394	-0.6142
186	6918456	5394	-0.615
186	9906942	5394	-0.615
186	16211421	5394	-0.6156
186	60953	5394	-0.616
186	6917719	5394	-0.616
186	689043	5394	-0.6168
186	4912	5394	-0.6169
186	149096	5394	-0.617
186	16654980	5394	-0.6178
186	8515	5394	-0.618
186	45375887	5394	-0.6183
186	38911	5394	-0.6189
186	11154925	5394	-0.6187
186	2471	5394	-0.6189
186	57336745	5394	-0.62
186	54575456	5394	-0.62
186	26041	5394	-0.62
186	4331799	5394	-0.6196
186	64715	5394	-0.6197
186	4781	5394	-0.6198
186	3373	5394	-0.6202
186	6444206	5394	-0.621
186	25183872	5394	-0.621
186	71234	5394	-0.6208
186	16759173	5394	-0.6209
186	50248	5394	-0.6214
186	25067547	5394	-0.622
186	387447	5394	-0.622
186	462382	5394	-0.622
186	68539	5394	-0.6215
186	92722	5394	-0.6217
186	127150	5394	-0.6218
186	6915944	5394	-0.6219
186	3011155	5394	-0.622
186	130313	5394	-0.6222
186	11556711	5394	-0.623
186	5362123	5394	-0.6227
186	63016	5394	-0.6228
186	5426	5394	-0.6229
186	9066	5394	-0.6231
186	164676	5394	-0.6237
186	5282458	5394	-0.6239
186	16123056	5394	-0.6241
186	11538455	5394	-0.625
186	2749	5394	-0.6248
186	119034	5394	-0.6246
186	208902	5394	-0.6249
186	6398764	5394	-0.6249
186	4906	5394	-0.625
186	119583	5394	-0.6251
186	24800541	5394	-0.626
186	71188	5394	-0.6257
186	4210951	5394	-0.6257
186	49867936	5394	-0.627
186	23642227	5394	-0.627
186	104842	5394	-0.6271
186	5253	5394	-0.6268
186	2767	5394	-0.6268
186	9824562	5394	-0.6269
186	3308	5394	-0.627
186	443878	5394	-0.6279
186	46883536	5394	-0.6279
186	56031	5394	-0.6281
186	20916937	5394	-0.6289
186	42609626	5394	-0.6286
186	1269845	5394	-0.6289
186	5833	5394	-0.6291
186	51346120	5394	-0.6298
186	23663941	5394	-0.63
186	26248	5394	-0.6299
186	54405	5394	-0.63
186	3973	5394	-0.6306
186	6603108	5394	-0.6308
186	57335384	5394	-0.6314
186	119570	5394	-0.6316
186	9936727	5394	-0.6317
186	135409642	5394	-0.6318
186	6445533	5394	-0.6329
186	9888590	5394	-0.6328
186	1893668	5394	-0.6324
186	1013376	5394	-0.6325
186	3676	5394	-0.6329
186	10127622	5394	-0.6334
186	135403821	5394	-0.6337
186	57336514	5394	-0.6338
186	44828492	5394	-0.634
186	11626560	5394	-0.6344
186	9549284	5394	-0.6346
186	442439	5394	-0.6348
186	406563	5394	-0.6347
186	6253	5394	-0.6352
186	3793	5394	-0.6359
186	23668834	5394	-0.6355
186	5018304	5394	-0.6356
186	5284627	5394	-0.6358
186	68647	5394	-0.6359
186	54690031	5394	-0.6359
186	155290	5394	-0.6358
186	11630874	5394	-0.6359
186	104762	5394	-0.6359
