CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
89	5311	5288382	-0.9904
89	59691338	5311	-1.2715
89	36462	24964624	-0.8005
89	5311	208908	-0.9364
89	216453	5311	-0.9841
89	208908	176870	-1.054
89	208908	5288382	-0.9813
89	24964624	5288382	-0.9849
89	208908	104842	-1.3266
89	15953832	36462	-1.1809
89	5394	16224745	-1.4824
89	59691338	176870	-1.4296
89	2907	5311	-1.2452
89	24856436	24958200	-0.1129
89	60700	216239	-0.1234
89	126941	5329102	-0.1713
89	24856436	6857599	-0.1064
89	126941	24964624	-0.196
89	60700	16224745	-0.2615
89	126941	11960529	-0.0995
89	24856436	216239	-0.2217
89	387447	11960529	-0.0329
89	24856436	11960529	0.0042
89	126941	5394	-0.0678
89	387447	5288382	-0.0663
89	31703	216453	-0.1903
89	126941	216239	-0.3008
89	126941	24748204	-0.189
89	126941	24958200	-0.1716
89	31703	216239	-0.3335
89	24856436	24748204	-0.2583
89	126941	16224745	-0.3494
89	387447	16224745	-0.3416
89	126941	5311	-0.1205
89	126941	216453	-0.1826
89	126941	208908	-0.1985
89	387447	216239	-0.3675
89	24856436	208908	-0.2546
89	31703	5394	-0.0833
89	31703	5329102	-0.1673
89	3062316	11960529	-0.2496
89	3062316	6857599	-0.2647
89	31703	24958200	-0.2028
89	387447	3062316	-0.3542
89	387447	6857599	-0.1767
89	24856436	16224745	-0.4116
89	24856436	24964624	-0.251
89	24856436	176870	-0.3008
89	126941	5288382	-0.2723
89	3062316	216239	-0.3999
89	126941	176870	-0.1793
89	387447	60700	-0.4112
89	3062316	16224745	-0.3823
89	46926350	16224745	-0.43
89	36314	5311	-0.3276
89	36314	11960529	-0.1818
89	24856436	5288382	-0.3443
89	126941	24856436	-0.3925
89	3062316	5288382	-0.3225
89	126941	3062316	-0.4
89	31703	11960529	-0.1112
89	387447	6421776	-0.329
89	31703	208908	-0.3348
89	36314	24964624	-0.313
89	31703	5311	-0.3895
89	24856436	3062316	-0.5083
89	36314	24958200	-0.2788
89	3062316	60700	-0.5061
89	60700	6421776	-0.4731
89	36314	5288382	-0.2859
89	60750	24748204	-0.2495
89	60750	5329102	-0.2938
89	60750	5288382	-0.3236
89	36462	5394	-0.2501
89	31703	16224745	-0.5523
89	36314	16224745	-0.5416
89	31703	176870	-0.3658
89	31703	24748204	-0.3184
89	60750	216239	-0.4741
89	60750	5394	-0.1867
89	36314	216453	-0.4025
89	31703	24964624	-0.3231
89	36314	208908	-0.3529
89	60750	176870	-0.3464
89	36314	5329102	-0.3481
89	60750	11960529	-0.0893
89	60750	208908	-0.281
89	60750	3062316	-0.4989
89	24856436	60700	-0.5845
89	60750	24964624	-0.2704
89	36314	24748204	-0.4208
89	60750	24958200	-0.1996
89	36314	216239	-0.5358
89	36314	176870	-0.4201
89	36314	6421776	-0.4229
89	60750	6421776	-0.4469
89	13342	5311	-0.4464
89	44424639	5394	-0.3284
89	60750	16224745	-0.6097
89	36314	5394	-0.2463
89	60750	24856436	-0.5876
89	36314	24856436	-0.5511
89	44424639	5311	-0.4214
