CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
166	24856436	11152667	-0.9818
166	24856436	25023738	-1.1998
166	24856436	3218	-0.9666
166	24856436	16038120	-1.3278
166	24856436	1401	-0.7015
166	24856436	300471	-1.3553
166	24856436	159324	-1.1545
166	24856436	135418940	-1.5331
166	24856436	54708532	-0.7546
166	24856436	11630874	-0.8202
166	24856436	135440466	-0.905
166	24856436	9933475	-0.7837
166	24856436	9926791	-1.4233
166	24856436	11524144	-1.4504
166	24856436	5113032	-1.1146
166	24856436	46233311	-0.9027
166	24856436	9934458	-1.1589
166	24856436	11617559	-0.8158
166	24856436	16219401	-0.8768
166	24856436	644213	-1.4629
166	24856436	25021165	-2.0762
166	24856436	16736978	-1.1545
166	24856436	5278396	-1.2129
166	24856436	9950176	-1.2566
166	24856436	54676905	-1.3109
166	24856436	9829523	-1.1465
166	24856436	10027278	-1.3323
166	24856436	17754438	-0.7301
166	24856436	1361332	-1.1357
166	24856436	4829	-1.0406
166	24856436	42623900	-1.0373
166	24856436	3025986	-1.3419
166	24856436	24995524	-1.5892
166	24856436	5312137	-1.0852
166	24856436	447912	-0.7844
166	24856436	56972185	-0.8706
166	24856436	23625762	-1.3038
166	24856436	104794	-1.1414
166	24856436	5730	-1.0044
166	387447	24856436	-0.9289
166	387447	3062316	-0.8999
166	387447	451668	-1.1721
166	387447	2767	-0.6414
166	387447	176870	-0.6981
166	387447	6442177	-0.98
166	387447	657237	-2.4077
166	387447	60750	-0.4178
166	387447	208908	-1.1796
166	387447	216326	-0.939
166	387447	216239	-0.6899
166	387447	5394	-0.947
166	387447	11960529	-0.8129
166	387447	5311	-0.6462
166	387447	11152667	-0.5005
166	387447	11213558	-0.5342
166	387447	11626560	-0.9753
166	387447	135398510	-0.8492
166	387447	11178236	-0.7615
166	387447	25023738	-1.0016
166	387447	3218	-0.2267
166	387447	16038120	-0.8405
166	387447	5330286	-0.3851
166	387447	1401	-0.5483
166	387447	300471	-0.9514
166	387447	159324	-0.8248
166	387447	135418940	-0.9711
166	387447	54708532	-0.5744
166	387447	11630874	-0.8458
166	387447	11234052	-1.6131
166	387447	135440466	-0.5679
166	387447	9933475	-0.3617
166	387447	11656518	-2.8205
166	387447	9926791	-1.0912
166	387447	24748573	-0.7239
166	387447	11683005	-0.5035
166	387447	11524144	-1.2407
166	387447	5113032	-0.9193
166	387447	46233311	-0.6861
166	387447	9934458	-0.8688
166	387447	11617559	-0.5535
166	387447	16219401	-0.6492
166	387447	644213	-1.3578
166	387447	3712	-0.8904
166	387447	521106	-0.7719
166	387447	25021165	-1.9163
166	387447	16736978	-0.9305
166	387447	5278396	-1.021
166	387447	9950176	-0.9696
166	387447	54676905	-1.0412
166	387447	9829523	-0.6688
166	387447	4493	-0.7085
166	387447	10027278	-1.1827
166	387447	17754438	-0.5681
166	387447	1361332	-0.8428
166	387447	4829	-0.779
166	387447	24180719	-0.6615
166	387447	42623900	-0.8496
166	387447	3025986	-1.1025
166	387447	24995524	-1.1817
166	387447	16683013	-0.4789
166	387447	5312137	-0.8414
166	387447	447912	-0.5767
166	387447	6505803	-0.5215
166	387447	56972185	-0.5631
166	387447	23625762	-0.984
166	387447	104794	-0.7155
166	387447	151194	-0.9632
166	387447	1893730	-1.1149
166	387447	5730	-0.6251
166	387447	82146	-1.1014
166	3062316	24856436	-1.3247
166	3062316	216326	-1.3191
166	3062316	5394	-1.3317
166	3062316	11960529	-1.1494
166	3062316	5311	-1.136
166	3062316	11152667	-0.8987
166	3062316	11213558	-0.81
166	3062316	11178236	-1.0191
166	3062316	25023738	-1.248
166	3062316	3218	-0.9336
166	3062316	16038120	-1.3066
166	3062316	1401	-0.9999
166	3062316	300471	-1.4579
166	3062316	159324	-1.1756
166	3062316	135418940	-1.6585
166	3062316	54708532	-0.7601
166	3062316	11630874	-1.2287
166	3062316	11234052	-2.0433
166	3062316	135440466	-1.03
166	3062316	9933475	-0.8786
166	3062316	11656518	-3.3986
166	3062316	9926791	-1.5196
166	3062316	11524144	-1.5824
166	3062316	5113032	-1.2568
166	3062316	46233311	-1.0954
166	3062316	9934458	-1.2482
166	3062316	11617559	-0.95
166	3062316	16219401	-0.9827
166	3062316	644213	-1.6478
166	3062316	521106	-1.3633
166	3062316	25021165	-2.2455
166	3062316	16736978	-1.4287
166	3062316	5278396	-1.3489
166	3062316	9950176	-1.4337
166	3062316	54676905	-1.4418
166	3062316	9829523	-1.1216
166	3062316	4493	-1.0312
166	3062316	10027278	-1.4715
166	3062316	17754438	-0.8074
166	3062316	1361332	-1.2889
166	3062316	4829	-1.1551
166	3062316	42623900	-1.1782
166	3062316	3025986	-1.433
166	3062316	24995524	-1.6359
166	3062316	5312137	-1.2105
166	3062316	447912	-1.0366
166	3062316	56972185	-1.0339
166	3062316	23625762	-1.3584
166	3062316	104794	-1.2844
166	3062316	5730	-1.0046
166	451668	24856436	-1.5142
166	451668	3062316	-1.5409
166	451668	176870	-1.3931
166	451668	216326	-1.4662
166	451668	5394	-1.4643
166	451668	11960529	-1.322
166	451668	5311	-1.2601
166	451668	11152667	-1.1323
166	451668	11213558	-1.168
166	451668	11178236	-1.4198
166	451668	25023738	-1.4473
166	451668	3218	-1.2679
166	451668	16038120	-1.5655
166	451668	5330286	-1.0367
166	451668	1401	-0.9539
166	451668	300471	-1.428
166	451668	159324	-1.3203
