CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
39	13342	5311	-0.632
39	36314	24958200	-0.5948
39	5311	208908	-0.9135
39	15953832	24964624	-1.2338
39	4091	6421776	-1.4447
39	31703	216239	-0.099
39	73389731	11364421	-0.3709
39	6421776	6857599	-0.1246
39	6421776	216239	-0.1335
39	46926350	16224745	-0.073
39	31703	24958200	-0.1553
39	31703	216453	-0.222
39	31703	5329102	-0.1018
39	31703	5394	-0.0017
39	11520894	6857599	-0.1583
39	6421776	16224745	-0.2219
39	31703	11960529	-0.1448
39	5311	216239	-0.2743
39	31703	24748204	-0.2671
39	11520894	216239	-0.1912
39	31703	208908	-0.3681
39	31703	5311	-0.45
39	11520894	16224745	-0.1334
39	126941	5394	-0.1971
39	11520894	5288382	-0.4606
39	60750	216239	-0.3604
39	126941	24958200	-0.3537
39	31703	16224745	-0.2473
39	24964624	216239	-0.3925
39	60750	5394	-0.0891
39	60700	216239	-0.3518
39	11520894	60700	-0.3695
39	5288382	16224745	-0.3483
39	31703	176870	-0.3552
39	126941	24748204	-0.338
39	24964624	6857599	-0.3597
39	31703	24964624	-0.5031
39	126941	5311	-0.486
39	126941	216239	-0.4638
39	126941	11960529	-0.3471
39	5311	5394	-0.063
39	5288382	6857599	-0.4517
39	5746	216239	-0.2737
39	5746	5394	-0.0914
39	126941	216453	-0.3827
39	5288382	216239	-0.4638
39	24964624	11960529	-0.4133
39	31703	3062316	-0.3987
39	126941	16224745	-0.3128
39	126941	5329102	-0.2974
39	11520894	6421776	-0.6634
39	31703	5288382	-0.6119
39	126941	208908	-0.3709
39	126941	24964624	-0.5206
39	31703	24856436	-0.5032
39	387447	11960529	-0.3583
39	126941	176870	-0.3971
39	60750	5329102	-0.333
39	24964624	16224745	-0.5144
39	126941	24856436	-0.4148
39	5311	6857599	-0.546
39	126941	3062316	-0.3938
39	5288382	60700	-0.6668
39	24964624	176870	-0.6235
39	13342	5394	-0.1699
39	24964624	3062316	-0.5906
39	60750	11960529	-0.2545
39	387447	6857599	-0.529
39	387447	216239	-0.604
39	104842	216239	-0.5233
39	126941	5288382	-0.6495
39	60750	24964624	-0.6892
39	13342	216239	-0.5834
39	5746	5329102	-0.4944
39	60700	16224745	-0.4599
39	216453	5394	-0.3385
39	5746	11960529	-0.4764
39	60750	24958200	-0.3353
