CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
12	6857599	16224745	-1.2362
12	15953832	16224745	-1.2984
12	59691338	5394	-1.0414
12	5311	5394	-0.2161
12	5311	6857599	-0.5103
12	36462	208908	-0.6411
12	36462	46926350	-0.8147
12	5311	5288382	-1.0366
12	3385	5311	-1.2268
12	11520894	16224745	-1.2611
12	208908	6857599	-0.9997
12	24964624	6857599	-0.9863
12	15953832	5311	-1.281
12	24964624	11960529	-0.9646
12	5743	9826528	-1.5163
12	59691338	176870	-1.0982
12	60750	11960529	0.0074
12	60750	5394	-0.0174
12	60750	176870	-0.0157
12	126941	24748204	-1e-04
12	60750	24748204	-0.0631
12	60750	24958200	-0.03
12	60750	208908	0.053
12	60750	216239	-0.0567
12	60750	3062316	-0.0776
12	60750	5288382	-0.0489
12	60750	24964624	-0.0859
12	31703	5329102	0.0891
12	60750	5329102	-0.0739
12	126941	208908	-0.1754
12	60750	6421776	-0.1053
12	387447	16224745	-0.0876
12	126941	24958200	-0.161
12	60750	9826528	-0.1572
12	31703	5394	-0.02
12	126941	5329102	-0.1734
12	387447	3062316	-0.144
12	60750	16224745	-0.1998
12	126941	16224745	-0.2086
12	13342	5394	-0.1673
12	60750	24856436	-0.1863
12	60750	46926350	-0.2151
12	31703	216239	0.1238
12	31703	208908	-0.1089
12	126941	24964624	-0.1082
12	387447	6857599	-0.1156
12	31703	24958200	-0.13
12	126941	216239	-0.2612
12	31703	176870	-0.1264
12	126941	11960529	-0.0305
12	126941	5394	-0.0493
12	31703	11960529	-0.0791
12	31703	216453	-0.0974
12	31703	16224745	-0.1984
12	31703	5311	-0.2039
12	31703	24964624	-0.225
12	126941	216453	-0.1228
12	60750	387447	-0.3295
12	9826528	11960529	-0.2179
12	31703	24748204	-0.1018
12	387447	216239	-0.3258
12	60700	216239	-0.3222
12	387447	5288382	-0.2436
12	126941	176870	-0.2503
12	13342	24748204	-0.2471
12	60700	16224745	-0.2651
12	126941	5311	-0.0604
12	46926350	16224745	-0.2467
12	44424639	5394	0.0103
12	36314	24856436	-0.3056
12	36314	24748204	-0.2372
12	36314	24964624	-0.2221
12	126941	24856436	-0.3213
12	387447	11960529	-0.0298
12	31703	3062316	-0.2408
12	126941	3062316	-0.3029
12	31703	5288382	-0.2903
12	387447	60700	-0.3024
12	36314	11960529	-0.1176
12	36314	16224745	-0.2438
12	36314	5311	-0.2473
12	13342	24964624	-0.2595
12	36314	5288382	-0.2929
12	36314	5394	-0.1502
12	31703	24856436	-0.355
12	36314	24958200	-0.2739
12	36314	216453	-0.3509
12	13342	208908	-0.2601
12	9826528	16224745	-0.2585
12	60750	11520894	-0.5743
12	13342	5311	-0.3007
12	36314	176870	-0.3009
12	36314	216239	-0.4288
12	44424639	24856436	-0.3382
12	36314	3062316	-0.3018
12	126941	5288382	-0.4115
12	9826528	6857599	-0.2284
12	36314	208908	-0.3083
12	44424639	11960529	-0.2478
12	13342	3062316	-0.2993
12	44424639	16224745	-0.3924
12	36314	5329102	-0.4272
12	44424639	208908	-0.3413
12	36462	216239	-0.4375
12	9826528	5288382	-0.3574
12	9826528	216239	-0.4673
12	36462	5394	0.0754
12	9826528	3062316	-0.4106
12	6421776	216239	-0.5029
12	5329102	5394	-0.2406
12	44424639	5311	-0.2924
12	44424639	24958200	-0.3297
12	44424639	24964624	-0.3035
12	13342	11960529	-0.1123
12	9826528	60700	-0.5279
12	13342	176870	-0.3642
12	13342	5288382	-0.4008
12	13342	5329102	-0.452
12	13342	216239	-0.5631
12	6421776	16224745	-0.524
12	6421776	6857599	-0.3646
12	13342	24856436	-0.339
12	44424639	3062316	-0.3793
12	5746	5394	-0.3144
12	44424639	176870	-0.3981
12	44424639	24748204	-0.1762
12	13342	216453	-0.4668
12	44424639	216239	-0.5212
12	13342	16224745	-0.3228
12	5329102	216239	-0.5857
12	44424639	5329102	-0.4786
12	13342	24958200	-0.3521
12	9826528	6421776	-0.5113
12	387447	6421776	-0.5399
12	31703	6421776	-0.6513
12	36314	6421776	-0.5551
12	44424639	5288382	-0.4617
12	44424639	6421776	-0.6218
12	5746	216239	-0.4509
12	5311	216239	-0.5802
12	126941	6421776	-0.6412
12	13342	6421776	-0.6625
12	5746	11960529	-0.4109
12	5288382	6857599	-0.4591
12	36462	5329102	-0.6046
12	60700	6421776	-0.8184
12	5288382	216239	-0.6433
12	5329102	6857599	-0.5051
12	5746	5329102	-0.6549
12	36462	11960529	-0.4007
12	3385	5394	-0.3535
12	9826528	46926350	-0.7052
12	5746	216453	-0.4793
12	5746	24958200	-0.6589
12	31703	9826528	-0.8046
12	36462	24958200	-0.6343
12	3062316	216239	-0.7743
12	9826528	387447	-0.7884
12	216453	5394	-0.4423
12	36314	9826528	-0.7725
12	44424639	9826528	-0.7654
12	44424639	46926350	-0.393
12	31703	46926350	-0.9078
12	387447	46926350	-0.807
12	24958200	216239	-0.8006
12	5329102	11960529	-0.6529
12	3062316	6857599	-0.5024
12	13342	9826528	-0.809
12	126941	9826528	-0.9296
12	36462	176870	-0.7349
12	31703	387447	-0.9526
12	15953832	4091	-0.3445
12	36462	24964624	-0.7559
12	5746	5311	-0.7845
12	5329102	24958200	-0.8126
12	9826528	104842	-0.8273
12	36462	5311	-0.3865
12	36462	16224745	-0.4068
12	13342	46926350	-0.852
12	5746	24964624	-0.6771
12	36314	46926350	-0.8853
12	5746	16224745	-0.7415
12	24958200	6857599	-0.6954
12	216453	216239	-0.8771
12	44424639	387447	-0.8833
12	31703	11520894	-0.991
12	9826528	11520894	-0.7905
12	5746	24748204	-0.5529
12	36462	24748204	-0.7354
12	36314	387447	-0.875
12	5746	208908	-0.6319
12	5746	176870	-0.563
12	5288382	16224745	-0.7651
12	13342	387447	-0.9094
12	126941	46926350	-1.1129
12	216453	6857599	-0.711
12	36462	3062316	-0.8567
12	126941	387447	-1.0953
12	5329102	208908	-0.8711
12	36462	5288382	-0.8864
12	5329102	176870	-0.8948
12	60700	46926350	-1.1768
12	5329102	24964624	-0.9012
12	5311	11960529	-0.5422
12	176870	216239	-0.9622
12	3062316	11960529	-0.5976
12	5746	3062316	-0.9423
12	387447	11520894	-0.8359
12	5329102	16224745	-1.0046
12	15953832	5394	-0.5804
12	38904	5394	-0.6589
12	5311	24958200	-0.9076
12	126941	11520894	-0.9206
12	5746	5288382	-0.8734
12	5329102	24748204	-0.9365
12	5311	5329102	-0.9498
12	216453	11960529	-0.7398
12	44424639	11520894	-0.844
12	24958200	11960529	-0.6275
12	5329102	3062316	-1.073
12	216453	5329102	-1.0831
12	216453	24958200	-0.8973
12	13342	11520894	-0.8665
12	176870	6857599	-0.7373
12	36462	24856436	-1.0708
12	36314	11520894	-0.8751
12	5329102	5288382	-1.1242
12	5311	208908	-0.8598
12	6421776	46926350	-1.1577
12	3385	216239	-1.0556
12	5311	176870	-0.9045
12	5746	24856436	-1.0711
12	216453	16224745	-0.9769
12	216239	16224745	-1.1509
12	216453	5311	-0.9669
12	387447	104842	-1.0752
12	216453	208908	-0.893
12	216453	176870	-0.9606
12	5311	24964624	-0.7978
12	5311	16224745	-1.0342
12	6421776	104842	-1.1376
12	5329102	60700	-1.3044
12	36462	11520894	-1.1043
12	36462	6421776	-1.1968
12	216453	24964624	-0.9615
12	24958200	24964624	-0.979
12	24958200	176870	-0.9655
12	216453	36462	-1.0716
12	5288382	60700	-1.2728
12	5329102	24856436	-1.1483
12	216453	24748204	-1.0202
12	3062316	16224745	-1.1751
12	216453	3062316	-1.1214
12	5329102	6421776	-1.2573
12	5746	6421776	-1.2962
12	5329102	104842	-1.1523
12	5329102	46926350	-1.2855
12	216453	5288382	-1.1517
12	216239	46926350	-1.2969
12	5329102	387447	-1.2909
12	5329102	9826528	-1.3324
12	5329102	11520894	-1.1644
12	36462	9826528	-1.2552
12	15953832	38904	-0.7957
12	24958200	16224745	-1.0979
12	24958200	3062316	-1.1146
12	5311	3062316	-0.9339
12	216453	60700	-1.2461
12	176870	11960529	-0.7599
12	36462	387447	-1.2535
12	5311	24748204	-0.9799
12	24958200	5288382	-1.0713
12	6857599	216239	-1.1578
12	216453	6421776	-1.3672
12	3062316	5288382	-1.1625
12	5288382	6421776	-1.267
12	24856436	24748204	-0.9888
12	216453	24856436	-1.1688
12	15953832	216239	-1.2758
12	5746	9826528	-1.3084
12	24856436	24964624	-1.0898
12	216453	9826528	-1.3114
12	24856436	208908	-1.0863
12	5746	46926350	-1.3106
12	24856436	104842	-1.0893
12	24856436	11520894	-1.1617
12	24958200	387447	-1.2792
12	5746	11520894	-1.1728
12	216453	46926350	-1.326
12	216453	44424639	-1.2734
12	216453	387447	-1.3128
12	5746	387447	-1.32
12	3385	11960529	-0.8689
12	24856436	11960529	-1.0205
12	216453	60750	-1.6688
12	24958200	6421776	-1.3897
12	3062316	60700	-1.45
12	24958200	60700	-1.5288
12	216453	104842	-1.1326
12	5288382	104842	-1.1746
12	24958200	46926350	-1.2919
12	24856436	6857599	-1.1122
12	15953832	6857599	-0.848
12	24856436	176870	-1.1271
12	24856436	387447	-1.3132
12	5311	11520894	-1.0891
12	24958200	9826528	-1.3073
12	24958200	11520894	-1.1766
12	5288382	46926350	-1.3663
12	24856436	46926350	-1.3247
12	24856436	5288382	-1.2625
12	24856436	3062316	-1.3617
12	24856436	16224745	-1.4351
12	24856436	6421776	-1.4733
12	24856436	9826528	-1.3778
12	24856436	24958200	-1.3118
12	24856436	216239	-1.3623
12	24856436	60700	-1.4953
12	5311	60700	-1.5387
12	216453	11520894	-1.1178
12	5311	46926350	-1.2345
12	5311	24856436	-1.2901
12	5311	9826528	-1.2624
12	5311	6421776	-1.3233
12	5311	387447	-1.3551
12	3385	24958200	-1.1687
12	3062316	6421776	-1.3921
12	5311	60750	-1.7576
12	5311	104842	-1.1534
12	24958200	104842	-1.228
12	176870	16224745	-1.157
12	3062316	11520894	-1.1582
12	3062316	46926350	-1.3
12	3062316	104842	-1.1795
12	176870	3062316	-1.1041
12	3385	208908	-1.0106
12	11520894	6857599	-0.9917
12	176870	5288382	-1.2934
12	104842	46926350	-1.307
12	5394	11960529	-1.1271
12	6857599	46926350	-1.3413
12	3385	6421776	-1.3619
12	3385	176870	-1.1386
12	3385	24964624	-0.9955
12	3385	5329102	-1.4072
12	3385	216453	-1.2679
12	11520894	216239	-1.3328
12	104842	16224745	-1.1682
12	104842	216239	-1.4871
12	5394	24748204	-0.9703
12	3385	11520894	-1.0484
12	176870	60700	-1.6569
12	15953832	2907	-0.9672
12	3385	387447	-1.3715
12	11520894	5288382	-1.1998
12	3385	24856436	-1.2465
12	15953832	11960529	-1.0047
12	3385	3062316	-1.1716
12	3385	46926350	-1.3559
12	3385	5288382	-1.2889
12	176870	387447	-1.3725
12	15953832	5743	-0.9931
12	3385	24748204	-1.0553
12	11520894	6421776	-1.452
12	176870	11520894	-1.1865
12	11520894	60700	-1.6132
12	3385	9826528	-1.4071
12	176870	46926350	-1.334
12	176870	104842	-1.2081
12	5394	208908	-1.0547
12	176870	6421776	-1.4106
12	38904	216239	-1.3236
12	38904	11960529	-1.0353
12	176870	9826528	-1.4574
12	38904	208908	-1.029
12	38904	24964624	-1.1002
12	38904	46926350	-1.3512
12	3385	16224745	-1.2563
12	15953832	3385	-1.1318
12	15953832	24958200	-1.3168
12	5394	104842	-1.0575
12	5394	5288382	-1.2279
12	5394	6857599	-1.095
12	5394	6421776	-1.439
12	208908	46926350	-1.3673
12	38904	176870	-1.1459
12	5394	24856436	-1.2779
12	5394	176870	-1.1426
12	38904	24958200	-1.2731
12	11520894	46926350	-1.3533
12	5394	3062316	-1.157
12	5394	24964624	-1.0208
12	5394	11520894	-1.112
12	5394	216239	-1.4302
12	5394	60700	-1.6205
12	208908	387447	-1.3695
12	208908	24748204	-1.0267
12	38904	11520894	-1.1175
12	38904	5329102	-1.4162
12	38904	216453	-1.2221
12	38904	16224745	-1.2362
12	38904	5311	-1.3025
12	38904	24856436	-1.2717
12	38904	387447	-1.4319
12	38904	3062316	-1.2214
12	38904	5288382	-1.292
12	38904	6421776	-1.5131
12	38904	24748204	-1.0884
12	38904	9826528	-1.4267
12	208908	11960529	-0.8963
12	208908	176870	-1.021
12	208908	16224745	-1.1925
12	208908	104842	-1.1448
12	208908	5288382	-1.2876
12	5394	16224745	-1.2308
12	5394	24958200	-1.4589
12	208908	11520894	-1.0487
12	208908	3062316	-1.0745
12	208908	6421776	-1.3969
12	208908	24958200	-1.2804
12	208908	24964624	-1.0664
12	208908	9826528	-1.4805
12	208908	216239	-1.4289
12	208908	60700	-1.6006
12	24964624	46926350	-1.3494
12	24964624	5288382	-1.2751
12	24964624	16224745	-1.1991
12	15953832	24748204	-1.0912
12	2907	208908	-0.9247
12	15953832	24964624	-1.1209
12	24964624	387447	-1.3948
12	24964624	6421776	-1.4626
12	15953832	11520894	-1.1247
12	4091	11960529	-0.922
12	2907	6421776	-1.3925
12	15953832	126941	-1.5706
12	11520894	104842	-1.1396
12	15953832	176870	-1.1849
12	15953832	5288382	-1.3024
12	15953832	216453	-1.3141
12	15953832	387447	-1.4584
12	24964624	176870	-1.1196
12	24964624	3062316	-1.3381
12	24964624	9826528	-1.4516
12	24964624	11520894	-1.1647
12	24964624	104842	-1.2295
12	24964624	216239	-1.4576
12	24964624	60700	-1.6656
12	15953832	36462	-1.4226
12	15953832	36314	-1.5192
12	15953832	24856436	-1.318
12	15953832	46926350	-1.4191
12	15953832	6421776	-1.506
12	15953832	3062316	-1.2165
12	15953832	31703	-1.6162
