CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
94	73389731	11364421	-0.3512
94	24776445	11152667	-0.484
94	6442177	16720766	-0.7308
94	11626560	11364421	-1.0053
94	36314	1069686	-0.8818
94	11626560	16038120	-0.909
94	25102847	6419747	-1.0398
94	6442177	10461815	-0.9148
94	25102847	446556	-0.939
94	176870	5291	-0.8212
94	6442177	5284616	-0.5176
94	11626560	60750	-0.7898
94	36314	11178236	-0.9499
94	176870	16725726	-0.8787
94	24776445	11612883	-1.0156
94	6442177	159324	-0.8387
94	11626560	421610	-0.6291
94	25102847	16681698	-0.8746
94	24776445	3218	-0.9252
94	6442177	1088438	-0.7781
94	24776445	5291	-0.978
94	6442177	3062316	-0.8387
94	36314	5288674	-0.9425
94	25102847	3062316	-0.8073
94	36314	446556	-0.7015
94	176870	24785538	-0.858
94	25102847	5282054	-1.3276
94	24776445	46907787	-0.6045
94	6442177	5328940	-0.8777
94	36314	11612883	-0.7113
94	176870	77999	-0.8906
94	25102847	17755052	-0.8485
94	176870	11556711	-0.5581
94	11626560	42611257	-1.1448
94	24776445	5494449	-0.9269
94	36314	457193	-0.9175
94	176870	42642645	-0.8281
94	24776445	104842	-0.6408
94	6442177	11364421	-0.7877
94	11626560	51039095	-1.0881
94	36314	176167	-0.7302
94	11626560	1069686	-0.9956
94	25102847	44631903	-1.109
94	24776445	285033	-0.5344
94	6442177	16038120	-0.7279
94	25102847	60750	-0.8493
94	176870	38904	-0.9841
94	24776445	36314	-0.8259
94	6442177	5291	-0.9106
94	11626560	387447	-0.791
94	36314	42642645	-0.8299
94	176870	9887712	-0.8611
94	25102847	3218	-1.0836
94	24776445	54454	-0.9021
94	6442177	64139	-0.7914
94	11626560	5328940	-1.0118
94	36314	3387354	-0.3106
94	176870	159324	-0.8849
94	11626560	969516	-0.7528
94	25102847	5287969	-0.9285
94	176870	11488320	-0.6866
94	24776445	56972186	-0.7319
94	6442177	421610	-0.7433
94	24776445	38904	-0.9205
94	176870	2520	-0.9608
94	36314	6419747	-0.5781
94	36314	11556711	-0.8276
94	24776445	2520	-0.9522
94	36314	60750	-0.9135
94	176870	3854666	-0.6976
94	24776445	5288674	-0.7219
94	6442177	11178236	-0.653
94	11626560	46907787	-0.4903
94	176870	1401	-0.8854
94	11626560	11612883	-1.0335
94	25102847	5566	-0.8196
94	6442177	2779853	-0.8809
94	25102847	5311	-1.3029
94	176870	36314	-0.7825
94	11626560	6918289	-0.7915
94	6442177	5311	-0.9743
94	11626560	6857599	-0.9968
94	36314	24785538	-0.6387
94	25102847	216345	-0.7836
94	24776445	77999	-1.0768
94	6442177	36314	-0.8373
94	11626560	36462	-1.0328
94	36314	3854666	-0.6137
94	176870	421610	-0.8046
94	25102847	285033	-0.9087
94	24776445	1401	-1.0366
94	11626560	176167	-0.9495
94	25102847	24775005	-0.8918
94	24776445	64139	-0.7671
94	6442177	1069686	-0.8425
94	24776445	3385	-0.8043
94	6442177	38904	-0.9734
94	36314	5566	-0.867
94	36314	11488320	-0.817
94	25102847	38904	-0.9601
94	36314	6857599	-0.6011
94	176870	5353431	-0.9318
94	25102847	5328940	-1.0872
94	24776445	42642645	-0.5493
94	6442177	25023738	-0.9747
94	11626560	54454	-1.0193
