CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
96	25126798	36462	-0.6102
96	148124	208908	-0.6279
96	10341154	11683005	-0.866
96	216345	24180719	-1.0004
96	16041424	11626560	-1.7627
96	24856436	11152667	-0.951
96	24856436	25023738	-0.5179
96	24856436	3218	-0.5513
96	24856436	16038120	-1.06
96	24856436	1401	-0.6091
96	24856436	300471	-0.8808
96	24856436	159324	-0.8519
96	24856436	135418940	-0.3595
96	24856436	54708532	-0.5831
96	24856436	11630874	-1.535
96	24856436	135440466	-0.4596
96	24856436	9933475	-0.4151
96	24856436	9926791	-0.5768
96	24856436	11524144	-0.3699
96	24856436	5113032	-0.77
96	24856436	46233311	-0.5403
96	24856436	9934458	-0.7171
96	24856436	11617559	-0.4912
96	24856436	16219401	-0.6342
96	24856436	644213	-0.729
96	24856436	25021165	-0.4207
96	24856436	16736978	-0.7808
96	24856436	5278396	-0.4952
96	24856436	9950176	-0.306
96	24856436	54676905	-1.5809
96	24856436	9829523	-1.1805
96	24856436	10027278	-0.8567
96	24856436	17754438	-0.7772
96	24856436	1361332	-0.4916
96	24856436	4829	-0.656
96	24856436	42623900	-0.4248
96	24856436	3025986	-0.9974
96	24856436	24995524	-0.709
96	24856436	5312137	-0.6816
96	24856436	447912	-0.6571
96	24856436	56972185	-1.0017
96	24856436	23625762	-0.6225
96	24856436	104794	-1.4674
96	24856436	5730	-0.5599
96	387447	24856436	-0.6335
96	387447	3062316	-1.8745
96	387447	451668	-0.6064
96	387447	2767	-0.8001
96	387447	176870	-0.9305
96	387447	6442177	-0.8722
96	387447	657237	-0.7761
96	387447	60750	-0.831
96	387447	208908	-0.7192
96	387447	216326	-0.8219
96	387447	216239	-0.709
96	387447	5394	-1.736
96	387447	11960529	-0.7632
96	387447	5311	-1.1114
96	387447	11152667	-0.9553
96	387447	11213558	-1.497
96	387447	11626560	-1.2659
96	387447	135398510	-0.7154
96	387447	11178236	-0.855
96	387447	25023738	-0.772
96	387447	3218	-0.5008
96	387447	16038120	-1.1709
