CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
17	59691338	208908	-1.2749
17	5743	5311	-1.4769
17	5311	208908	-0.7957
17	5311	5288382	-0.8231
17	176870	3062316	-0.8806
17	208908	176870	-1.0849
17	6857599	16224745	-1.2342
17	24958200	176870	-1.2107
17	13342	176870	-1.2929
17	13342	208908	-1.2057
17	4091	208908	-1.2182
17	59691338	11960529	-1.1117
17	59691338	44424639	-1.071
17	4091	5394	-1.2954
17	24958200	104842	-1.1758
17	36462	5288382	-0.9559
17	126941	208908	-0.1121
17	126941	24958200	-0.0805
17	126941	5394	-0.0399
17	387447	11960529	0.0033
17	126941	24748204	-0.1009
17	126941	176870	-0.1333
17	126941	216453	-0.1323
17	126941	11960529	-0.0419
17	126941	5329102	-0.158
17	126941	24856436	-0.1341
17	126941	5311	-0.1763
17	126941	5288382	-0.152
17	126941	16224745	-0.0929
17	31703	216239	-0.2241
17	126941	24964624	-0.2132
17	126941	216239	-0.2002
17	126941	3062316	-0.1227
17	31703	216453	-0.1654
17	387447	16224745	-0.1599
17	387447	6857599	-0.1815
17	60750	24958200	-0.2085
17	60750	208908	-0.2435
17	60750	5288382	-0.2482
17	387447	3062316	-0.0206
17	60750	11960529	-0.1847
17	60750	5394	-0.2066
17	60750	216239	-0.3394
17	60750	24748204	-0.2327
17	60750	3062316	-0.2759
17	31703	5329102	-0.3444
17	60750	24964624	-0.3178
17	60750	176870	-0.279
17	387447	60700	-0.2986
17	46926350	16224745	-0.2377
17	60750	5329102	-0.3204
17	60750	6421776	-0.3281
17	31703	5394	-0.1647
17	5311	216239	-0.3747
17	5311	5394	-0.2495
17	60750	24856436	-0.3511
17	387447	216239	-0.3631
17	60750	16224745	-0.3621
17	60750	9826528	-0.4198
17	387447	5288382	-0.0675
17	31703	24958200	-0.1987
17	126941	6421776	-0.4811
17	60750	46926350	-0.4801
17	31703	16224745	-0.4371
17	31703	11960529	-0.1393
17	5329102	216239	-0.5826
17	5329102	5394	-0.3899
17	31703	5311	-0.5152
17	31703	24964624	-0.4762
17	60750	387447	-0.5747
17	126941	9826528	-0.6113
17	6421776	6857599	-0.4515
17	387447	6421776	-0.5341
17	5311	6857599	-0.4316
17	60700	216239	-0.5978
17	31703	5288382	-0.4497
17	31703	24748204	-0.2599
17	31703	176870	-0.2967
17	6421776	216239	-0.6677
17	31703	208908	-0.429
17	5311	5329102	-0.6472
17	6421776	16224745	-0.5435
17	31703	3062316	-0.4883
17	60750	11520894	-0.6888
17	3385	5394	-0.4976
17	60700	16224745	-0.584
17	5311	11960529	-0.4473
17	5329102	6857599	-0.5861
17	3385	216239	-0.7141
17	5311	24958200	-0.5687
17	126941	46926350	-0.8634
17	126941	387447	-0.8583
17	24964624	216239	-0.833
17	31703	24856436	-0.717
17	216453	5394	-0.5897
17	176870	216239	-0.7711
17	216453	216239	-0.8459
17	126941	11520894	-0.9606
17	3385	11960529	-0.6095
17	5329102	11960529	-0.6909
17	208908	216239	-0.8251
17	3385	5329102	-0.8557
17	176870	6857599	-0.5855
17	24964624	6857599	-0.5624
17	5329102	24958200	-0.7665
17	36462	5394	-0.5348
17	387447	46926350	-0.7756
17	3385	24958200	-0.7114
17	216453	6857599	-0.6847
17	216453	11960529	-0.6337
17	3385	216453	-0.837
17	5311	176870	-0.9089
17	5311	16224745	-0.8718
17	5746	216239	-0.8661
17	31703	6421776	-0.8862
17	216453	5329102	-0.9476
17	24964624	11960529	-0.641
17	5746	5394	-0.6761
17	5311	3062316	-0.7622
17	216453	24958200	-0.7783
17	5311	24964624	-0.9111
17	3385	5311	-0.954
17	3385	208908	-0.8493
17	3385	16224745	-0.8161
17	5746	5329102	-0.9492
17	208908	6857599	-0.6532
17	3385	176870	-0.9132
17	31703	9826528	-0.8321
17	3385	3062316	-0.821
17	5329102	208908	-0.9744
17	60700	6421776	-0.9804
17	3385	24964624	-0.9386
17	176870	11960529	-0.6321
17	5746	11960529	-0.6471
17	5329102	16224745	-0.997
17	5329102	176870	-0.98
17	5311	24748204	-0.9158
17	3385	24748204	-0.9036
17	5329102	24964624	-1.0264
17	36462	216239	-0.9754
17	5746	216453	-0.8066
17	24748204	216239	-1.0522
17	216453	5311	-0.9896
17	216453	16224745	-0.9333
17	5329102	3062316	-0.9529
17	216453	208908	-0.8992
17	3385	5288382	-0.8563
17	24748204	6857599	-0.8148
17	216453	176870	-0.9288
17	216239	16224745	-1.0593
17	5746	24958200	-0.7667
17	216453	36462	-0.8269
17	216453	24964624	-0.997
17	387447	11520894	-0.8602
17	24964624	176870	-0.8929
17	216453	3062316	-0.8357
17	24964624	16224745	-0.8876
17	5329102	24748204	-1.0393
17	216453	24748204	-0.3773
17	216453	5288382	-0.8756
17	24964624	5288382	-0.8392
17	5746	16224745	-0.9322
17	24964624	3062316	-0.8579
17	216239	46926350	-1.1473
17	5329102	5288382	-0.997
17	5311	9826528	-1.0307
17	5746	5311	-1.0358
17	31703	46926350	-1.118
17	5394	216239	-1.1512
17	31703	387447	-1.1183
17	216453	60700	-1.1576
17	24748204	11960529	-0.5403
17	5311	60700	-1.1676
17	24748204	24958200	-0.8194
17	5329102	9826528	-1.0966
17	60700	46926350	-1.0983
17	5746	208908	-0.9092
17	3385	24856436	-1.1291
17	176870	16224745	-1.0193
17	24958200	216239	-1.1434
17	31703	11520894	-1.0643
17	5394	6857599	-0.9701
17	3385	9826528	-0.9934
17	5311	11520894	-1.0645
17	5394	11960529	-0.9038
17	5746	176870	-0.9016
17	5329102	60700	-1.205
17	3385	6421776	-1.1452
17	5746	24964624	-1.038
17	6857599	216239	-1.1715
17	208908	24958200	-0.8796
17	5746	24748204	-0.848
17	5394	24748204	-0.673
17	24964624	60700	-1.1492
17	208908	11960529	-0.7437
17	6421776	46926350	-1.2235
17	5329102	24856436	-1.1957
17	216453	6421776	-1.233
17	216453	24856436	-1.1063
17	3385	46926350	-1.1862
17	5329102	11520894	-1.165
17	387447	104842	-1.0647
17	5746	5288382	-0.8892
17	36462	11960529	-0.7565
17	5746	3062316	-0.8471
17	5311	6421776	-1.2551
17	3385	387447	-1.2141
17	3385	11520894	-1.0423
17	5329102	6421776	-1.2922
17	216453	9826528	-0.9864
17	38904	5394	-0.9187
17	5329102	46926350	-1.3026
17	5311	104842	-1.1091
17	5329102	387447	-1.292
17	5329102	104842	-1.1583
17	176870	5288382	-0.9059
17	216453	44424639	-1.0482
17	5311	24856436	-1.2444
17	24748204	16224745	-0.5737
17	24964624	9826528	-0.982
17	5394	24958200	-0.9329
17	5311	46926350	-1.2188
17	5394	3062316	-0.9161
17	24748204	176870	-1.1396
17	5394	208908	-1.0529
17	24748204	24964624	-1.0747
17	5311	60750	-1.4559
17	24958200	6857599	-0.9879
17	15953832	4091	-0.8331
17	6421776	104842	-1.1767
17	5311	387447	-1.2782
17	5394	176870	-1.1643
17	216453	387447	-1.1911
17	5394	24964624	-1.1278
17	5394	16224745	-1.1761
17	216453	46926350	-1.2158
17	216453	104842	-1.0934
17	24964624	6421776	-1.2488
17	36462	24958200	-0.9282
17	24748204	3062316	-0.8541
17	216453	60750	-1.4592
17	5394	5288382	-0.9557
17	24856436	11520894	-1.1046
17	24748204	5288382	-0.6617
17	24856436	9826528	-1.0787
17	216453	11520894	-1.035
17	5394	60700	-1.1513
17	24856436	5288382	-1.0737
17	15953832	5394	-1.0417
17	5394	9826528	-1.0042
17	5394	24856436	-1.2357
17	5394	104842	-1.0464
17	36462	5329102	-1.2342
17	5394	6421776	-1.2528
17	5394	387447	-1.2218
17	24856436	3062316	-1.0535
17	176870	9826528	-1.0234
17	24748204	6421776	-0.7832
17	5394	11520894	-1.0366
17	24964624	46926350	-1.2489
17	24964624	104842	-1.169
17	5746	24856436	-1.1827
