CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
179	24856436	11152667	-0.6954
179	24856436	25023738	-0.5897
179	24856436	3218	-0.8011
179	24856436	16038120	-0.6613
179	24856436	1401	-1.0335
179	24856436	300471	-1.1223
179	24856436	159324	-0.6994
179	24856436	135418940	-0.7639
179	24856436	54708532	-0.7849
179	24856436	11630874	-0.8163
179	24856436	135440466	-0.9444
179	24856436	9933475	-0.6764
179	24856436	9926791	-1.4339
179	24856436	11524144	-0.8024
179	24856436	5113032	-1.0453
179	24856436	46233311	-0.9747
179	24856436	9934458	-0.8391
179	24856436	11617559	-0.8873
179	24856436	16219401	-1.1169
179	24856436	644213	-0.6473
179	24856436	25021165	-1.1088
179	24856436	16736978	-0.9444
179	24856436	5278396	-0.9895
179	24856436	9950176	-0.6868
179	24856436	54676905	-0.7555
179	24856436	9829523	-0.9398
179	24856436	10027278	-0.6371
179	24856436	17754438	-0.6988
179	24856436	1361332	-0.7437
179	24856436	4829	-0.5246
179	24856436	42623900	-1.3389
179	24856436	3025986	-0.8075
179	24856436	24995524	-0.7386
179	24856436	5312137	-0.8376
179	24856436	447912	-0.595
179	24856436	56972185	-0.722
179	24856436	23625762	-0.8744
179	24856436	104794	-0.5924
179	24856436	5730	-0.8281
179	387447	24856436	-0.7268
179	387447	3062316	-1.3147
179	387447	451668	-0.8118
179	387447	2767	-0.6147
179	387447	176870	-0.6902
179	387447	6442177	-1.4465
179	387447	657237	-0.7715
179	387447	60750	-0.7375
179	387447	208908	-1.0884
179	387447	216326	-0.6435
179	387447	216239	-0.842
179	387447	5394	-1.0841
179	387447	11960529	-1.015
179	387447	5311	-1.2355
179	387447	11152667	-0.4403
179	387447	11213558	-1.3039
179	387447	11626560	-0.9102
179	387447	135398510	-0.8698
179	387447	11178236	-0.824
179	387447	25023738	-0.663
179	387447	3218	-0.4264
179	387447	16038120	-0.756
179	387447	5330286	-0.6418
179	387447	1401	-0.744
179	387447	300471	-1.0237
179	387447	159324	-0.7475
179	387447	135418940	-0.4236
179	387447	54708532	-0.8984
179	387447	11630874	-0.694
179	387447	11234052	-0.9788
179	387447	135440466	-0.8527
179	387447	9933475	-0.6206
179	387447	11656518	-1.1804
179	387447	9926791	-1.3401
179	387447	24748573	-0.6281
179	387447	11683005	-0.9317
179	387447	11524144	-0.7518
179	387447	5113032	-0.7546
179	387447	46233311	-1.1012
179	387447	9934458	-1.0238
179	387447	11617559	-1.0234
179	387447	16219401	-1.184
179	387447	644213	-0.6552
179	387447	3712	-1.0562
179	387447	521106	-0.4106
179	387447	25021165	-1.0806
179	387447	16736978	-0.6825
179	387447	5278396	-1.1577
179	387447	9950176	-0.6874
179	387447	54676905	-0.7521
179	387447	9829523	-0.7992
179	387447	4493	-1.5806
179	387447	10027278	-0.7769
179	387447	17754438	-0.8261
179	387447	1361332	-0.8552
179	387447	4829	-0.6992
179	387447	24180719	-1.5862
179	387447	42623900	-1.4683
179	387447	3025986	-0.9396
179	387447	24995524	-0.8849
179	387447	16683013	-1.218
179	387447	5312137	-0.8124
179	387447	447912	-0.7894
179	387447	6505803	-0.7902
179	387447	56972185	-0.5275
179	387447	23625762	-0.9633
179	387447	104794	-0.4297
179	387447	151194	-1.0244
179	387447	1893730	-0.6951
179	387447	5730	-0.7167
179	387447	82146	-0.9574
179	3062316	24856436	-1.5065
179	3062316	216326	-1.266
179	3062316	5394	-1.8351
179	3062316	11960529	-1.6299
179	3062316	5311	-1.894
179	3062316	11152667	-1.1827
179	3062316	11213558	-1.9919
179	3062316	11178236	-1.6065
179	3062316	25023738	-1.3864
179	3062316	3218	-1.3499
179	3062316	16038120	-1.4889
179	3062316	1401	-1.676
179	3062316	300471	-1.703
179	3062316	159324	-1.4384
179	3062316	135418940	-1.3754
179	3062316	54708532	-1.3939
179	3062316	11630874	-1.3625
179	3062316	11234052	-1.6076
179	3062316	135440466	-1.617
179	3062316	9933475	-1.277
179	3062316	11656518	-1.9343
179	3062316	9926791	-2.2139
179	3062316	11524144	-1.3042
179	3062316	5113032	-1.7144
179	3062316	46233311	-1.6331
179	3062316	9934458	-1.6375
179	3062316	11617559	-1.6006
179	3062316	16219401	-1.7931
179	3062316	644213	-1.3833
179	3062316	521106	-1.61
179	3062316	25021165	-1.7067
179	3062316	16736978	-1.5795
179	3062316	5278396	-1.7743
179	3062316	9950176	-1.2908
179	3062316	54676905	-1.4388
179	3062316	9829523	-1.4686
179	3062316	4493	-2.2431
179	3062316	10027278	-1.4225
179	3062316	17754438	-1.4051
179	3062316	1361332	-1.4584
179	3062316	4829	-1.2264
179	3062316	42623900	-1.9251
179	3062316	3025986	-1.4752
179	3062316	24995524	-1.5275
179	3062316	5312137	-1.5744
179	3062316	447912	-1.3297
179	3062316	56972185	-1.2266
179	3062316	23625762	-1.6275
179	3062316	104794	-1.2852
179	3062316	5730	-1.4453
179	451668	24856436	-0.8531
179	451668	3062316	-1.3028
179	451668	176870	-0.7914
179	451668	216326	-0.7638
179	451668	5394	-1.2516
179	451668	11960529	-1.1728
179	451668	5311	-1.4222
179	451668	11152667	-0.5745
179	451668	11213558	-1.5795
179	451668	11178236	-1.0284
179	451668	25023738	-0.5746
179	451668	3218	-0.8716
179	451668	16038120	-0.8384
179	451668	5330286	-0.818
179	451668	1401	-1.1015
179	451668	300471	-0.8945
179	451668	159324	-0.658
179	451668	135418940	-0.8288
179	451668	54708532	-0.8372
179	451668	11630874	-0.781
179	451668	11234052	-0.9645
179	451668	135440466	-0.8562
179	451668	9933475	-0.6662
179	451668	11656518	-1.519
179	451668	9926791	-1.5963
179	451668	11683005	-0.8489
179	451668	11524144	-0.8228
179	451668	5113032	-0.9597
179	451668	46233311	-1.1046
179	451668	9934458	-0.9504
179	451668	11617559	-0.9927
179	451668	16219401	-1.1777
179	451668	644213	-0.6894
179	451668	3712	-1.0985
179	451668	521106	-1.0941
179	451668	25021165	-1.1609
179	451668	16736978	-0.9023
179	451668	5278396	-1.0459
179	451668	9950176	-0.8415
