CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
14	5311	176870	-1.1162
14	38904	208908	-1.0622
14	208908	176870	-1.0701
14	5311	60700	-1.5301
14	15953832	5311	-1.1983
14	15953832	24964624	-1.209
14	59691338	208908	-1.2032
14	24958200	104842	-1.3181
14	3385	176870	-1.1364
14	4091	176870	-1.2581
14	5746	216239	0.3538
14	60750	216239	0.0161
14	60750	208908	-0.0186
14	60750	11960529	-0.0441
14	387447	11960529	-0.0821
14	60750	176870	-0.0075
14	60750	5288382	-0.035
14	60750	24964624	-0.0673
14	60750	3062316	-0.039
14	60750	5394	-0.0662
14	60750	24958200	-0.072
14	60750	24748204	-0.0679
14	60750	5329102	-0.0703
14	60750	6421776	0.0223
14	60750	9826528	-0.0742
14	60750	46926350	-0.0481
14	31703	5394	-0.0656
14	31703	216239	-0.1114
14	24856436	24748204	-0.112
14	387447	216239	-0.1212
14	60750	24856436	-0.1592
14	36314	11960529	-0.1956
14	60750	16224745	-0.1641
14	60700	216239	-0.1341
14	24856436	216239	-0.1615
14	60750	387447	-0.2248
14	60700	16224745	-0.1823
14	31703	24748204	-0.1584
14	31703	11960529	-0.1036
14	31703	24958200	-0.2137
14	5746	5394	-0.1535
14	387447	16224745	-0.1459
14	31703	5329102	-0.161
14	24856436	208908	-0.2176
14	31703	24964624	-0.2051
14	31703	16224745	-0.1991
14	5746	216453	0.0185
14	24856436	24958200	-0.1944
14	387447	6857599	-0.0882
14	387447	3062316	-0.2366
14	24856436	24964624	-0.158
14	5746	11960529	-0.2333
14	5746	5329102	-0.2699
14	36314	216239	-0.2814
14	13342	11960529	-0.1674
14	31703	176870	-0.1941
14	387447	60700	-0.377
14	31703	208908	-0.2014
14	387447	5288382	-0.2149
14	5746	24958200	-0.313
14	31703	216453	-0.0355
14	31703	5311	-0.0981
14	44424639	11960529	-0.1989
14	5746	24748204	-0.2765
14	36314	24964624	-0.2647
14	36314	216453	-0.2429
14	36314	24958200	-0.3057
14	5746	5311	-0.3067
14	31703	5288382	-0.2873
14	387447	6421776	-0.2368
14	31703	24856436	-0.3217
14	36314	5394	-0.1751
14	60750	11520894	-0.3928
14	24856436	6857599	-0.1477
14	36314	5311	-0.1401
14	44424639	5311	-0.1975
14	36314	208908	-0.2977
14	24856436	176870	-0.2052
14	31703	3062316	-0.3579
14	24856436	11960529	-0.0212
14	5746	176870	-0.161
14	5746	16224745	-0.3496
14	36314	24748204	-0.3289
14	5746	208908	-0.3792
14	36314	5329102	-0.3274
14	44424639	24964624	-0.2458
14	36314	5288382	-0.3199
14	24856436	16224745	-0.1822
14	36314	6421776	-0.2568
14	5746	24964624	-0.4069
14	24856436	5288382	-0.408
14	44424639	6421776	-0.309
14	44424639	208908	-0.2836
14	126941	5329102	-0.3313
14	126941	208908	-0.272
14	126941	176870	-0.2841
14	44424639	24958200	-0.3398
14	36314	176870	-0.301
14	36314	16224745	-0.3122
14	13342	208908	-0.3222
14	13342	24958200	-0.3742
14	44424639	5394	-0.1783
14	44424639	5329102	-0.3646
14	126941	16224745	-0.3792
14	126941	5311	-0.2263
14	126941	24958200	-0.376
14	44424639	5288382	-0.3897
14	36314	24856436	-0.3944
14	36314	3062316	-0.3769
14	126941	216453	-0.2386
14	44424639	24748204	-0.3242
14	36314	9826528	-0.3468
14	13342	5288382	-0.4473
14	5288382	6857599	-0.2818
14	5746	3062316	-0.5398
14	44424639	24856436	-0.4093
14	126941	11960529	-0.1761
14	44424639	216239	-0.3176
14	44424639	16224745	-0.3351
14	5746	5288382	-0.4815
14	44424639	176870	-0.3229
14	36314	46926350	-0.4426
14	13342	5394	-0.0795
14	13342	216239	-0.3975
14	44424639	3062316	-0.3959
14	24856436	3062316	-0.3963
14	36462	216239	-0.3311
14	126941	216239	-0.2996
14	24856436	60700	-0.5976
14	13342	24964624	-0.2701
14	5746	24856436	-0.5869
14	5288382	216239	-0.342
14	13342	216453	-0.3469
14	13342	16224745	-0.4007
14	36462	5394	-0.0916
14	126941	24748204	-0.307
14	46926350	16224745	-0.333
14	126941	5394	-0.0962
14	44424639	9826528	-0.4202
14	6421776	6857599	-0.3833
14	6421776	216239	-0.4107
14	13342	5329102	-0.443
14	60700	6421776	-0.5975
14	13342	176870	-0.4168
14	13342	3062316	-0.4658
14	31703	6421776	-0.5312
14	387447	46926350	-0.5431
14	13342	5311	-0.2227
14	126941	24964624	-0.3773
14	13342	24748204	-0.4048
14	13342	24856436	-0.4748
14	36314	387447	-0.6158
14	5329102	5394	-0.2727
14	5329102	216239	-0.5214
14	44424639	46926350	-0.543
14	126941	5288382	-0.5783
14	24958200	216239	-0.4079
14	24856436	6421776	-0.6377
14	126941	24856436	-0.5679
14	5746	6421776	-0.7013
14	13342	6421776	-0.4812
14	3062316	216239	-0.5998
14	3062316	11960529	-0.437
14	126941	3062316	-0.5653
14	3062316	6857599	-0.4971
14	36314	11520894	-0.6165
14	44424639	387447	-0.6946
14	6421776	16224745	-0.5504
14	13342	9826528	-0.5722
14	3062316	16224745	-0.5786
14	5288382	16224745	-0.6794
14	31703	9826528	-0.7148
14	24748204	216239	-0.5637
14	3062316	5288382	-0.6321
14	3062316	60700	-0.9016
14	24958200	6857599	-0.5713
14	5746	9826528	-0.9184
14	44424639	11520894	-0.6355
14	5329102	6857599	-0.6019
14	36462	11960529	-0.5061
14	60700	46926350	-0.9636
14	31703	46926350	-0.8628
14	36462	5329102	-0.7297
14	13342	46926350	-0.7121
14	24748204	6857599	-0.6213
14	176870	216239	-0.7239
14	387447	11520894	-0.7778
14	31703	387447	-0.9511
14	24958200	11960529	-0.5005
14	3062316	6421776	-0.8198
14	126941	6421776	-0.6968
14	5746	46926350	-0.9989
14	15953832	4091	-0.2769
14	24856436	9826528	-0.7956
14	38904	5394	-0.3959
14	36462	24958200	-0.8059
14	5329102	11960529	-0.727
14	5746	387447	-1.0864
14	13342	387447	-0.9287
14	387447	104842	-0.9108
14	176870	6857599	-0.6073
14	31703	11520894	-1.0059
14	5311	216239	-0.8196
14	5288382	60700	-1.087
14	5746	11520894	-1.0903
14	126941	9826528	-0.8504
14	24748204	11960529	-0.5902
14	5329102	24958200	-0.9039
14	176870	11960529	-0.6382
14	24856436	46926350	-0.9279
14	5311	5394	-0.5196
14	3062316	46926350	-1.005
14	11520894	6857599	-0.6819
14	11520894	216239	-0.8425
14	36462	5311	-0.7754
14	15953832	5394	-0.4135
14	24856436	387447	-1.0537
14	36462	208908	-0.8664
14	24958200	24964624	-0.8586
14	36462	176870	-0.8939
14	36462	24964624	-0.8633
14	13342	11520894	-0.8578
14	36462	16224745	-0.944
14	5288382	6421776	-1.0563
14	11520894	5288382	-0.916
14	24748204	24958200	-0.8702
14	6857599	216239	-0.8351
14	11520894	16224745	-0.9181
14	5329102	24964624	-0.9078
14	5311	6857599	-0.8054
14	24958200	176870	-0.9395
14	5329102	176870	-0.9351
14	5329102	208908	-0.9588
14	216453	216239	-0.9082
14	5329102	16224745	-1.0435
14	208908	216239	-0.9392
14	5743	5394	-0.5747
14	11520894	60700	-1.2583
14	5743	11960529	-0.7023
14	5743	5288382	-0.9956
14	3062316	11520894	-0.9911
14	5743	216239	-1.0146
14	5743	24958200	-0.9381
14	5743	5329102	-0.9598
14	5743	46926350	-0.991
14	5743	5311	-0.8322
14	5743	176870	-0.9093
14	5743	208908	-0.899
14	5743	16224745	-0.9707
14	5743	24964624	-0.8938
14	5743	3062316	-1.1309
14	176870	16224745	-1.0459
14	5743	24748204	-0.89
14	5743	216453	-0.8736
14	216453	5394	-0.6157
14	5311	11960529	-0.7224
14	5743	6421776	-0.9953
14	11520894	6421776	-0.9868
14	5743	387447	-1.0693
14	5743	9826528	-0.9045
14	36462	24748204	-0.9533
14	5743	24856436	-1.0394
14	216453	6857599	-0.8189
14	3062316	104842	-1.1382
14	5743	11520894	-0.8763
14	36462	3062316	-1.1512
14	126941	46926350	-1.1273
14	5329102	3062316	-1.1231
14	216453	5329102	-1.0383
14	126941	387447	-1.2127
14	5329102	24748204	-1.0275
14	3385	216239	-0.9376
14	9826528	216239	-1.0088
14	24958200	16224745	-1.0856
14	24856436	104842	-1.1662
14	216453	11960529	-0.798
14	24958200	3062316	-1.1324
14	6421776	46926350	-1.0797
14	176870	3062316	-1.1072
14	9826528	11960529	-0.764
14	3385	5394	-0.6108
14	24748204	16224745	-0.9767
14	24748204	24964624	-0.8658
14	24748204	176870	-0.9505
14	36462	5288382	-1.1351
14	5329102	5288382	-1.2097
14	5311	5329102	-0.9883
14	176870	5288382	-1.1105
14	216453	24958200	-0.9236
14	5311	24958200	-0.9278
14	11520894	46926350	-1.0203
14	38904	216239	-0.8667
14	24856436	11520894	-1.1175
14	208908	6857599	-0.8104
14	9826528	6857599	-0.8988
14	126941	11520894	-1.0423
14	9826528	5288382	-1.1044
14	24958200	5288382	-1.1024
14	9826528	16224745	-1.0401
14	9826528	3062316	-1.1235
14	9826528	60700	-1.3954
14	176870	60700	-1.4104
14	15953832	38904	-0.8808
14	5288382	104842	-1.2042
14	216453	5311	-0.9023
14	38904	11960529	-0.9217
14	5329102	60700	-1.4279
14	216453	16224745	-1.049
14	24958200	9826528	-1.1054
14	5288382	46926350	-1.2047
14	208908	11960529	-0.7981
14	9826528	6421776	-1.1205
14	216453	208908	-0.9782
14	216453	176870	-1.0624
14	24748204	3062316	-1.1867
14	216453	24748204	-1.059
14	6421776	104842	-1.1629
14	216453	36462	-1.0202
14	5329102	24856436	-1.2745
14	216453	24964624	-0.9636
14	15953832	216239	-1.0983
14	176870	6421776	-1.1886
14	5329102	6421776	-1.2412
14	216453	3062316	-1.2155
14	24748204	5288382	-1.1403
14	24958200	60700	-1.5372
14	11520894	104842	-1.0469
14	5329102	9826528	-1.1254
14	24958200	11520894	-1.0525
14	5329102	46926350	-1.2665
14	216453	5288382	-1.2312
14	5329102	387447	-1.3667
14	5329102	11520894	-1.1449
14	5311	16224745	-1.1019
14	5329102	104842	-1.2496
14	5311	208908	-0.9827
14	24958200	6421776	-1.1718
14	24958200	46926350	-1.2287
14	208908	24958200	-1.1216
14	24958200	387447	-1.3494
14	36462	6421776	-1.2462
14	9826528	46926350	-1.1568
14	5311	24964624	-1.0049
14	38904	24958200	-1.2039
14	216453	60700	-1.4857
14	176870	9826528	-1.0798
14	36462	24856436	-1.3579
14	38904	24964624	-1.0949
14	3385	11960529	-0.8425
14	9826528	387447	-1.2831
14	176870	46926350	-1.228
14	15953832	6857599	-0.9551
14	176870	387447	-1.3344
14	5311	3062316	-1.2499
14	5311	24748204	-1.0329
14	38904	176870	-1.1533
14	36462	46926350	-1.2967
14	24748204	60700	-1.5754
14	38904	5329102	-1.3006
14	38904	9826528	-1.0943
14	36462	9826528	-1.1772
14	38904	216453	-1.0415
14	36462	387447	-1.3948
14	36462	11520894	-1.1673
14	176870	11520894	-1.146
14	38904	5311	-1.115
14	5311	5288382	-1.2097
14	216453	6421776	-1.227
14	176870	104842	-1.2382
14	216453	24856436	-1.2437
14	104842	16224745	-1.2926
14	6857599	16224745	-1.2707
14	38904	3062316	-1.3818
14	38904	24748204	-1.1218
14	3385	24958200	-1.1833
14	38904	16224745	-1.3105
14	208908	16224745	-1.3067
14	38904	5288382	-1.2967
14	38904	46926350	-1.2316
14	208908	24964624	-0.9606
14	38904	387447	-1.3677
14	3385	5329102	-1.2923
14	216239	46926350	-1.3168
14	38904	24856436	-1.3766
14	38904	6421776	-1.2729
14	104842	46926350	-1.2863
14	38904	11520894	-1.1446
14	104842	216239	-1.2655
14	9826528	11520894	-1.1125
14	216453	387447	-1.3422
14	216239	16224745	-1.3149
14	216453	104842	-1.1583
14	3385	216453	-1.0067
14	208908	24748204	-1.138
14	208908	3062316	-1.3464
14	216453	46926350	-1.2975
14	216453	9826528	-1.1762
14	216453	44424639	-1.3363
14	216453	60750	-1.6604
14	24964624	216239	-1.1713
14	9826528	104842	-1.1891
14	3385	208908	-1.0555
14	208908	5288382	-1.3398
14	6857599	46926350	-1.2815
14	3385	24964624	-1.067
14	3385	5311	-1.0798
14	24748204	9826528	-1.1706
14	24748204	6421776	-1.2955
14	24964624	6857599	-1.0467
14	216453	11520894	-1.0946
14	24748204	11520894	-1.208
14	5311	24856436	-1.341
14	24748204	104842	-1.2231
14	208908	60700	-1.6054
14	24964624	11960529	-0.9658
14	24748204	387447	-1.4512
14	24748204	46926350	-1.294
14	5311	6421776	-1.3214
14	3385	3062316	-1.4072
14	3385	16224745	-1.4558
14	3385	5288382	-1.3265
14	5311	387447	-1.4383
14	5311	9826528	-1.1174
14	5311	104842	-1.2019
14	5311	46926350	-1.2688
14	5311	11520894	-1.2037
14	24964624	16224745	-1.3021
14	5311	60750	-1.5908
14	24964624	176870	-1.1772
14	208908	6421776	-1.2946
14	15953832	11960529	-1.0024
14	3385	24748204	-1.1846
14	24964624	3062316	-1.3631
14	24964624	5288382	-1.3568
14	15953832	24958200	-1.3006
14	15953832	3385	-1.1024
14	15953832	2907	-0.9873
14	15953832	5743	-1.2192
14	208908	9826528	-1.1456
14	24964624	60700	-1.7022
14	208908	46926350	-1.3605
14	3385	6421776	-1.3112
14	3385	387447	-1.4427
14	208908	387447	-1.4549
14	208908	104842	-1.3224
14	3385	24856436	-1.5842
14	3385	11520894	-1.1623
14	3385	46926350	-1.3144
14	3385	9826528	-1.1369
14	208908	11520894	-1.1974
14	24964624	6421776	-1.3638
14	24964624	9826528	-1.1713
14	24964624	46926350	-1.3585
14	24964624	387447	-1.4576
14	24964624	11520894	-1.2265
14	24964624	104842	-1.3119
14	15953832	216453	-1.2378
14	15953832	176870	-1.2839
14	15953832	36462	-1.3567
14	15953832	36314	-1.5756
14	15953832	5288382	-1.3972
14	15953832	16224745	-1.4105
14	15953832	46926350	-1.3718
14	15953832	5329102	-1.3793
14	15953832	3062316	-1.4755
14	15953832	208908	-1.1769
14	15953832	24748204	-1.242
14	15953832	387447	-1.5202
14	15953832	44424639	-1.4669
14	15953832	104842	-1.3359
14	15953832	60700	-1.788
14	15953832	5746	-1.701
14	15953832	6421776	-1.4167
14	15953832	24856436	-1.4901
14	15953832	31703	-1.6214
14	15953832	126941	-1.4356
14	15953832	11520894	-1.2155
14	15953832	60750	-1.8473
14	15953832	9826528	-1.2
14	15953832	13342	-1.4145
