CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
11	5311	9854073	-0.964
11	2187	9854073	-1.0527
11	176870	3385	-0.9127
11	2767	216239	-1.0785
11	4212	6450551	-1.1049
11	2578	3385	-1.0097
11	5291	9854073	-1.0882
11	5352062	9854073	-0.7988
11	6194	9854073	-0.9876
11	6445540	457193	-0.9844
11	6442177	9854073	-0.9155
11	6445540	208908	-0.9175
11	6445540	104741	-0.9787
11	6445540	2662	-0.9466
11	6445540	119182	-0.9324
11	104842	3385	-0.8669
11	6445540	68740	-0.9426
11	5360373	9854073	-0.9894
11	6445540	4114	-0.9835
11	6445540	3902	-0.9716
11	148124	3385	-0.8114
11	439693	9854073	-1.0406
11	60700	3385	-0.861
11	3902	9854073	-1.0351
11	132971	9854073	-1.0219
11	57469	9854073	-1.0817
11	6445540	60953	-0.9814
11	2767	657237	-1.1363
11	4212	25126798	-1.0552
11	2767	2662	-1.1062
11	2767	5329102	-1.0801
11	2767	3062316	-1.0899
11	5790	3950	-0.9891
11	4212	3081361	-1.051
11	4212	10113978	-1.1098
11	5790	132971	-1.0275
11	57469	3385	-0.977
11	2767	68740	-1.0648
11	3385	6450551	-1.015
11	5394	3385	-1.0124
11	3385	42611257	-1.0233
11	4212	24776445	-1.1361
11	3657	163659	-0.9793
11	5426	5360373	-1.2136
11	667490	11626560	-0.8372
11	6442177	42611257	-1.0528
11	6442177	11683	-0.9995
11	176870	3657	-0.903
11	176870	2094	-0.9812
11	176870	5291	-0.9771
11	451668	31703	-0.9552
11	644241	446556	-1.0866
11	148121	208908	-1.4204
11	2578	2478	-0.9804
11	4915	2478	-1.0055
11	2578	216326	-1.025
11	2141	2187	-1.0095
11	460612	2123	-1.0577
11	261004	2767	-0.6114
11	6445540	5746	-0.7741
11	6445540	60750	-0.7935
11	2723601	9854073	-0.8738
11	6445540	237	-0.8894
11	119182	9854073	-0.952
11	6445540	5311	-0.8929
11	6445540	20279	-0.8842
11	6445540	36314	-0.8581
11	2767	454216	-0.8848
11	452548	4212	-0.8001
11	2767	126941	-0.9543
11	6445540	2578	-0.9824
11	6445540	9444	-0.8703
11	5746	36314	-0.9233
