CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
48	6442177	9854073	-1.0348
48	4915	3385	-0.9945
48	6450551	11626560	-1.044
48	44424639	9854073	-0.8736
48	6450551	9854073	-1.0339
48	148121	9854073	-1.115
48	5284616	3081361	-0.9782
48	2733526	9854073	-1.0619
48	132971	9854073	-1.1103
48	36314	2723601	-0.9915
48	5352062	454216	-1.1655
48	4211	9854073	-1.0881
48	6442177	25126798	-1.0254
48	6442177	6450551	-0.9925
48	60953	9854073	-1.091
48	644241	9854073	-1.2053
48	208908	123631	-0.9714
48	5284616	25126798	-1.0044
48	2733526	2723601	-1.0799
48	6442177	5035	-0.9832
48	3385	11626560	-0.9942
48	6445540	5360373	-1.0422
48	148121	2708	-0.855
48	4114	3081361	-0.9919
48	137	30323	-0.925
48	60750	444795	-0.9137
48	4114	126941	-0.8438
48	5360373	60750	-0.9367
48	4915	3950	-0.9644
48	176870	5353562	-0.9885
48	3657	444795	-0.9985
48	2662	132971	-0.969
48	29327	5453	-0.9716
48	2478	5978	-0.9395
48	451668	36314	-0.9786
48	4915	11626560	-0.9871
48	2578	148121	-1.0013
48	68740	457193	-0.9857
48	2141	5453	-1.0244
48	6857599	104741	-1.0296
48	259331	5746	-0.9881
48	65628	38904	-1.0062
48	4211	3902	-0.9872
48	3690	148121	-1.0037
48	68740	20279	-0.974
48	3690	104741	-1.0033
48	57469	148124	-1.016
48	5746	3011155	-1.0778
48	2907	148121	-1.0193
48	5426	460612	-1.1221
48	2723601	9854073	-0.7964
48	5284616	9854073	-0.9091
48	44424639	123631	-1.0187
48	13342	9854073	-0.8694
48	123631	9854073	-1.0251
48	3385	9854073	-0.8657
48	4212	9854073	-0.8975
48	119182	3385	-0.9636
48	6442177	4212	-0.9628
48	9854073	3081361	-1.1062
48	5284616	452548	-0.9274
48	4212	123631	-1.1168
48	3950	9854073	-0.9089
48	5978	2723601	-0.9211
48	11683	9854073	-1.0107
48	148124	123631	-1.0349
48	176870	9854073	-1.0957
48	2662	9854073	-1.0369
48	13342	3081361	-1.0085
48	6442177	2708	-0.9278
48	387447	4842	-0.8705
48	452548	123631	-1.0607
48	36314	123631	-0.9854
48	2723601	36462	-0.9532
48	4842	163659	-0.9669
48	25126798	9854073	-1.1409
48	5291	9854073	-1.0946
48	5284616	2708	-0.9294
48	6253	123631	-0.9413
48	6442177	3385	-0.9522
48	44424639	25126798	-1.0203
48	176870	44424639	-1.029
48	5799	454216	-1.056
48	119182	2708	-0.9115
48	6442177	6194	-0.9933
48	9854073	11626560	-1.0617
48	4114	9854073	-0.9496
48	4212	3081361	-1.0624
48	119182	460612	-0.9797
48	387447	3011155	-0.8791
48	163659	104842	-0.967
48	60750	163659	-0.8613
48	6857599	44424639	-0.9456
48	5329102	9854073	-1.1204
48	208908	9854073	-1.1788
48	9444	60198	-0.9898
48	9854073	10113978	-1.1567
48	3385	123631	-1.0092
48	3657	9854073	-0.9957
48	2123	9854073	-0.9921
48	5426	9854073	-0.9963
48	5035	9854073	-1.0114
48	6445540	60198	-0.9859
48	9444	9854073	-0.9117
48	6442177	11683	-0.9651
48	387447	5746	-0.9896
48	6442177	11626560	-0.9717
48	6442177	24776445	-1.0682
48	3011155	9854073	-1.0218
48	176870	454216	-1.0049
48	20279	9854073	-0.9806
48	5978	24776445	-1.0172
48	123631	3081361	-0.9704
48	4033	454216	-0.9988
48	163659	5291	-1.0055
48	68740	44424639	-1.0023
48	454216	60750	-1.1261
48	444795	9854073	-1.0584
48	5284616	11683	-0.9246
48	60953	163659	-0.9446
48	5978	11683	-1.002
48	5284616	454216	-0.9695
48	454216	6442177	-0.9115
48	29327	2723601	-0.9772
48	2662	2723601	-0.9606
48	68740	454216	-1.0031
48	2478	454216	-0.9864
48	11626560	4212	-0.9812
48	644241	44424639	-1.082
48	5284616	6450551	-1.0164
48	454216	5790	-0.8737
48	123631	11626560	-1.0824
48	126941	44424639	-0.9108
48	454216	2723601	-1.0665
48	6442177	3950	-0.8931
48	5284616	11626560	-1.0521
48	104741	2723601	-0.9597
48	439693	2723601	-1.0675
48	5360373	2723601	-1.0357
48	6445540	6442177	-0.9237
48	2094	454216	-1.0032
48	261004	123631	-0.9815
48	454216	36314	-0.8767
48	667490	454216	-1.1092
48	261004	13342	-0.9426
48	68740	123631	-0.9562
48	4212	446556	-1.0345
48	5284616	5035	-1.0504
48	4915	2723601	-0.978
48	13342	30323	-0.9296
48	6442177	10113978	-0.9616
48	452548	71384	-0.9938
48	216239	25126798	-0.9528
48	2907	2723601	-1.0227
48	5352062	452548	-1.2248
48	176870	36462	-1.0451
48	5746	123631	-1.0739
48	3902	4212	-0.9877
48	60700	4212	-1.0209
48	20279	2723601	-0.92
48	36314	6450551	-1.0026
48	36314	25126798	-1.0079
48	5426	2723601	-1.131
48	20279	123631	-1.0094
48	5329102	123631	-0.977
48	2141	123631	-0.9606
48	5311	123631	-1.0308
48	5353562	123631	-1.0046
48	6445540	2094	-0.9163
48	2478	2723601	-1.1139
48	6442177	42611257	-1.1057
48	657237	123631	-1.0139
48	5284616	42611257	-1.1279
48	5790	452548	-0.9936
48	444795	4212	-0.9442
48	261004	5746	-1.0069
48	6445540	38904	-0.9924
48	3385	216326	-1.0194
48	237	4033	-0.9261
48	137	3081361	-0.9583
48	454216	644241	-0.9371
48	6445540	216239	-1.0459
48	216326	3081361	-0.9127
48	5790	3385	-0.976
48	387447	3385	-0.9585
48	451668	2723601	-1.0675
48	176870	237	-0.9428
48	3385	25126798	-1.0198
48	6445540	657237	-1.0132
48	237	444795	-0.908
48	57469	123631	-1.0092
48	208908	3081361	-0.9558
48	11626560	36462	-0.9655
48	2662	3081361	-0.9474
48	11683	3081361	-0.9637
48	237	71384	-0.9376
48	24776445	3081361	-1.0063
48	60700	237	-0.9697
48	6445540	5453	-0.9847
48	667490	3385	-0.9577
48	454216	36462	-0.9474
48	4033	3385	-0.9618
48	3385	5035	-0.9804
48	5353562	36462	-1.0906
48	2141	3081361	-0.9095
48	261004	3385	-1.0223
48	3385	10113978	-0.9858
48	25126798	3081361	-1.0328
