CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
85	5311	104842	-1.1829
85	24958200	176870	-0.9869
85	13342	16224745	-0.5835
85	36462	24958200	-0.7656
85	36462	11960529	-0.5008
85	5311	176870	-0.8899
85	216453	208908	-0.9278
85	176870	16224745	-1.281
85	24748204	16224745	-1.2809
85	24748204	176870	-1.0065
85	104842	16224745	-1.3873
85	6857599	16224745	-1.3641
85	38904	208908	-0.9828
85	38904	24964624	-0.9953
85	38904	5311	-1.3031
85	208908	11960529	-0.8688
85	208908	24748204	-1.0772
85	59691338	216453	-1.1915
85	216453	24856436	-1.2939
85	24958200	104842	-1.2402
85	4091	24748204	-1.0885
85	387447	5288382	-0.1066
85	31703	5329102	-0.1358
85	60750	11960529	-0.0559
85	60750	208908	-0.0458
85	60750	216239	-0.1622
85	126941	216453	-0.1106
85	60750	24964624	-0.1541
85	60750	176870	-0.1342
85	60750	3062316	-0.1866
85	60750	24958200	-0.1424
85	60750	24748204	-0.1517
85	60750	5288382	-0.1439
85	60750	5394	-0.1357
85	60750	6421776	-0.1987
85	60750	5329102	-0.1285
85	60700	216239	-0.2195
85	31703	5394	-0.232
85	60700	16224745	-0.2393
85	31703	216239	-0.2595
85	60750	9826528	-0.2744
85	126941	5329102	-0.1452
85	387447	216239	-0.2826
85	60750	24856436	-0.2679
85	60750	46926350	-0.32
85	60750	16224745	-0.325
85	387447	6857599	-0.1045
85	31703	24964624	-0.2461
85	36314	11960529	-0.1501
85	387447	3062316	-0.0107
85	31703	24748204	-0.1879
85	31703	5311	-0.3574
85	60750	387447	-0.4102
85	31703	11960529	-0.1426
85	31703	16224745	-0.4336
85	126941	216239	-0.3562
85	126941	5394	-0.2314
85	36314	24964624	-0.1997
85	31703	208908	-0.216
85	36314	24958200	-0.2757
85	387447	60700	-0.4691
85	46926350	16224745	-0.3007
85	13342	5288382	-0.2716
85	31703	216453	-0.1122
85	31703	24958200	-0.1474
85	13342	3062316	-0.2464
85	126941	24958200	-0.1714
85	31703	176870	-0.2602
85	387447	16224745	-0.3069
85	13342	24964624	-0.2052
85	36314	5329102	-0.3428
85	36314	5311	-0.411
85	6421776	6857599	-0.3099
85	5311	5394	-0.3956
85	126941	5311	-0.3702
85	387447	11960529	0.0143
85	5311	216239	-0.4164
85	126941	11960529	-0.028
85	36314	176870	-0.3583
85	36314	216239	-0.4894
85	126941	16224745	-0.5183
85	126941	24964624	-0.3462
85	6421776	216239	-0.4746
85	44424639	208908	-0.4253
85	36314	5288382	-0.3257
85	31703	24856436	-0.4528
85	36314	216453	-0.3025
85	36314	24856436	-0.3827
85	60750	11520894	-0.6051
85	36314	24748204	-0.3046
85	31703	5288382	-0.3784
85	36314	208908	-0.3572
85	44424639	3062316	-0.4205
85	5746	5394	-0.4245
85	13342	216453	-0.446
85	126941	24748204	-0.2329
85	36314	5394	-0.3842
85	31703	3062316	-0.332
85	36314	16224745	-0.4954
85	36314	3062316	-0.2919
85	5746	5329102	-0.41
85	5329102	5394	-0.5167
85	13342	208908	-0.2491
