CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
116	73389731	11364421	-0.4068
116	24776445	148124	-0.887
116	6442177	5287969	-0.8878
116	11626560	104842	-0.9064
116	36314	64139	-0.8825
116	176870	64143	-0.947
116	11626560	9938202	-0.8713
116	25102847	3652	-0.9163
116	24776445	5282054	-0.9148
116	24776445	2520	-0.9414
116	176870	5291	-0.95
116	6442177	24964624	-0.9074
116	36314	42611257	-0.9107
116	36314	42642645	-0.9482
116	176870	4470790	-0.9186
116	25102847	11178236	-0.9631
116	24776445	421610	-0.8685
116	6442177	77999	-1.0252
116	25102847	42611257	-0.9178
116	11626560	10126593	-0.8408
116	25102847	5282054	-0.9483
116	24776445	78358496	-0.8644
116	6442177	285033	-0.8706
116	11626560	11494412	-0.9884
116	6442177	24856436	-0.7905
116	36314	49867930	-0.935
116	36314	11556711	-0.9419
116	24776445	3387354	-0.8227
116	36314	5291	-0.9421
116	176870	60823	-0.8685
116	25102847	11364421	-0.9216
116	24776445	216239	-0.9394
116	6442177	60823	-0.8024
116	11626560	5288674	-0.9016
116	36314	4261	-0.9213
116	176870	219104	-0.8738
116	25102847	49867930	-0.9717
116	25102847	5330286	-0.871
116	25102847	5291	-0.9035
116	176870	5311	-0.9222
116	11626560	23661637	-0.8796
116	24776445	24775005	-0.8201
116	6442177	2520	-0.8438
116	176870	5287969	-0.9419
116	11626560	44607530	-0.9479
116	6442177	3081361	-0.8424
116	11626560	6421776	-0.9589
116	36314	24785538	-0.943
116	176870	16065773	-0.8321
116	11626560	5328940	-0.9083
116	25102847	9938202	-0.8934
116	24776445	10126593	-0.8103
116	6442177	4261	-0.8736
116	24776445	159324	-0.8513
116	176870	38904	-0.845
116	11626560	42611257	-0.9343
116	6442177	176870	-0.8573
116	36314	5452	-0.9247
116	36314	11488320	-0.883
116	25102847	5081913	-0.8935
116	24776445	51039095	-0.6886
116	11626560	42642645	-0.9281
116	36314	16681698	-0.9529
116	176870	6419747	-0.8875
116	25102847	5452	-0.9429
116	11626560	16720766	-0.9522
116	25102847	36314	-1.097
116	176870	3081361	-0.8871
116	24776445	11382492	-0.7943
116	6442177	64139	-0.8289
116	11626560	49867930	-0.953
116	176870	6256	-0.9375
116	36314	5330286	-0.9043
116	36314	446556	-0.9787
116	24776445	23661637	-0.909
116	36314	38904	-0.9404
116	176870	11598628	-0.8933
116	25102847	51039095	-0.8769
116	24776445	208908	-0.7348
116	6442177	11598628	-0.8399
116	11626560	11556711	-0.9256
116	36314	16725726	-0.9023
116	176870	3034010	-0.8496
116	11626560	16065773	-0.8812
116	25102847	64143	-0.9732
116	24776445	9938202	-0.866
116	6442177	9836739	-0.9175
116	25102847	38904	-0.8798
116	176870	36314	-0.9841
116	11626560	216345	-0.9966
116	6442177	5329102	-0.9317
116	11626560	387447	-0.9055
116	36314	637858	-0.8951
116	25102847	25023738	-0.9451
116	24776445	1069686	-0.7913
116	6442177	159324	-0.8824
116	6442177	4091	-0.8661
116	36314	107985	-0.9945
116	36314	135398510	-0.9916
116	176870	3218	-0.8928
116	25102847	3854666	-0.946
116	24776445	176167	-0.9262
116	25102847	107985	-0.957
116	11626560	11178236	-0.9549
116	25102847	5328940	-0.9221
116	24776445	16720766	-0.6075
116	6442177	16725726	-0.8442
116	11626560	5452	-0.9242
116	176870	135418940	-0.8312
116	36314	219104	-1.0299
116	36314	44424639	-0.9908
116	24776445	49867930	-0.8725
116	36314	3385	-0.9117
116	176870	49806720	-0.9725
116	25102847	17755052	-0.7649
116	24776445	5284616	-0.7385
116	6442177	49806720	-0.9142
116	11626560	11488320	-0.9008
116	176870	10461815	-0.8855
116	25102847	219104	-1.0094
116	25102847	3034010	-0.8471
116	25102847	3385	-0.8714
116	176870	11960529	-0.877
116	11626560	5330286	-0.843
116	24776445	216345	-0.8422
116	176870	11626560	-1.0097
116	24776445	3062316	-0.7738
116	6442177	11626560	-1.1084
116	11626560	446556	-0.847
116	36314	9887712	-0.8831
116	176870	1088438	-0.8974
116	11626560	2724385	-0.9296
116	25102847	16065773	-0.9101
116	24776445	5328940	-0.8247
116	6442177	16681698	-0.8693
116	176870	3385	-0.9356
116	24776445	6918289	-0.8587
116	176870	24856436	-0.8275
116	11626560	107985	-0.9304
116	6442177	451668	-0.861
116	36314	6419747	-0.9078
116	36314	10184653	-1.0628
116	36314	24964624	-0.9384
116	176870	56972186	-0.867
116	25102847	5287969	-0.9884
116	24776445	5311	-0.7846
116	6442177	56972186	-0.8632
116	11626560	135398510	-0.8875
116	36314	24775005	-0.9528
116	176870	300471	-1.0021
116	25102847	6419747	-0.99
116	11626560	5081913	-0.9342
116	25102847	24964624	-0.9642
116	176870	11707110	-0.8231
116	24776445	11364421	-0.5554
116	6442177	9887712	-0.8682
116	11626560	219104	-1.0105
116	176870	9571836	-0.8805
116	36314	3034010	-0.8191
116	36314	6857599	-0.9849
116	24776445	5330286	-0.8166
116	36314	24856436	-0.969
116	176870	24771867	-0.7796
116	25102847	5311	-1.0046
116	24776445	5291	-0.9725
116	6442177	24771867	-0.7819
116	11626560	44424639	-0.9504
116	36314	421610	-0.8908
116	176870	16038120	-0.8821
116	11626560	9811606	-0.8323
116	25102847	1088438	-0.8795
116	24776445	2724385	-0.6172
116	6442177	44631903	-0.9064
116	25102847	24856436	-0.9165
116	176870	24964624	-0.8441
116	11626560	64143	-0.9485
116	6442177	104842	-0.7661
116	36314	9910224	-1.0494
116	36314	78358496	-0.9331
116	25102847	60823	-0.8746
116	24776445	3652	-0.8997
116	6442177	6918289	-0.8274
116	25102847	9910224	-0.8718
116	11626560	2520	-0.9271
116	6442177	11707110	-0.8224
116	11626560	60750	-0.9142
116	36314	5353431	-0.9162
116	11626560	25023738	-0.8611
116	25102847	2724385	-0.9381
116	24776445	11178236	-0.7122
116	24776445	5081913	-0.7405
116	6442177	421610	-0.833
116	11626560	6419747	-0.9927
116	176870	24776445	-0.8595
116	36314	10461815	-0.8532
116	36314	60700	-0.9614
116	24776445	219104	-0.9081
116	36314	176870	-0.955
116	25102847	3081361	-0.978
116	24776445	36314	-0.9409
116	11626560	10184653	-0.9323
116	36314	1069686	-0.9916
116	176870	11612883	-0.9431
116	25102847	10461815	-0.8505
116	25102847	16038120	-0.9606
116	25102847	176870	-0.9769
116	176870	5329102	-0.8979
116	11626560	3034010	-0.8327
116	24776445	64143	-0.9058
116	6442177	6256	-0.9328
116	176870	1080352	-0.9127
116	24776445	38904	-0.9263
116	6442177	1080352	-0.8953
116	11626560	6857599	-0.9285
116	36314	969516	-1.0174
116	176870	8515	-0.8829
116	11626560	25062766	-0.9821
116	25102847	9811606	-0.8953
116	24776445	25023738	-0.9115
116	6442177	24775005	-0.913
116	24776445	6256	-0.8551
116	176870	176870	-0.916
116	6442177	6421776	-0.9011
116	36314	5566	-0.8702
116	36314	11382492	-1.034
116	176870	64139	-0.9084
116	25102847	11598628	-0.8894
116	176870	5494449	-0.8844
116	25102847	5566	-0.8563
116	11626560	3854666	-0.932
116	25102847	300471	-0.9563
116	25102847	11612883	-1.0023
116	25102847	4091	-0.9308
116	176870	11152667	-0.8717
116	24776445	17755052	-0.7093
116	6442177	969516	-0.8498
116	11626560	10461815	-0.9042
116	24776445	3034010	-0.7992
116	6442177	135418940	-0.8175
116	176870	46907787	-0.8299
116	25102847	11960529	-0.9165
116	24776445	3385	-0.8392
116	6442177	46907787	-0.8188
116	11626560	60700	-0.8761
116	36314	176167	-0.9248
116	11626560	4470790	-0.9252
116	25102847	8515	-0.9275
116	24776445	25062766	-0.8564
116	6442177	23661637	-0.892
116	24776445	135418940	-0.8835
116	176870	4091	-0.8881
116	11626560	1088438	-0.9029
116	6442177	446556	-0.8223
116	36314	44607530	-1.038
116	36314	16720766	-0.8302
116	25102847	49806720	-0.9086
116	24776445	16065773	-0.7363
116	6442177	2779853	-0.906
116	25102847	44607530	-0.9033
116	6442177	11152667	-0.8692
116	11626560	36462	-0.9251
116	36314	448014	-0.9647
116	11626560	60823	-0.8614
116	25102847	25062766	-0.9477
116	24776445	3854666	-0.7841
116	6442177	1069686	-0.8072
116	11626560	5566	-0.879
116	6442177	457193	-0.7994
116	36314	300471	-1.1008
116	36314	24978538	-0.9482
116	24776445	6419747	-0.9018
116	36314	4091	-0.9774
116	176870	24785538	-0.9119
