CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
21	657237	3385	-0.9352
21	444795	3385	-0.9608
21	126941	446556	-0.8157
21	3385	5799	-0.8376
21	5790	446556	-0.8409
21	667490	3385	-0.8401
21	4033	3385	-0.9081
21	3385	3081361	-0.9367
21	3385	30323	-0.9385
21	5453	3385	-0.9124
21	3385	24776445	-0.9439
21	457193	3385	-0.9373
21	5978	3385	-0.9388
21	2478	3385	-0.9589
21	4211	3385	-0.9415
21	3385	11683	-0.974
21	42611257	3385	-0.9835
21	3385	42611257	-0.9823
21	57469	3385	-0.9569
21	2187	3385	-0.9377
21	5394	3385	-0.9721
21	5790	216326	-1.0499
21	261004	3385	-0.9982
21	3385	10113978	-0.9882
21	4114	3385	-0.9669
21	5790	5035	-1.0494
21	5790	5353562	-1.0181
21	5790	11626560	-0.9985
21	5790	2123	-1.0622
21	6445540	3385	-0.9789
21	9444	3385	-0.946
21	2123	3385	-0.96
21	126941	10113978	-0.9831
21	4211	446556	-1.0217
21	126941	3385	-0.6758
21	3385	4212	-0.7252
21	3385	36462	-0.7833
21	126941	2723601	-0.7968
21	104842	3385	-0.7949
21	5790	123631	-0.9278
21	3385	6194	-0.844
21	126941	60198	-0.8579
21	5746	3385	-0.8556
21	3385	123631	-0.8321
21	3385	44424639	-0.896
21	5360373	3385	-0.8793
21	3385	3950	-0.8668
21	6253	3385	-0.8595
21	126941	452548	-0.8559
21	3062316	3385	-0.9417
21	38904	3385	-0.8694
21	3385	132971	-0.9973
21	3385	216326	-0.9292
21	126941	123631	-0.9141
21	126941	71384	-0.8842
21	126941	2708	-0.8272
21	5790	3081361	-0.9762
21	5790	44424639	-1.01
21	11626560	3385	-0.9607
21	126941	6194	-0.8981
21	4915	3385	-0.9623
21	2733526	3385	-0.9079
21	13342	3385	-0.9644
21	439693	3385	-0.9392
21	2907	3385	-0.9591
21	5291	3385	-0.9711
21	148124	3385	-0.9486
21	3385	5353562	-0.9334
21	387447	3385	-0.9437
21	5790	460612	-0.9729
21	6194	9854073	-1.0268
21	104741	3385	-0.9264
21	5426	3385	-0.9556
21	148121	3385	-0.9507
21	3690	3385	-0.9282
21	126941	44424639	-0.9579
21	126941	3950	-0.9655
21	126941	3081361	-0.9275
21	5790	30323	-1.0093
21	36314	3385	-0.8738
21	126941	6450551	-0.9508
21	6857599	5360373	-1.0646
21	3385	11626560	-0.9535
21	3385	25126798	-0.9664
21	126941	11626560	-0.9533
21	176870	3385	-0.9136
21	5790	25126798	-1.0244
21	644241	3385	-1.011
21	126941	5035	-0.9701
21	259331	446556	-0.9697
21	126941	2123	-1.0187
21	126941	30323	-0.9779
21	5360373	4212	-1.0779
21	4212	3081361	-1.1073
21	5394	446556	-1.0388
21	4212	132971	-1.0905
21	5426	446556	-1.0382
21	176870	454216	-1.1976
21	5353562	9854073	-1.131
21	9854073	10113978	-1.1653
21	2907	446556	-1.0355
21	9854073	24776445	-1.1905
21	60700	4033	-0.9078
21	4114	454216	-1.2142
21	57469	446556	-1.0505
21	5284616	11626560	-0.9972
21	60198	5799	-1.1183
21	4033	5394	-0.9996
21	5746	5426	-1.0054
21	451668	2733526	-0.9168
21	451668	216326	-0.9822
21	2733526	3081361	-1.0553
21	4211	36314	-0.9698
21	4211	24776445	-1.0132
21	148124	24776445	-1.1997
21	148121	24776445	-0.9947
21	2578	11626560	-1.0014
21	3062316	5978	-0.9716
21	2578	68740	-0.9929
21	3062316	11683	-1.0791
21	104741	5353562	-0.9914
21	2094	5353562	-1.0255
21	176870	148121	-1.0982
21	5790	3385	-0.6941
21	3385	446556	-0.6906
21	2723601	3385	-0.7544
21	126941	9854073	-0.7066
21	5790	9854073	-0.7641
21	3385	9854073	-0.8832
21	5284616	3385	-0.7444
21	5790	2723601	-0.8188
21	119182	3385	-0.7611
21	5790	4212	-0.7999
21	5790	60198	-0.8816
21	119182	9854073	-0.8531
21	3385	452548	-0.7543
21	126941	4212	-0.7945
21	2708	3385	-0.7758
21	126941	36462	-0.8356
21	5790	36462	-0.8617
21	60700	3385	-0.8484
21	237	3385	-0.9064
21	216239	3385	-0.8935
21	2723601	446556	-0.8485
21	5790	71384	-0.9192
21	2723601	9854073	-1.0259
21	5790	2708	-0.8505
21	3385	71384	-0.8419
21	6442177	3385	-0.901
21	261004	2767	-0.7668
21	163659	3385	-0.9386
21	20279	3385	-0.9114
21	454216	163659	-0.8939
21	104842	4212	-0.8399
21	68740	3385	-0.9389
21	3385	6450551	-0.9588
21	4842	3385	-0.8798
21	2578	3385	-0.9428
21	5790	24776445	-0.9762
21	6445540	5360373	-0.9207
21	460612	3385	-0.909
21	2141	3385	-0.9826
21	208908	3385	-0.9919
21	36462	446556	-0.879
21	6857599	3385	-0.8742
21	5352062	3385	-0.9942
21	446556	123631	-0.8895
21	126941	460612	-0.9088
21	126941	24776445	-0.9463
21	237	9854073	-0.9351
21	36462	9854073	-1.0549
21	36462	4212	-0.9259
21	5790	132971	-1.0286
21	6442177	9854073	-0.976
21	5790	10113978	-1.0277
21	126941	25126798	-0.9665
21	667490	2723601	-0.9102
21	2094	3385	-0.9326
21	126941	5353562	-0.9592
21	5790	6450551	-1.0339
21	137	3385	-0.9549
21	5790	11683	-1.0466
21	4212	31703	-0.9622
21	65628	3385	-0.9169
21	5360373	5799	-0.9095
21	29327	3385	-0.9378
21	454216	3385	-0.9462
21	71384	9854073	-1.0816
21	5329102	3385	-0.9777
21	60953	3385	-0.9173
21	119182	3950	-0.9233
21	3902	3385	-0.9221
21	6445540	5790	-0.9173
21	6445540	163659	-0.9243
21	126941	11683	-1.0093
21	5790	42611257	-1.0282
21	4033	9854073	-0.8955
21	5284616	2708	-0.7942
21	3011155	3385	-0.9436
21	2767	3385	-0.9319
21	126941	132971	-0.9389
21	5284616	452548	-0.8731
21	38904	9854073	-1.1699
21	44424639	446556	-0.9752
21	6445540	5746	-0.9694
21	237	4212	-1.0455
21	36314	2723601	-0.9355
21	454216	104842	-1.0796
21	3950	9854073	-1.1264
21	126941	216326	-0.9777
21	2141	446556	-0.9861
21	451668	446556	-0.9569
21	126941	5284616	-0.9989
21	261004	3062316	-1.0005
21	4212	44424639	-1.006
21	454216	457193	-1.1102
21	38904	60198	-0.9589
21	216239	9854073	-1.1091
21	11683	446556	-0.9768
21	387447	65628	-1.0395
21	6857599	4212	-1.0414
21	104842	6194	-0.9173
21	148124	446556	-0.9997
21	5311	9854073	-0.9715
21	5426	60198	-0.9773
21	5284616	454216	-0.9633
21	4212	24776445	-1.0937
21	5426	454216	-1.2141
21	44424639	9854073	-1.2018
21	36314	4212	-1.0337
21	57469	9854073	-0.9192
21	2578	454216	-0.9767
21	3062316	2723601	-1.0078
21	2141	2723601	-0.9955
21	60953	9854073	-1.035
21	148121	446556	-0.9972
21	261004	57469	-0.9893
21	4114	446556	-1.0442
21	454216	5352062	-1.0529
21	454216	444795	-1.1516
21	3950	5799	-0.9266
21	104741	4212	-1.0562
21	36314	9854073	-1.1841
