CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
51	2094	20279	-0.875
51	44424639	132971	-1.0713
51	5790	2662	-1.0589
51	5352062	4212	-0.874
51	119182	3385	-0.8536
51	5978	4212	-0.9508
51	4212	3081361	-1.062
51	5790	6194	-0.8813
51	119182	3950	-0.94
51	119182	123631	-0.9845
51	3385	5799	-0.8194
51	5284616	3385	-0.8625
51	5790	123631	-0.9815
51	208908	4212	-1.0216
51	4212	10113978	-0.9996
51	2733526	4212	-1.0594
51	68740	3385	-0.8532
51	5790	216326	-1.0381
51	3385	446556	-0.8924
51	454216	60750	-1.1693
51	6445540	457193	-0.9915
51	5426	454216	-1.2998
51	6445540	657237	-0.9743
51	6445540	6442177	-0.9052
51	5790	446556	-1.0716
51	454216	3385	-0.9297
51	6445540	208908	-0.9384
51	3385	5353562	-0.9357
51	4915	3385	-0.9356
51	2094	3385	-0.959
51	452548	3081361	-0.9983
51	2123	3385	-0.9758
51	6445540	451668	-0.982
51	3385	5035	-1.0116
51	6445540	65628	-0.9995
51	3902	9854073	-0.9777
51	9854073	132971	-1.0455
51	6445540	5284616	-0.9982
51	6450551	9854073	-0.9916
51	9854073	6450551	-0.9712
51	6445540	5394	-1.0356
51	36314	132971	-1.0537
51	5284616	3081361	-1.0377
51	36314	216326	-0.9197
51	644241	44424639	-1.0291
51	2723601	10113978	-1.0071
51	20279	11626560	-0.9781
51	261004	123631	-1.0155
51	137	71384	-0.9829
51	4211	44424639	-1.0353
51	65628	446556	-0.961
51	444795	446556	-0.88
51	68740	3081361	-0.9714
51	460612	5035	-1.0979
51	444795	216326	-0.9091
51	2907	126941	-1.007
51	439693	3081361	-1.0121
51	2733526	3081361	-1.0327
51	10113978	11626560	-1.0257
51	2187	11626560	-1.0323
51	5353562	24776445	-0.9771
51	439693	29327	-1.3908
51	29327	5329102	-1.0455
51	60953	132971	-0.9601
51	2141	5035	-1.0312
51	5426	5329102	-1.0165
51	60953	2662	-1.0171
51	5352062	60198	-0.9175
51	387447	454216	-1.006
51	3385	4212	-0.81
51	5790	4212	-0.8423
51	148124	4212	-0.9122
51	5790	60198	-0.9581
51	5799	454216	-0.9012
51	119182	60198	-0.9513
51	2767	6445540	-0.8765
51	5790	3385	-0.7841
51	104842	3385	-0.8264
51	119182	2708	-0.8935
51	452548	4212	-0.8869
51	387447	126941	-0.9407
51	38904	3385	-0.8434
51	119182	2723601	-0.9406
51	667490	3385	-0.7322
51	60700	454216	-1.0379
51	2767	36314	-0.931
51	5352062	123631	-0.9456
51	119182	36462	-0.9128
51	6857599	454216	-1.1149
51	119182	9854073	-0.9517
51	5790	452548	-0.887
51	2478	454216	-0.8647
51	4212	123631	-1.0066
51	454216	5790	-0.9563
51	387447	5311	-0.9135
51	452548	36462	-0.9411
51	454216	38904	-1.018
51	5360373	20279	-0.8785
51	119182	44424639	-0.9335
51	667490	9854073	-0.6927
51	454216	657237	-0.9761
51	6445540	20279	-0.9022
51	5790	44424639	-0.9505
51	2767	457193	-0.9915
51	148124	3385	-0.9216
51	6253	452548	-0.9362
51	5291	4212	-1.0358
51	454216	9444	-1.0066
51	6445540	237	-0.8336
51	30323	5799	-0.8987
51	237	163659	-0.8862
51	104842	9854073	-0.9263
51	4212	11626560	-1.0355
51	9444	4212	-1.0204
51	4212	5035	-0.9995
51	6445540	6253	-0.893
51	3385	3950	-0.8524
51	667490	3062316	-0.8672
51	4212	24776445	-1.0269
51	4212	42611257	-1.0229
51	5790	71384	-0.9831
51	454216	5394	-1.021
51	261004	6857599	-0.9105
51	5284616	36462	-0.9042
51	454216	31703	-0.9832
51	387447	5284616	-0.9775
51	2187	454216	-0.9626
51	387447	148124	-0.9865
51	119182	30323	-0.9622
51	454216	5291	-0.9601
51	6445540	60700	-0.9623
51	451668	3385	-0.8795
51	3385	30323	-0.9139
51	119182	71384	-0.9494
51	6253	6194	-0.9261
51	2767	13342	-0.9725
51	57469	454216	-1.1111
51	20279	3385	-0.8894
51	4915	4212	-1.0265
51	148124	2723601	-0.9564
51	119182	3081361	-1.0192
51	4842	667490	-0.8851
51	439693	454216	-1.1422
51	2767	3690	-0.9986
51	148124	9854073	-0.8891
51	4033	104842	-0.9423
51	5790	3081361	-0.8166
51	667490	6253	-0.9676
51	5790	10113978	-0.8442
51	5978	3385	-0.9099
51	6857599	3385	-0.8705
51	5426	5352062	-1.0051
51	261004	3011155	-1.0118
51	667490	5790	-0.9326
51	119182	460612	-0.9701
51	387447	137	-0.8957
51	13342	9854073	-0.8958
51	119182	216326	-1.0186
51	119182	25126798	-1.0173
51	5311	3385	-0.8641
51	644241	4212	-0.9814
51	6442177	3385	-0.9089
51	9444	3385	-0.9001
51	119182	132971	-1.0108
51	5284616	9854073	-1.0068
51	2907	4212	-1.1027
51	460612	452548	-0.9532
51	60700	6253	-0.8925
51	6445540	126941	-1.0077
51	4211	4212	-1.0066
51	36462	3081361	-1.0188
51	261004	3385	-0.9646
51	119182	10113978	-1.0536
51	60700	9854073	-0.9396
51	6445540	38904	-0.9078
51	6253	123631	-0.9404
51	20279	9854073	-0.9601
51	11626560	3385	-0.9101
51	2662	3385	-0.8699
51	444795	3385	-1.0307
51	104842	25126798	-0.9864
51	5360373	3385	-0.9492
51	4842	20279	-0.9473
51	104741	3385	-0.8832
51	6445540	5329102	-0.8658
51	5311	2708	-0.8941
51	3902	3385	-0.8791
51	216239	9854073	-0.9203
51	65628	3385	-0.9211
51	644241	3385	-0.9204
51	5746	3385	-0.946
51	38904	3081361	-1.0009
51	454216	3011155	-1.1501
51	454216	3902	-0.9888
51	119182	5353562	-1.0174
51	44424639	123631	-0.9984
51	119182	6450551	-1.0501
51	104842	24776445	-1.0398
51	4842	9854073	-0.9233
51	3385	11626560	-0.9817
51	5453	9854073	-0.8773
51	5394	3385	-0.894
51	119182	446556	-0.9879
51	5978	9854073	-0.9734
51	6445540	119182	-1.0029
51	6445540	5453	-0.9703
51	444795	9854073	-0.9952
51	387447	439693	-0.9519
51	60953	3385	-0.925
51	6445540	3385	-0.9481
51	387447	3385	-0.926
51	176870	3385	-0.9023
51	104842	42611257	-1.0095
51	5360373	3902	-0.9217
51	68740	2708	-0.7567
51	5394	9854073	-0.9767
51	259331	36462	-0.9371
51	6445540	9444	-1.0448
51	387447	644241	-0.8943
51	6445540	439693	-0.9768
51	4033	5311	-0.9518
51	6445540	216239	-0.9544
51	5453	6194	-0.8914
51	57469	3385	-0.9286
51	5360373	9854073	-0.9642
51	3385	24776445	-1.0068
51	6445540	3902	-0.9303
51	4033	123631	-0.9248
51	6445540	148124	-1.0176
51	6253	11626560	-0.964
51	5291	3385	-0.9163
51	2733526	3385	-0.9324
51	667490	446556	-0.7324
51	3011155	3385	-0.9279
51	6253	3081361	-0.9893
51	36314	3081361	-1.0311
51	6445540	13342	-1.0338
51	2733526	36462	-1.0019
51	13342	5360373	-1.0549
51	36314	11626560	-0.9809
51	148124	71384	-0.9475
51	3690	3385	-0.9948
51	119182	24776445	-1.0502
51	176870	6445540	-1.1379
51	208908	20279	-0.9664
51	2578	667490	-0.9041
51	119182	2123	-1.0363
51	3657	2708	-0.9033
51	6445540	60953	-0.9509
51	2708	5035	-1.0114
51	5790	2123	-1.0793
51	387447	9854073	-0.9871
51	3385	42611257	-1
51	4114	3385	-0.9596
51	237	5978	-0.8543
51	4915	2708	-0.9324
51	5799	68740	-0.9249
51	6253	25126798	-0.9657
51	5360373	2733526	-0.9845
51	9854073	25126798	-1.033
51	2478	9854073	-0.8979
51	2767	36462	-1.0013
51	25126798	9854073	-1.0341
51	126941	6194	-0.9262
51	457193	3385	-1.0115
51	176870	9854073	-1.0521
51	2094	9854073	-0.983
51	2123	5799	-0.9252
51	36314	24776445	-0.9937
51	237	446556	-0.9716
51	9444	9854073	-1.0567
51	176870	4033	-1.0534
51	36314	5035	-0.9765
51	60750	9854073	-1.0109
51	2708	24776445	-1.0015
51	261004	6194	-0.8404
51	5291	452548	-1.0535
51	6445540	2733526	-1.0676
51	6194	11626560	-0.9528
51	20279	123631	-0.9939
51	4842	2723601	-0.9462
51	65628	2723601	-0.9113
51	667490	657237	-1.025
51	667490	2733526	-1.0985
51	68740	2723601	-0.9045
51	2662	9854073	-1.0303
51	11626560	9854073	-0.9462
51	5353562	44424639	-0.907
51	5394	6194	-0.9775
51	20279	71384	-0.9894
51	148124	216326	-1.0191
51	5790	457193	-0.9724
51	261004	452548	-0.7873
51	5353562	9854073	-0.9775
51	29327	20279	-0.9462
51	148121	9854073	-1.0134
51	36314	5353562	-0.941
51	60700	216239	-0.935
51	30323	446556	-0.9669
51	2708	42611257	-1.0019
51	5790	11683	-1.0836
51	163659	44424639	-0.983
51	29327	237	-0.9649
51	5746	6253	-0.9772
51	9444	3950	-0.9642
51	9444	2723601	-0.9589
51	29327	5799	-0.9519
51	5284616	11626560	-0.9687
51	451668	6253	-0.965
51	208908	9854073	-1.0221
51	444795	123631	-0.9145
51	137	3950	-0.9215
51	2478	104842	-0.9699
51	36314	42611257	-1.0268
51	176870	6194	-0.9713
51	5329102	9854073	-0.9959
51	60700	2187	-0.9578
51	5799	5329102	-0.9493
51	60953	2723601	-0.9434
51	444795	30323	-1.0697
51	148124	132971	-1.0422
51	148124	24776445	-1.0026
51	3902	44424639	-0.9158
