CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
22	208908	24964624	-1.0911
22	9826528	16224745	0.2427
22	5311	5394	-0.1132
22	5311	176870	-0.8764
22	36462	208908	-0.8486
22	5329102	16224745	-1.0974
22	15953832	176870	-1.0564
22	24964624	11960529	-0.8944
22	6857599	16224745	-1.1132
22	126941	176870	-1.029
22	208908	3062316	-0.9254
22	208908	16224745	-1.1531
22	208908	24748204	-1.0903
22	216453	16224745	-0.5086
22	5743	16224745	-1.1879
22	387447	16224745	0.4
22	31703	11960529	-0.1117
22	31703	216239	-0.279
22	31703	216453	-0.2073
22	387447	216239	-0.2967
22	387447	3062316	2e-04
22	31703	5329102	-0.1162
22	5288382	6857599	-0.1849
22	5746	5394	-0.0243
22	387447	6857599	-0.0964
22	387447	60700	-0.2505
22	31703	5394	-0.0045
22	9826528	11960529	-0.268
22	31703	24958200	-0.1139
22	31703	16224745	-0.3204
22	387447	5288382	-0.2973
22	387447	11960529	-0.0234
22	5288382	216239	-0.379
22	46926350	16224745	-0.1315
22	36314	11960529	-0.3056
22	9826528	6857599	-0.273
22	9826528	3062316	-0.1693
22	60700	216239	-0.3881
22	31703	176870	-0.3663
22	31703	24964624	-0.3687
22	31703	208908	-0.3482
22	9826528	216239	-0.551
22	36314	5394	-0.2763
22	387447	6421776	-0.3897
22	44424639	5394	-0.237
22	44424639	11960529	-0.2871
22	31703	24748204	-0.2153
22	5311	216239	-0.444
22	44424639	24748204	-0.3088
22	31703	5311	-0.398
22	36314	16224745	-0.3899
22	5746	11960529	-0.2635
22	5746	216239	-0.2715
22	36314	24748204	-0.4022
22	36314	24958200	-0.2741
22	9826528	60700	-0.5136
22	9826528	5288382	-0.536
22	31703	3062316	-0.3251
22	5746	5329102	-0.3634
22	44424639	24958200	-0.2268
22	13342	11960529	-0.2954
22	36314	24964624	-0.4287
22	44424639	16224745	-0.392
22	36314	208908	-0.4241
22	44424639	3062316	-0.2615
22	13342	208908	-0.4487
22	44424639	216239	-0.6139
22	36314	5329102	-0.4413
22	44424639	24964624	-0.3788
22	36314	216239	-0.6265
22	44424639	5329102	-0.43
22	6421776	6857599	-0.3706
22	44424639	208908	-0.3936
22	13342	3062316	-0.3379
22	13342	5394	-0.3037
22	31703	5288382	-0.6572
22	9826528	6421776	-0.5803
22	44424639	5311	-0.4914
22	5288382	16224745	0.1306
22	5311	6857599	-0.4324
22	36314	5311	-0.5411
22	36314	5288382	-0.6644
22	36314	216453	-0.4877
22	36314	176870	-0.458
22	44424639	5288382	-0.6487
22	6421776	216239	-0.6515
22	60700	16224745	-0.5177
22	44424639	24856436	-0.4094
22	36314	24856436	-0.4898
22	5746	24958200	-0.3571
22	44424639	176870	-0.4623
22	36314	3062316	-0.3245
22	6421776	16224745	-0.0089
22	31703	24856436	-0.5812
22	13342	24964624	-0.4727
22	13342	24856436	-0.5119
22	5746	216453	-0.3677
22	13342	5311	-0.5953
22	13342	24748204	-0.4585
22	13342	5288382	-0.7017
22	13342	24958200	-0.4115
22	387447	46926350	-0.6795
22	44424639	6421776	-0.6728
22	13342	16224745	-0.4856
22	13342	5329102	-0.5167
22	13342	216239	-0.7791
22	13342	176870	-0.5557
22	5746	5311	-0.6578
22	5746	208908	-0.5402
22	9826528	46926350	-0.7463
22	5746	16224745	-0.5941
22	13342	216453	-0.6101
22	9826528	387447	-0.8484
22	36314	6421776	-0.6719
22	5288382	60700	-0.8266
22	5746	3062316	-0.5122
22	5746	24964624	-0.6046
22	5746	176870	-0.4766
22	5311	11960529	-0.5032
22	5746	24748204	-0.4673
22	13342	6421776	-0.7794
22	5311	5329102	-0.5965
22	216453	5394	-0.5028
22	176870	216239	-0.8639
22	31703	6421776	-0.8626
22	36462	5394	-0.4719
22	44424639	9826528	-0.8707
22	5311	24958200	-0.6266
22	216453	216239	-0.9136
22	60750	5394	-0.5762
22	387447	11520894	-0.7849
22	9826528	11520894	-0.8687
22	36314	9826528	-0.9243
22	9826528	104842	-0.8904
22	5746	5288382	-0.917
22	44424639	46926350	-0.8488
22	60750	5329102	-0.7332
22	36462	216239	-0.9111
22	5288382	6421776	-1.0582
22	216453	6857599	-0.6586
22	24748204	216239	-0.8791
22	60750	24748204	-0.6662
22	176870	6857599	-0.6303
22	60700	6421776	-0.9988
22	44424639	387447	-0.9482
22	60750	5288382	-1.0032
22	60750	24964624	-0.7371
22	36314	46926350	-0.928
22	60750	216239	-0.9561
22	60750	3062316	-0.5194
22	60750	24856436	-0.8147
22	60750	176870	-0.7264
22	60750	208908	-0.6233
22	387447	104842	-0.9608
22	13342	9826528	-0.9735
22	3385	5394	-0.6283
22	5746	24856436	-0.8338
22	5311	208908	-0.7996
22	60750	24958200	-0.6645
22	60750	16224745	-0.9886
22	60750	11960529	-0.5644
22	36314	387447	-0.9852
22	60750	6421776	-0.9635
22	5329102	5394	-0.6679
22	36462	11960529	-0.6718
22	31703	9826528	-1.0419
22	13342	46926350	-0.9198
22	36462	5329102	-0.7612
22	24856436	11960529	-0.6715
22	216453	11960529	-0.6779
22	5311	16224745	-0.8838
22	208908	216239	-1.0671
22	24856436	6857599	-0.7609
22	5311	3062316	-0.8629
22	44424639	11520894	-0.8494
22	5311	24964624	-0.8148
22	216453	5329102	-0.9023
22	36462	24958200	-0.7614
22	5288382	104842	-1.1038
22	24748204	6857599	-0.6513
22	13342	387447	-1.026
22	104842	16224745	-0.8135
22	216453	24958200	-0.4708
22	36314	11520894	-0.9286
22	24856436	216239	-1.0449
22	216239	16224745	-1.0941
22	31703	46926350	-1.0934
22	176870	11960529	-0.6937
22	31703	387447	-1.149
22	5329102	216239	-1.108
22	5288382	46926350	-1.2267
22	5311	24748204	-0.9087
22	60700	46926350	-1.1568
22	5746	6421776	-1.0755
22	60750	9826528	-1.0832
22	31703	11520894	-1.0673
22	208908	6857599	-0.7417
22	104842	216239	-1.1148
22	24856436	24958200	-0.7862
22	36462	3062316	-0.7321
22	36462	5311	-0.9938
22	104842	46926350	-0.9875
22	36462	176870	-0.9233
22	36462	16224745	-0.8979
22	216453	5311	-1.0066
22	216453	24964624	-0.8881
22	216453	176870	-0.9437
22	60750	46926350	-1.0409
22	36462	24748204	-0.8217
