CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
53	6442177	9854073	-0.9678
53	3385	71384	-0.6782
53	104842	3385	-0.732
53	3385	452548	-0.7283
53	3385	5035	-0.9251
53	5284616	5790	-0.8488
53	44424639	10113978	-1.1209
53	6442177	5790	-0.8618
53	3385	9854073	-0.7209
53	216239	3385	-0.6319
53	3385	123631	-0.6893
53	3385	4212	-0.6949
53	3385	3950	-0.717
53	3385	132971	-0.8217
53	3385	5353562	-0.6895
53	259331	3385	-0.6908
53	60700	3385	-0.8148
53	3385	216326	-0.7395
53	2708	3385	-0.7578
53	3385	6450551	-0.8286
53	6253	3385	-0.7166
53	3385	10113978	-0.8603
53	3385	6194	-0.7821
53	5790	4212	-0.5498
53	5394	3385	-0.8657
53	2578	3385	-0.8754
53	57469	3385	-0.899
53	5284616	9854073	-0.9468
53	176870	9854073	-1.0436
53	5790	24776445	-0.8941
53	667490	126941	-1.0155
53	3385	3081361	-0.9004
53	460612	9854073	-0.9458
53	454216	31703	-1.1917
53	5790	36462	-0.5796
53	42611257	9854073	-1.0233
53	5360373	5790	-0.8724
53	5284616	11626560	-0.9778
53	6253	5790	-0.8451
53	5790	457193	-0.698
53	36462	31703	-1.0353
53	6442177	25126798	-1.0163
53	3657	5790	-0.8845
53	36314	5353562	-0.9675
53	2578	5790	-0.9627
53	5746	5799	-1.0565
53	60700	71384	-0.8639
53	644241	5790	-0.8981
53	4211	5790	-0.989
53	104842	123631	-0.9019
53	2187	5790	-0.9721
53	44424639	3081361	-1.1547
53	148124	446556	-0.831
53	68740	5790	-0.9849
53	4842	123631	-0.9598
53	208908	5790	-0.9029
53	104741	5790	-0.9909
53	259331	5790	-1.0659
53	60700	137	-0.9194
53	5291	5790	-0.9778
53	126941	6194	-0.8143
53	3902	452548	-0.9209
53	6857599	4842	-1.085
53	2708	452548	-1.0004
53	6442177	216326	-0.8949
53	5284616	10113978	-1.0582
53	148124	444795	-1.0282
53	457193	6194	-0.9915
53	451668	444795	-1.0482
53	5284616	3081361	-1.1238
53	6442177	5035	-1.0666
53	2141	451668	-1.0516
53	148124	104741	-1.085
53	3657	68740	-0.9436
53	2907	4211	-1.0723
53	4114	4211	-1.2066
53	6445540	60700	-0.7321
53	6445540	5329102	-0.7625
53	6445540	5790	-0.8387
53	6445540	5799	-0.8277
53	5329102	3385	-0.6362
53	6445540	4033	-0.8097
53	387447	454216	-0.8324
53	3385	44424639	-0.6512
53	13342	3385	-0.6582
53	9444	454216	-0.7739
53	3385	25126798	-0.7587
53	6445540	31703	-0.9363
53	3385	24776445	-0.7568
53	119182	3385	-0.7241
53	148124	3385	-0.7382
53	3385	36462	-0.7322
53	5790	2723601	-0.5249
53	5790	9854073	-0.8657
53	216239	9854073	-0.8405
53	5284616	3385	-0.6434
53	5978	9854073	-0.8585
53	5790	126941	-0.5859
53	44424639	9854073	-0.951
53	3385	5799	-0.7684
53	6445540	644241	-0.9934
53	3385	446556	-0.7613
53	3385	30323	-0.7459
53	6445540	60953	-0.978
53	6445540	444795	-1.0293
53	6445540	3385	-0.7573
53	2723601	9854073	-0.8959
53	4033	454216	-0.9748
53	9444	5352062	-0.9814
53	6442177	3385	-0.6721
53	9854073	25126798	-0.9105
53	644241	3385	-0.6512
53	454216	6253	-0.874
53	3902	3385	-0.6376
53	25126798	9854073	-0.9184
53	454216	5790	-0.821
53	13342	9854073	-0.938
53	9854073	24776445	-0.9265
53	6445540	3902	-0.9519
53	104741	3385	-0.6758
53	24776445	9854073	-0.9426
53	6445540	68740	-0.9439
53	3011155	3385	-0.6675
53	38904	3385	-0.7688
53	454216	5360373	-1.0418
53	454216	5453	-0.9182
53	2094	9854073	-1.0098
53	2187	9854073	-0.9045
53	68740	9854073	-0.8486
53	451668	454216	-0.8963
53	44424639	11626560	-1.0077
53	5453	9854073	-0.9349
53	5352062	6194	-0.8967
53	216326	9854073	-1.0467
53	2123	9854073	-0.9608
53	30323	9854073	-0.9978
53	9854073	132971	-1.0134
53	11626560	123631	-0.8441
53	137	9854073	-1.0233
53	5352062	5453	-0.8451
53	60953	3385	-0.6838
53	36314	44424639	-0.8255
53	5790	3950	-0.5754
53	44424639	31703	-0.8419
53	11626560	24776445	-0.952
53	3902	9854073	-0.8581
53	2907	3385	-0.8531
53	451668	9854073	-0.8681
53	123631	11626560	-0.9692
53	5329102	5790	-0.7853
53	2733526	9854073	-0.9618
53	3385	42611257	-0.8942
53	6445540	9854073	-1.0085
53	259331	5352062	-1.0155
53	148121	9854073	-1.0515
53	387447	60750	-0.8766
53	3062316	9854073	-0.9751
53	6194	9854073	-0.9487
53	2094	11626560	-0.9298
53	36462	5799	-0.9444
53	11626560	6450551	-0.9715
53	6253	9854073	-1.0658
53	13342	4212	-0.8577
53	5790	30323	-0.6162
53	4212	11626560	-1.0697
53	5329102	36314	-0.6985
53	439693	454216	-1.0171
53	5790	460612	-0.6112
53	163659	148124	-0.9831
53	44424639	25126798	-1.018
53	4211	9854073	-1.1204
53	68740	60198	-0.6324
53	208908	9854073	-1.0647
53	5352062	10113978	-0.9579
53	5311	5352062	-1.0978
53	60953	9854073	-0.9931
53	11626560	216326	-0.8067
53	5311	454216	-0.859
53	104741	5352062	-0.8663
53	44424639	24776445	-1.0442
53	261004	60198	-0.814
53	5746	60198	-0.87
53	6442177	2723601	-0.7861
53	5035	9854073	-1.177
53	9444	5790	-0.8672
53	387447	9854073	-0.9463
53	20279	5790	-0.7625
53	6253	11626560	-1.0724
53	2907	9854073	-1.0982
53	5329102	6253	-0.8344
53	148124	24776445	-0.9854
53	104842	457193	-0.813
53	4842	5790	-0.8257
53	60700	60198	-0.8988
53	13342	71384	-0.8903
53	60750	5790	-0.8189
53	44424639	132971	-1.1033
53	104842	5790	-0.8615
53	5329102	446556	-0.8558
53	6445540	11626560	-0.9825
53	9854073	5035	-1.0855
53	5790	6450551	-0.938
53	5746	163659	-1.0477
53	3657	9854073	-1.1293
53	6442177	11626560	-0.9883
53	2123	4212	-0.9106
53	261004	9444	-0.782
53	5329102	123631	-0.9
53	2123	44424639	-0.8397
53	261004	5790	-0.9572
53	10113978	11626560	-1.0477
53	5360373	5799	-0.8583
53	126941	24776445	-0.9924
53	68740	2723601	-1.0289
53	13342	36462	-0.8676
53	5799	20279	-0.9053
53	5291	11626560	-0.9769
53	137	36314	-0.965
53	5978	71384	-0.9054
53	5746	4212	-0.8199
53	36314	123631	-1.0059
53	2708	44424639	-0.8906
53	60700	4842	-0.8992
53	387447	60953	-1.0563
53	5746	5790	-1.0085
53	119182	30323	-0.9033
53	5353562	25126798	-0.8782
53	5978	123631	-0.926
53	4114	9854073	-1.2245
53	2478	5790	-0.9025
53	5311	44424639	-1.0769
53	148124	6450551	-0.9733
53	9854073	42611257	-1.0848
53	237	24776445	-0.9699
53	4842	4212	-0.9103
53	452548	24776445	-0.9474
53	4114	454216	-1.22
53	3062316	36314	-0.902
53	5790	2662	-0.8854
53	148124	2708	-0.9034
53	5746	24776445	-1.0252
53	216239	5790	-0.9137
53	5978	132971	-1.0227
53	6442177	4212	-0.9147
53	444795	446556	-0.7618
53	452548	71384	-0.9685
53	452548	4212	-1.0229
53	6442177	24776445	-0.9306
53	126941	6450551	-0.9408
53	444795	132971	-0.8889
53	126941	3950	-0.8564
53	5284616	25126798	-1.0113
53	261004	123631	-1.0203
53	5311	9444	-0.8575
53	20279	5978	-0.9013
53	2723601	42611257	-1.0366
53	5746	30323	-0.8455
53	9444	2733526	-0.7671
53	65628	5790	-0.9415
53	667490	36462	-0.8331
53	6857599	5790	-0.9925
53	5360373	24776445	-0.9006
53	451668	25126798	-0.9862
53	137	25126798	-0.9856
53	5746	36462	-0.8128
53	38904	25126798	-0.9965
53	60700	4033	-0.9779
53	5360373	5978	-0.7966
53	31703	5790	-1.0446
53	5746	5978	-1.0167
53	13342	5790	-0.9706
53	261004	216326	-0.9889
53	148124	20279	-0.8614
53	2123	3950	-0.8373
53	5329102	657237	-0.9285
53	104842	132971	-0.962
53	4842	30323	-0.8925
53	4842	452548	-0.9064
53	3011155	5790	-0.9443
53	104842	446556	-0.8543
53	3950	123631	-0.8691
53	4842	36462	-0.888
53	20279	5453	-0.9039
53	5353562	5799	-0.9377
53	451668	104842	-0.9705
53	36314	119182	-0.9875
53	60700	5746	-0.6536
53	5426	60198	-1.1346
53	5978	6253	-0.9791
53	148124	60750	-0.8592
53	5790	3081361	-1.0315
53	176870	5790	-1.0626
53	5360373	4212	-0.9135
53	2708	24776445	-0.9123
53	446556	24776445	-1.0667
53	644241	71384	-0.9483
53	2123	30323	-0.925
53	5360373	148124	-0.9115
53	444795	6450551	-0.9515
53	6857599	24776445	-0.9497
53	126941	446556	-0.8537
53	5284616	5978	-0.8331
53	2662	71384	-0.964
53	2094	71384	-1.0207
53	451668	20279	-0.9966
53	13342	5035	-1.0989
53	6442177	9444	-0.884
53	4842	5353562	-0.9128
53	2123	6450551	-0.8281
53	60953	5790	-0.9443
53	6442177	36462	-0.8982
53	5353562	123631	-0.8522
53	667490	216326	-0.9568
53	5746	6450551	-1.053
53	5790	5035	-1.0478
53	60700	5353562	-0.8454
53	68740	123631	-0.7973
53	667490	10113978	-0.8133
53	5746	148124	-1.0696
53	126941	2708	-0.8156
53	237	5453	-0.9778
53	5799	2662	-0.9604
53	451668	457193	-0.9682
53	5311	60750	-0.8994
53	451668	60750	-0.9886
53	5360373	123631	-1.0747
53	6857599	20279	-1.0686
53	6445540	71384	-0.8814
53	2478	71384	-1.0126
53	237	119182	-1.0208
53	6442177	30323	-0.8763
53	4915	71384	-1.0183
53	2478	20279	-0.9363
53	176870	44424639	-1.0246
53	5353562	3950	-0.8475
53	667490	6194	-0.8501
53	6857599	6253	-1.0632
53	2094	123631	-1.0801
53	137	9444	-0.9911
53	60700	3011155	-0.9122
53	31703	9444	-1.0434
53	259331	5746	-0.8812
53	60700	2478	-0.8777
53	4033	216239	-0.9392
53	259331	60750	-0.9463
53	126941	10113978	-0.9925
53	57469	36314	-1.1881
