CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
177	24856436	11152667	-1.3095
177	24856436	25023738	-1.34
177	24856436	3218	-1.1416
177	24856436	16038120	-0.9266
177	24856436	1401	-1.9758
177	24856436	159324	-1.2773
177	24856436	135418940	-0.8499
177	24856436	54708532	-0.9678
177	24856436	11630874	-1.3891
177	24856436	135440466	-1.8661
177	24856436	9933475	-1.1945
177	24856436	9926791	-1.1261
177	24856436	11524144	-1.0311
177	24856436	5113032	-1.1903
177	24856436	46233311	-1.0288
177	24856436	9934458	-1.7006
177	24856436	11617559	-1.434
177	24856436	16219401	-1.1981
177	24856436	644213	-0.9743
177	24856436	25021165	-1.1914
177	24856436	16736978	-0.9633
177	24856436	5278396	-0.9764
177	24856436	9950176	-1.5612
177	24856436	9829523	-0.9822
177	24856436	10027278	-1.1125
177	24856436	1361332	-0.9366
177	24856436	4829	-1.0584
177	24856436	42623900	-0.8301
177	24856436	3025986	-1.0797
177	24856436	24995524	-1.2292
177	24856436	5312137	-1.6666
177	24856436	447912	-0.8456
177	24856436	56972185	-1.0951
177	24856436	23625762	-1.234
177	24856436	104794	-1.0286
177	24856436	5730	-1.2463
177	387447	24856436	-2.4287
177	387447	3062316	-2.4414
177	387447	451668	-2.3933
177	387447	2767	-2.1551
177	387447	176870	-2.4154
177	387447	6442177	-3.0096
177	387447	657237	-2.5602
177	387447	60750	-2.3611
177	387447	208908	-3.0592
177	387447	216326	-3.2932
177	387447	216239	-2.4211
177	387447	5394	-2.51
177	387447	11960529	-2.4267
177	387447	5311	-2.4249
177	387447	11152667	-2.3743
177	387447	11213558	-2.7489
177	387447	11626560	-2.4186
177	387447	135398510	-2.1004
177	387447	11178236	-1.88
177	387447	25023738	-2.5661
177	387447	3218	-1.6081
177	387447	16038120	-2.1108
177	387447	5330286	-2.3567
177	387447	300471	-2.2058
177	387447	135418940	-1.5691
177	387447	54708532	-2.2132
177	387447	11630874	-2.5248
177	387447	11234052	-2.4872
177	387447	135440466	-3.0296
177	387447	9933475	-2.2961
177	387447	11656518	-2.4034
177	387447	9926791	-2.4251
177	387447	24748573	-2.4552
177	387447	11683005	-2.8943
177	387447	11524144	-2.2701
177	387447	5113032	-2.3669
177	387447	46233311	-2.2643
177	387447	11617559	-2.7068
177	387447	16219401	-2.4822
177	387447	644213	-2.2862
177	387447	3712	-2.5077
177	387447	521106	-2.2921
177	387447	25021165	-2.3974
177	387447	16736978	-2.2827
177	387447	5278396	-2.2205
177	387447	9950176	-2.6666
177	387447	54676905	-2.46
177	387447	9829523	-2.1673
177	387447	10027278	-2.2652
177	387447	17754438	-2.4737
177	387447	1361332	-2.3414
177	387447	4829	-2.2689
177	387447	24180719	-2.607
177	387447	42623900	-2.0235
177	387447	3025986	-2.3356
177	387447	24995524	-2.364
177	387447	16683013	-2.2491
177	387447	5312137	-2.7667
177	387447	447912	-2.1965
177	387447	6505803	-2.3958
177	387447	56972185	-2.1718
177	387447	23625762	-2.4172
177	387447	104794	-2.2696
177	387447	1893730	-2.1389
177	387447	5730	-2.4782
177	387447	82146	-2.3394
177	3062316	24856436	-1.18
177	3062316	216326	-1.9363
177	3062316	5394	-0.9896
177	3062316	5311	-1.0276
177	3062316	11213558	-1.4636
177	3062316	11178236	-0.8127
177	3062316	25023738	-1.2545
177	3062316	3218	-0.8564
177	3062316	16038120	-0.7018
177	3062316	1401	-1.3937
177	3062316	300471	-1.1659
177	3062316	159324	-1.0437
177	3062316	135418940	-0.6807
177	3062316	54708532	-0.7667
177	3062316	11630874	-1.0268
177	3062316	11234052	-1.1087
177	3062316	135440466	-1.8289
177	3062316	9933475	-0.8273
177	3062316	11656518	-1.2043
177	3062316	9926791	-1.0339
177	3062316	11524144	-0.8249
177	3062316	5113032	-0.9792
177	3062316	46233311	-0.6949
177	3062316	9934458	-1.5085
