CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
25	13342	16224745	-0.2243
25	5311	208908	-0.7914
25	59691338	24958200	-0.866
25	3385	5311	-0.9951
25	208908	24958200	-0.8175
25	15953832	208908	-0.9568
25	208908	176870	-1.032
25	5311	104842	-1.184
25	59691338	13342	-1.1097
25	38904	24964624	-1.316
25	5743	208908	-1.0143
25	13342	216453	0.1155
25	44424639	5288382	-0.2934
25	387447	16224745	0.5024
25	31703	5329102	0.081
25	36314	11960529	-0.067
25	36314	216453	-0.1723
25	31703	216239	-0.1485
25	36314	16224745	-0.1039
25	31703	24958200	-0.0817
25	387447	3062316	-0.0598
25	36314	176870	-0.1012
25	31703	216453	-0.1509
25	36314	3062316	-0.1465
25	31703	5394	-0.0514
25	31703	11960529	-0.0734
25	31703	208908	-0.1476
25	13342	208908	-0.1307
25	36314	208908	-0.1114
25	31703	16224745	-0.1351
25	13342	176870	-0.247
25	73389731	11364421	-0.4789
25	31703	176870	-0.1563
25	36314	24748204	-0.1619
25	36314	5311	-0.2383
25	36314	5288382	-0.1656
25	36314	24856436	-0.2118
25	36314	216239	-0.2754
25	387447	6857599	-0.0614
25	13342	5311	-0.2961
25	31703	24748204	-0.1462
25	44424639	176870	-0.2183
25	44424639	16224745	-0.2088
25	36314	24958200	-0.0813
25	46926350	16224745	-0.2316
25	31703	3062316	-0.2537
25	44424639	208908	-0.1894
25	36314	5394	-0.0647
25	31703	5311	-0.3138
25	36314	5329102	-0.1366
25	13342	5329102	-0.1747
25	31703	24964624	-0.3185
25	6421776	6857599	-0.1963
25	13342	5288382	-0.0394
25	387447	11960529	-0.0839
25	36314	24964624	-0.2702
25	6421776	216239	-0.3536
25	44424639	5394	-0.0866
25	31703	24856436	-0.3086
25	387447	5288382	-0.2391
25	36314	6421776	-0.3373
25	13342	5394	0.1109
25	13342	24748204	-0.3338
25	5746	5394	-0.1116
25	387447	60700	-0.2269
25	44424639	216239	-0.3987
25	44424639	24958200	-0.1849
25	24964624	6857599	-0.276
25	44424639	5329102	-0.2105
25	31703	5288382	-0.3158
25	387447	216239	-0.3371
25	24964624	216239	-0.3847
25	44424639	24964624	-0.395
25	60700	216239	-0.36
25	13342	11960529	0.1057
25	44424639	24748204	-0.2645
