CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
54	36462	42611257	-0.9825
54	6442177	5353562	-0.8786
54	4842	42611257	-1.0423
54	126941	452548	-0.7276
54	5790	3950	-0.8518
54	5790	42611257	-0.8766
54	5284616	126941	-0.7934
54	6445540	5978	-0.8364
54	667490	42611257	-0.9042
54	2907	2723601	-0.9449
54	4212	42611257	-0.9363
54	126941	11683	-0.9593
54	126941	2123	-0.9669
54	5790	216326	-0.9707
54	4114	2723601	-0.9491
54	5790	2123	-0.9801
54	5790	5035	-1.016
54	5790	11683	-1.005
54	68740	446556	-0.9282
54	2662	446556	-0.9429
54	4211	446556	-0.9602
54	2907	446556	-0.9966
54	5799	5978	-0.8511
54	4114	446556	-0.9977
54	2094	4212	-0.9244
54	2708	42611257	-1.0098
54	4915	4212	-0.9773
54	36462	31703	-0.9992
54	5284616	42611257	-1.0865
54	4915	36462	-0.9202
54	259331	104842	-1.0917
54	444795	452548	-1.0061
54	2123	36462	-1.0423
54	123631	42611257	-1.0774
54	208908	36462	-0.9836
54	11683	42611257	-1.0986
54	5284616	25126798	-1.0237
54	5284616	11626560	-1.0574
54	5790	446556	-0.7782
54	5790	4212	-0.7542
54	126941	36314	-0.7122
54	2723601	452548	-0.8071
54	6445540	5360373	-0.6959
54	2723601	42611257	-0.8608
54	126941	4212	-0.6658
54	5790	36462	-0.7995
54	5790	452548	-0.8186
54	5284616	2723601	-0.8202
54	126941	3950	-0.7831
54	2723601	6194	-0.8937
54	6445540	9444	-0.7991
54	126941	30323	-0.7753
54	44424639	5799	-0.7696
54	446556	132971	-0.7529
54	2578	126941	-0.875
54	5790	5353562	-0.8401
54	6445540	457193	-0.8407
54	5790	60198	-0.8343
54	454216	2723601	-0.9451
54	5790	44424639	-0.8718
54	5790	2708	-0.8666
54	6857599	2723601	-0.8714
54	5790	6194	-0.83
54	261004	2907	-1.0382
54	126941	25126798	-0.9515
54	5790	30323	-0.8519
54	126941	148124	-0.9827
54	446556	42611257	-0.83
54	13342	446556	-0.8423
54	2733526	446556	-0.8681
54	5790	71384	-0.9056
54	4211	2723601	-0.9187
54	5790	460612	-0.9238
54	237	446556	-0.8449
54	2141	126941	-0.9416
54	5311	446556	-0.9125
54	454216	457193	-0.9502
54	5453	446556	-0.9436
54	3011155	126941	-0.944
54	57469	126941	-0.9565
54	451668	446556	-0.9568
54	4842	446556	-0.8918
54	126941	208908	-0.9462
54	2767	446556	-0.9453
54	5790	123631	-0.9757
54	5746	42611257	-0.9511
54	2094	446556	-0.9401
54	452548	4212	-0.8934
54	446556	3081361	-0.9587
54	3902	446556	-0.9446
54	6445540	13342	-0.9824
54	2187	446556	-0.9461
54	4033	454216	-0.9131
54	6445540	3657	-1.0022
54	42611257	9854073	-0.9009
54	60953	446556	-0.9435
54	446556	25126798	-0.9446
54	216239	4212	-0.9363
54	5426	446556	-0.996
54	6445540	444795	-1.038
54	5353562	42611257	-0.9642
54	3385	31703	-0.9238
54	452548	42611257	-0.9787
54	5799	457193	-0.8473
54	446556	24776445	-0.8947
54	5352062	20279	-0.9302
54	42611257	5353562	-0.8869
54	446556	11626560	-0.9452
54	5426	454216	-0.991
54	5978	36462	-0.8282
54	5978	452548	-0.8713
54	36462	44424639	-0.957
54	452548	44424639	-0.9511
54	446556	10113978	-0.9522
54	2578	5360373	-0.9615
54	4212	3081361	-1.0384
54	3950	42611257	-0.9923
54	644241	4212	-0.9805
54	2123	4212	-1.0157
54	3062316	4212	-1.0142
54	13342	42611257	-0.9943
54	5329102	4212	-0.9684
54	148124	42611257	-0.9734
54	4212	123631	-1.0993
54	20279	4212	-0.9633
54	11683	4212	-1.0535
54	5426	4212	-1.0605
54	208908	4212	-1.0146
54	6253	42611257	-0.9936
54	237	42611257	-0.9551
54	439693	9854073	-0.933
54	657237	4212	-1.0502
54	6442177	44424639	-0.9339
54	137	42611257	-0.9746
54	71384	42611257	-1.033
54	5799	2733526	-0.9878
54	2907	4212	-1.075
54	4915	5360373	-1.0478
54	6857599	9854073	-1.005
54	6442177	6194	-1.0055
54	3062316	36462	-1.0061
54	57469	9854073	-0.9256
54	2767	57469	-1.0547
54	451668	5360373	-1.0675
54	444795	36462	-0.9653
54	2478	42611257	-1.0551
54	25126798	42611257	-0.9372
54	5352062	5291	-0.977
54	5799	208908	-1.0136
54	2094	42611257	-1.0665
54	36462	123631	-1.105
54	5394	42611257	-0.9827
54	3081361	42611257	-0.9496
54	454216	42611257	-0.9979
54	5799	644241	-1.0326
54	5353562	24776445	-0.9375
54	6857599	42611257	-0.9691
54	451668	42611257	-1.0327
54	6445540	36462	-0.987
54	42611257	11626560	-0.9843
54	208908	452548	-1.0352
54	2187	42611257	-0.9877
54	9854073	6450551	-1.0256
54	11683	452548	-1.0795
54	6450551	42611257	-0.9901
54	5291	452548	-1.0554
54	57469	36462	-0.9555
54	104842	2733526	-0.9922
54	5426	36314	-1.2095
54	65628	2708	-0.8041
54	657237	36462	-0.9952
54	2907	42611257	-1.1194
54	4114	36314	-1.1954
54	36314	5291	-1.0687
54	5353562	11683	-1.0445
54	6442177	216326	-0.9498
54	6442177	123631	-0.9954
54	2733526	24776445	-1.3702
54	5284616	3081361	-1.0606
54	5284616	5035	-1.0551
54	137	25126798	-0.8895
54	2767	25126798	-0.9846
54	2767	3081361	-0.9974
54	5035	25126798	-0.9468
54	644241	2123	-1.0019
54	29327	65628	-1.0332
54	451668	2094	-0.9847
54	5426	6450551	-1.0153
54	5426	5291	-1.082
54	261004	6445540	-0.6317
54	126941	2723601	-0.5963
54	5790	2723601	-0.6528
54	5352062	2723601	-0.8523
54	261004	6253	-0.7908
54	6253	126941	-0.7569
54	126941	5352062	-0.6616
54	104842	2723601	-0.7619
54	2723601	4212	-0.7447
54	5746	2723601	-0.724
54	387447	6445540	-0.7818
54	5746	126941	-0.8046
54	126941	132971	-0.7676
54	2767	6445540	-0.7603
54	6445540	6253	-0.7504
54	60700	126941	-0.7111
54	2723601	5799	-0.8191
54	42611257	2723601	-0.8086
54	9444	454216	-0.679
54	261004	6442177	-0.8918
54	5799	454216	-0.7596
54	36314	2723601	-0.7922
54	261004	259331	-0.9688
54	2723601	36462	-0.814
54	126941	9444	-0.6492
54	126941	36462	-0.6807
54	126941	5353562	-0.7744
54	261004	29327	-0.9429
54	42611257	446556	-0.7864
54	126941	104842	-0.7305
54	387447	454216	-0.934
54	5790	3385	-0.7463
54	446556	9854073	-0.7795
54	126941	44424639	-0.8119
54	126941	6194	-0.7729
54	261004	4915	-0.9343
54	261004	5311	-0.9293
54	5978	126941	-0.8519
54	126941	42611257	-0.8408
54	6445540	36314	-0.7916
54	3385	446556	-0.7586
54	6442177	2723601	-0.8784
54	5353562	446556	-0.8995
54	5311	2723601	-0.8776
54	237	2723601	-0.8301
54	5352062	446556	-0.9291
54	6445540	667490	-0.8004
54	126941	5284616	-0.879
54	2578	2723601	-0.8945
54	261004	68740	-0.9633
54	6445540	5746	-0.7833
54	452548	5799	-0.7971
54	667490	6253	-0.8218
54	6445540	60750	-0.8885
54	126941	3062316	-0.8782
54	20279	126941	-0.8452
54	5746	446556	-0.7697
54	2094	2723601	-0.8606
54	446556	5799	-0.7475
54	6445540	20279	-0.9034
54	667490	5799	-0.8462
54	2478	126941	-0.9462
54	261004	439693	-1.0492
54	126941	71384	-0.861
54	126941	2708	-0.801
54	9444	6253	-0.7256
54	3385	4212	-0.8227
54	6253	2723601	-0.8352
54	5799	6253	-0.8665
54	3690	2723601	-0.9522
54	452548	446556	-0.8771
54	5799	5352062	-0.8882
54	261004	4114	-1.0705
54	6445540	29327	-0.9489
54	5352062	60198	-1.0335
54	29327	126941	-0.9512
54	2478	2723601	-0.9312
54	104842	6253	-0.8832
54	387447	36314	-0.9206
54	644241	2723601	-0.9885
54	6445540	31703	-0.9011
54	4114	126941	-0.9704
54	4033	2723601	-0.8991
54	119182	4212	-0.9038
54	5790	24776445	-0.9184
54	126941	5329102	-0.8721
54	5394	2723601	-0.9255
54	3385	5799	-0.8521
54	439693	2723601	-0.879
54	216239	446556	-0.8874
54	126941	6442177	-0.8387
54	261004	3902	-0.997
54	5360373	446556	-0.8505
54	6253	446556	-0.8917
54	5790	3081361	-1.009
54	42611257	4212	-0.8658
54	60700	5360373	-0.9289
54	5360373	36314	-0.7069
54	446556	31703	-0.8361
54	9444	446556	-0.9762
54	60700	5799	-0.8969
54	5352062	6194	-1.031
54	126941	104741	-1.0174
54	137	446556	-0.8525
54	261004	60198	-0.9337
54	148121	4212	-0.73
54	657237	126941	-1.0022
54	5746	4212	-0.8607
54	5790	25126798	-1.0116
54	6445540	148124	-0.9288
54	3385	36462	-0.8565
54	126941	216326	-0.9848
54	148121	5799	-0.7438
54	5790	11626560	-1.0018
54	6445540	439693	-1.0109
54	6445540	5284616	-0.8805
54	454216	446556	-0.873
54	65628	446556	-0.8546
54	11626560	446556	-0.9838
54	3385	42611257	-0.8606
54	2723601	11683	-0.9871
54	644241	126941	-0.9544
54	6445540	4211	-0.9865
54	5352062	2708	-1.0645
54	20279	446556	-0.9641
54	5353562	4212	-0.8739
54	4212	44424639	-0.9021
54	3062316	446556	-0.9616
54	6445540	5394	-0.9881
54	71384	446556	-0.9837
54	5360373	9444	-0.8098
54	176870	6445540	-1.0273
54	104842	5353562	-0.8272
54	237	667490	-0.9191
54	6445540	119182	-1.004
54	5311	3385	-0.8585
54	3950	9854073	-0.8459
54	2767	36314	-0.9894
54	446556	5035	-0.932
54	237	5360373	-0.8629
54	6253	9854073	-0.8059
54	176870	446556	-0.92
54	446556	123631	-1.0008
54	6442177	3385	-0.8951
54	5746	132971	-0.7465
54	9854073	42611257	-0.85
54	104842	42611257	-0.9399
54	13342	4212	-0.9087
54	6857599	454216	-0.9487
54	208908	446556	-0.9663
54	2723601	31703	-0.9306
54	148124	9854073	-0.9179
54	5353562	452548	-0.9497
54	2723601	25126798	-0.9744
54	6442177	4212	-0.9326
54	2733526	4212	-0.8735
54	259331	446556	-0.8553
54	5746	452548	-0.8758
54	6445540	3690	-0.9765
54	60953	126941	-0.966
54	667490	5978	-0.918
54	5360373	5453	-0.8483
54	60700	60750	-0.9687
54	237	9854073	-0.8218
54	2478	446556	-0.9339
54	6253	4212	-0.9847
54	5978	42611257	-0.9265
54	36314	36462	-0.815
54	9444	457193	-0.5871
54	5453	452548	-0.8737
54	30323	31703	-1.0064
54	137	667490	-0.8952
54	657237	446556	-1.0424
54	237	36462	-0.8625
54	5360373	5790	-0.8221
54	119182	36462	-0.8821
54	3385	216326	-0.9747
54	2767	3062316	-0.9338
54	4842	4212	-0.9541
54	4915	3385	-0.9052
54	30323	4212	-0.9751
54	5360373	9854073	-0.8751
54	4033	3385	-0.8729
54	148124	36462	-0.8573
54	5360373	5284616	-0.8939
54	6442177	60198	-0.9351
54	460612	4212	-0.9779
54	5353562	36462	-0.9451
54	6194	452548	-0.9134
54	5394	446556	-0.9845
54	6857599	667490	-0.9303
54	4212	25126798	-0.9757
54	6442177	452548	-0.9634
54	176870	454216	-0.8105
54	5799	5311	-1.0541
54	4033	5360373	-0.8209
54	11626560	4212	-1.0066
54	6442177	42611257	-0.9284
54	387447	65628	-1.079
54	3950	36462	-0.9642
54	4114	454216	-1.0174
54	104741	446556	-0.9189
54	6445540	657237	-1.0144
54	148124	6194	-0.8668
54	6253	452548	-1.0055
54	4212	11626560	-1.0263
54	42611257	2708	-0.9117
54	2767	5311	-1.1118
54	137	9854073	-0.8299
54	216239	36462	-0.9311
54	5746	20279	-1.0216
54	60700	36462	-0.9035
54	2708	36462	-0.9662
54	29327	4212	-0.9796
54	104842	123631	-1.0178
54	6194	42611257	-0.991
54	261004	25126798	-0.9269
54	5746	137	-0.9752
54	6442177	36462	-0.9284
54	6445540	4212	-0.9672
54	38904	42611257	-0.9474
54	454216	3902	-0.973
54	237	148121	-1.0492
54	5453	42611257	-1.0015
54	216239	452548	-0.9984
54	667490	3081361	-0.9079
54	137	5360373	-0.7926
54	20279	9854073	-1.0016
54	3385	123631	-0.9813
54	36314	42611257	-1.0401
54	387447	444795	-0.9867
54	5394	9854073	-0.9281
54	30323	42611257	-1.0123
54	454216	9854073	-0.978
54	5360373	42611257	-0.8992
54	216326	9854073	-0.8623
54	42611257	460612	-0.9386
54	6194	5353562	-0.9598
54	5352062	6450551	-0.9637
54	2767	9854073	-0.9881
54	5799	6442177	-0.9861
54	2578	36462	-0.9238
54	2907	3385	-0.9663
54	446556	6450551	-0.9677
54	3902	9854073	-0.9749
54	237	44424639	-0.8995
54	2767	65628	-0.9935
54	104842	5035	-0.9915
54	2662	4212	-0.973
54	3690	4212	-1.0022
54	163659	4212	-1.0207
54	60750	4212	-1.0078
54	3657	6253	-0.988
54	5453	6194	-0.8772
54	4211	163659	-0.962
54	148121	5453	-1.46
54	2733526	42611257	-0.9348
54	2907	6253	-0.9852
54	259331	42611257	-0.8904
54	9444	36462	-0.9208
54	4915	452548	-0.9657
54	2094	36462	-0.9043
54	451668	452548	-0.9403
54	3062316	452548	-1.0587
54	457193	446556	-1.0648
54	4114	4212	-1.0636
54	9854073	11626560	-1.0024
54	237	5353562	-0.8461
54	4212	10113978	-1.0058
54	6253	3902	-1.0814
54	42611257	123631	-0.9115
