CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
26	5311	60700	-1.179
26	15953832	16224745	-1.1823
26	24958200	16224745	-1.2087
26	24958200	104842	-1.0231
26	31703	216239	-0.0813
26	13342	5394	0.0342
26	387447	216239	-0.2375
26	387447	11960529	-0.004
26	31703	11960529	-0.0532
26	31703	216453	-0.1236
26	31703	24748204	-0.1278
26	31703	5394	0.0015
26	60750	216239	-0.2155
26	31703	5329102	-0.1729
26	31703	5311	-0.2436
26	31703	24958200	-0.0417
26	31703	16224745	-0.2433
26	60750	11960529	-0.1121
26	60750	5288382	-0.1508
26	60750	24958200	-0.1487
26	31703	5288382	-0.2063
26	60750	24748204	-0.1935
26	60750	5329102	-0.2551
26	36314	5394	-0.2522
26	60750	5394	-0.1457
26	60750	24964624	-0.2608
26	36314	11960529	-0.2343
26	60750	6421776	-0.2564
26	31703	176870	-0.2825
26	60750	176870	-0.2819
26	60750	3062316	-0.298
26	60750	208908	-0.2102
26	31703	208908	-0.25
26	387447	5288382	-0.1223
26	9826528	11960529	-0.227
26	31703	24964624	-0.3039
26	44424639	24748204	-0.2561
26	46926350	16224745	-0.3411
26	44424639	5394	-0.1212
26	387447	60700	-0.3041
26	5329102	5394	-0.1591
26	387447	16224745	-0.2995
26	387447	3062316	-0.3434
26	60700	216239	-0.2626
26	5311	216239	-0.2886
26	31703	3062316	-0.3753
26	44424639	208908	-0.3324
26	60750	9826528	-0.3484
26	387447	6857599	-0.2466
26	60750	46926350	-0.3614
26	13342	5288382	-0.1591
26	6421776	6857599	-0.3279
26	5329102	216239	-0.3268
26	24964624	6857599	-0.3034
26	176870	216239	-0.3479
26	44424639	5288382	-0.196
26	60750	24856436	-0.3578
26	73389731	11364421	-0.5811
26	31703	24856436	-0.3828
26	24964624	216239	-0.3582
26	44424639	176870	-0.3975
26	44424639	24958200	-0.1846
26	44424639	24856436	-0.3637
26	5311	5394	-0.0734
26	13342	24958200	-0.1631
26	24964624	11960529	-0.238
26	60750	16224745	-0.4225
26	44424639	5311	-0.3252
26	6421776	216239	-0.362
26	44424639	216239	-0.3227
26	44424639	11960529	-0.1309
26	44424639	24964624	-0.4105
26	44424639	16224745	-0.372
26	44424639	5329102	-0.3986
26	13342	24748204	-0.2884
26	6857599	216239	-0.3059
26	13342	11960529	0.0048
