CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
6	208908	4212	-1.0951
6	2478	9854073	-0.9496
6	24776445	9854073	-0.9975
6	3062316	9854073	-0.9224
6	68740	9854073	-1.0135
6	5353562	9854073	-0.9803
6	5291	9854073	-1.0342
6	57469	3385	-1.0403
6	259331	3385	-1.1444
6	4114	44424639	-1.1833
6	126941	2123	-1.0574
6	5746	20279	-1.0177
6	38904	444795	-1.0369
6	104741	9854073	-0.9221
6	5790	9854073	-0.8222
6	6442177	9854073	-0.8759
6	5352062	9854073	-0.8877
6	667490	9854073	-0.7905
6	5284616	3385	-0.8274
6	6194	9854073	-0.8491
6	38904	9854073	-1.0411
6	6253	9854073	-0.9183
6	3385	6194	-0.8888
6	237	9854073	-0.9592
6	123631	9854073	-1.0769
6	5311	9854073	-1.0101
6	5329102	9854073	-0.9525
6	6445540	5746	-0.9168
6	2708	3385	-0.8843
6	2187	9854073	-1.0278
6	132971	9854073	-0.9868
6	137	9854073	-1.0706
6	444795	3385	-0.9583
6	444795	446556	-0.9944
6	208908	9854073	-1.058
6	36462	4212	-0.8917
6	60750	9854073	-1.0155
6	2141	9854073	-0.9483
6	5746	3385	-0.9871
6	2094	9854073	-1.0343
6	261004	9854073	-0.9334
6	5978	4212	-0.9323
6	4842	3385	-0.9738
6	5311	3385	-1.0507
6	5352062	6194	-0.9904
6	6442177	452548	-0.9907
6	60953	9854073	-1.0902
6	6442177	6194	-1.0086
6	36314	123631	-0.9607
6	3385	5035	-0.968
6	36314	6450551	-1.0354
6	3385	132971	-1.01
6	2662	3385	-1.0547
6	36314	3081361	-1.0387
6	68740	3385	-1.0526
6	3385	6450551	-1.0353
6	20279	9854073	-1.1262
6	457193	446556	-1.0178
6	2187	3385	-1.0556
6	36314	132971	-1.084
6	6445540	3062316	-0.9253
6	5311	452548	-1.037
6	3385	31703	-0.9132
6	4114	3385	-1.0509
6	2478	3385	-0.9848
6	216239	6194	-0.9739
6	6442177	2708	-0.9976
6	163659	5790	-0.9331
6	2907	3385	-1.0609
6	5284616	6450551	-1.0673
6	3385	42611257	-1.0926
6	5284616	132971	-1.0553
6	148124	123631	-1.0544
6	60953	3385	-1.0885
6	4211	3385	-1.0547
6	4842	452548	-1.031
6	4212	6450551	-1.0622
6	5746	30323	-1.0031
6	11626560	44424639	-0.9988
6	6445540	2094	-0.9227
6	42611257	3385	-1.0587
6	3902	3385	-1.0928
6	3385	5353562	-0.9996
6	4212	25126798	-1.0568
6	4915	4212	-1.0508
6	29327	4212	-0.9995
6	5360373	452548	-1.0582
6	104741	444795	-1.0512
6	3011155	3385	-1.1263
6	5426	4212	-1.0569
6	5790	5353562	-1.0659
6	4114	4212	-1.0861
6	44424639	3081361	-1.1582
6	57469	4212	-1.0609
6	644241	452548	-1.0379
6	104741	2123	-0.9711
6	6194	132971	-1.0302
6	6194	11626560	-1.0383
6	44424639	6450551	-1.1513
6	5394	4212	-1.0702
6	6442177	132971	-0.9649
6	2708	11626560	-0.986
6	667490	5353562	-0.8734
6	5360373	6194	-1.0273
6	3385	11683	-1.0776
6	6194	6450551	-1.0614
6	6194	25126798	-1.0171
6	208908	2708	-1.0281
6	119182	667490	-0.8522
6	6445540	6194	-1.0101
6	444795	5790	-0.9757
6	6194	10113978	-1.0541
6	11683	452548	-1.0343
6	387447	176870	-1.0838
6	5799	60953	-0.9413
6	11683	4212	-1.0434
6	439693	237	-0.986
6	6442177	11683	-1.1019
6	2767	5329102	-1.0435
6	2094	5360373	-0.9683
6	208908	444795	-0.9898
6	2187	123631	-0.9624
6	57469	444795	-0.979
6	451668	4915	-0.9672
6	451668	2478	-0.9778
6	444795	3902	-0.9485
6	3657	6253	-0.9654
6	176870	451668	-0.9798
6	259331	104842	-1.143
6	176870	137	-0.9932
6	2094	137	-1.0206
6	176870	119182	-1.001
6	2907	208908	-1.0192
6	65628	5329102	-0.9893
6	6450551	10113978	-1.0567
6	5426	2094	-1.0431
6	57469	3690	-0.9819
6	3011155	13342	-1.0026
6	2723601	9854073	-0.7986
6	3385	446556	-0.7727
6	4212	9854073	-0.8706
6	104741	446556	-0.8149
6	36462	9854073	-0.8636
6	5746	9854073	-0.8918
6	104741	3385	-0.9345
6	148124	9854073	-0.8601
6	126941	9854073	-0.8195
6	104842	9854073	-0.9382
6	3385	452548	-0.8438
6	2708	9854073	-0.8414
6	30323	9854073	-0.9785
6	3385	36462	-0.8525
6	71384	9854073	-0.9389
6	3385	44424639	-0.8584
6	5284616	4212	-0.9064
6	148124	2723601	-0.8396
6	6857599	446556	-0.8913
6	6445540	667490	-0.8549
6	6445540	104741	-0.8296
6	6442177	446556	-0.9161
6	4842	9854073	-0.9495
6	4033	9854073	-0.9537
6	6253	446556	-0.8692
6	36314	4212	-0.8789
6	104741	4212	-0.9226
6	5790	2723601	-0.8788
6	451668	446556	-0.8955
6	4033	446556	-0.9225
6	3657	9854073	-0.999
