CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
27	9444	3385	-1.0923
27	5978	44424639	-0.8355
27	2907	44424639	-0.9577
27	5426	44424639	-0.9563
27	4915	44424639	-1.0488
27	5978	42611257	-1.0628
27	2094	126941	-0.9614
27	5746	3385	-0.9831
27	5284616	3385	-0.9176
27	657237	3385	-1.0442
27	2907	3385	-1.0039
27	3385	6450551	-1.0481
27	5426	3385	-1.0555
27	137	3385	-0.9925
27	3690	3385	-1.0459
27	65628	3385	-0.983
27	2123	3385	-0.9544
27	2478	3385	-1.0729
27	5284616	5035	-1.0961
27	36314	9854073	-0.7677
27	13342	44424639	-0.7593
27	13342	3385	-0.8077
27	57469	9854073	-0.9056
27	451668	9854073	-0.9732
27	6445540	57469	-0.6157
27	4114	44424639	-0.9895
27	2187	44424639	-1.0425
27	5790	126941	-0.9451
27	44424639	123631	-0.9505
27	176870	44424639	-1.0657
27	6442177	44424639	-1.0432
27	42611257	3385	-0.8087
27	4114	126941	-0.9799
27	126941	68740	-0.9443
27	126941	104741	-0.9139
27	29327	44424639	-0.9499
27	444795	44424639	-1.0391
27	259331	44424639	-0.9796
27	148124	10113978	-1.0542
27	148124	132971	-1.0756
27	5394	44424639	-1.1085
27	454216	44424639	-0.991
27	148124	460612	-1.0618
27	60953	44424639	-1.0728
27	36314	6450551	-1.1175
27	36314	3081361	-1.1116
27	13342	3081361	-1.1775
27	6857599	5352062	-1.1203
27	29327	36314	-1.1319
27	5790	3385	-0.9473
27	126941	3385	-0.9654
27	5311	3385	-1.0522
27	237	3385	-0.9463
27	6857599	3385	-0.9502
27	6442177	3385	-0.9978
27	6253	3385	-1.0185
27	3385	6194	-0.9254
27	2094	3385	-0.9983
27	454216	3385	-0.9717
27	451668	3385	-1.0026
27	2141	3385	-1.0232
27	4211	3385	-1.0678
27	2733526	3385	-0.9813
27	176870	3385	-1.0623
27	5329102	3385	-1.0188
27	3902	3385	-1.114
27	261004	3385	-1.0477
27	3385	11683	-0.9302
27	13342	5035	-1.2019
27	5284616	454216	-0.9931
27	5978	10113978	-1.2487
27	4033	3385	-1.0297
27	24776445	42611257	-1.1148
27	2733526	42611257	-1.0998
27	3657	148124	-0.9958
27	137	60750	-0.9813
27	4114	60750	-1.002
27	259331	446556	-1.0054
27	4033	5329102	-0.9413
27	29327	5790	-1.0036
27	5353562	71384	-1.0321
27	65628	444795	-0.9601
27	5284616	25126798	-1.125
27	68740	444795	-0.9831
27	137	216239	-0.996
27	2187	2662	-0.9662
27	387447	6445540	-0.7999
27	148124	9854073	-0.6471
27	36314	44424639	-0.751
27	5352062	44424639	-0.8744
27	126941	163659	-0.7726
27	126941	454216	-0.6801
27	60700	9854073	-0.8667
27	2141	9854073	-0.8867
27	6445540	2578	-0.5805
27	6442177	9854073	-0.9912
27	9854073	11626560	-1.0937
27	5284616	9854073	-0.9608
27	6445540	2907	-0.5903
27	3902	9854073	-0.9635
27	6445540	5426	-0.5975
27	216239	9854073	-1.0089
27	6445540	4114	-0.6115
27	11626560	44424639	-1.0037
27	5284616	44424639	-0.9057
27	216239	44424639	-1.0404
27	2141	44424639	-1.0237
27	126941	13342	-0.861
27	148124	3950	-1.021
27	20279	44424639	-1.0621
27	6445540	44424639	-1.0786
27	5311	44424639	-1.0218
27	126941	4211	-0.8896
27	148124	71384	-0.9744
27	3902	44424639	-1.0371
27	387447	44424639	-1.0429
27	2662	126941	-0.9784
27	148121	44424639	-0.9891
27	148124	11626560	-0.9706
27	148124	6194	-1.0022
27	148124	216326	-1.0495
27	5426	126941	-0.9685
27	5978	3385	-0.841
27	3011155	44424639	-1.0641
27	2662	44424639	-1.0879
27	104741	44424639	-1.0816
27	387447	5352062	-0.976
27	5291	44424639	-1.1176
27	4211	44424639	-1.0792
27	9854073	132971	-1.1751
27	148124	2723601	-0.9512
27	36314	123631	-0.975
27	667490	36314	-1.0296
27	13342	123631	-0.9687
