CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
156	46215815	11178236	-1.0084
156	46215815	446378	-1.2967
156	11152667	637858	-0.7438
156	54454	5311	-1.0765
156	3385	46215815	-0.9429
156	446556	54454	-0.9082
156	5081913	24771867	-0.9635
156	11626560	54454	-0.951
156	637858	5311	-1.2467
156	3062316	5311	-1.1503
156	42642645	24964624	-1.1922
156	17755052	5311	-1.0201
156	46215815	3854666	-1.0611
156	46215815	446556	-1.068
156	11626560	3062316	-1.1776
156	5081913	5311	-1.1069
156	24964624	11178236	-1.1584
156	24964624	36314	-1.3149
156	1080352	46215815	-0.9923
156	46215815	5081913	-1.06
156	1080352	24964624	-1.1943
156	11152667	11152667	-0.122
156	5288674	11152667	-0.1315
156	11556711	16720766	-0.1665
156	11556711	60750	-0.1829
156	11556711	78358496	-0.1972
156	5288674	5288674	-0.1375
156	5288674	60750	-0.1682
156	5288674	16720766	-0.1844
156	11556711	11598628	-0.2548
156	11152667	16720766	-0.2221
156	11152667	60750	-0.2598
156	11152667	78358496	-0.239
156	5288674	78358496	-0.247
156	16720766	16720766	-0.2309
156	5288674	11382492	-0.2304
156	11556711	24856436	-0.3018
156	11152667	11382492	-0.2741
156	60750	16720766	-0.2901
156	11556711	46907787	-0.3523
156	16720766	78358496	-0.3136
156	60750	78358496	-0.2559
156	11152667	11598628	-0.1965
156	78358496	78358496	-0.2232
156	5288674	11598628	-0.2798
156	11382492	16720766	-0.273
156	11382492	60750	-0.2257
156	11382492	11382492	-0.2299
156	11382492	78358496	-0.3047
156	5288674	24856436	-0.3405
156	11152667	24856436	-0.3858
156	16720766	11598628	-0.3522
156	11152667	46907787	-0.3433
156	60750	11598628	-0.2111
156	5288674	46907787	-0.3355
156	5288674	11364421	-0.3259
156	11556711	104842	-0.4227
156	78358496	11598628	-0.2528
156	11152667	11364421	-0.3625
156	11382492	11598628	-0.2
156	24856436	16720766	-0.395
156	60750	24856436	-0.445
156	24856436	78358496	-0.3875
156	11364421	60750	-0.3943
156	46907787	16720766	-0.4583
156	11382492	24856436	-0.4067
156	24856436	11598628	-0.3255
156	60750	46907787	-0.4611
156	46907787	78358496	-0.3999
156	5288674	104842	-0.4564
156	11152667	104842	-0.4981
156	11364421	11382492	-0.3894
156	11382492	46907787	-0.4486
156	16720766	104842	-0.435
156	24856436	24856436	-0.4672
156	11556711	24771867	-0.5388
156	11556711	54454	-0.5479
156	46907787	11598628	-0.4601
156	11364421	16720766	-0.478
156	11556711	11707110	-0.5601
156	11382492	104842	-0.4064
156	60750	104842	-0.4493
156	11152667	11556711	-0.5352
156	11364421	78358496	-0.5259
156	78358496	104842	-0.4216
156	11364421	11364421	-0.5269
156	5288674	24771867	-0.5049
156	11556711	446556	-0.6011
156	46907787	24856436	-0.5104
156	11364421	46907787	-0.4959
156	60750	60750	-0.1949
156	11152667	11707110	-0.4871
156	5288674	11556711	-0.5854
156	46907787	46907787	-0.5055
156	5288674	54454	-0.5542
156	11152667	24771867	-0.5546
156	11364421	11598628	-0.4161
156	11556711	3854666	-0.5906
156	11152667	54454	-0.5011
156	5288674	11707110	-0.567
156	11556711	11178236	-0.6413
156	11598628	104842	-0.3886
156	16720766	54454	-0.606
156	11152667	42642645	-0.5774
156	11364421	24856436	-0.6274
156	16720766	24771867	-0.5672
156	5288674	42642645	-0.6141
156	24856436	104842	-0.6433
156	60750	24771867	-0.5619
156	11707110	16720766	-0.623
156	60750	54454	-0.5977
156	78358496	54454	-0.5296
156	11152667	446556	-0.5876
156	11382492	24771867	-0.3961
156	5288674	446556	-0.5968
156	11382492	54454	-0.5822
156	5288674	3854666	-0.5936
156	11707110	60750	-0.6076
156	11556711	36314	-0.7058
156	24771867	78358496	-0.5865
156	11707110	78358496	-0.5372
156	5288674	11178236	-0.6315
156	11152667	3854666	-0.6339
156	11556711	5311	-0.7369
156	16720766	446556	-0.629
156	11556711	637858	-0.7171
156	46907787	104842	-0.6551
156	11598628	11598628	-0.3628
156	5288674	5287969	-0.6686
156	42642645	16720766	-0.6294
156	11382492	11707110	-0.6383
156	42642645	60750	-0.5982
156	11152667	5287969	-0.4234
156	11382492	42642645	-0.5857
156	11382492	446556	-0.5748
156	11152667	25262965	-0.5399
156	60750	446556	-0.622
156	42642645	78358496	-0.612
156	11152667	36314	-0.6862
156	78358496	446556	-0.5902
156	24771867	11598628	-0.5436
156	11598628	54454	-0.5963
156	16720766	3854666	-0.6558
156	16720766	11178236	-0.6993
156	60750	3854666	-0.6245
156	5288674	36314	-0.6989
156	5288674	25262965	-0.7062
156	11707110	11598628	-0.6209
156	60750	11178236	-0.6436
156	46907787	54454	-0.6518
156	78358496	3854666	-0.6303
156	11364421	104842	-0.6406
156	24856436	54454	-0.6823
156	24856436	24771867	-0.6215
156	11707110	24856436	-0.6898
156	78358496	11178236	-0.6745
156	11364421	11707110	-0.6166
156	11152667	5311	-0.7656
156	11382492	3854666	-0.6284
156	5288674	5311	-0.737
156	5288674	637858	-0.7801
156	11382492	11178236	-0.6759
156	42642645	11598628	-0.6491
156	11382492	5287969	-0.6834
156	11364421	24771867	-0.4369
156	11364421	11556711	-0.785
156	11598628	446556	-0.6412
156	11598628	3854666	-0.5915
156	11152667	135398510	-0.7414
156	5288674	135398510	-0.7449
156	5288674	11626560	-0.7672
