CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
2	5284616	2708	-0.8495
2	5746	5978	-0.7961
2	2123	6194	-0.9981
2	6442177	11683	-0.9963
2	2723601	4212	-0.6
2	2708	460612	-0.7829
2	5426	9854073	-0.9273
2	4915	6194	-0.9672
2	3690	3011155	-1.0031
2	208908	3011155	-1.0164
2	454216	2708	-0.9914
2	2187	2723601	-1.0668
2	439693	2708	-0.9614
2	2708	132971	-1.0141
2	6445540	2708	-0.9803
2	2767	71384	-1.0026
2	208908	2708	-1.0424
2	5746	4211	-1.1422
2	3011155	6253	-0.3549
2	3011155	20279	-0.54
2	454216	104842	-0.4337
2	60700	452548	-0.6935
2	60700	3011155	-0.5718
2	126941	4212	-0.7278
2	5352062	452548	-0.7499
2	60750	6253	-0.5191
2	451668	2708	-0.796
2	3011155	5453	-0.7428
2	667490	9854073	-0.6538
2	38904	2708	-0.7728
2	5453	71384	-0.7397
2	6194	44424639	-0.6666
2	5453	460612	-0.7954
2	5311	20279	-0.7685
2	2708	3385	-0.8057
2	148124	2723601	-0.6956
2	38904	460612	-0.8308
2	454216	163659	-0.7522
2	451668	5453	-0.7984
2	60700	60750	-0.8092
2	3011155	5790	-0.8774
2	2094	20279	-0.8656
2	2094	9854073	-0.8893
2	3011155	657237	-0.9025
2	3011155	457193	-0.9072
2	3690	36462	-0.9192
2	2723601	11626560	-0.858
2	6445540	148121	-0.837
2	3011155	5978	-0.9387
2	3011155	38904	-0.9433
2	2578	3011155	-0.9456
2	44424639	31703	-0.8691
2	2733526	4212	-0.9916
2	6194	5353562	-0.8795
2	6194	24776445	-0.9653
2	446556	31703	-0.7553
2	6857599	667490	-0.9023
2	6857599	126941	-0.917
2	2662	6194	-0.9722
2	5746	163659	-0.9062
2	104741	446556	-0.9658
2	454216	6194	-0.9512
2	2723601	6450551	-0.9394
2	6857599	163659	-0.9385
2	4842	5790	-0.9151
2	2708	6450551	-0.9615
2	3062316	3011155	-0.9598
2	2141	3011155	-1.0128
2	460612	3950	-0.9246
2	6194	31703	-1.0347
2	4114	6194	-1.0299
2	387447	2723601	-0.8344
2	4842	36314	-0.9737
2	2094	2708	-0.9348
2	4842	163659	-0.9883
2	104741	2708	-1.0253
2	68740	2723601	-1.0204
2	2723601	132971	-1.008
2	2708	25126798	-0.992
2	2723601	24776445	-0.9712
2	2187	2708	-1.0273
2	2733526	2708	-0.9952
2	60953	2708	-0.9775
2	444795	2708	-0.87
2	3011155	3657	-0.9891
2	2708	10113978	-1.0015
2	2723601	42611257	-1.0065
2	216239	44424639	-1.0546
2	5291	2708	-0.9884
2	4842	5360373	-1.046
2	148121	2708	-0.9663
2	3011155	4211	-1.0127
2	4211	2723601	-1.1078
2	5746	13342	-1.1437
2	644241	2708	-1.0385
2	3011155	2733526	-1.2204
2	42611257	2708	-0.9775
2	3011155	444795	-1.2343
2	5329102	2708	-0.9689
2	3902	2708	-0.9733
2	3011155	2662	-1.2516
2	3011155	5291	-1.2524
2	30323	216326	-0.9327
2	3011155	3902	-1.2498
2	3011155	5394	-1.2577
2	4211	2708	-1.0932
2	4842	2733526	-1.1313
2	4842	444795	-1.157
2	6857599	2907	-0.9121
2	3011155	644241	-1.2736
2	4842	65628	-1.1468
2	6857599	2733526	-1.1602
2	6857599	65628	-1.1861
2	5978	123631	-1.07
2	4842	2187	-1.1535
2	4842	13342	-1.3304
2	5978	132971	-1.0996
2	148124	11683	-1.0847
2	208908	44424639	-1.164
2	13342	123631	-1.076
2	451668	4114	-1.0092
2	5284616	11683	-1.0191
2	4033	10113978	-1.0355
2	2578	5284616	-1.0501
2	2094	5978	-0.6753
2	6442177	5035	-0.8491
2	5284616	216326	-0.9549
2	31703	148121	-1.4222
2	2094	25126798	-0.9582
2	5353562	11683	-0.8869
2	5353562	132971	-1.0292
2	176870	11683	-1.0909
2	176870	25126798	-1.0319
2	444795	10113978	-1.0401
2	2141	2094	-1.0242
2	6253	4212	-0.4947
2	452548	4212	-0.4968
2	5790	36462	-0.5066
2	6253	9854073	-0.4956
2	6445540	20279	-0.5317
2	5799	454216	-0.5171
2	104842	6253	-0.4954
2	36462	9854073	-0.5616
2	104842	9854073	-0.5885
2	6194	4212	-0.5923
2	6445540	3011155	-0.5015
2	2708	36462	-0.6492
2	38904	36462	-0.6337
2	6194	452548	-0.5524
2	36314	4212	-0.6439
2	6253	71384	-0.6305
2	2708	452548	-0.6201
2	60700	4212	-0.6673
2	5284616	6253	-0.5917
2	5799	3011155	-0.5859
2	667490	20279	-0.6877
2	2708	446556	-0.6537
2	2708	4212	-0.6483
2	6445540	104842	-0.5665
2	126941	36462	-0.7224
2	460612	452548	-0.7156
2	3950	4212	-0.6201
2	667490	5799	-0.7185
2	2767	6445540	-0.6871
2	126941	452548	-0.7758
2	5799	5453	-0.6568
2	5453	452548	-0.6557
2	5790	2708	-0.6391
2	5453	6194	-0.6298
2	2708	6194	-0.6706
2	5746	6194	-0.7287
2	30323	4212	-0.6856
2	3385	36462	-0.7828
2	36314	6194	-0.7258
2	6445540	36314	-0.7336
2	452548	71384	-0.6758
2	6445540	5790	-0.6925
2	13342	4212	-0.7956
