CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
57	5352062	4212	-1.0348
57	42611257	11626560	-1.0057
57	5284616	42611257	-0.9203
57	36314	42611257	-0.9019
57	60700	42611257	-0.9777
57	5352062	36462	-1.0899
57	2578	42611257	-1.0823
57	2187	42611257	-1.0634
57	6442177	9854073	-1.0171
57	5352062	216326	-1.1407
57	176870	42611257	-1.0567
57	6445540	2578	-0.9189
57	6445540	2662	-1.0088
57	5746	3385	-1.0023
57	20279	44424639	-1.0731
57	644241	3385	-1.0489
57	208908	3385	-1.0574
57	457193	10113978	-1.1454
57	5352062	42611257	-0.7917
57	44424639	42611257	-0.932
57	3385	42611257	-0.9596
57	4212	42611257	-0.9626
57	104842	42611257	-0.9528
57	5352062	44424639	-1.0209
57	30323	42611257	-1.0287
57	5352062	3385	-1.0271
57	5311	42611257	-1.0078
57	446556	42611257	-1.0046
57	216239	42611257	-0.9569
57	5352062	123631	-0.9948
57	452548	42611257	-0.9683
57	387447	42611257	-1.0101
57	4842	5352062	-1.0769
57	42611257	10113978	-1.0061
57	5352062	2708	-1.0642
57	5352062	6194	-1.0771
57	3950	42611257	-1.0667
57	5352062	3950	-1.0885
57	148121	42611257	-1.0138
57	5352062	2723601	-1.025
57	5394	42611257	-1.0572
57	5352062	446556	-1.0795
57	3902	42611257	-1.0823
57	60953	42611257	-1.081
57	3011155	42611257	-1.0094
57	644241	42611257	-1.0857
57	5352062	452548	-1.0682
57	2733526	42611257	-1.0634
57	6445540	6857599	-0.8609
57	2662	42611257	-1.1431
57	6445540	5311	-0.9389
57	4915	5352062	-1.1318
57	2094	5352062	-1.1147
57	237	5352062	-1.1606
57	5352062	5353562	-1.139
57	6445540	6442177	-0.9537
57	6445540	38904	-0.9644
57	6253	3385	-0.908
57	259331	6445540	-0.794
57	2123	42611257	-1.1033
57	5284616	2723601	-0.9247
57	6445540	3011155	-0.9829
57	6445540	2907	-1.0092
57	148124	6194	-0.9195
57	6445540	148121	-0.9749
57	29327	5352062	-1.0793
57	6445540	13342	-1.0431
57	6445540	3690	-0.9629
57	6445540	104741	-0.9966
57	6445540	57469	-0.9665
57	6445540	208908	-1.0072
57	6445540	3657	-0.9999
57	13342	3385	-0.9487
57	6445540	3062316	-0.9617
57	6445540	4114	-0.9795
57	148124	446556	-0.9893
57	5284616	446556	-0.9552
57	6445540	3902	-0.9918
57	6857599	9854073	-0.9507
57	444795	3950	-0.9375
57	4033	3385	-1.0051
57	6442177	11626560	-0.9397
57	148124	71384	-0.9945
57	44424639	132971	-1.0277
57	148124	132971	-0.9853
57	259331	3385	-1.0105
57	29327	3385	-0.9854
57	3011155	3385	-1.0324
57	5284616	216326	-1.0073
57	6442177	132971	-0.9809
57	5284616	10113978	-0.993
57	6442177	5353562	-0.9757
57	9444	44424639	-1.064
57	644241	44424639	-1.1
57	454216	9854073	-0.9824
57	2578	9854073	-1.0451
57	3385	24776445	-1.073
57	11683	44424639	-1.0607
57	4114	3385	-1.0085
57	454216	3385	-1.0187
57	4842	3385	-1.0054
57	60953	3385	-1.0665
57	9444	3385	-1.0741
57	5394	9854073	-1.0145
