CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
59	5311	46926350	-1.2253
59	126941	176870	-0.6552
59	208908	176870	-0.8362
59	24964624	104842	-1.0263
59	13342	16224745	-0.2411
59	13342	24964624	-0.2151
59	13342	24748204	-0.1747
59	46926350	16224745	-0.2163
59	13342	208908	-0.3216
59	126941	5311	-0.3909
59	126941	24964624	-0.5237
59	208908	9826528	-1.004
59	5311	208908	-1.098
59	24964624	176870	-1.2117
59	5311	176870	-1.1619
59	36462	5311	-1.0444
59	5311	104842	-1.0226
59	5311	60700	-1.2013
59	15953832	5311	-1.1334
59	15953832	16224745	-1.1412
59	15953832	176870	-1.3763
59	38904	16224745	-1.223
59	4091	24964624	-1.1477
59	38904	176870	-1.4335
59	216453	24856436	-1.0777
59	15953832	208908	-1.2612
59	5329102	16224745	-1.0904
59	59691338	24964624	-1.153
59	13342	24958200	-0.0126
59	387447	6857599	-0.0791
59	387447	11960529	-0.0428
59	126941	11960529	-0.0493
59	387447	6421776	-0.1422
59	387447	16224745	-0.067
59	387447	216239	-0.1253
59	31703	5329102	-0.0893
59	387447	60700	-0.1114
59	126941	5329102	-0.0889
59	31703	216453	-0.0529
59	387447	5288382	-0.2031
59	31703	216239	-0.0602
59	126941	24958200	-0.1041
59	126941	216239	-0.2562
59	387447	3062316	-0.2128
59	31703	24958200	-0.1029
59	31703	5394	-0.0123
59	13342	5329102	-0.1109
59	5288382	6857599	-0.1536
59	387447	46926350	-0.3636
59	5288382	216239	-0.2297
59	31703	5311	-0.3107
59	31703	16224745	-0.3479
59	60750	5394	-0.2136
59	31703	11960529	-0.0566
59	60750	24748204	-0.1942
59	60750	208908	-0.2637
59	60750	5288382	-0.465
59	60750	11960529	-0.1665
59	31703	208908	-0.4253
59	60750	5329102	-0.2853
59	13342	216239	-0.2508
59	3062316	216239	-0.4307
59	36314	24958200	-0.3154
59	60750	6421776	-0.4054
59	13342	216453	-0.2247
59	60750	216239	-0.2301
59	5288382	16224745	-0.394
59	13342	5311	-0.1804
59	36314	11960529	-0.3496
59	60750	3062316	-0.4942
59	3062316	6857599	-0.3497
59	31703	24964624	-0.4148
59	3062316	11960529	-0.3522
59	60750	24964624	-0.2481
59	31703	176870	-0.4749
59	60750	176870	-0.3173
59	60750	24958200	-0.2224
59	126941	16224745	-0.4342
59	13342	5394	0.1931
59	60700	216239	-0.341
59	3062316	16224745	-0.4802
59	36314	5394	-0.3422
59	31703	24748204	-0.2154
59	60750	24856436	-0.5338
59	5746	5394	-0.0401
59	36314	216453	-0.4405
59	13342	11960529	0.0674
59	126941	216453	-0.1363
59	5746	216239	-0.0973
59	3062316	5288382	-0.6676
59	3062316	60700	-0.5305
59	60750	16224745	-0.6975
59	126941	5394	0.0681
59	387447	11520894	-0.5955
59	13342	176870	-0.4275
59	36314	24748204	-0.4599
59	60750	9826528	-0.4537
59	36314	5329102	-0.3966
59	387447	104842	-0.658
59	126941	208908	-0.5545
59	36314	216239	-0.4999
59	60750	46926350	-0.5712
59	13342	5288382	-0.5867
59	31703	5288382	-0.6796
59	36314	24964624	-0.4784
59	5746	11960529	-0.3984
59	3062316	6421776	-0.6394
59	36314	16224745	-0.4619
59	13342	24856436	-0.376
59	31703	3062316	-0.727
59	13342	3062316	-0.6322
59	36314	5311	-0.4536
59	44424639	5394	-0.3674
59	5746	5329102	-0.4226
59	36314	208908	-0.5233
59	36314	5288382	-0.7071
59	176870	216239	-0.6821
59	176870	6857599	-0.4932
59	44424639	24958200	-0.4122
59	5288382	60700	-0.6612
59	44424639	24748204	-0.4867
59	36314	24856436	-0.5015
59	5746	216453	-0.3547
59	36314	176870	-0.5722
59	31703	24856436	-0.6751
59	36314	3062316	-0.737
59	36314	6421776	-0.5773
59	59691338	4091	-0.0736
59	60750	387447	-0.8079
59	36314	9826528	-0.5815
59	5746	24958200	-0.4036
59	176870	11960529	-0.5193
59	3062316	46926350	-0.7954
59	6421776	216239	-0.6257
59	6421776	16224745	-0.5878
59	44424639	216239	-0.6114
59	44424639	16224745	-0.5699
59	36462	5394	-0.2516
59	44424639	11960529	-0.4155
59	44424639	24964624	-0.5492
59	5311	5394	-0.3807
59	60700	16224745	-0.5922
59	176870	16224745	-0.6195
59	44424639	5311	-0.5502
59	126941	24748204	-0.374
59	6421776	6857599	-0.5464
59	44424639	5329102	-0.5116
59	5746	16224745	-0.7878
59	44424639	208908	-0.6433
59	44424639	5288382	-0.8229
59	44424639	24856436	-0.5774
59	5329102	5394	-0.3257
59	44424639	176870	-0.7282
59	208908	6857599	-0.6105
59	5311	216239	-0.7438
59	5288382	6421776	-0.8578
59	208908	216239	-0.8037
59	13342	6421776	-0.6652
59	176870	3062316	-0.8956
59	60750	11520894	-0.7546
59	208908	11960529	-0.5937
59	44424639	3062316	-0.8696
59	126941	3062316	-0.9094
59	176870	5288382	-0.9199
59	126941	5288382	-0.9396
59	3062316	11520894	-0.8438
59	176870	60700	-0.8234
59	5746	5311	-0.6608
59	31703	6421776	-0.8414
59	3062316	104842	-0.8645
59	208908	24958200	-0.6357
59	36314	46926350	-0.8253
59	59691338	5394	-0.1863
59	5746	208908	-0.7956
59	36462	216239	-0.7318
59	176870	6421776	-0.8414
59	44424639	6421776	-0.7562
59	5746	24964624	-0.7163
59	5746	176870	-0.8015
59	44424639	9826528	-0.6804
59	36314	387447	-1.0206
59	208908	16224745	-0.7646
59	5329102	216239	-0.8074
59	208908	24748204	-0.7434
59	176870	9826528	-0.8285
59	5746	24748204	-0.5839
59	208908	24964624	-0.8326
59	126941	24856436	-0.7744
59	176870	46926350	-0.9846
59	5311	6857599	-0.7734
59	31703	9826528	-0.8757
59	176870	387447	-1.1164
59	24964624	216239	-0.8887
59	5288382	46926350	-1.1146
59	59691338	216239	-0.8068
59	5746	3062316	-1.1203
59	208908	3062316	-1.1017
59	3385	5394	-0.5298
59	208908	5288382	-1.1094
59	176870	104842	-0.9091
59	176870	11520894	-0.9215
59	36314	11520894	-0.8868
59	6857599	216239	-0.8509
59	13342	9826528	-0.647
59	208908	60700	-0.9778
59	216453	216239	-0.9073
59	5746	5288382	-1.0536
59	216453	5394	-0.6435
59	5288382	104842	-1.061
59	15953832	4091	-0.645
59	216453	6857599	-0.8251
59	5311	5329102	-0.7889
59	59691338	38904	-0.4921
59	3385	216239	-0.9019
59	216453	5329102	-0.8326
59	24964624	6857599	-0.7477
59	216453	11960529	-0.7562
59	5329102	6857599	-0.7723
59	44424639	46926350	-0.985
59	13342	46926350	-0.9317
59	5311	11960529	-0.7272
59	15953832	5394	-0.5995
59	5311	24958200	-0.7427
59	208908	6421776	-1.0439
59	60700	6421776	-1.078
59	216453	24958200	-0.7993
59	44424639	387447	-1.2203
59	6421776	46926350	-1.0785
59	31703	46926350	-1.1704
59	24964624	11960529	-0.7748
59	13342	387447	-1.2078
59	31703	387447	-1.3343
59	216453	5311	-0.9025
59	6421776	104842	-1.0108
59	126941	6421776	-0.9697
59	5746	24856436	-1.1068
59	216453	16224745	-0.9165
59	59691338	6857599	-0.8292
59	31703	11520894	-1.1564
59	36462	11960529	-0.7856
59	36462	24958200	-0.8491
59	216453	208908	-1.049
59	216453	176870	-1.1265
59	216453	24748204	-0.8854
59	216453	36462	-0.9163
59	216453	24964624	-0.9936
59	5329102	11960529	-0.8572
59	11520894	216239	-1.069
59	11520894	60700	-1.0553
59	208908	46926350	-1.2316
59	11520894	16224745	-0.9681
59	11520894	5288382	-1.2281
59	216239	16224745	-1.1605
59	44424639	11520894	-0.9992
59	11520894	6857599	-0.9063
59	208908	387447	-1.3736
59	216453	3062316	-1.3095
59	5329102	24958200	-0.8245
59	11520894	6421776	-1.1436
59	3385	11960529	-0.8247
59	5746	6421776	-1.1611
59	208908	11520894	-1.0882
59	208908	104842	-1.0737
59	24964624	16224745	-0.9753
59	216239	46926350	-1.2156
59	11520894	46926350	-1.0819
59	216453	5288382	-1.3135
59	15953832	216239	-1.1134
59	5311	16224745	-0.9951
59	60700	46926350	-1.1797
59	36462	5329102	-1.0007
59	3385	24958200	-0.8222
59	5311	24964624	-1.028
59	216453	60700	-1.1122
59	15953832	38904	-0.819
59	24856436	9826528	-1.0512
59	13342	11520894	-0.9461
59	3385	5329102	-0.973
59	5746	9826528	-1.0851
59	24964624	3062316	-1.4189
59	5311	3062316	-1.3636
59	11520894	104842	-0.892
59	59691338	3385	-0.9283
59	24964624	5288382	-1.372
59	3385	216453	-1.0522
59	24748204	216239	-1.1367
59	15953832	6857599	-0.9368
59	24856436	24958200	-1.0688
59	216453	6421776	-1.2261
59	6857599	16224745	-1.1121
59	24856436	11960529	-0.9854
59	216453	9826528	-0.9987
59	5311	24748204	-0.9752
59	11960529	216239	-1.0931
59	24964624	60700	-1.1814
59	216453	104842	-0.996
59	24748204	6857599	-0.9875
59	36462	176870	-1.2683
59	36462	208908	-1.1894
59	5311	5288382	-1.3366
59	3385	208908	-1.1307
59	3385	176870	-1.2192
59	5746	387447	-1.4452
59	3385	5311	-1.0371
59	24856436	60700	-1.2353
59	24856436	6857599	-1.1027
59	24856436	104842	-1.0695
59	5746	46926350	-1.2346
59	24856436	24964624	-1.1235
59	24856436	216239	-1.2261
59	126941	11520894	-1.0524
59	216453	46926350	-1.2406
59	36462	16224745	-1.1371
59	216453	44424639	-1.1411
59	24856436	24748204	-1.0729
59	3385	24964624	-1.0393
59	5746	11520894	-1.1618
59	5329102	176870	-1.3339
59	5329102	208908	-1.2928
59	3385	16224745	-1.1399
59	36462	24964624	-1.0928
59	59691338	11960529	-0.8386
59	24856436	3062316	-1.4747
59	24856436	16224745	-1.3434
59	24856436	208908	-1.2489
59	24856436	5288382	-1.3904
59	24856436	46926350	-1.2379
59	24856436	387447	-1.46
59	24856436	6421776	-1.2681
59	24856436	11520894	-1.1495
59	24856436	176870	-1.308
59	59691338	2907	-0.7767
59	216453	60750	-1.2449
59	216453	387447	-1.4204
59	3385	24748204	-0.9747
59	15953832	5743	-0.9736
59	59691338	5743	-0.8823
59	59691338	15953832	-0.9184
59	3385	3062316	-1.3793
59	15953832	11960529	-0.9258
59	59691338	24958200	-0.8275
59	24748204	11960529	-0.9088
59	5329102	24964624	-1.1471
59	15953832	2907	-0.9239
59	6857599	46926350	-1.2262
59	24964624	6421776	-1.218
59	15953832	3385	-1.0219
59	24748204	24958200	-0.9297
59	3385	5288382	-1.3658
59	216453	11520894	-1.157
59	36462	3062316	-1.4564
59	15953832	24958200	-0.9594
59	5329102	24748204	-0.9913
59	5329102	3062316	-1.4763
59	24964624	9826528	-0.9795
59	36462	24748204	-0.9717
59	11960529	6857599	-0.9748
59	9826528	216239	-1.2226
59	9826528	11960529	-0.8553
59	15953832	5329102	-1.0898
59	5311	9826528	-1.0261
59	5311	387447	-1.5295
59	15953832	216453	-1.0586
59	5329102	5288382	-1.4686
59	3385	24856436	-1.1541
59	24964624	46926350	-1.2343
59	9826528	6857599	-1.055
59	126941	9826528	-1.0119
59	5311	24856436	-1.1756
59	9826528	16224745	-1.0624
59	24964624	387447	-1.4802
59	24748204	16224745	-1.0665
59	5311	6421776	-1.2296
59	5311	11520894	-1.1048
59	36462	5288382	-1.4516
59	3385	9826528	-1.007
59	3385	6421776	-1.2234
59	5329102	9826528	-1.018
59	3385	46926350	-1.2412
59	5311	60750	-1.2629
59	9826528	60700	-1.1647
59	24964624	11520894	-1.1532
59	3385	11520894	-1.0645
59	3385	387447	-1.4866
59	24748204	24964624	-1.0593
59	5329102	60700	-1.2717
59	24748204	176870	-1.292
59	126941	46926350	-1.315
59	126941	387447	-1.5097
59	15953832	36462	-1.0995
59	15953832	24964624	-1.1884
59	9826528	3062316	-1.4444
59	9826528	5288382	-1.4284
59	5329102	24856436	-1.1145
59	5329102	6421776	-1.2936
59	5329102	104842	-1.1082
59	15953832	3062316	-1.5016
59	15953832	24748204	-1.0705
59	5329102	387447	-1.5217
59	5329102	46926350	-1.3239
59	5329102	11520894	-1.1546
59	15953832	60700	-1.2909
59	24748204	3062316	-1.4874
59	15953832	5288382	-1.4471
59	9826528	6421776	-1.2337
59	36462	24856436	-1.2926
59	24748204	5288382	-1.4652
59	15953832	5746	-1.1639
59	36462	6421776	-1.2528
59	5743	216239	-1.201
59	15953832	24856436	-1.2571
59	36462	11520894	-1.1613
59	36462	46926350	-1.2563
59	15953832	126941	-1.1526
59	36462	9826528	-1.0909
59	36462	387447	-1.5444
