CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
65	208908	11960529	-0.293
65	5311	6857599	-0.3536
65	13342	16224745	-0.4174
65	5311	46926350	-1.204
65	59691338	11960529	-1.1184
65	5311	5288382	-0.8462
65	24958200	9826528	-1.0466
65	387447	3062316	-0.0741
65	31703	16224745	-0.0432
65	126941	11960529	-0.1308
65	31703	216239	-0.0973
65	31703	24748204	-0.0905
65	31703	5394	-0.0491
65	31703	5329102	-0.0074
65	31703	24958200	-0.0455
65	387447	11960529	-0.0089
65	31703	176870	-0.1199
65	31703	216453	-0.071
65	31703	11960529	-0.0379
65	126941	176870	-0.1613
65	31703	5311	-0.1672
65	126941	216453	-0.172
65	126941	24958200	-0.1736
65	31703	24964624	-0.1802
65	31703	208908	-0.1715
65	31703	5288382	-0.1429
65	31703	3062316	-0.1546
65	31703	24856436	-0.1907
65	126941	24748204	-0.186
65	126941	5329102	-0.1514
65	387447	5288382	-0.0833
65	126941	5311	-0.2198
65	6421776	6857599	-0.1725
65	60750	216239	-0.1933
65	60750	24748204	-0.1828
65	60750	5329102	-0.1689
65	126941	216239	-0.2728
65	6421776	216239	-0.2804
65	24964624	6857599	-0.0488
65	387447	6857599	-0.0973
65	60750	24964624	-0.2904
65	60750	24958200	-0.1144
65	36314	11960529	-0.2722
65	126941	5394	-0.017
65	387447	60700	-0.3385
65	36462	5394	-0.1034
65	126941	24856436	-0.238
65	24964624	216239	-0.3177
65	60750	5394	-0.1495
65	60750	208908	-0.2851
65	60750	11960529	-0.1005
65	60750	3062316	-0.244
65	126941	16224745	-0.1268
65	126941	208908	-0.2411
65	126941	24964624	-0.2812
65	60750	6421776	-0.3243
65	60750	5288382	-0.1684
65	60750	176870	-0.2205
65	387447	16224745	-0.1158
65	387447	216239	-0.309
65	6421776	16224745	-0.2121
65	126941	3062316	-0.3173
65	60750	24856436	-0.3843
65	60750	16224745	-0.3705
65	36314	3062316	-0.2974
65	60700	216239	-0.2822
65	60700	16224745	-0.3501
65	36314	5394	-0.2409
65	31703	6421776	-0.3983
65	36462	5329102	-0.2036
65	13342	11960529	-0.1714
65	36462	216239	-0.2837
65	387447	6421776	-0.3837
65	36314	176870	-0.3329
65	36314	24958200	-0.2593
65	126941	5288382	-0.3125
65	46926350	16224745	-0.1798
65	24964624	11960529	-0.1737
65	5311	216239	-0.3969
65	5311	5394	-0.0487
65	36314	216453	-0.3351
65	36314	16224745	-0.2881
65	208908	216239	-0.4597
65	36462	24958200	-0.3067
65	36314	5311	-0.4663
65	36314	24856436	-0.3735
65	36462	11960529	-0.201
65	36314	5329102	-0.2134
65	44424639	3062316	-0.326
65	208908	6857599	-0.3054
65	44424639	5288382	-0.3279
65	60750	9826528	-0.3926
65	36314	5288382	-0.3592
65	36314	208908	-0.498
65	36314	216239	-0.4823
65	36314	24964624	-0.5164
65	36314	9826528	-0.3535
65	36314	24748204	-0.4045
65	31703	9826528	-0.5381
65	104842	16224745	-0.1829
65	36314	6421776	-0.494
65	104842	216239	-0.3962
65	44424639	5311	-0.5106
65	44424639	24856436	-0.4169
65	60750	46926350	-0.4852
65	5746	5394	-0.27
65	208908	24958200	-0.4268
65	24964624	16224745	-0.4278
65	13342	5394	-0.1308
65	44424639	24748204	-0.4807
65	44424639	24964624	-0.5879
65	44424639	11960529	-0.2838
65	44424639	176870	-0.44
65	44424639	16224745	-0.3512
65	36462	16224745	-0.4846
65	44424639	6421776	-0.5928
65	44424639	216239	-0.5736
65	44424639	5329102	-0.2965
65	24964624	176870	-0.5418
65	5746	216239	-0.4747
65	60700	6421776	-0.6391
65	44424639	5394	-0.241
65	36462	176870	-0.529
65	31703	46926350	-0.6958
65	44424639	208908	-0.5864
65	36462	5311	-0.5755
65	36314	46926350	-0.5675
65	60750	387447	-0.6342
65	44424639	24958200	-0.3387
65	5746	5329102	-0.4308
65	15953832	4091	-0.289
65	13342	5329102	-0.417
65	13342	5311	-0.5482
65	5311	5329102	-0.432
65	208908	16224745	-0.5341
65	31703	387447	-0.7511
65	387447	46926350	-0.5746
65	13342	24748204	-0.5733
65	13342	216453	-0.5692
65	208908	176870	-0.5297
65	36462	24748204	-0.596
65	5746	11960529	-0.2892
65	13342	3062316	-0.386
65	13342	208908	-0.6537
65	36314	387447	-0.662
65	126941	6421776	-0.6604
65	5746	24958200	-0.3874
65	5746	216453	-0.2958
65	24964624	3062316	-0.5517
65	24748204	6857599	-0.4676
65	24964624	5288382	-0.5923
65	36462	208908	-0.6727
65	104842	46926350	-0.5157
65	24748204	216239	-0.6741
65	13342	24856436	-0.5042
65	36462	3062316	-0.6124
65	208908	24748204	-0.6277
65	13342	24964624	-0.6663
65	208908	24964624	-0.8106
65	15953832	5394	-0.2966
65	36462	24964624	-0.7255
65	5311	11960529	-0.3586
65	13342	176870	-0.5119
65	24856436	6857599	-0.5031
65	208908	5288382	-0.5864
65	13342	5288382	-0.3924
65	208908	3062316	-0.716
65	24856436	216239	-0.7433
65	24856436	11960529	-0.3411
65	5746	16224745	-0.6605
65	13342	24958200	-0.3947
65	13342	216239	-0.7297
65	5746	5311	-0.7016
65	44424639	46926350	-0.6799
65	5329102	5394	-0.2837
65	5311	24958200	-0.5248
65	126941	9826528	-0.762
65	44424639	9826528	-0.4444
65	24748204	11960529	-0.4644
65	36462	5288382	-0.6464
65	5746	24748204	-0.6392
65	24964624	60700	-0.8794
65	60750	11520894	-0.7387
65	11520894	5288382	-0.5752
65	208908	60700	-0.8655
65	31703	11520894	-0.9105
65	5746	208908	-0.7917
65	36314	11520894	-0.7745
65	5746	176870	-0.4246
65	60700	46926350	-0.8529
65	5746	24964624	-0.8098
65	44424639	387447	-0.7846
65	24748204	24958200	-0.6057
65	36462	24856436	-0.8587
65	11520894	6857599	-0.6335
65	5746	3062316	-0.6953
65	11520894	216239	-0.8534
65	11520894	16224745	-0.5947
65	24856436	24958200	-0.8838
65	5311	176870	-0.7611
65	11520894	60700	-0.8764
65	5746	5288382	-0.7108
65	5329102	216239	-0.8442
65	11520894	6421776	-0.98
65	208908	6421776	-1.0134
65	24748204	16224745	-0.6689
65	5311	16224745	-0.7108
65	5311	208908	-0.9726
65	216453	5394	-0.4689
65	126941	46926350	-1.0064
65	11520894	46926350	-0.8199
65	176870	216239	-0.9406
65	126941	387447	-1.0264
65	6421776	46926350	-0.9654
65	24748204	176870	-0.7453
65	3062316	216239	-0.9376
65	5746	24856436	-0.9062
65	24964624	6421776	-1.0731
65	5311	24964624	-0.9665
65	387447	11520894	-0.9034
65	44424639	11520894	-0.8919
65	15953832	216239	-0.9946
65	24856436	176870	-0.735
65	208908	9826528	-0.8994
65	24964624	9826528	-0.9174
65	15953832	38904	-0.6352
65	5311	3062316	-0.7911
65	13342	6421776	-0.9984
65	5311	24748204	-0.9369
65	24856436	16224745	-0.9175
65	5329102	6857599	-0.6872
65	36462	6421776	-1.0404
65	24748204	3062316	-0.779
65	24748204	24964624	-1.0064
65	387447	104842	-1.0025
65	36462	9826528	-0.981
65	24856436	24748204	-0.8814
65	216453	216239	-1.0406
65	24856436	208908	-1.026
65	24748204	5288382	-0.8476
65	15953832	6857599	-0.7323
65	24856436	24964624	-1.0188
65	3385	5394	-0.5693
65	216453	6857599	-0.7693
65	208908	46926350	-1.0498
65	176870	6857599	-0.7186
65	126941	11520894	-1.0483
65	208908	387447	-1.1074
65	24856436	3062316	-0.8022
65	216239	16224745	-0.9929
65	5329102	11960529	-0.7463
65	216453	11960529	-0.6894
65	24964624	46926350	-1.1159
65	13342	9826528	-0.706
65	5746	6421776	-1.1242
65	6421776	104842	-1.129
65	24964624	387447	-1.1691
65	15953832	2907	-0.7492
65	3062316	6857599	-0.7059
65	24964624	104842	-1.1486
65	5329102	24958200	-0.8494
65	208908	11520894	-1.1464
65	24964624	11520894	-1.1928
65	208908	104842	-1.1132
65	216453	5329102	-0.8531
65	24856436	5288382	-0.8108
65	216453	24958200	-0.8371
65	24748204	60700	-1.0808
65	5746	9826528	-0.9724
65	11520894	104842	-0.9868
